"Name","Rookie","BD","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","GWG","ENG","PIM"
"Matthew Stajan","NO",1983-12-19,"6.01",188,"LW","Belleville Bulls",68,33,52,85,1.25,36,11,16,27,2,0,50
"Rick Nash","NO",1984-06-16,"6.03",181,"LW","London Knights",54,32,40,72,1.33,-16,15,24,39,1,3,88
"Adam Henrich","NO",1984-01-19,"6.04",216,"LW","Brampton Battalion",66,33,30,63,0.95,-4,10,9,19,6,0,92
"Petr Taticek","YES",1983-09-22,"6.02",180,"C","Sault Ste. Marie Greyhounds",60,21,42,63,1.05,22,7,15,22,3,1,32
"Petr Kanko","YES",1984-02-07,"5.10",204,"RW","Kitchener Rangers",61,28,32,60,0.98,19,9,13,22,4,2,54
"Tim Brent","NO",1984-03-10,"6.00",180,"C","Toronto St. Michael's Majors",61,19,40,59,0.97,19,6,20,26,4,1,52
"Steve Eminger","NO",1983-10-31,"6.02",200,"D","Kitchener Rangers",64,19,39,58,0.91,24,10,28,38,3,0,93
"Daniel Paille","NO",1984-04-15,"6.01",195,"C","Guelph Storm",62,27,30,57,0.92,-1,6,13,19,1,5,54
"Gregory Campbell","NO",1983-12-17,"6.00",192,"C","Plymouth Whalers",65,17,36,53,0.82,31,5,4,9,3,0,105
"John Hecimovic","NO",1984-03-31,"6.02",215,"RW","Sarnia Sting",65,30,19,49,0.75,-4,8,6,14,2,0,64
"Trevor Daley","NO",1983-10-09,"5.11",204,"D","Sault Ste. Marie Greyhounds",47,9,39,48,1.02,17,2,24,26,4,0,38
"Scott Sheppard","NO",1983-09-28,"6.00",195,"RW","Ottawa 67's",60,20,26,46,0.77,3,5,9,14,3,1,24
"Nick Lees","NO",1983-10-22,"5.11",195,"C","Barrie Colts",67,24,21,45,0.67,20,5,9,14,4,1,27
"Andre Benoit","NO",1984-01-06,"6.00",199,"LW","Kitchener Rangers",62,13,32,45,0.73,20,6,20,26,1,0,77
"Corey Locke","YES",1984-05-08,"5.10",190,"C","Ottawa 67's",55,18,25,43,0.78,-1,5,9,14,1,0,18
"Lukas Krajicek","NO",1983-11-03,"6.01",185,"D","Peterborough Petes",55,10,32,42,0.76,0,4,9,13,0,0,56
"John Scott Dickson","NO",1984-04-10,"6.02",210,"LW","Windsor Spitfires",68,14,25,39,0.57,12,5,9,14,2,1,23
"Ben Eager","NO",1984-01-22,"6.02",215,"LW","Oshawa Generals",63,14,23,37,0.59,-16,7,5,12,2,0,255
"Chris Clayton","NO",1983-09-28,"6.03",191,"RW","Brampton Battalion",64,10,27,37,0.58,-6,0,3,3,3,0,8
"James Wisniewski","NO",1984-02-24,"5.11",200,"D","Plymouth Whalers",62,11,25,36,0.58,39,7,17,24,2,0,100
"Brett Trudell","NO",1984-02-15,"6.03",202,"RW","Sault Ste. Marie Greyhounds",68,18,14,32,0.47,-4,5,2,7,2,1,53
"Andrey Mikhnov","YES",1983-11-26,"6.06",220,"LW","Sudbury Wolves",67,14,18,32,0.48,-14,4,2,6,1,2,43
"Ahren Nittel","NO",1983-12-06,"6.03",215,"LW","Windsor Spitfires",52,19,11,30,0.58,8,1,3,4,0,0,100
"Patrick Jarrett","NO",1984-02-06,"5.11",182,"C","Owen Sound Attack",47,6,24,30,0.64,-17,1,7,8,0,0,24
"Ladislav Kolda","NO",1983-10-16,"6.01",206,"D","Owen Sound Attack",66,4,25,29,0.44,-11,3,13,16,1,0,20
"David Bowman","NO",1983-09-23,"5.11",205,"D","Windsor Spitfires",68,8,20,28,0.41,15,0,6,6,2,0,80
"Tobias Whelan","NO",1983-10-28,"6.00",185,"C","Oshawa Generals",66,9,17,26,0.39,-8,3,2,5,2,0,47
"Chris Campoli","NO",1984-07-09,"6.00",190,"D","Erie Otters",68,2,24,26,0.38,15,0,8,8,0,0,117
"Logan Hunter","NO",1984-08-30,"5.10",190,"C","London Knights",64,11,14,25,0.39,-5,3,4,7,1,0,125
"Dene Poulin","NO",1983-12-13,"5.11",193,"D","Sudbury Wolves",68,7,18,25,0.37,-4,3,8,11,0,1,77
"Brad Bonello","YES",1984-04-15,"5.11",180,"LW","Erie Otters",60,12,12,24,0.4,-3,3,3,6,1,0,102
"Jeremy Swanson","NO",1984-06-21,"6.00",210,"D","Barrie Colts",67,8,16,24,0.36,27,3,6,9,3,0,78
"Cam Janssen","YES",1984-04-15,"6.00",215,"RW","Windsor Spitfires",64,5,17,22,0.34,-7,0,3,3,1,0,268
"Ryan Card","NO",1984-02-18,"6.01",198,"D","Peterborough Petes",66,3,19,22,0.33,1,0,0,0,1,0,38
"Darryl Boyce","YES",1984-07-07,"5.11",188,"C","Toronto St. Michael's Majors",67,10,11,21,0.31,4,4,1,5,1,0,71
"Tim Sestito","YES",1984-08-28,"5.11",195,"LW","Plymouth Whalers",51,10,11,21,0.41,11,2,4,6,3,0,40
"Andre Deveaux","NO",1984-02-23,"6.04",233,"RW","Belleville Bulls",64,8,13,21,0.33,1,2,2,4,1,0,89
"Richard Power","NO",1984-01-18,"6.02",206,"D","Owen Sound Attack",68,6,15,21,0.31,-18,5,8,13,1,0,36
"Jonas Fiedler","YES",1984-05-29,"6.02",190,"LW","Plymouth Whalers",68,8,12,20,0.29,4,1,2,3,0,0,27
"Vladimir Skoda","YES",1983-10-10,"6.00",190,"RW","Sault Ste. Marie Greyhounds",61,8,12,20,0.33,-2,1,2,3,1,0,8
"Tyler Leggo","YES",1984-02-13,"6.01",186,"C","Sudbury Wolves",65,11,8,19,0.29,-3,0,1,1,0,0,103
"Brian Lee","NO",1984-07-05,"6.02",200,"D","Erie Otters",66,5,14,19,0.29,19,2,2,4,0,0,115
"Dean Byvelds","NO",1983-09-21,"6.01",187,"LW","Sault Ste. Marie Greyhounds",48,9,9,18,0.38,0,0,1,1,1,0,30
"Rick Steadman","YES",1984-06-09,"5.10",178,"D","London Knights",68,5,13,18,0.26,-8,0,1,1,1,0,58
"Shandor Alphonso","YES",1984-05-24,"5.11",187,"LW","Sudbury Wolves",58,4,14,18,0.31,-15,0,2,2,1,0,37
"Patrick Turcotte","YES",1984-03-26,"5.06",160,"C","Brampton Battalion",61,7,10,17,0.28,-16,2,2,4,1,0,56
"Oliver Maron","YES",1983-09-30,"6.00",190,"D","Belleville Bulls",64,7,9,16,0.25,15,3,0,3,1,0,43
"Chris Robertson","YES",1984-01-10,"6.00",190,"C","Sudbury Wolves",29,4,12,16,0.55,5,0,0,0,1,0,16
"Paul Giallonardo","YES",1984-02-29,"6.03",209,"D","Windsor Spitfires",55,3,13,16,0.29,3,1,3,4,0,0,68
"Rafal Martynowski","YES",1984-08-07,"5.09",183,"C","Kitchener Rangers",53,7,8,15,0.28,5,0,0,0,2,1,21
"Grant Buckley","NO",1983-10-23,"6.02",200,"D","Brampton Battalion",59,4,11,15,0.25,-17,1,1,2,0,0,81
"Chad McCaffrey","YES",1984-06-19,"5.09",155,"C","Kitchener Rangers",54,8,6,14,0.26,2,1,2,3,3,0,2
"Darryl Lloyd","YES",1984-02-10,"5.10",187,"C","Windsor Spitfires",64,7,7,14,0.22,-9,0,1,1,0,0,64
"Justin Renner","YES",1984-05-02,"6.00",155,"RW","Owen Sound Attack",59,3,11,14,0.24,-13,1,6,7,0,0,25
"Scott Horvath","YES",1984-07-19,"6.03",215,"RW","Toronto St. Michael's Majors",27,7,6,13,0.48,8,2,1,3,1,0,19
"Colin Power","YES",1984-03-02,"5.10",213,"RW","Guelph Storm",67,8,4,12,0.18,-11,1,0,1,1,1,30
"Sam Skwarchuk","NO",1984-02-05,"6.00",185,"LW","Sudbury Wolves",63,4,8,12,0.19,-6,2,0,2,2,0,40
"Marc Rancourt","YES",1984-04-28,"6.01",197,"LW","Belleville Bulls",51,3,9,12,0.24,-2,1,3,4,0,0,4
"Anthony Butera","YES",1984-09-14,"5.11",195,"D","Sarnia Sting",62,0,12,12,0.19,4,0,5,5,0,0,56
"John Wheaton","YES",1984-08-23,"5.08",182,"RW","Owen Sound Attack",58,8,3,11,0.19,-11,1,0,1,2,0,9
"Brody Todd","NO",1984-02-25,"6.02",225,"LW","Sudbury Wolves",64,4,7,11,0.17,-8,1,2,3,0,0,41
"Daryl Knowles","YES",1984-02-06,"6.02",190,"LW","Toronto St. Michael's Majors",49,4,6,10,0.2,-14,1,0,1,0,1,54
"David Herring","YES",1984-02-22,"6.01",205,"RW","Erie Otters",66,4,6,10,0.15,-1,0,0,0,0,0,123
"Corey LeClair","NO",1983-09-16,"6.01",197,"D","Brampton Battalion",43,1,9,10,0.23,-23,0,3,3,0,0,14
"Eric Larochelle","NO",1984-07-07,"6.00",200,"D","Guelph Storm",64,1,9,10,0.16,-3,0,1,1,0,0,57
"Chanse Fitzpatrick","YES",1984-08-14,"6.01",220,"RW","Sarnia Sting",44,4,5,9,0.2,-1,3,1,4,1,0,45
"Jordan Freeland","YES",1984-06-04,"6.01",193,"C","Toronto St. Michael's Majors",59,4,5,9,0.15,-1,0,0,0,0,0,50
"Chad Thompson","YES",1984-06-29,"5.11",195,"D","London Knights",52,3,6,9,0.17,-1,2,1,3,1,0,12
"David Clarkson","YES",1984-03-31,"6.01",206,"C","Belleville Bulls",22,2,7,9,0.41,2,0,0,0,0,0,34
"Thomas Harrison","YES",1984-03-11,"6.02",222,"D","Kitchener Rangers",59,2,7,9,0.15,15,0,0,0,0,0,105
"Paul Ranger","NO",1984-09-12,"6.03",210,"D","Oshawa Generals",62,0,9,9,0.15,-16,0,4,4,0,0,49
