"Name","BD","Pos","Team","GP","SHG","SHA","SHPTS","SHPTS/G","SHPTS%"
"Kris Newbury",1982-02-19,"C","Sarnia Sting",66,7,8,15,0.23,14
"Cory Pecker",1981-03-20,"RW","Erie Otters",56,7,7,14,0.25,14
"Dusty Jamieson",1981-05-26,"LW","Sarnia Sting",68,8,5,13,0.19,13
"Mike Renzi",1981-07-18,"C","Belleville Bulls",68,7,5,12,0.18,11
"Brad Boyes",1982-04-17,"C","Erie Otters",47,6,6,12,0.26,16
"Nathan Robinson",1981-12-31,"C","Belleville Bulls",67,6,6,12,0.18,11
"Scott Dobben",1983-04-10,"LW","Erie Otters",68,6,5,11,0.16,17
"Derek Roy",1983-05-04,"C","Kitchener Rangers",62,4,5,9,0.15,10
"Jason Spezza",1983-06-13,"C","Belleville Bulls",53,5,1,6,0.11,6
"Steve Eminger",1983-10-31,"D","Kitchener Rangers",64,4,2,6,0.09,10
"Kristopher Vernarsky",1982-04-05,"LW","Plymouth Whalers",59,3,3,6,0.1,11
"Stephen Weiss",1983-04-03,"C","Plymouth Whalers",46,3,3,6,0.13,9
"Jon Howse",1983-09-04,"RW","Peterborough Petes",68,5,0,5,0.07,16
"Eric Staal",1984-10-29,"C","Peterborough Petes",56,4,1,5,0.09,8
"Jeff Richards",1981-09-17,"LW","Sault Ste. Marie Greyhounds",59,4,1,5,0.08,8
"Petr Kanko",1984-02-07,"RW","Kitchener Rangers",61,4,1,5,0.08,8
"Steve Ott",1982-08-19,"C","Windsor Spitfires",53,4,1,5,0.09,6
"Damian Surma",1981-01-22,"LW","Plymouth Whalers",55,2,3,5,0.09,9
"Fraser Clair",1981-01-07,"RW","Barrie Colts",67,2,3,5,0.07,10
"Mike Stathopoulos",1982-07-12,"C","London Knights",68,2,3,5,0.07,6
"Rick Nash",1984-06-16,"LW","London Knights",54,2,3,5,0.09,7
"Michael Richards",1985-02-11,"C","Kitchener Rangers",65,1,4,5,0.08,9
"Zenon Konopka",1981-01-02,"C","Ottawa 67's",61,0,5,5,0.08,6
"Miguel Delisle",1982-04-06,"C","Ottawa 67's",67,4,0,4,0.06,4
"Chris Minard",1981-11-18,"C","Oshawa Generals",67,3,1,4,0.06,6
"Shayne Fryia",1981-12-30,"C","Barrie Colts",63,3,1,4,0.06,7
"Carlo Colaiacovo",1983-01-27,"D","Erie Otters",60,2,2,4,0.07,10
"Matt Grennier",1983-03-20,"C","Kitchener Rangers",56,2,2,4,0.07,25
"Adam Paiement",1982-03-31,"RW","Belleville Bulls",61,1,3,4,0.07,6
"Matt Armstrong",1982-09-08,"LW","Peterborough Petes",65,1,3,4,0.06,11
"Chad LaRose",1982-03-27,"RW","Plymouth Whalers",53,3,0,3,0.06,5
"Jerry Connell",1981-02-25,"LW","Sudbury Wolves",64,3,0,3,0.05,9
"Kurt MacSweyn",1981-01-19,"LW","Brampton Battalion",53,3,0,3,0.06,6
"Alexander Skorohod",1983-06-10,"D","Mississauga IceDogs",67,2,1,3,0.04,9
"Andre Benoit",1984-01-06,"LW","Kitchener Rangers",62,2,1,3,0.05,7
"Blaine Down",1982-07-16,"LW","Barrie Colts",63,2,1,3,0.05,5
"Charlie Stephens",1981-04-05,"C","London Knights",60,2,1,3,0.05,5
"Brad Self",1981-02-27,"C","Peterborough Petes",68,1,2,3,0.04,4
"Dustin Brown",1984-11-04,"RW","Guelph Storm",63,1,2,3,0.05,4
"Frank Rediker",1985-03-15,"D","Windsor Spitfires",59,1,2,3,0.05,14
"Luc Chiasson",1982-10-08,"LW","Guelph Storm",67,1,2,3,0.04,5
"Brad Bonello",1984-04-15,"LW","Erie Otters",60,2,0,2,0.03,8
"Darryl Bootland",1981-11-02,"RW","Toronto St. Michael's Majors",61,2,0,2,0.03,2
"Derek Hennessey",1982-07-08,"D","Guelph Storm",68,2,0,2,0.03,4
"Eric Himelfarb",1983-01-01,"C","Sarnia Sting",67,2,0,2,0.03,2
"Jay McClement",1983-03-02,"C","Brampton Battalion",61,2,0,2,0.03,4
"John Wheaton",1984-08-23,"RW","Owen Sound Attack",58,2,0,2,0.03,18
"Kamil Kreps",1984-11-18,"C","Brampton Battalion",68,2,0,2,0.03,5
"Martin St. Pierre",1983-08-11,"C","Guelph Storm",66,2,0,2,0.03,2
"Matt Herneisen",1982-02-08,"C","Peterborough Petes",66,2,0,2,0.03,7
"Mike Nelson",1981-02-23,"C","Oshawa Generals",70,2,0,2,0.03,3
"Andrew Smale",1982-06-14,"RW","Mississauga IceDogs",68,1,1,2,0.03,12
"Brad Yeo",1981-03-18,"RW","Plymouth Whalers",64,1,1,2,0.03,4
"Cody McCormick",1983-04-18,"RW","Belleville Bulls",63,1,1,2,0.03,7
"Cole Jarrett",1983-01-04,"D","Plymouth Whalers",51,1,1,2,0.04,5
"Dennis Wideman",1983-03-20,"D","London Knights",65,1,1,2,0.03,3
"Greg Jacina",1982-05-22,"C","Mississauga IceDogs",61,1,1,2,0.03,3
"Jamie Johnson",1982-01-23,"C","Oshawa Generals",68,1,1,2,0.03,3
"Karol Sloboda",1983-05-16,"D","Ottawa 67's",60,1,1,2,0.03,8
"Marc Lefebvre",1982-05-25,"LW","Sarnia Sting",67,1,1,2,0.03,8
"Matt Ellis",1981-08-31,"LW","Toronto St. Michael's Majors",66,1,1,2,0.03,2
"Paul Flache",1982-03-04,"D","Brampton Battalion",68,1,1,2,0.03,5
"Petr Hemsky",1982-01-24,"RW","Kitchener Rangers",61,1,1,2,0.03,4
"Rafal Martynowski",1984-08-07,"C","Kitchener Rangers",53,1,1,2,0.04,13
"Rob Hisey",1984-09-24,"C","Sault Ste. Marie Greyhounds",68,1,1,2,0.03,4
"Sean Courtney",1985-10-16,"C","Erie Otters",62,1,1,2,0.03,8
"Steven Morris",1982-05-23,"RW","Barrie Colts",47,1,1,2,0.04,9
"Chris Clayton",1983-09-28,"RW","Brampton Battalion",64,0,2,2,0.03,5
"Chris Eade",1982-04-20,"D","Erie Otters",64,0,2,2,0.03,5
"Craig Kennedy",1983-04-24,"RW","Windsor Spitfires",67,0,2,2,0.03,4
"Darryl Thomson",1982-01-16,"LW","Barrie Colts",60,0,2,2,0.03,6
"Dustin VanBallegooie",1983-03-25,"D","Oshawa Generals",69,0,2,2,0.03,6
"Dustin Wood",1981-05-21,"D","Peterborough Petes",68,0,2,2,0.03,4
"Frank Lukes",1982-09-25,"RW","Toronto St. Michael's Majors",63,0,2,2,0.03,3
"Jamie Chamberlain",1981-08-02,"RW","Peterborough Petes",36,0,2,2,0.06,8
"Jeff Luckovitch",1983-08-24,"D","Sarnia Sting",63,0,2,2,0.03,13
"Kevin Dallman",1981-02-26,"D","Guelph Storm",67,0,2,2,0.03,2
"Malcolm Hutt",1982-05-31,"D","Belleville Bulls",68,0,2,2,0.03,6
"Marcus Smith",1983-01-14,"D","Kitchener Rangers",65,0,2,2,0.03,6
"Matt Coughlin",1981-11-06,"D","Belleville Bulls",68,0,2,2,0.03,15
"Rob Hennigar",1983-04-04,"C","Windsor Spitfires",67,0,2,2,0.03,4
"T.J. Reynolds",1981-03-26,"D","Mississauga IceDogs",46,0,2,2,0.04,20
"Tyler Hanchuck",1982-02-07,"D","Barrie Colts",64,0,2,2,0.03,13
"Bob McBride",1982-07-30,"C","Kingston Frontenacs",46,1,0,1,0.02,5
"Brent Hughes",1982-06-09,"RW","Brampton Battalion",68,1,0,1,0.01,4
"Brent Kelly",1981-12-01,"C","Sault Ste. Marie Greyhounds",67,1,0,1,0.01,1
"Chris Martin",1983-08-02,"D","Erie Otters",59,1,0,1,0.02,50
"Danny Bois",1983-06-01,"RW","London Knights",62,1,0,1,0.02,3
"David Bowman",1983-09-23,"D","Windsor Spitfires",68,1,0,1,0.01,4
"Gregory Campbell",1983-12-17,"C","Plymouth Whalers",65,1,0,1,0.02,2
"Jeff Szwez",1981-07-16,"RW","Kitchener Rangers",65,1,0,1,0.02,2
"Jimmy Gagnon",1982-09-16,"RW","Peterborough Petes",60,1,0,1,0.02,5
"John Kozoriz",1981-03-16,"C","Mississauga IceDogs",61,1,0,1,0.02,2
"John Winstanley",1983-06-03,"C","Sudbury Wolves",36,1,0,1,0.03,4
"Kurtis Foster",1981-11-24,"D","Peterborough Petes",33,1,0,1,0.03,7
"Kyle McAllister",1981-04-07,"C","Owen Sound Attack",35,1,0,1,0.03,3
"Malcolm MacMillan",1982-02-08,"C","Guelph Storm",58,1,0,1,0.02,3
"Mark Langdon",1983-03-12,"C","Barrie Colts",29,1,0,1,0.03,6
"Matthew Albiani",1983-02-14,"C","Ottawa 67's",67,1,0,1,0.01,2
"Matthew Stajan",1983-12-19,"LW","Belleville Bulls",68,1,0,1,0.01,1
"Mike Amodeo",1982-05-05,"LW","Kitchener Rangers",61,1,0,1,0.02,5
"Mike Barrett",1982-03-02,"D","Mississauga IceDogs",10,1,0,1,0.1,33
"Nick Lees",1983-10-22,"C","Barrie Colts",67,1,0,1,0.01,2
"Paul Giallonardo",1984-02-29,"D","Windsor Spitfires",55,1,0,1,0.02,6
"Rane Carnegie",1985-01-02,"C","Belleville Bulls",61,1,0,1,0.02,4
"Rob Shilton",1982-06-24,"C","Sudbury Wolves",39,1,0,1,0.03,6
"Russ Moyer",1982-08-09,"D","Ottawa 67's",68,1,0,1,0.01,3
"Ryan Bowness",1983-08-05,"LW","Brampton Battalion",66,1,0,1,0.02,6
"Ryan Rorabeck",1985-02-27,"C","Toronto St. Michael's Majors",61,1,0,1,0.02,7
"Tim Brent",1984-03-10,"C","Toronto St. Michael's Majors",61,1,0,1,0.02,2
"Tim Sestito",1984-08-28,"LW","Plymouth Whalers",51,1,0,1,0.02,5
"Tobias Whelan",1983-10-28,"C","Oshawa Generals",66,1,0,1,0.02,4
"Travis Chapman",1983-04-16,"D","Sudbury Wolves",66,1,0,1,0.02,4
"Trevor Blanchard",1983-06-06,"LW","Sudbury Wolves",54,1,0,1,0.02,3
"Agris Saviels",1982-01-15,"D","Owen Sound Attack",60,0,1,1,0.02,3
"Brad Woods",1981-03-04,"D","Kitchener Rangers",19,0,1,1,0.05,17
"Brandon Cullen",1981-03-05,"RW","Erie Otters",59,0,1,1,0.02,2
"Bryan Thompson",1982-03-16,"RW","London Knights",45,0,1,1,0.02,10
"Chris Campoli",1984-07-09,"D","Erie Otters",68,0,1,1,0.01,4
"Chris Rowan",1982-07-12,"LW","Brampton Battalion",63,0,1,1,0.02,2
"Corey Perry",1985-05-16,"RW","London Knights",60,0,1,1,0.02,2
"Daniel Paille",1984-04-15,"C","Guelph Storm",62,0,1,1,0.02,2
"Darryl Lloyd",1984-02-10,"C","Windsor Spitfires",64,0,1,1,0.02,7
"David Dalliday",1982-05-06,"D","Owen Sound Attack",58,0,1,1,0.02,11
"Drew Fata",1983-07-28,"D","Toronto St. Michael's Majors",67,0,1,1,0.01,4
"Eric Larochelle",1984-07-07,"D","Guelph Storm",64,0,1,1,0.02,10
"Greg Chambers",1982-11-14,"RW","Peterborough Petes",67,0,1,1,0.01,1
"Ian Turner",1981-10-13,"D","London Knights",57,0,1,1,0.02,8
"James Edgar",1983-04-30,"C","Peterborough Petes",54,0,1,1,0.02,12
"James Wisniewski",1984-02-24,"D","Plymouth Whalers",62,0,1,1,0.02,3
"Jan Platil",1983-02-09,"D","Barrie Colts",68,0,1,1,0.01,2
"Jared Newman",1982-03-07,"D","Plymouth Whalers",60,0,1,1,0.02,6
"Jay Harrison",1982-11-03,"D","Brampton Battalion",61,0,1,1,0.02,2
"John Eminger",1981-06-30,"D","Mississauga IceDogs",58,0,1,1,0.02,5
"John Jarram",1982-07-26,"D","Sarnia Sting",48,0,1,1,0.02,10
"John Scott Dickson",1984-04-10,"LW","Windsor Spitfires",68,0,1,1,0.01,3
"Josh Legge",1981-09-25,"D","Sudbury Wolves",50,0,1,1,0.02,11
"Karl Stewart",1983-06-30,"C","Plymouth Whalers",65,0,1,1,0.02,2
"Ladislav Kolda",1983-10-16,"D","Owen Sound Attack",66,0,1,1,0.02,3
"Nathan Horton",1985-05-02,"C","Oshawa Generals",64,0,1,1,0.02,1
"Nathan O'Nabigon",1983-05-09,"LW","Mississauga IceDogs",66,0,1,1,0.02,5
"Petr Taticek",1983-09-22,"C","Sault Ste. Marie Greyhounds",60,0,1,1,0.02,2
"Riley Moher",1982-06-27,"D","Sarnia Sting",68,0,1,1,0.01,11
"Ryan Card",1984-02-18,"D","Peterborough Petes",66,0,1,1,0.02,5
"Ryan Courtney",1982-03-08,"C","Owen Sound Attack",65,0,1,1,0.02,3
"Ryan Donally",1985-02-04,"LW","Windsor Spitfires",53,0,1,1,0.02,8
"Ryan Hare",1982-04-03,"C","Sarnia Sting",58,0,1,1,0.02,4
"Scott Sheppard",1983-09-28,"RW","Ottawa 67's",60,0,1,1,0.02,2
"Sean Dixon",1981-02-22,"D","London Knights",60,0,1,1,0.02,7
"Sean Scully",1983-01-13,"RW","Ottawa 67's",59,0,1,1,0.02,5
"Shandor Alphonso",1984-05-24,"LW","Sudbury Wolves",58,0,1,1,0.02,6
"Steve Hildenbrand",1981-03-10,"C","Windsor Spitfires",43,0,1,1,0.02,2
"Travis Parent",1983-08-15,"D","Mississauga IceDogs",67,0,1,1,0.01,11
"Trevor Daley",1983-10-09,"D","Sault Ste. Marie Greyhounds",47,0,1,1,0.02,2
"Aaron Dawson",1985-03-11,"D","Peterborough Petes",5,0,0,0,0,NA
"Aaron Lobb",1983-06-10,"RW","Guelph Storm",17,0,0,0,0,0
"Aaron Power",1982-02-04,"D","Barrie Colts",66,0,0,0,0,0
"Aaron Van Leusen",1981-10-28,"RW","Brampton Battalion",31,0,0,0,0,0
"Adam Chapman",1982-03-27,"LW","Ottawa 67's",65,0,0,0,0,0
"Adam Elzinga",1982-07-23,"D","Peterborough Petes",68,0,0,0,0,0
"Adam Fabiano",1984-06-26,"C","North Bay Centennials",12,0,0,0,0,0
"Adam Henrich",1984-01-19,"LW","Brampton Battalion",66,0,0,0,0,0
"Adam Keefe",1984-04-26,"RW","Kitchener Rangers",65,0,0,0,0,0
"Adam Smyth",1983-09-08,"D","Ottawa 67's",50,0,0,0,0,0
"Adam Sturgeon",1984-03-19,"D","Mississauga IceDogs",59,0,0,0,0,0
"Ahren Nittel",1983-12-06,"LW","Windsor Spitfires",52,0,0,0,0,0
"Alan Nolan",1983-07-06,"LW","Sault Ste. Marie Greyhounds",60,0,0,0,0,0
"Alex Butkus",1984-01-19,"LW","Guelph Storm",49,0,0,0,0,0
"Alex Karaulchuk",1983-07-27,"C","Erie Otters",59,0,0,0,0,0
"Alex MacDonell",1983-08-13,"D","North Bay Centennials",48,0,0,0,0,0
"Alex Vasserman",1983-10-07,"LW","Peterborough Petes",1,0,0,0,0,NA
"Alex White",1983-02-03,"LW","London Knights",30,0,0,0,0,0
"Andre Deveaux",1984-02-23,"RW","Belleville Bulls",64,0,0,0,0,0
"Andre Robichaud",1981-04-16,"D","Sarnia Sting",40,0,0,0,0,0
"Andrew Archer",1983-05-15,"D","Guelph Storm",58,0,0,0,0,0
"Andrew Brown",1983-07-05,"RW","Belleville Bulls",60,0,0,0,0,0
"Andrey Mikhnov",1983-11-26,"LW","Sudbury Wolves",67,0,0,0,0,0
"Anthony Butera",1984-09-14,"D","Sarnia Sting",62,0,0,0,0,0
"Anton Lavrentiev",1983-08-25,"D","Sudbury Wolves",10,0,0,0,0,NA
