"Name","Rookie","BD","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","GWG","ENG","PIM"
"Serron Noel","NO",2000-08-08,"6.06",216,"RW","Oshawa Generals",5,0,1,1,0.2,0,0,0,0,0,0,12
"Aidan Brown","NO",1999-09-23,"6.01",185,"RW","Barrie Colts",1,0,0,0,0,-1,0,0,0,0,0,0
"Alec Regula","YES",2000-08-06,"6.04",207,"D","London Knights",4,0,0,0,0,-1,0,0,0,0,0,2
"Billy Moskal","YES",2000-03-22,"6.00",192,"C","London Knights",4,0,0,0,0,-7,0,0,0,0,0,2
"Brett Jacklin","YES",2000-02-21,"6.01",185,"RW","Sault Ste. Marie Greyhounds",11,0,0,0,0,0,0,0,0,0,0,2
"Bryan Laureigh","YES",2000-06-16,"5.11",213,"LW","Kingston Frontenacs",1,0,0,0,0,0,0,0,0,0,0,0
"Caleb Everett","YES",2000-01-20,"6.02",185,"D","Saginaw Spirit",4,0,0,0,0,-5,0,0,0,0,0,2
"Emmett Gordon","NO",2000-01-31,"5.11",178,"D","Kingston Frontenacs",2,0,0,0,0,0,0,0,0,0,0,0
"Holden Wale","YES",2000-07-28,"6.00",182,"D","Sault Ste. Marie Greyhounds",6,0,0,0,0,0,0,0,0,0,0,0
"Isaac Walker","YES",2000-03-16,"6.01",200,"D","Mississauga Steelheads",6,0,0,0,0,1,0,0,0,0,0,2
"Joseph Rupoli","YES",2000-05-24,"6.04",215,"D","Oshawa Generals",1,0,0,0,0,0,0,0,0,0,0,0
"Kevin Bahl","NO",2000-06-27,"6.07",240,"D","Ottawa 67's",5,0,0,0,0,-1,0,0,0,0,0,4
"Kody Clark","NO",1999-10-13,"6.02",185,"RW","Ottawa 67's",5,0,0,0,0,-4,0,0,0,0,0,2
"Luke Moncada","NO",2000-05-29,"6.01",208,"C","North Bay Battalion",5,0,0,0,0,-2,0,0,0,0,0,2
"Marino Moro","YES",2000-02-03,"5.10",155,"LW","Owen Sound Attack",1,0,0,0,0,0,0,0,0,0,0,0
"Mathew MacDougall","YES",2000-01-23,"5.10",166,"LW","Windsor Spitfires",6,0,0,0,0,-3,0,0,0,0,0,4
"Merrick Rippon","YES",2000-04-27,"6.01",192,"D","Ottawa 67's",5,0,0,0,0,-2,0,0,0,0,0,8
"Michael Little","NO",2000-02-21,"6.00",196,"LW","Mississauga Steelheads",6,0,0,0,0,0,0,0,0,0,0,6
"Mitchell Hewitson","YES",2000-05-11,"6.05",218,"LW","Oshawa Generals",1,0,0,0,0,0,0,0,0,0,0,0
"Nicholas Canade","YES",2000-03-07,"5.09",160,"LW","Mississauga Steelheads",6,0,0,0,0,-2,0,0,0,0,0,2
"Nico Gross","YES",2000-01-26,"6.02",181,"D","Oshawa Generals",5,0,0,0,0,-3,0,0,0,0,0,15
"Patrick Brown","YES",2000-03-21,"6.02",193,"RW","North Bay Battalion",5,0,0,0,0,-2,0,0,0,0,0,0
"Paul Larabie","YES",2000-01-28,"6.01",194,"C","Kingston Frontenacs",2,0,0,0,0,0,0,0,0,0,0,0
"Quinn Yule","YES",2000-01-06,"6.06",215,"LW","Ottawa 67's",5,0,0,0,0,-1,0,0,0,0,0,4
"Travis Mailhot","YES",2000-01-17,"6.05",228,"D","North Bay Battalion",5,0,0,0,0,1,0,0,0,0,0,0
"Zack Trott","YES",2000-05-10,"5.10",181,"LW","Sault Ste. Marie Greyhounds",22,0,0,0,0,1,0,0,0,0,0,2
