"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Brock Baier","6.04",227,"Windsor Spitfires",1999-04-20,1,11,11,1,44.05,0,0,0,0,0,0,0,0,0,0,0
"Brendan Bonello","6.01",206,"Kingston Frontenacs",1999-04-01,1,14,14,1,29.02,0,0,0,0,0,0,0,0,0,0,2
"Luke Richardson","6.03.",174,"Kitchener Rangers",1999-05-28,1,5,6,0.833,13.16,1,2.19,0,0,1,0,1,0,0,0,0
"Cedrick Andree","5.10",169,"Ottawa 67's",2000-06-07,2,28,30,0.933,35.43,2,2.36,0,0,0,0,0,0,0,0,0
"Kaden Fulcher","6.03",182,"Hamilton Bulldogs",1998-09-23,21,553,611,0.905,28.41,58,2.7,0,16,3,2,5,0,0,0,0
"Mario Culina","6.02",184,"Kitchener Rangers",1997-06-12,19,598,652,0.917,33.68,54,2.79,1,11,5,2,7,0,0,0,0
"Stephen Dhillon","6.05",203,"Niagara IceDogs",1998-09-14,10,353,382,0.924,36.9,29,2.8,0,5,3,2,5,0,0,0,4
"Michael DiPietro","6.00",205,"Windsor Spitfires",1999-06-09,6,226,242,0.934,42.51,16,2.81,0,2,4,0,4,0,0,0,0
"Kai Edmonds","6.03",174,"Barrie Colts",2000-07-27,1,20,22,0.909,33,2,3,0,0,0,0,0,0,0,0,0
"Justin Fazio","6.01",189,"Sarnia Sting",1997-05-03,12,298,335,0.89,27.56,37,3.04,0,6,5,1,6,0,0,0,0
"Jeremy Helvig","6.04",210,"Kingston Frontenacs",1997-05-25,16,500,550,0.909,33.63,50,3.06,0,9,6,1,7,0,0,0,0
"Olivier Lafreniere","6.01",195,"Owen Sound Attack",1998-06-08,10,225,252,0.893,29.27,27,3.14,0,6,2,1,3,0,0,0,4
"Mack Guzda","6.05",205,"Owen Sound Attack",2001-01-11,3,61,69,0.884,28.45,8,3.3,0,1,1,0,1,0,0,0,0
"Matthew Villalta","6.04",186,"Sault Ste. Marie Greyhounds",1999-06-03,24,654,732,0.893,31.01,78,3.3,1,14,7,2,9,0,0,0,0
"Leo Lazarev","5.10",161,"Barrie Colts",1997-07-27,12,387,425,0.911,37.73,38,3.37,0,6,6,0,6,0,0,0,2
"Christian Propp","6.02",192,"North Bay Battalion",1999-03-27,5,179,200,0.895,34.12,21,3.58,0,1,3,1,4,0,0,0,0
"Joseph Raaymakers","6.01",186,"London Knights",1998-03-17,4,157,172,0.913,42.37,15,3.69,0,0,2,2,4,0,0,0,0
"Jacob Ingham","6.04.",198,"Mississauga Steelheads",2000-06-10,5,134,154,0.87,30.97,20,4.02,0,2,2,1,3,0,0,0,0
"Kyle Keyser","6.02",186,"Oshawa Generals",1999-03-08,5,157,178,0.882,35.94,21,4.24,0,1,4,0,4,0,0,0,0
"Emanuel Vella","6.04",195,"Mississauga Steelheads",1998-08-08,1,30,35,0.857,35.29,5,5.04,0,0,1,0,1,0,0,0,0
"Tyler Johnson","6.04",183,"Sault Ste. Marie Greyhounds",1998-02-07,2,33,39,0.846,35.49,6,5.46,0,0,1,0,1,0,0,0,0
"Anthony Popovich","6.02",197,"Guelph Storm",1999-08-01,6,182,211,0.863,39.95,29,5.49,0,2,4,0,4,0,0,0,0
"Olivier Tremblay","5.11",187,"Ottawa 67's",1997-08-20,5,103,126,0.817,30.82,23,5.63,0,1,4,0,4,0,0,0,0
"Nico Daws","6.04",202,"Guelph Storm",2000-12-22,2,19,23,0.826,34.5,4,6,0,0,0,0,0,0,0,0,0
"Evan Cormier","6.03",200,"Saginaw Spirit",1997-11-06,4,122,146,0.836,36.5,24,6,0,0,4,0,4,0,0,0,0
