"Name","BD","Pos","Team","GP","SHG","SHA","SHPTS","SHPTS/G","SHPTS%"
"Wojtek Wolski",1986-02-24,"LW","Brampton Battalion",56,6,5,11,0.2,9
"Kevin Baker",1987-03-27,"C","Sudbury Wolves",68,7,3,10,0.15,16
"Nick Foligno",1987-10-31,"C","Sudbury Wolves",65,5,4,9,0.14,13
"Benoit Pouliot",1986-09-29,"LW","Sudbury Wolves",51,5,3,8,0.16,12
"Vince Scott",1986-05-21,"LW","Erie Otters",67,5,2,7,0.1,19
"Bryan Little",1987-11-12,"C","Barrie Colts",64,3,4,7,0.11,6
"Justin Donati",1986-10-17,"C","Toronto St. Michael's Majors",62,3,4,7,0.11,6
"Jordan Foreman",1987-01-06,"C","London Knights",68,6,0,6,0.09,11
"Michael Blunden",1986-12-15,"RW","Erie Otters",60,4,2,6,0.1,7
"Chris Hulit",1985-01-15,"RW","Ottawa 67's",67,5,0,5,0.07,6
"David Bolland",1986-06-05,"RW","London Knights",59,5,0,5,0.08,4
"Ryan Callahan",1985-03-21,"RW","Guelph Storm",62,5,0,5,0.08,6
"Tyler Haskins",1986-05-26,"C","Toronto St. Michael's Majors",56,5,0,5,0.09,7
"Aaron Snow",1988-05-20,"LW","Brampton Battalion",68,4,1,5,0.07,7
"Evan McGrath",1986-01-14,"C","Kitchener Rangers",67,4,1,5,0.07,4
"Harrison Reed",1988-01-18,"RW","Sarnia Sting",68,3,2,5,0.07,10
"Hunter Tremblay",1986-01-15,"LW","Barrie Colts",68,3,2,5,0.07,6
"Logan Couture",1989-03-28,"C","Ottawa 67's",65,3,2,5,0.08,8
"Jordan Staal",1988-09-10,"C","Peterborough Petes",68,2,3,5,0.07,7
"Michal Birner",1986-03-02,"RW","Saginaw Spirit",60,2,3,5,0.08,6
"Cal O'Reilly",1986-09-30,"C","Windsor Spitfires",68,1,4,5,0.07,5
"Julian Talbot",1985-03-24,"C","Ottawa 67's",65,1,4,5,0.08,6
"Andrew Hotham",1986-08-29,"D","Erie Otters",60,0,5,5,0.08,10
"John Tavares",1990-09-20,"C","Oshawa Generals",65,4,0,4,0.06,5
"Anton Hedman",1986-05-15,"RW","Sudbury Wolves",60,3,1,4,0.07,12
"Brett Liscomb",1986-01-28,"LW","Ottawa 67's",67,3,1,4,0.06,9
"Cal Clutterbuck",1987-11-18,"","Toronto St. Michael's Majors",66,3,1,4,0.06,6
"Derrick Bagshaw",1986-05-05,"LW","Erie Otters",63,3,1,4,0.06,22
"John Vigilante",1985-05-24,"LW","Plymouth Whalers",55,3,1,4,0.07,5
"Luch Aquino",1985-01-26,"RW","Brampton Battalion",32,3,1,4,0.12,6
"Mark O'Leary",1985-01-21,"LW","Guelph Storm",66,3,1,4,0.06,19
"Patrick Asselin",1987-07-02,"LW","Saginaw Spirit",68,3,1,4,0.06,9
"Daniel Ryder",1987-01-12,"C","Peterborough Petes",65,2,2,4,0.06,5
"Jeff Kyrzakos",1985-02-06,"RW","Owen Sound Attack",64,2,2,4,0.06,5
"Justin Azevedo",1988-04-01,"C","Kitchener Rangers",60,2,2,4,0.07,6
"Peter Tsimikalis",1986-01-10,"C","Oshawa Generals",64,2,2,4,0.06,4
"Todd Griffith",1985-01-27,"LW","Kingston Frontenacs",55,2,2,4,0.07,7
"Andrew Desjardins",1986-07-27,"C","Sault Ste. Marie Greyhounds",66,1,3,4,0.06,14
"Jeff Leavitt",1986-04-16,"LW","Belleville Bulls",68,1,3,4,0.06,17
"Liam Reddox",1986-01-27,"LW","Peterborough Petes",68,1,3,4,0.06,6
"Matt Pepe",1987-02-22,"D","Kitchener Rangers",62,1,3,4,0.06,29
"Mickey Renaud",1988-10-05,"C","Windsor Spitfires",68,1,3,4,0.06,15
"Mike Roelofsen",1987-03-19,"C","Barrie Colts",68,1,3,4,0.06,13
"Sean O'Connor",1987-01-31,"RW","Erie Otters",68,1,3,4,0.06,7
"Adam Berti",1986-07-01,"LW","Erie Otters",62,3,0,3,0.05,5
"Andrew Gibbons",1986-08-12,"RW","Belleville Bulls",40,3,0,3,0.07,9
"Cory Emmerton",1988-06-01,"C","Kingston Frontenacs",66,3,0,3,0.05,3
"Jamie Tardif",1985-01-23,"RW","Peterborough Petes",62,3,0,3,0.05,4
"Jason Pitton",1986-05-23,"LW","Guelph Storm",68,3,0,3,0.04,7
"Jesse Gimblett",1985-01-04,"LW","Saginaw Spirit",66,3,0,3,0.05,6
"Patrick Davis",1986-12-28,"LW","Windsor Spitfires",60,3,0,3,0.05,4
"Chris Greene",1985-09-24,"RW","Erie Otters",61,2,1,3,0.05,8
"Chris Stewart",1987-10-30,"RW","Kingston Frontenacs",62,2,1,3,0.05,3
"David Pszenyczny",1985-02-18,"D","Barrie Colts",58,2,1,3,0.05,6
"Graham McNabb",1987-02-23,"C","Brampton Battalion",68,2,1,3,0.04,18
"Jamie Fraser",1985-11-17,"D","Sarnia Sting",65,2,1,3,0.05,7
"Justin DiBenedetto",1988-08-25,"C","Toronto St. Michael's Majors",61,2,1,3,0.05,10
"Matthew Bragg",1987-06-12,"C","Barrie Colts",54,2,1,3,0.06,18
