"Name","Rookie","BD","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","GWG","ENG","PIM"
"Cole Beaudoin","NO",2006-04-24,"6.02",211,"C","Barrie Colts",4,4,4,8,2,5,1,1,2,1,1,0
"Luke Misa","NO",2005-11-25,"5.10",176,"C","Mississauga Steelheads",6,3,5,8,1.33,5,0,1,1,0,0,0
"Liam Greentree","NO",2006-01-01,"6.03",216,"RW","Windsor Spitfires",5,3,4,7,1.4,-2,2,1,3,0,0,0
"Kevin He","NO",2006-04-30,"6.00",182,"LW","Niagara IceDogs",5,3,2,5,1,-1,1,1,2,1,0,4
"Riley Patterson","YES",2006-03-22,"6.00 ",194,"C","Barrie Colts",4,3,2,5,1.25,1,2,0,2,0,0,0
"Marek Vanacker","NO",2006-04-12,"6.01",188,"LW","Brantford Bulldogs",6,4,0,4,0.67,2,0,0,0,0,1,2
"Dennis Lominac","YES",2006-01-11,"5.10",168,"LW","Sarnia Sting",5,3,1,4,0.8,0,1,0,1,0,0,4
"Leo Serlin","YES",2006-01-20,"6.00",190,"RW","Guelph Storm",6,3,1,4,0.67,1,0,0,0,0,0,0
"Tate Vader","YES",2006-01-09,"5.11",187,"C","Soo Greyhounds",4,3,1,4,1,3,0,1,1,0,0,2
"Jett Luchanko","NO",2006-08-21,"5.11",191,"C","Guelph Storm",2,1,3,4,2,0,1,2,3,0,0,0
"Sam O'Reilly","NO",2006-03-30,"6.01",190,"RW","London Knights",4,1,3,4,1,-1,1,1,2,0,0,4
"Jakub Fibigr","YES",2006-07-22,"6.01",195,"D","Mississauga Steelheads",6,0,4,4,0.67,3,0,1,1,0,0,2
"Lukas Fischer","NO",2006-09-09,"6.03",184,"D","Sarnia Sting",5,0,4,4,0.8,0,0,4,4,0,0,2
"Sam McCue","NO",2005-10-03,"6.02",200,"RW","Peterborough Petes",5,3,0,3,0.6,-3,2,0,2,0,0,6
"William Eggleton","YES",2006-02-19,"5.11",180,"LW","Mississauga Steelheads",6,3,0,3,0.5,3,0,0,0,0,0,0
"Brody Partridge","YES",2006-09-14,"5.11",194,"C","Peterborough Petes",5,2,1,3,0.6,1,0,0,0,0,0,5
"Charlie Paquette","NO",2005-12-06,"6.02",207,"RW","Guelph Storm",6,2,1,3,0.5,-1,0,0,0,1,0,2
"Jack Van Volsen","NO",2006-01-12,"6.02",190,"C","Mississauga Steelheads",6,2,1,3,0.5,-1,0,0,0,0,0,2
"Mason Zebeski","NO",2005-10-04,"6.02",197,"LW","Mississauga Steelheads",6,2,1,3,0.5,-2,0,0,0,0,0,4
"Tyler Graham","NO",2006-08-10,"5.10",192,"LW","Oshawa Generals",3,2,1,3,1,-3,1,1,2,0,0,2
"Brennan Faulkner","NO",2005-12-28,"6.00",176,"LW","Peterborough Petes",5,1,2,3,0.6,2,0,0,0,0,0,2
"Carson Woodall","YES",2006-05-25,"5.11",179,"D","Windsor Spitfires",5,1,2,3,0.6,-1,1,2,3,0,0,4
"Luke Ellinas","YES",2006-03-12,"6.01",186,"LW","Kitchener Rangers",6,1,2,3,0.5,3,0,0,0,0,0,0
"Nathan Aspinall","NO",2006-03-30,"6.07",207,"LW","Flint Firebirds",4,1,2,3,0.75,0,0,0,0,0,0,2
"Zayne Parekh","NO",2006-02-15,"6.00",185,"D","Saginaw Spirit",3,1,2,3,1,0,1,1,2,0,0,4
"Henry Mews","NO",2006-03-09,"6.01",183,"D","Ottawa 67's",3,0,3,3,1,2,0,1,1,0,0,2
"Kieron Walton","NO",2006-04-22,"6.06",227,"LW","Sudbury Wolves",4,0,3,3,0.75,2,0,2,2,0,0,4
"Luca Marrelli","NO",2005-10-04,"6.02",185,"D","Oshawa Generals",4,0,3,3,0.75,-1,0,2,2,0,0,0
"Beckett Sennecke","NO",2006-01-28,"6.04",195,"RW","Oshawa Generals",3,2,0,2,0.67,1,0,0,0,0,0,2
"Charlie Hilton","YES",2006-09-15,"6.05",219,"LW","Ottawa 67's",4,2,0,2,0.5,-1,1,0,1,0,1,9
"Bode Stewart","NO",2006-02-09,"6.01",190,"LW","Barrie Colts",4,1,1,2,0.5,-1,0,0,0,0,0,0
"Brett Hammond","YES",2006-09-08,"6.03",198,"RW","Erie Otters",6,1,1,2,0.33,-2,0,0,0,0,0,2
"Dylan Richter","YES",2006-07-11,"5.08",185,"C","North Bay Battalion",4,1,1,2,0.5,2,0,0,0,0,0,0
"Ethan Toms","YES",2006-01-19,"5.11",186,"C","Oshawa Generals",4,1,1,2,0.5,-9,0,0,0,0,0,6
"Frankie Marrelli","NO",2006-02-16,"5.11",187,"D","Ottawa 67's",3,1,1,2,0.67,3,0,0,0,0,0,5
"Josh Brady","YES",2006-01-11,"6.01",185,"D","Ottawa 67's",3,1,1,2,0.67,0,1,0,1,0,0,0
"MacGregor Richmond","YES",2006-08-06,"5.09",180,"RW","Mississauga Steelheads",6,1,1,2,0.33,-3,0,0,0,0,0,2
"Matthew Virgilio","NO",2006-03-24,"5.11",200,"D","Soo Greyhounds",4,1,1,2,0.5,3,1,1,2,0,0,4
"Rowan Topp","YES",2006-04-02,"6.02",201,"D","Guelph Storm",4,1,1,2,0.5,1,0,0,0,0,0,0
"Ben Danford","NO",2006-02-06,"6.02",200,"D","Oshawa Generals",3,0,2,2,0.67,-1,0,0,0,0,0,0
"Caden Kelly","NO",2006-01-15,"5.11",198,"RW","Ottawa 67's",4,0,2,2,0.5,-2,0,1,1,0,0,2
"Callum Cheynowski","NO",2006-08-04,"6.00",195,"D","Brantford Bulldogs",6,0,2,2,0.33,-1,0,0,0,0,0,0
"Dylan Woulds","YES",2006-03-28,"6.00",196,"D","Peterborough Petes",5,0,2,2,0.4,-1,0,0,0,0,0,2
"Justin Bottineau","NO",2006-01-11,"6.00",168,"RW","Kitchener Rangers",6,0,2,2,0.33,-3,0,0,0,0,0,4
"Lucas Di Giantommaso","NO",2005-11-14,"6.00",178,"RW","Sudbury Wolves",4,0,2,2,0.5,0,0,0,0,0,0,0
"Nathan Omeri","YES",2006-06-15,"5.11",175,"D","Sarnia Sting",4,0,2,2,0.5,2,0,1,1,0,0,2
"Nathan Villeneuve","NO",2006-04-13,"6.00",195,"C","Sudbury Wolves",2,0,2,2,1,0,0,2,2,0,0,7
"Nolan Ling","NO",2005-12-11,"5.11",161,"D","Kingston Frontenacs",4,0,2,2,0.5,-1,0,0,0,0,0,0
"Owen Protz","YES",2006-02-07,"6.02",207,"D","Sudbury Wolves",4,0,2,2,0.5,-3,0,2,2,0,0,2
"Parker von Richter","NO",2006-05-17,"6.01",195,"D","Mississauga Steelheads",5,0,2,2,0.4,-1,0,0,0,0,0,0
"Zackary Sandhu","NO",2005-12-20,"6.02",206,"D","Guelph Storm",6,0,2,2,0.33,-2,0,0,0,0,0,6
"Braydon McCallum","YES",2006-05-03,"5.10",192,"RW","Peterborough Petes",5,1,0,1,0.2,-1,0,0,0,1,1,10
"Christopher Brown","NO",2006-01-27,"5.11",183,"C","Soo Greyhounds",4,1,0,1,0.25,-1,0,0,0,0,0,4
"Georgy Toroptsev","YES",2006-04-22,"6.00",187,"LW","Erie Otters",5,1,0,1,0.2,-1,0,0,0,0,0,9
"Jakub Chromiak","NO",2005-11-02,"5.11",183,"D","Sudbury Wolves",3,1,0,1,0.33,-1,1,0,1,0,0,0
"Noah Roberts","NO",2005-12-02,"6.01",199,"D","Brantford Bulldogs",4,1,0,1,0.25,1,0,0,0,0,0,2
"Sam Ethier","YES",2006-08-09,"6.00",192,"D","Owen Sound Attack",4,1,0,1,0.25,-1,0,0,0,0,0,0
"AJ Spellacy","NO",2006-02-24,"6.03",204,"C","Windsor Spitfires",3,0,1,1,0.33,-2,0,0,0,0,0,0
"Alex Kostov","NO",2006-06-03,"6.04",208,"RW","Soo Greyhounds",3,0,1,1,0.33,-2,0,0,0,0,0,11
"Antonio Tersigni","NO",2006-05-03,"5.11",172,"C","Owen Sound Attack",4,0,1,1,0.25,0,0,0,0,0,0,0
"Brodie McConnell-Barker","NO",2006-01-31,"6.00",188,"D","Soo Greyhounds",4,0,1,1,0.25,2,0,0,0,0,0,2
"Caeden Heins","NO",2006-02-06,"6.00",182,"LW","Oshawa Generals",3,0,1,1,0.33,-2,0,0,0,0,0,2
"Cameron Bergeron","NO",2006-04-16,"5.11",181,"D","Kingston Frontenacs",4,0,1,1,0.25,-3,0,0,0,0,0,0
"Carson Campbell","NO",2006-06-08,"6.01",180,"D","Kitchener Rangers",4,0,1,1,0.25,3,0,0,0,0,0,2
"Carter Lowe","NO",2006-03-01,"6.03",220,"LW","Barrie Colts",4,0,1,1,0.25,1,0,0,0,0,0,2
"Conor Walton","YES",2006-04-22,"6.05",207,"D","Sudbury Wolves",4,0,1,1,0.25,-1,0,0,0,0,0,5
"Grayden Strohack","YES",2006-06-09,"6.04",203,"D","Flint Firebirds",4,0,1,1,0.25,6,0,0,0,0,0,11
"Jacob Battaglia","NO",2006-03-17,"6.01",202,"RW","Kingston Frontenacs",5,0,1,1,0.2,-4,0,1,1,0,0,2
"Liam Storch","NO",2006-01-20,"5.09",160,"RW","Saginaw Spirit",4,0,1,1,0.25,-5,0,1,1,0,0,0
"Masen Wray","NO",2006-05-15,"6.04",194,"C","Brantford Bulldogs",6,0,1,1,0.17,-3,0,0,0,0,0,0
"Mason Taylor","YES",2006-02-23,"5.11",159,"D","Flint Firebirds",3,0,1,1,0.33,1,0,0,0,0,0,2
"Mike Levin","NO",2005-10-16,"5.08",158,"LW","Niagara IceDogs",4,0,1,1,0.25,-3,0,0,0,0,0,0
"Nicholas Holomego","YES",2006-05-19,"6.05",203,"D","Erie Otters",5,0,1,1,0.2,5,0,0,0,0,0,2
"Sam Dickinson","NO",2006-06-07,"6.03",210,"D","London Knights",4,0,1,1,0.25,2,0,1,1,0,0,0
"Sean Doherty","YES",2006-03-23,"6.01",185,"RW","Sarnia Sting",4,0,1,1,0.25,2,0,0,0,0,0,7
"Trevor O’Dell","YES",2006-07-17,"6.04",180,"D","Windsor Spitfires",5,0,1,1,0.2,-7,0,1,1,0,0,4
"Ty Henry","YES",2006-07-19,"6.04",201,"D","Erie Otters",6,0,1,1,0.17,5,0,0,0,0,0,9
"Vann Williamson","NO",2006-07-19,"6.02",196,"D","Kingston Frontenacs",5,0,1,1,0.2,-3,0,0,0,0,0,0
"William Haley","NO",2005-10-15,"6.00",177,"D","Mississauga Steelheads",4,0,1,1,0.25,2,0,0,0,0,0,6
"Adriano Tonin","NO",2005-11-02,"6.00",191,"LW","Windsor Spitfires",2,0,0,0,0,0,0,0,0,0,0,0
"Andrew Vermeulen","NO",2006-02-07,"6.02",200,"RW","Niagara IceDogs",3,0,0,0,0,0,0,0,0,0,0,0
"Ben Cormier","NO",2006-07-20,"6.00",180,"C","Owen Sound Attack",4,0,0,0,0,-4,0,0,0,0,0,2
"Brayden Turley","NO",2006-08-08,"6.01",195,"D","North Bay Battalion",4,0,0,0,0,-6,0,0,0,0,0,6
"Braydon Bruce","YES",2006-05-11,"6.05",212,"D","Sudbury Wolves",4,0,0,0,0,1,0,0,0,0,0,0
"Carson Hall","YES",2006-04-29,"6.02",190,"LW","Sarnia Sting",5,0,0,0,0,0,0,0,0,0,0,0
"Christopher Thibodeau","NO",2005-10-13,"5.10",170,"RW","Kingston Frontenacs",5,0,0,0,0,-2,0,0,0,0,0,2
"Daniel Chen","YES",2006-08-04,"6.05",196,"D","Brantford Bulldogs",6,0,0,0,0,4,0,0,0,0,0,8
"Ethan Procyszyn","NO",2006-07-11,"6.03",192,"RW","North Bay Battalion",3,0,0,0,0,-2,0,0,0,0,0,6
"Evan Van Gorp","YES",2006-05-18,"5.11",180,"LW","London Knights",3,0,0,0,0,-1,0,0,0,0,0,0
"Fraser McDonell","YES",2006-03-02,"6.06",220,"D","Oshawa Generals",2,0,0,0,0,-4,0,0,0,0,0,4
"Jack Brauti","YES",2006-05-24,"6.00",165,"D","Barrie Colts",2,0,0,0,0,-5,0,0,0,0,0,0
"Jacob Therrien","NO",2006-02-08,"5.08",165,"LW","North Bay Battalion",2,0,0,0,0,-2,0,0,0,0,0,0
"Jared Woolley","YES",2006-02-27,"6.05",215,"D","London Knights",3,0,0,0,0,-1,0,0,0,0,0,0
"Jonathon Pylypuik","NO",2006-03-25,"6.00",160,"C","Oshawa Generals",4,0,0,0,0,-5,0,0,0,0,0,2
"Liam Spencer","YES",2006-01-19,"6.05",220,"D","Mississauga Steelheads",4,0,0,0,0,0,0,0,0,0,0,5
"Lincoln Moore","NO",2005-09-21,"6.02",215,"RW","Saginaw Spirit",4,0,0,0,0,-6,0,0,0,0,0,4
"Lucas Rodriguez","NO",2006-04-26,"6.02",192,"D","Oshawa Generals",4,0,0,0,0,-6,0,0,0,0,0,0
"Matthew Jenken","NO",2005-10-12,"6.04",202,"D","Flint Firebirds",2,0,0,0,0,-3,0,0,0,0,0,4
"Nathan Leek","NO",2005-09-16,"6.01",195,"LW","Peterborough Petes",3,0,0,0,0,-3,0,0,0,0,0,0
"Nolan Laird","YES",2006-01-04,"6.01",200,"C","North Bay Battalion",4,0,0,0,0,-7,0,0,0,0,0,4
"Reed Gee","NO",2006-03-12,"6.00",185,"D","Flint Firebirds",4,0,0,0,0,-3,0,0,0,0,0,11
"Rene Van Bommel","YES",2006-05-14,"5.11",181,"LW","London Knights",3,0,0,0,0,-1,0,0,0,0,0,2
"Ryder Boulton","YES",2006-06-21,"5.10",195,"LW","London Knights",4,0,0,0,0,-3,0,0,0,0,0,14
"Spencer Evans","NO",2006-05-12,"6.01",198,"D","Soo Greyhounds",1,0,0,0,0,-1,0,0,0,0,0,0
"Tyson Rismond","YES",2006-03-30,"6.02",187,"D","North Bay Battalion",4,0,0,0,0,0,0,0,0,0,0,6
