"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Brendan Burke","6.04",194,"London Knights",1995-03-11,1,3,3,1,53.73,0,0,0,0,0,0,0,0,0,0,0
"Stephen Dhillon","6.05",203,"Niagara IceDogs",1998-09-14,1,2,2,1,7.96,0,0,0,0,0,0,0,0,0,0,0
"Jake Kment","6.02",195,"North Bay Battalion",1996-03-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cameron Zanussi","6.01",165,"Saginaw Spirit",1996-04-21,2,26,28,0.929,23.95,2,1.71,0,0,1,0,1,0,0,0,0
"Tyler Parsons","6.01",193,"London Knights",1997-09-18,18,481,520,0.925,28.72,39,2.15,1,16,1,1,2,0,0,0,0
"Jeremy Helvig","6.04",210,"Kingston Frontenacs",1997-05-25,7,128,141,0.908,26.03,13,2.4,2,3,1,0,1,0,0,0,0
"Mackenzie Blackwood","6.04",224,"Barrie Colts",1996-12-09,13,390,426,0.915,32.1,36,2.71,1,6,5,0,5,0,0,0,0
"Alex Nedeljkovic","6.00",190,"Niagara IceDogs",1996-01-07,17,446,494,0.903,28.88,48,2.81,0,12,4,1,5,0,0,0,4
"Jack Flinn","6.08",233,"Mississauga Steelheads",1995-12-20,7,220,241,0.913,32.32,21,2.82,1,3,3,1,4,0,0,0,0
"Charlie Graham","6.00",179,"Sarnia Sting",1995-06-30,7,163,184,0.886,25.99,21,2.97,0,3,3,1,4,0,0,0,0
"Justin Fazio","6.01",189,"Sarnia Sting",1997-05-03,1,2,3,0.667,9,1,3,0,0,0,0,0,0,0,0,0
"Jake Lawr","6.02",176,"Erie Otters",1998-05-19,3,33,38,0.868,22.92,5,3.02,0,1,0,0,0,0,0,0,0
"Lucas Peressini","6.3",195,"Kingston Frontenacs",1995-03-09,5,110,122,0.902,31.38,12,3.09,0,1,1,3,4,0,0,0,0
"Matthew Mancina","6.02",191,"Peterborough Petes",1996-04-29,7,212,235,0.902,32.52,23,3.18,0,3,3,1,4,0,0,0,0
"Brandon Halverson","6.04",203,"Sault Ste. Marie Greyhounds",1996-03-29,12,379,419,0.905,33.81,40,3.23,0,5,6,1,7,0,0,0,0
"Devin Williams","6.00",174,"Erie Otters",1995-10-30,12,195,232,0.841,20.55,37,3.28,0,7,5,0,5,0,0,0,0
"Dawson Carty","6.04",182,"Kitchener Rangers",1996-02-02,9,246,276,0.891,30.19,30,3.28,0,4,3,2,5,0,0,0,0
"Jake Smith","5.11",187,"North Bay Battalion",1995-05-01,11,284,321,0.885,28.6,37,3.3,1,4,5,2,7,0,0,0,0
"Leo Lazarev","5.10",161,"Ottawa 67's",1997-07-27,5,140,157,0.892,31.8,17,3.44,0,1,3,1,4,0,0,0,0
"Michael DiPietro","6.00",205,"Windsor Spitfires",1999-06-09,3,73,84,0.869,26.59,11,3.48,0,1,2,0,2,0,0,0,0
"Michael McNiven","6.01",212,"Owen Sound Attack",1997-07-09,6,154,176,0.875,29.36,22,3.67,1,2,4,0,4,0,0,0,2
"David Ovsjannikov","6.06",229,"Barrie Colts",1997-02-16,4,59,68,0.868,31.09,9,4.11,1,2,1,1,2,0,0,0,0
"Justin Nichols","5.09",163,"Oshawa Generals",1995-06-25,4,71,82,0.866,34.9,11,4.68,0,0,2,0,2,0,0,0,0
"Mario Culina","6.02",184,"Windsor Spitfires",1997-06-12,2,52,63,0.825,31.41,11,5.48,0,0,1,1,2,0,0,0,0
"Jeremy Brodeur","6.01",186,"Oshawa Generals",1996-10-29,4,99,114,0.868,42.36,15,5.57,0,1,2,0,2,0,0,0,0
"Evan Cormier","6.03",200,"Saginaw Spirit",1997-11-06,4,108,128,0.844,46.21,20,7.22,0,0,3,0,3,0,0,0,0
"Luke Opilka","6.02",189,"Kitchener Rangers",1997-02-27,1,4,7,0.571,43.75,3,18.75,0,0,0,0,0,0,0,0,0
