"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","SHG","SHA","SHPTS","GWG","ENG","PIM","Active"
"Greg DiTomaso","NO",2,1996-03-12,1996,"6.00",195,"D","Barrie Colts",15,1,3,4,0.27,-2,1,2,3,0,0,0,0,0,8,1
"Nathan Bastian","NO",14,1997-12-06,1997,"6.04",219,"RW","Mississauga Steelheads",5,0,4,4,0.8,-3,0,2,2,0,0,0,0,0,0,1
"Thomas Schemitsch","NO",4,1996-10-26,1996,"6.04",206,"D","Owen Sound Attack",6,0,4,4,0.67,-11,0,4,4,0,0,0,0,0,2,1
"Dylan Di Perna","NO",8,1996-04-26,1996,"6.02",199,"D","Kitchener Rangers",9,0,4,4,0.44,1,0,0,0,0,0,0,0,0,6,1
"Mason Kohn","NO",17,1997-05-03,1997,"6.00",180,"C","Kitchener Rangers",9,0,4,4,0.44,1,0,1,1,0,0,0,0,0,10,1
"Ivan Lodnia","YES",43,1999-08-31,1999,"6.00",194,"C","Erie Otters",13,0,4,4,0.31,-7,0,1,1,0,0,0,0,0,2,1
"Jordan Sambrook","YES",6,1998-04-11,1998,"6.03",205,"D","Erie Otters",13,0,4,4,0.31,-4,0,1,1,0,0,0,0,0,14,1
"Jesse Barwell","NO",77,1997-05-08,1997,"5.11",195,"C","Saginaw Spirit",4,2,1,3,0.75,0,0,0,0,2,0,2,0,0,0,1
"Mitchell Stephens","NO",27,1997-02-05,1997,"5.11",196,"C","Saginaw Spirit",4,2,1,3,0.75,-5,0,1,1,0,0,0,0,0,0,1
"Aaron Luchuk","NO",91,1997-04-05,1997,"5.10",184,"C","Windsor Spitfires",5,2,1,3,0.6,0,1,0,1,0,0,0,0,0,0,1
"Jared Steege","NO",17,1996-01-07,1996,"5.11",198,"LW","Kingston Frontenacs",8,2,1,3,0.38,-3,0,0,0,0,0,0,0,0,2,1
"Gustaf Franzen","NO",15,1996-09-22,1996,"5.11",183,"C","Kitchener Rangers",9,2,1,3,0.33,-5,1,0,1,0,0,0,0,0,2,1
"Daniel  Bernhardt","NO",20,1996-04-11,1996,"6.03",194,"LW","London Knights",14,2,1,3,0.21,4,0,0,0,0,0,0,1,0,0,1
"Kyle Langdon","YES",25,1998-08-26,1998,"5.11",180,"C","Niagara IceDogs",16,2,1,3,0.19,6,0,0,0,0,0,0,1,0,0,1
"Johnny Corneil","NO",23,1997-08-16,1997,"5.11",185,"C","Niagara IceDogs",17,2,1,3,0.18,-5,1,0,1,0,0,0,0,0,6,1
"Travis Konecny","NO",17,1997-03-11,1997,"5.10",176,"RW","Sarnia Sting",2,1,2,3,1.5,-2,1,2,3,0,0,0,0,0,0,1
"Jeremiah Addison","NO",10,1996-10-21,1996,"6.00",190,"LW","Ottawa 67's",4,1,2,3,0.75,-1,1,2,3,0,0,0,0,0,8,1
"Brady Gilmour","YES",9,1999-04-18,1999,"5.10",180,"C","Saginaw Spirit",4,1,2,3,0.75,1,0,0,0,0,0,0,0,0,0,1
"Kirill Maksimov","YES",25,1999-06-01,1999,"6.03",194,"RW","Saginaw Spirit",4,1,2,3,0.75,2,0,0,0,0,0,0,0,0,2,1
"Stepan Falkovsky","NO",51,1996-12-18,1996,"6.07",224,"D","Ottawa 67's",5,1,2,3,0.6,-2,0,0,0,0,0,0,0,0,4,1
"Christian  Fischer","NO",19,1997-04-15,1997,"6.02",210,"RW","Windsor Spitfires",5,1,2,3,0.6,-7,1,2,3,0,0,0,0,0,0,1
"Sean Day","NO",4,1998-01-09,1998,"6.03",218,"D","Mississauga Steelheads",7,1,2,3,0.43,-4,0,1,1,0,0,0,0,0,4,1
"Sam  Studnicka","NO",27,1995-01-15,1995,"6.01",203,"C","Sarnia Sting",7,1,2,3,0.43,1,0,0,0,1,1,2,0,0,2,1
"Owen Tippett","YES",74,1999-02-16,1999,"6.02",205,"RW","Mississauga Steelheads",7,1,2,3,0.43,0,1,0,1,0,0,0,0,0,4,1
"Jared Walsh","NO",3,1996-05-17,1996,"5.10",181,"D","Mississauga Steelheads",7,1,2,3,0.43,3,0,1,1,0,0,0,0,0,4,1
"Frank Hora","NO",44,1996-06-01,1996,"6.02",207,"D","Kitchener Rangers",9,1,2,3,0.33,5,1,0,1,0,0,0,0,0,4,1
"Morgan Frost","YES",16,1999-05-14,1999,"6.00",185,"C","Sault Ste. Marie Greyhounds",12,1,2,3,0.25,2,0,0,0,0,0,0,0,0,0,1
"Colton White","NO",6,1997-05-03,1997,"6.01",193,"D","Sault Ste. Marie Greyhounds",12,1,2,3,0.25,-5,0,0,0,0,0,0,0,0,4,1
"Mitchell Byrne","YES",2,1998-03-04,1998,"6.00",182,"D","Erie Otters",13,1,2,3,0.23,1,0,0,0,0,0,0,1,0,0,1
"Justin Murray","YES",10,1998-08-22,1998,"6.00",190,"D","Barrie Colts",15,1,2,3,0.2,-1,0,0,0,0,1,1,1,0,2,1
"Hayden Hodgson","NO",29,1996-03-02,1996,"6.02",215,"RW","Saginaw Spirit",4,0,3,3,0.75,-2,0,0,0,0,0,0,0,0,4,1
"Matthew Kreis","NO",15,1997-08-01,1997,"5.11",170,"C","Saginaw Spirit",4,0,3,3,0.75,-2,0,1,1,0,0,0,0,0,0,1
"Dominik Masin","NO",5,1996-02-01,1996,"6.03",198,"D","Peterborough Petes",7,0,3,3,0.43,3,0,1,1,0,0,0,0,0,12,1
"Nathan Billitier","NO",7,1996-05-20,1996,"5.11",185,"D","Kingston Frontenacs",9,0,3,3,0.33,8,0,0,0,0,0,0,0,0,4,1
"Brady Lyle","YES",22,1999-06-06,1999,"6.03",210,"D","North Bay Battalion",11,0,3,3,0.27,-1,0,1,1,0,0,0,0,0,0,1
"Mark Shoemaker","NO",25,1997-09-28,1997,"6.02",220,"D","North Bay Battalion",11,0,3,3,0.27,-8,0,2,2,0,0,0,0,0,0,1
"Medric Mercier","NO",2,1996-10-17,1996,"6.03",210,"D","Sault Ste. Marie Greyhounds",12,0,3,3,0.25,2,0,0,0,0,0,0,0,0,8,1
"Aiden Jamieson","NO",74,1996-03-23,1996,"6.02",200,"D","London Knights",16,0,3,3,0.19,8,0,1,1,0,0,0,0,0,9,1
"Tyler Boston","NO",16,1997-06-24,1997,"5.11",160,"C","Niagara IceDogs",17,0,3,3,0.18,0,0,0,0,0,0,0,0,0,0,1
"Brandon Crawley","NO",14,1997-02-02,1997,"6.01",205,"D","London Knights",17,0,3,3,0.18,17,0,1,1,0,0,0,0,0,18,1
"Jalen Chatfield","NO",51,1996-05-16,1996,"6.00",188,"D","Windsor Spitfires",5,2,0,2,0.4,-3,0,0,0,0,0,0,0,0,0,1
"Joe Manchurek","NO",29,1996-08-10,1996,"6.02",195,"LW","Oshawa Generals",5,2,0,2,0.4,-4,0,0,0,0,0,0,0,0,6,1
"Kevin Hancock","YES",16,1998-03-02,1998,"5.11",178,"LW","Owen Sound Attack",6,2,0,2,0.33,-5,1,0,1,0,0,0,0,1,0,1
"Nick Suzuki","YES",37,1999-08-10,1999,"5.11",183,"C","Owen Sound Attack",6,2,0,2,0.33,-6,1,0,1,0,0,0,0,0,0,1
"Brandon Prophet","NO",3,1996-06-03,1996,"6.03",217,"D","Peterborough Petes",7,2,0,2,0.29,1,0,0,0,0,0,0,0,1,10,1
"Anthony Salinitri","NO",10,1998-03-05,1998,"5.11",171,"C","Sarnia Sting",7,2,0,2,0.29,-4,0,0,0,0,0,0,0,0,8,1
"Nevin Guy","NO",24,1995-06-11,1995,"5.10",173,"D","Ottawa 67's",3,1,1,2,0.67,-1,1,1,2,0,0,0,0,0,2,1
