"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","GWG","ENG","PIM"
"Easton Cowan",2005-05-20,"LW","London Knights",20,9,12,21,1.05,2,1,7,2,1,16
"Oliver Bonk",2005-01-09,"D","London Knights",21,0,11,11,0.52,8,0,2,0,0,6
"Zayne Parekh",2006-02-15,"D","Saginaw Spirit",11,6,3,9,0.82,1,1,0,0,0,14
"Sam Dickinson",2006-06-07,"D","London Knights",21,4,4,8,0.38,12,3,0,1,0,0
"Michael Misa",2007-02-16,"LW","Saginaw Spirit",11,3,5,8,0.73,1,0,0,0,0,6
"Frankie Marrelli",2006-02-16,"D","Ottawa 67's",11,3,4,7,0.64,7,1,1,0,0,8
"Joey Willis",2005-03-14,"C","Saginaw Spirit",11,4,2,6,0.55,0,1,0,1,0,2
"Porter Martone",2006-10-26,"RW","Mississauga Steelheads",6,2,4,6,1,2,0,1,0,0,19
"Henry Mews",2006-03-09,"D","Ottawa 67's",11,1,3,4,0.36,1,0,1,0,0,8
"Noah Nelson",2005-03-28,"C","Hamilton Bulldogs",6,1,3,4,0.67,-6,0,0,0,0,0
"Cooper Foster",2005-06-04,"LW","Ottawa 67's",11,2,0,2,0.18,3,0,0,0,0,2
"Anthony Cristoforo",2006-02-23,"D","Windsor Spitfires",4,1,1,2,0.5,1,0,0,0,0,4
"Ethan Procyszyn",2006-07-11,"RW","North Bay Battalion",12,1,1,2,0.17,0,0,0,0,0,4
"Gavin Ewles",2005-03-01,"D","Ottawa 67's",4,1,1,2,0.5,6,0,1,0,0,0
"Caden Kelly",2006-01-15,"RW","Ottawa 67's",5,0,2,2,0.4,1,0,1,0,0,0
"Cole Beaudoin",2006-04-24,"C","Barrie Colts",13,0,2,2,0.15,-4,0,0,0,0,6
"Sean Doherty",2006-03-23,"RW","Sarnia Sting",2,0,2,2,1,3,0,0,0,0,0
"Beckett Sennecke",2006-01-28,"RW","Oshawa Generals",5,1,0,1,0.2,-2,0,0,0,0,4
"Mitch Young",2005-04-29,"D","Sarnia Sting",7,1,0,1,0.14,0,0,0,0,0,0
"Ben Danford",2006-02-06,"D","Oshawa Generals",5,0,1,1,0.2,-5,0,0,0,0,0
"Carter Lowe",2006-03-01,"LW","Barrie Colts",3,0,1,1,0.33,0,0,0,0,0,0
"Finn Harding",2005-03-02,"D","Mississauga Steelheads",6,0,1,1,0.17,-3,0,0,0,0,2
"Jett Luchanko",2006-08-21,"RW","Guelph Storm",6,0,1,1,0.17,-4,0,1,0,0,2
"Kieron Walton",2006-04-22,"LW","Sudbury Wolves",2,0,1,1,0.5,1,0,0,0,0,0
"Liam Greentree",2006-01-01,"RW","Windsor Spitfires",4,0,1,1,0.25,-3,0,0,0,0,0
"Lukas Fischer",2006-09-09,"D","Sarnia Sting",16,0,1,1,0.06,1,0,0,0,0,24
"Nathan Villeneuve",2006-04-13,"C","Sudbury Wolves",4,0,1,1,0.25,-1,0,0,0,0,4
"Noah Roberts",2005-12-02,"D","Hamilton Bulldogs",6,0,1,1,0.17,1,0,0,0,0,11
"Antonio Tersigni",2006-05-03,"C","Owen Sound Attack",4,0,0,0,0,-2,0,0,0,0,2
"Ben Cormier",2006-07-20,"C","Owen Sound Attack",3,0,0,0,0,-3,0,0,0,0,0
"Bode Stewart",2006-02-09,"LW","Saginaw Spirit",1,0,0,0,0,0,0,0,0,0,0
"Braedyn Rogers",2006-11-22,"D","Owen Sound Attack",4,0,0,0,0,-2,0,0,0,0,6
"Braydon McCallum",2006-05-03,"C","Peterborough Petes",10,0,0,0,0,1,0,0,0,0,4
"Callum Cheynowski",2006-08-04,"D","Hamilton Bulldogs",6,0,0,0,0,0,0,0,0,0,0
"Carson Woodall",2006-05-25,"D","Windsor Spitfires",3,0,0,0,0,0,0,0,0,0,0
"Conor Walton",2006-04-22,"D","Sudbury Wolves",1,0,0,0,0,0,0,0,0,0,0
"David Bedkowski",2006-12-07,"D","Oshawa Generals",5,0,0,0,0,-1,0,0,0,0,2
"Ethan Toms",2006-01-19,"C","Oshawa Generals",4,0,0,0,0,-2,0,0,0,0,0
"Hunter McKenzie",2006-12-07,"C","Guelph Storm",1,0,0,0,0,0,0,0,0,0,0
"Jack Dever",2005-09-05,"RW","Ottawa 67's",6,0,0,0,0,0,0,0,0,0,0
"Jack Van Volsen",2006-01-12,"C","Mississauga Steelheads",6,0,0,0,0,-1,0,0,0,0,0
"Jakub Chromiak",2005-11-02,"D","Sudbury Wolves",4,0,0,0,0,0,0,0,0,0,0
"Josh Glavin",2006-09-24,"D","Saginaw Spirit",1,0,0,0,0,-1,0,0,0,0,2
"Justin Bottineau",2006-01-11,"C","Kitchener Rangers",3,0,0,0,0,-1,0,0,0,0,2
"Kaden Pitre",2006-02-08,"C","Flint Firebirds",5,0,0,0,0,-3,0,0,0,0,2
"Kashawn Aitcheson",2006-09-21,"D","Barrie Colts",4,0,0,0,0,-3,0,0,0,0,7
"Liam Storch",2006-01-20,"RW","Saginaw Spirit",2,0,0,0,0,0,0,0,0,0,0
"Lincoln Moore",2005-09-21,"RW","Saginaw Spirit",8,0,0,0,0,1,0,0,0,0,0
"Lucas Karmiris",2006-09-27,"C","Mississauga Steelheads",6,0,0,0,0,-4,0,0,0,0,4
"Marek Vanacker",2006-04-12,"LW","Hamilton Bulldogs",6,0,0,0,0,-3,0,0,0,0,0
"Mason Zebeski",2005-10-04,"LW","Mississauga Steelheads",6,0,0,0,0,-5,0,0,0,0,5
"Mathieu Paris",2005-01-01,"C","London Knights",1,0,0,0,0,0,0,0,0,0,0
"Matthew Jenken",2005-10-12,"D","Flint Firebirds",6,0,0,0,0,2,0,0,0,0,2
"Nathan Aspinall",2006-03-30,"LW","Flint Firebirds",1,0,0,0,0,0,0,0,0,0,0
"Noah VandenBrink",2005-01-06,"RW","Hamilton Bulldogs",2,0,0,0,0,-3,0,0,0,0,0
"Parker von Richter",2006-05-17,"D","Mississauga Steelheads",6,0,0,0,0,-3,0,0,0,0,2
"Reed Gee",2006-03-12,"D","Flint Firebirds",2,0,0,0,0,0,0,0,0,0,0
"Sam McCue",2005-10-03,"LW","Peterborough Petes",3,0,0,0,0,1,0,0,0,0,0
"Sam O'Reilly",2006-03-30,"RW","London Knights",3,0,0,0,0,0,0,0,0,0,0
"Tyler Graham",2006-08-10,"LW","Oshawa Generals",1,0,0,0,0,0,0,0,0,0,0
"Wyatt Kennedy",2005-05-27,"D","North Bay Battalion",7,0,0,0,0,2,0,0,0,0,0
"Zackary Sandhu",2005-12-20,"D","Guelph Storm",6,0,0,0,0,-2,0,0,0,0,4
