"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Nate Krawchuk","6.02",180,"Sudbury Wolves",2005-07-04,1,15,15,1,34.62,0,0,0,0,0,0,0,0,0,0,0
"Charlie Robertson","6.04",182,"North Bay Battalion",2005-04-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Liam Sztuska","6.01",182,"Peterborough Petes",2004-05-01,1,17,17,1,36.28,0,0,0,0,0,0,0,0,0,0,0
"Nick Surzycia","6.00",170,"Sarnia Sting",2004-12-17,2,3,3,1,7.73,0,0,0,0,1,0,1,0,0,0,0
"Owen Willmore","6.03",180,"London Knights",2004-12-14,3,68,71,0.958,34.04,3,1.44,0,1,1,0,1,0,0,0,0
"Brett Brochu","6.00",176,"London Knights",2002-09-09,11,264,280,0.943,25.84,16,1.48,4,9,1,0,1,0,0,0,0
"Collin MacKenzie","6.00",175,"Ottawa 67's",2004-11-30,4,86,94,0.915,26.76,8,2.28,1,2,1,1,2,0,0,0,0
"Dom DiVincentiis","6.03",200,"North Bay Battalion",2004-03-04,20,613,662,0.926,32.56,49,2.41,1,11,6,3,9,0,0,0,2
"Ben Gaudreau","6.02",172,"Sarnia Sting",2003-01-11,16,370,410,0.902,25.82,40,2.52,3,10,5,0,5,0,0,0,2
"Max Donoso","6.01",185,"Ottawa 67's",2003-06-11,8,217,236,0.919,32.13,19,2.59,1,4,3,0,3,0,0,0,0
"Tristan Lennox","6.03",200,"Saginaw Spirit",2002-10-21,11,295,325,0.908,28.63,30,2.64,0,4,4,3,7,0,0,0,2
"Michael Simpson","6.01",198,"Peterborough Petes",2003-02-09,23,704,767,0.918,34.09,63,2.8,0,16,7,0,7,0,0,0,0
"Anson Thornton","6.04",192,"Barrie Colts",2003-06-28,12,316,352,0.898,28.47,36,2.91,0,7,4,1,5,0,0,0,0
"Marco Costantini","6.01",185,"Kitchener Rangers",2002-08-04,9,250,276,0.906,32.58,26,3.07,1,5,4,0,4,0,0,0,0
"Nathan Day","6.04",205,"Flint Firebirds",2005-02-04,7,189,211,0.896,31.06,22,3.24,0,3,3,1,4,0,0,0,0
"Mathias Onuska","6.03",180,"Windsor Spitfires",2002-05-30,3,62,70,0.886,30.23,8,3.45,0,0,2,0,2,0,0,0,0
"Kevyn Brassard","6.03",225,"Sudbury Wolves",2002-06-01,4,126,138,0.913,39.92,12,3.47,0,0,4,0,4,0,0,0,0
"Patrick Leaver","6.01",181,"Guelph Storm",2003-09-04,5,127,143,0.888,31.21,16,3.49,0,2,1,1,2,0,0,0,0
"Zach Bowen","6.02",190,"London Knights",2005-04-25,10,211,242,0.872,29.01,31,3.72,1,4,4,1,5,0,0,0,0
"Ryerson Leenders","6.01",182,"Mississauga Steelheads",2006-06-01,6,136,158,0.861,28.17,22,3.92,0,2,4,0,4,0,0,0,2
"Matteo Drobac","6.02",199,"Hamilton Bulldogs",2003-08-07,5,129,148,0.872,31.94,19,4.1,0,2,2,0,2,0,0,0,0
"Corbin Votary","6.03",195,"Owen Sound Attack",2004-04-12,4,124,141,0.879,37.2,17,4.49,0,0,2,2,4,0,0,0,0
"Nick Chenard","6.04",212,"Owen Sound Attack",2002-03-29,1,22,25,0.88,37.5,3,4.5,0,0,0,0,0,0,0,0,0
"Jacob Oster","6.03",190,"Oshawa Generals",2004-03-26,5,158,181,0.873,37.71,23,4.79,0,1,4,0,4,0,0,0,0
"Joey Costanzo","6.01",184,"Windsor Spitfires",2005-07-26,2,49,57,0.86,35.33,8,4.96,0,0,2,0,2,0,0,0,0
"Ben West","6.03",156,"Barrie Colts",2003-04-04,1,29,34,0.853,34.74,5,5.11,0,0,1,0,1,0,0,0,0
"Will Cranley","6.04",190,"Flint Firebirds",2002-02-26,1,7,10,0.7,17.63,3,5.29,0,0,0,0,0,0,0,0,0
"Marcus Vandenberg","5.11",172,"Kitchener Rangers",2004-04-25,1,22,25,0.88,49.53,3,5.94,0,0,0,0,0,0,0,0,0
"Alessio Beglieri","5.11",170,"Mississauga Steelheads",2004-01-05,1,9,11,0.818,33,2,6,0,0,0,0,0,0,0,0,0
"Brayden Gillespie","5.11",172,"Guelph Storm",2005-07-23,2,43,53,0.811,31.9,10,6.02,0,0,1,1,2,0,0,0,0
"Tristan Malboeuf","6.00",173,"Hamilton Bulldogs",2004-03-21,2,43,53,0.811,39.46,10,7.45,0,0,2,0,2,0,0,0,0
"Carter Bickle","6.01",176,"Oshawa Generals",2004-05-27,1,6,9,0.667,50.31,3,16.77,0,0,0,0,0,0,0,0,0
