"Name","BD","Pos","Team","GP","EVG","EVA","EVPTS","EVPTS/G","EVPTS%"
"Wyatt Johnston",2003-05-14,"C","Windsor Spitfires",25,12,15,27,1.08,66
"Will Cuylle",2002-02-05,"LW","Windsor Spitfires",25,9,14,23,0.92,74
"Logan Morrison",2002-07-09,"C","Hamilton Bulldogs",19,12,10,22,1.16,56
"Daniel D'Amico",2001-01-26,"LW","Windsor Spitfires",25,9,9,18,0.72,86
"Francesco Arcuri",2003-06-13,"LW","Kingston Frontenacs",11,5,12,17,1.55,89
"Avery Hayes",2002-10-10,"RW","Hamilton Bulldogs",16,7,9,16,1,47
"Mitchell Russell",2001-03-06,"RW","North Bay Battalion",11,7,8,15,1.36,68
"Alex Christopoulos",2003-03-26,"RW","Windsor Spitfires",25,11,3,14,0.56,100
"Brandon Coe",2001-12-01,"RW","North Bay Battalion",12,5,9,14,1.17,70
"Brennan Othmann",2003-01-05,"LW","Flint Firebirds",19,6,8,14,0.74,58
"Mason McTavish",2003-01-30,"C","Hamilton Bulldogs",19,8,6,14,0.74,48
"Amadeus Lombardi",2003-06-05,"C","Flint Firebirds",19,6,7,13,0.68,87
"Joseph Serpa",2002-03-23,"C","Kitchener Rangers",12,6,7,13,1.08,87
"Matthew Maggio",2002-11-25,"RW","Windsor Spitfires",25,4,8,12,0.48,71
"Ryan Abraham",2004-04-05,"C","Windsor Spitfires",25,3,9,12,0.48,80
"Zayde Wisdom",2002-07-07,"RW","Kingston Frontenacs",11,3,9,12,1.09,80
"Arber Xhekaj",2001-01-30,"D","Hamilton Bulldogs",18,4,7,11,0.61,69
"Jacob Maillet",2003-03-13,"C","Windsor Spitfires",25,3,8,11,0.44,100
"Martin Chromiak",2002-08-20,"LW","Kingston Frontenacs",11,6,5,11,1,92
"Shane Wright",2004-01-05,"C","Kingston Frontenacs",11,2,9,11,1,79
"George Diaco",2002-02-14,"LW","Hamilton Bulldogs",19,1,9,10,0.53,71
"Louka Henault",2001-01-31,"D","Windsor Spitfires",25,3,7,10,0.4,62
"Michael Renwick",2002-01-26,"D","Windsor Spitfires",25,3,7,10,0.4,71
"Paul Ludwinski",2004-04-23,"C","Kingston Frontenacs",11,5,5,10,0.91,83
"Ryan Winterton",2003-09-04,"RW","Hamilton Bulldogs",18,2,8,10,0.56,53
"Andrew Perrott",2001-08-24,"D","Windsor Spitfires",25,4,5,9,0.36,64
"Coulson Pitre",2004-12-13,"RW","Flint Firebirds",16,6,3,9,0.56,100
"Jack Thompson",2002-03-19,"D","Soo Greyhounds",9,3,6,9,1,64
"Jordan Frasca",2001-07-05,"C","Kingston Frontenacs",10,3,6,9,0.9,75
"Antonio Stranges",2002-02-05,"LW","London Knights",6,5,3,8,1.33,73
"Ethan Keppen",2001-03-20,"LW","Flint Firebirds",19,4,4,8,0.42,67
"Josh Currie",2002-07-01,"LW","Windsor Spitfires",25,3,5,8,0.32,89
"Kyle Jackson",2002-10-17,"C","North Bay Battalion",12,4,4,8,0.67,57
"Kyle McDonald",2002-02-05,"RW","North Bay Battalion",13,6,2,8,0.62,89
"Lucas Edmonds",2001-01-27,"RW","Kingston Frontenacs",11,6,2,8,0.73,73
"Mitchell Martin",2003-01-06,"LW","Kitchener Rangers",12,5,3,8,0.67,67
"Oliver Peer",2003-03-09,"RW","Windsor Spitfires",23,4,4,8,0.35,100
