"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Matteo Lalama","6.00",163,"Barrie Colts",2002-02-12,2,61,65,0.938,26.15,4,1.61,0,1,0,1,1,0,0,0,0
"Xavier Medina","6.00",174,"Windsor Spitfires",2002-01-20,5,144,154,0.935,31.25,10,2.03,1,3,2,0,2,0,0,0,0
"Roman Basran","6.02",192,"Mississauga Steelheads",2001-07-26,7,183,200,0.915,25.25,17,2.15,0,4,2,1,3,0,0,0,0
"Owen Bennett","6.03",202,"Guelph Storm",2002-04-11,2,46,50,0.92,26.93,4,2.15,0,0,1,1,2,0,0,0,0
"Marco Costantini","6.01",185,"Hamilton Bulldogs",2002-08-04,19,463,507,0.913,26.39,44,2.29,3,16,2,1,3,0,0,0,0
"Mack Guzda","6.05",205,"Barrie Colts",2001-01-11,4,143,154,0.929,35.17,11,2.51,0,1,2,1,3,0,0,0,0
"Tucker Tynan","6.01",180,"Soo Greyhounds",2002-06-07,7,209,226,0.925,34.18,17,2.57,1,3,2,1,3,0,0,0,7
"Ben Gaudreau","6.02",172,"Sarnia Sting",2003-01-11,6,194,210,0.924,34.54,16,2.63,0,2,4,0,4,0,0,0,0
"Joe Ranger","6.00",191,"Mississauga Steelheads",2002-02-12,3,94,102,0.922,34.25,8,2.69,0,0,2,1,3,0,0,0,0
"Luke Cavallin","6.02",196,"Flint Firebirds",2001-04-29,19,679,731,0.929,38,52,2.7,0,11,7,1,8,0,0,0,4
"Mathias Onuska","6.03",180,"Windsor Spitfires",2002-05-30,22,538,595,0.904,28.95,57,2.77,1,12,6,2,8,0,0,0,0
"Corbin Votary","6.03",195,"Owen Sound Attack",2004-04-12,2,5,6,0.833,16.91,1,2.82,0,0,0,0,0,0,0,0,0
"Nick Chenard","6.04",212,"Owen Sound Attack",2002-03-29,7,247,267,0.925,40.38,20,3.02,1,3,4,0,4,0,0,0,0
"Jackson Parsons","6.02",202,"Kitchener Rangers",2004-11-23,5,167,180,0.928,42.43,13,3.06,0,2,3,0,3,0,0,0,0
"Brett Brochu","6.00",176,"London Knights",2002-09-09,7,183,205,0.893,30.22,22,3.24,0,3,3,1,4,0,0,0,0
"Aidan Spooner","6.05",210,"Kingston Frontenacs",2002-04-30,1,6,8,0.75,13.09,2,3.27,0,0,1,0,1,0,0,0,0
"Owen Flores","6.02",195,"London Knights",2004-05-09,1,3,4,0.75,13.69,1,3.42,0,0,0,0,0,0,0,0,0
"Samuel Ivanov","6.04",177,"Soo Greyhounds",2003-01-02,4,97,110,0.882,30.29,13,3.58,1,2,2,0,2,0,0,0,0
"Max Donoso","6.01",185,"Ottawa 67's",2003-06-11,4,93,105,0.886,31.76,12,3.63,0,0,2,1,3,0,0,0,0
"Leevi Meriläinen","6.02",160,"Kingston Frontenacs",2002-08-13,11,308,347,0.888,32.8,39,3.69,0,5,5,0,5,0,0,0,0
"Joe Vrbetic","6.06",186,"North Bay Battalion",2002-10-24,8,190,218,0.872,30.21,28,3.88,0,6,1,0,1,0,0,0,0
"Pavel Cajan","6.02",174,"Kitchener Rangers",2002-10-13,9,297,328,0.905,42.11,31,3.98,0,3,4,0,4,0,0,0,0
"Zachary Paputsakis","6.03",196,"Oshawa Generals",2001-11-08,1,13,16,0.813,22.15,3,4.15,0,0,1,0,1,0,0,0,0
"Patrick Leaver","6.01",181,"Oshawa Generals",2003-09-04,6,161,185,0.87,34.82,24,4.52,0,2,2,1,3,0,0,0,0
"Jacob Oster","6.03",190,"Guelph Storm",2004-03-26,4,119,135,0.881,40.57,16,4.81,0,1,2,0,2,0,0,0,0
"Will Cranley","6.04",190,"Ottawa 67's",2002-02-26,1,21,25,0.84,33.89,4,5.42,0,0,1,0,1,0,0,0,0
"Michael Simpson","6.01",198,"Peterborough Petes",2003-02-09,4,131,154,0.851,38.73,23,5.78,0,0,4,0,4,0,0,0,0
"Nathan Day","6.04",205,"Flint Firebirds",2005-02-04,1,5,7,0.714,48.46,2,13.85,0,0,0,0,0,0,0,0,0
"Dom DiVincentiis","6.03",200,"North Bay Battalion",2004-03-04,6,164,188,0.872,30.7,24,3.92,0,2,3,1,4,0,0,0,0
