"Name","Rookie","BD","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","GWG","ENG","PIM"
"Ryan Strome","NO",1993-07-11,"6.01",192,"C","Niagara IceDogs",65,33,73,106,1.63,28,9,31,40,5,1,82
"Shane Prince","NO",1992-11-16,"5.11",190,"LW","Ottawa 67's",59,25,63,88,1.49,43,3,20,23,6,3,18
"Ryan Murphy","NO",1993-03-31,"5.11",179,"D","Kitchener Rangers",63,26,53,79,1.25,22,14,33,47,6,1,36
"Stefan Noesen","NO",1993-02-12,"6.02",205,"RW","Plymouth Whalers",68,33,44,77,1.13,14,9,15,24,4,3,80
"Alexander Khokhlachev","YES",1993-09-09,"5.10",172,"C","Windsor Spitfires",67,34,42,76,1.13,9,12,14,26,0,0,28
"Mark Scheifele","YES",1993-03-15,"6.03",187,"C","Barrie Colts",66,22,53,75,1.14,-22,13,23,36,0,0,35
"Daniel Catenacci","NO",1993-03-09,"5.10",191,"C","Sault Ste. Marie Greyhounds",67,26,45,71,1.06,-5,9,15,24,2,3,117
"Matt Puempel","NO",1993-01-24,"6.00",208,"LW","Peterborough Petes",55,34,35,69,1.25,-33,15,19,34,3,3,49
"Vladislav Namestnikov","NO",1992-11-22,"6.00",175,"C","London Knights",68,30,39,69,1.01,12,11,13,24,2,0,49
"Nick Cousins","NO",1993-07-20,"5.11",177,"C","Sault Ste. Marie Greyhounds",68,29,39,68,1,-14,12,19,31,4,0,56
"Gabriel Landeskog","NO",1992-11-23,"6.01",207,"RW","Kitchener Rangers",53,36,30,66,1.25,27,11,7,18,3,1,61
"Boone Jenner","NO",1993-06-15,"6.02",204,"C","Oshawa Generals",63,25,41,66,1.05,10,4,14,18,5,2,57
"Andrew Fritsch","NO",1993-03-24,"6.00",198,"LW","Owen Sound Attack",60,28,35,63,1.05,17,10,13,23,2,0,18
"Vincent Trocheck","NO",1993-07-11,"6.00",190,"C","Saginaw Spirit",68,26,36,62,0.91,14,8,14,22,5,1,60
"Seth Griffith","NO",1993-01-04,"5.11",185,"RW","London Knights",68,22,40,62,0.91,-1,8,20,28,3,0,28
"Nicklas Jensen","YES",1993-03-06,"6.03",187,"RW","Oshawa Generals",61,29,29,58,0.95,14,6,16,22,5,0,42
