"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","GWG","ENG","PIM"
"Nail Yakupov",1993-10-06,"RW","Sarnia Sting",65,49,52,101,1.55,-2,16,18,5,0,71
"Alex Galchenyuk",1994-02-12,"C","Sarnia Sting",68,31,52,83,1.22,-8,10,17,2,0,52
"Alexander Khokhlachev",1993-09-09,"C","Windsor Spitfires",67,34,42,76,1.13,9,12,14,0,0,28
"Mark Scheifele",1993-03-15,"C","Barrie Colts",66,22,53,75,1.14,-22,13,23,0,0,35
"Nicklas Jensen",1993-03-06,"RW","Oshawa Generals",61,29,29,58,0.95,14,6,16,5,0,42
"Lino Martschini",1993-01-21,"RW","Peterborough Petes",61,20,38,58,0.95,-35,7,22,2,0,12
"Lucas Lessio",1993-01-23,"LW","Oshawa Generals",66,27,27,54,0.82,8,7,7,3,1,66
"Eric Locke",1993-11-21,"C","Barrie Colts",65,26,28,54,0.83,-6,5,10,6,0,30
"Tobias Rieder",1993-01-10,"RW","Kitchener Rangers",65,23,26,49,0.75,9,4,12,5,0,35
"Sean Monahan",1994-10-12,"C","Ottawa 67's",65,20,27,47,0.72,24,3,4,2,0,32
"Rickard Rakell",1993-05-05,"C","Plymouth Whalers",49,20,25,45,0.92,14,10,8,5,1,12
"Tanner Pearson",1992-08-10,"LW","Barrie Colts",66,15,27,42,0.64,-12,4,4,0,0,35
"Nick Ebert",1994-05-11,"D","Windsor Spitfires",64,11,30,41,0.64,-2,4,14,0,0,44
"Brendan Gaunce",1994-03-25,"C","Belleville Bulls",65,11,25,36,0.55,-31,2,11,0,0,40
"Ryan Sproul",1993-01-13,"D","Sault Ste. Marie Greyhounds",61,14,19,33,0.54,-15,8,13,2,0,36
"Dylan Smoskowitz",1993-02-11,"C","Barrie Colts",67,21,10,31,0.46,-18,5,1,2,0,44
"Spencer Abraham",1993-03-18,"D","Brampton Battalion",67,6,25,31,0.46,-10,4,17,1,0,20
"Joshua Leivo",1993-05-26,"LW","Sudbury Wolves",64,13,17,30,0.47,-10,1,3,4,0,37
"Matia Marcantuoni",1994-02-22,"C","Kitchener Rangers",42,11,16,27,0.64,-7,6,8,2,0,26
"Ryan Rupert",1994-06-02,"C","London Knights",39,9,18,27,0.69,2,2,10,2,0,30
"Petr Beranek",1993-07-08,"RW","Barrie Colts",54,11,15,26,0.48,-12,3,1,0,0,22
"Dylan Blujus",1994-01-22,"D","Brampton Battalion",67,4,22,26,0.39,-14,3,9,0,0,26
"Gianluca Curcuruto",1994-02-25,"D","Sault Ste. Marie Greyhounds",56,1,25,26,0.46,-1,1,13,0,0,26
"Mathew Campagna",1994-03-09,"C","Sudbury Wolves",58,7,18,25,0.43,-13,1,4,1,0,36
"Scott Laughton",1994-05-30,"C","Oshawa Generals",63,12,11,23,0.37,5,2,3,1,1,63
"Slater Koekkoek",1994-02-18,"D","Peterborough Petes",65,7,16,23,0.35,-29,4,9,0,0,67
"Andreas Athanasiou",1994-08-06,"LW","London Knights",57,11,11,22,0.39,-11,2,1,1,0,21
"Jarrod Maidens",1994-03-04,"C","Owen Sound Attack",47,10,11,21,0.45,4,3,3,1,0,11
"Kerby Rychel",1994-10-07,"LW","Windsor Spitfires",62,7,14,21,0.34,4,3,1,0,0,73
"Scott Kosmachuk",1994-01-24,"RW","Guelph Storm",68,6,15,21,0.31,5,0,0,1,0,25
"Matt Finn",1994-02-24,"D","Guelph Storm",60,3,18,21,0.35,0,1,7,1,0,23
"Luke Cairns",1994-05-29,"C","Erie Otters",60,6,12,18,0.3,-15,3,7,0,0,8
"Jesse Graham",1994-05-13,"D","Niagara IceDogs",63,1,17,18,0.29,27,0,6,0,0,22
"Cameron Brace",1993-04-08,"RW","Owen Sound Attack",61,11,6,17,0.28,-1,0,0,2,0,62
"Samuel Schutt",1994-04-13,"RW","Sudbury Wolves",65,8,9,17,0.26,-27,3,2,0,0,24
"Steven Trojanovic",1993-08-04,"D","Peterborough Petes",54,2,15,17,0.31,5,0,4,0,0,53
"Jordan Auld",1993-01-16,"D","Brampton Battalion",62,1,16,17,0.27,-12,1,14,0,0,20
"Alex Racino",1993-06-04,"LW","Sudbury Wolves",46,10,6,16,0.35,4,2,1,0,0,22
"Gemel Smith",1994-04-16,"C","Owen Sound Attack",66,8,8,16,0.24,8,0,1,1,0,14
"Nickolas Latta",1993-10-05,"C","Sarnia Sting",61,9,6,15,0.25,-21,0,1,1,0,26
"Brock McGinn",1994-02-02,"LW","Guelph Storm",68,10,4,14,0.21,3,0,0,0,0,38
"Alex Gudbranson",1994-09-03,"D","Kingston Frontenacs",62,3,11,14,0.23,-11,0,1,0,0,37
"Adam Pelech",1994-08-16,"D","Erie Otters",65,1,13,14,0.22,14,0,0,0,0,27
"Marcus McIvor",1994-05-20,"D","Brampton Battalion",62,1,13,14,0.23,-6,1,6,1,0,29
"Ryan Davidson",1993-01-15,"C","Kingston Frontenacs",53,6,7,13,0.25,-2,0,0,0,0,34
"Cody Payne",1994-01-14,"C","Oshawa Generals",50,1,12,13,0.26,7,0,0,0,0,35
"Zach Hall",1993-04-29,"C","Barrie Colts",38,8,4,12,0.32,-24,3,1,0,0,9
"Mackenzie Braid",1993-01-16,"D","Barrie Colts",59,5,7,12,0.2,-14,1,1,1,0,53
