"Name","BD","Pos","Team","GP","SHG","SHA","SHPTS","SHPTS/G","SHPTS%"
"Craig Duininck",1993-04-29,"D","Windsor Spitfires",66,1,1,2,0.03,9
"Dalton Smith",1992-06-30,"LW","Ottawa 67's",64,1,1,2,0.03,7
"Dario Trutmann",1992-09-17,"D","Plymouth Whalers",62,1,1,2,0.03,11
"Erik Gudbranson",1992-01-07,"D","Kingston Frontenacs",44,1,1,2,0.05,6
"Geoffrey Schemitsch",1992-04-01,"D","Owen Sound Attack",45,1,1,2,0.04,10
"Gregory Jambrosich",1993-08-12,"C","Sudbury Wolves",68,1,1,2,0.03,12
"J.P. Labardo",1992-02-24,"C","Oshawa Generals",60,1,1,2,0.03,9
"Jared Knight",1992-01-16,"RW","London Knights",68,1,1,2,0.03,3
"Jason Akeson",1990-06-03,"RW","Kitchener Rangers",67,1,1,2,0.03,2
"Joey West",1991-02-16,"C","Peterborough Petes",68,1,1,2,0.03,6
"Mike Lomas",1990-08-16,"LW","Sudbury Wolves",56,1,1,2,0.04,4
"Ryan Martindale",1991-10-27,"C","Ottawa 67's",65,1,1,2,0.03,2
"Scott Valentine",1991-05-02,"D","Oshawa Generals",62,1,1,2,0.03,6
"Shane Prince",1992-11-16,"LW","Ottawa 67's",59,1,1,2,0.03,2
"Steven Beyers",1992-06-12,"RW","Barrie Colts",66,1,1,2,0.03,3
"Taylor Beck",1991-05-13,"RW","Guelph Storm",62,1,1,2,0.03,2
"Taylor Carnevale",1991-03-15,"C","Windsor Spitfires",63,1,1,2,0.03,3
"Beau Schmitz",1991-03-26,"D","Plymouth Whalers",48,0,2,2,0.04,7
"Brady Vail",1994-03-11,"LW","Windsor Spitfires",61,0,2,2,0.03,20
"Brandon Archibald",1992-03-31,"D","Saginaw Spirit",66,0,2,2,0.03,9
"Cody McNaughton",1992-10-16,"RW","Guelph Storm",68,0,2,2,0.03,6
"Dylan DeMelo",1993-05-01,"D","Mississauga St. Michaels Majors",67,0,2,2,0.03,7
"Eric O'Dell",1990-06-21,"C","Sudbury Wolves",39,0,2,2,0.05,5
"Jarred Tinordi",1992-02-20,"D","London Knights",63,0,2,2,0.03,14
"Joe Underwood",1990-01-15,"D","Belleville Bulls",50,0,2,2,0.04,9
