"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","SHG","SHA","SHPTS","GWG","ENG","PIM","Active"
"John Tavares","NO",61,1990-09-20,1990,"6.00",198,"C","London Knights",56,58,46,104,1.86,10,21,30,51,6,1,7,8,1,54,1
"Chris Terry","NO",20,1989-04-07,1989,"5.10",190,"C","Plymouth Whalers",53,39,55,94,1.77,25,8,20,28,1,0,1,5,1,75,1
"Justin DiBenedetto","NO",9,1988-08-25,1988,"6.00",195,"LW","Sarnia Sting",62,45,48,93,1.5,14,16,24,40,4,1,5,3,2,85,1
"Cody Hodgson","NO",19,1990-02-18,1990,"6.00",188,"C","Brampton Battalion",53,43,49,92,1.74,41,12,20,32,3,2,5,11,2,33,1
"Matt Caria","NO",15,1988-08-16,1988,"6.00",201,"C","Plymouth Whalers",67,34,58,92,1.37,14,7,18,25,1,1,2,3,1,91,1
"Taylor Hall","NO",4,1991-11-14,1991,"6.01",185,"LW","Windsor Spitfires",63,38,52,90,1.43,29,12,21,33,2,0,2,6,1,60,1
"Ryan Ellis","NO",6,1991-01-03,1991,"5.10",179,"D","Windsor Spitfires",57,22,67,89,1.56,52,11,34,45,2,0,2,3,0,57,1
"Eric Tangradi","NO",25,1989-02-10,1989,"6.04",221,"LW","Belleville Bulls",55,38,50,88,1.6,39,12,20,32,1,3,4,9,3,61,1
"Logan Couture","NO",89,1989-03-28,1989,"6.00",191,"C","Ottawa 67's",62,39,48,87,1.4,27,10,21,31,1,2,3,4,0,46,1
"Chris MacKinnon","NO",27,1989-07-07,1989,"5.08",185,"LW","Kitchener Rangers",67,26,59,85,1.27,4,7,27,34,0,0,0,3,1,56,1
"Bryan Cameron","NO",23,1989-02-25,1989,"5.10",183,"RW","Belleville Bulls",64,37,44,81,1.27,32,12,15,27,0,0,0,4,0,51,1
"Joey Hishon","NO",18,1991-10-20,1991,"5.10",175,"C","Owen Sound Attack",65,37,44,81,1.25,5,15,18,33,3,3,6,4,0,34,1
"Evgeny Grachev","YES",15,1990-02-21,1990,"6.03",212,"LW","Brampton Battalion",60,40,40,80,1.33,48,9,13,22,4,1,5,6,0,22,1
