"Name","BD","Pos","Team","GP","SHG","SHA","SHPTS","SHPTS/G","SHPTS%"
"Nazem Kadri",1990-10-06,"C","London Knights",56,5,5,10,0.18,13
"John Tavares",1990-09-20,"C","London Knights",56,6,1,7,0.12,7
"Justin Taylor",1989-02-08,"C","London Knights",64,4,3,7,0.11,10
"Eric Wellwood",1990-03-06,"LW","Windsor Spitfires",61,5,1,6,0.1,18
"Matt Duchene",1991-01-16,"C","Brampton Battalion",57,4,2,6,0.11,8
"Nathan Moon",1990-01-04,"C","Kingston Frontenacs",62,4,2,6,0.1,8
"Shawn Lalonde",1990-03-10,"D","Belleville Bulls",66,4,2,6,0.09,11
"Joey Hishon",1991-10-20,"C","Owen Sound Attack",65,3,3,6,0.09,7
"Brett Parnham",1989-01-30,"C","Oshawa Generals",65,5,0,5,0.08,7
"Andrew Wilkins",1988-07-25,"RW","Owen Sound Attack",65,4,1,5,0.08,9
"Evgeny Grachev",1990-02-21,"LW","Brampton Battalion",60,4,1,5,0.08,6
"Jack Combs",1988-01-26,"C","Saginaw Spirit",62,4,1,5,0.08,7
"Jared Gomes",1988-10-20,"LW","Mississauga St. Michael's Majors",68,4,1,5,0.07,8
"Justin DiBenedetto",1988-08-25,"LW","Sarnia Sting",62,4,1,5,0.08,5
"Matt Dias",1988-04-29,"RW","Sudbury Wolves",68,4,1,5,0.07,8
"Ryan O'Reilly",1991-02-07,"C","Erie Otters",68,4,1,5,0.07,8
"Cody Hodgson",1990-02-18,"C","Brampton Battalion",53,3,2,5,0.09,5
"Cory Tanaka",1988-05-17,"C","Belleville Bulls",67,2,3,5,0.07,10
"Jason Dale",1988-12-31,"RW","Brampton Battalion",68,2,3,5,0.07,12
"Kory Nagy",1989-10-12,"LW","Oshawa Generals",63,2,3,5,0.08,9
"John Carlson",1990-01-10,"D","London Knights",59,1,4,5,0.08,7
"Kale Kerbashian",1990-04-07,"LW","Mississauga St. Michael's Majors",65,1,4,5,0.08,12
"Brandon Biggers",1988-08-21,"LW","Erie Otters",68,4,0,4,0.06,6
"Matthew Lyall",1988-02-08,"C","Sault Ste. Marie Greyhounds",64,4,0,4,0.06,10
"Andrew Agozzino",1991-01-03,"LW","Niagara IceDogs",67,3,1,4,0.06,7
"Casey Cizikas",1991-02-27,"C","Mississauga St. Michael's Majors",55,3,1,4,0.07,11
"Michael Pelech",1989-10-06,"C","Mississauga St. Michael's Majors",68,3,1,4,0.06,6
"Scott Timmins",1989-09-11,"C","Windsor Spitfires",66,3,1,4,0.06,5
"Steve Reese",1989-01-09,"C","Sarnia Sting",66,3,1,4,0.06,12
"Thomas Kiriakou",1988-01-24,"C","Ottawa 67's",62,3,1,4,0.06,6
"Chris Chappell",1988-03-21,"LW","Saginaw Spirit",68,2,2,4,0.06,5
"Greg Nemisz",1990-06-05,"RW","Windsor Spitfires",65,2,2,4,0.06,5
"Lane MacDermid",1989-08-25,"LW","Windsor Spitfires",64,2,2,4,0.06,11
"Matthew Tipoff",1990-10-04,"LW","Belleville Bulls",68,2,2,4,0.06,10
"Zack Torquato",1989-06-08,"C","Erie Otters",66,2,2,4,0.06,6
"Eric Tangradi",1989-02-10,"LW","Belleville Bulls",55,1,3,4,0.07,5
"Jeff Hayes",1989-04-15,"C","Oshawa Generals",67,1,3,4,0.06,17
"T.J. Brodie",1990-06-07,"D","Saginaw Spirit",63,1,3,4,0.06,8
"Michael Del Zotto",1990-06-24,"D","London Knights",62,0,4,4,0.06,6
"George Lovatsis",1989-11-30,"RW","Kingston Frontenacs",67,3,0,3,0.04,9
"John Kurtz",1989-05-16,"LW","Sudbury Wolves",68,3,0,3,0.04,6
"Marcus Carroll",1989-01-15,"C","Owen Sound Attack",66,3,0,3,0.05,6
"Matt Clarke",1988-04-08,"D","London Knights",68,3,0,3,0.04,10
"Tony Romano",1988-01-05,"RW","Peterborough Petes",65,3,0,3,0.05,4
"Alex Hutchings",1990-11-07,"C","Barrie Colts",63,2,1,3,0.05,4
"Thomas Nesbitt",1990-06-20,"RW","Ottawa 67's",67,2,1,3,0.04,6
"Cameron Gaunce",1990-03-19,"D","Mississauga St. Michael's Majors",67,1,2,3,0.04,5
"Logan Couture",1989-03-28,"C","Ottawa 67's",62,1,2,3,0.05,3
"Matt Kennedy",1989-03-04,"RW","Guelph Storm",67,1,2,3,0.04,4
"Phil Varone",1990-12-04,"C","London Knights",58,1,2,3,0.05,6
"Michael McGurk",1989-04-07,"D","Owen Sound Attack",62,0,3,3,0.05,43
"Paul Cianfrini",1989-04-20,"D","Erie Otters",66,0,3,3,0.05,17
"Anthony Peluso",1989-04-18,"RW","Brampton Battalion",63,2,0,2,0.03,5
"Brandon Buck",1988-08-16,"LW","Guelph Storm",66,2,0,2,0.03,3
"Corey Cowick",1989-01-08,"LW","Ottawa 67's",68,2,0,2,0.03,3
"Joe Pleckaitis",1989-06-13,"LW","Saginaw Spirit",68,2,0,2,0.03,5
"Justin Hodgman",1988-06-27,"C","Erie Otters",66,2,0,2,0.03,3
"Kyle Bochek",1988-03-11,"C","Saginaw Spirit",67,2,0,2,0.03,9
"Mitch Lebar",1991-01-29,"RW","Kingston Frontenacs",46,2,0,2,0.04,9
"Patrik Lusnak",1988-11-06,"LW","Sudbury Wolves",35,2,0,2,0.06,6
"Phil McRae",1990-03-15,"C","London Knights",59,2,0,2,0.03,3
"Ryan Ellis",1991-01-03,"D","Windsor Spitfires",57,2,0,2,0.04,2
"Taylor Hall",1991-11-14,"LW","Windsor Spitfires",63,2,0,2,0.03,2
"Vern Cooper",1990-12-30,"C","Plymouth Whalers",68,2,0,2,0.03,5
"Yves Bastien",1989-08-02,"LW","Guelph Storm",61,2,0,2,0.03,13
"Anthony Nigro",1990-01-11,"LW","Ottawa 67's",67,1,1,2,0.03,3
"Daniel Michalsky",1988-01-13,"LW","Barrie Colts",46,1,1,2,0.04,6
"Jordan Nolan",1989-06-23,"LW","Sault Ste. Marie Greyhounds",64,1,1,2,0.03,5
"Kaine Geldart",1989-08-23,"RW","Plymouth Whalers",68,1,1,2,0.03,6
"Matt Caria",1988-08-16,"C","Plymouth Whalers",67,1,1,2,0.03,2
"Robby Mignardi",1990-06-28,"RW","Kingston Frontenacs",68,1,1,2,0.03,4
"Shawn Szydlowski",1990-08-05,"RW","Erie Otters",61,1,1,2,0.03,4
"Stefan Della Rovere",1990-02-25,"LW","Barrie Colts",57,1,1,2,0.04,4
"Steven Shipley",1992-04-22,"C","Owen Sound Attack",63,1,1,2,0.03,5
"Zack Kassian",1991-01-24,"RW","Peterborough Petes",61,1,1,2,0.03,3
"Beau Schmitz",1991-03-26,"D","Plymouth Whalers",66,0,2,2,0.03,5
"Ethan Werek",1991-06-07,"C","Kingston Frontenacs",66,0,2,2,0.03,3
"James Livingston",1990-03-08,"RW","Sault Ste. Marie Greyhounds",66,0,2,2,0.03,5
"Jesse Blacker",1991-04-19,"D","Windsor Spitfires",67,0,2,2,0.03,10
"Joe Underwood",1990-01-15,"D","Saginaw Spirit",65,0,2,2,0.03,12
"Nathan Martine",1988-05-24,"D","Guelph Storm",68,0,2,2,0.03,7
"P.K. Subban",1989-05-13,"D","Belleville Bulls",56,0,2,2,0.04,3
"Stephen Johnston",1990-02-24,"C","Belleville Bulls",58,0,2,2,0.03,6
"Adam Henrique",1990-02-06,"C","Windsor Spitfires",56,1,0,1,0.02,2
"Adam Payerl",1991-03-04,"C","Barrie Colts",68,1,0,1,0.01,6
"Akim Aliu",1989-04-24,"RW","Sudbury Wolves",45,1,0,1,0.02,2
"Andy Andreoff",1991-05-17,"LW","Oshawa Generals",66,1,0,1,0.02,4
"Austin Watson",1992-01-13,"RW","Windsor Spitfires",63,1,0,1,0.02,3
"Brad Albert",1989-03-06,"D","Brampton Battalion",68,1,0,1,0.01,5
"Brett Theberge",1989-11-03,"C","Peterborough Petes",61,1,0,1,0.02,2
"Chris Terry",1989-04-07,"C","Plymouth Whalers",53,1,0,1,0.02,1
"Cody Lindsay",1990-05-29,"C","Ottawa 67's",68,1,0,1,0.01,2
"Corbin Crawford",1989-07-31,"D","Kingston Frontenacs",64,1,0,1,0.02,6
"Darren Archibald",1990-02-09,"LW","Barrie Colts",68,1,0,1,0.01,2
"Drew Schiestel",1989-03-09,"D","Niagara IceDogs",63,1,0,1,0.02,2
