"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","GWG","ENG","PIM"
"Evgeny Grachev",1990-02-21,"LW","Brampton Battalion",60,40,40,80,1.33,48,9,13,6,0,22
"John Carlson",1990-01-10,"D","London Knights",59,16,60,76,1.29,23,9,34,2,1,65
"Tyler Seguin",1992-01-31,"C","Plymouth Whalers",61,21,46,67,1.1,14,8,12,3,0,28
"Andrei Loktionov",1990-05-30,"C","Windsor Spitfires",51,24,42,66,1.29,28,9,21,4,0,16
"Ethan Werek",1991-06-07,"C","Kingston Frontenacs",66,32,32,64,0.97,-5,12,7,4,0,83
"Jason Akeson",1990-06-03,"RW","Kitchener Rangers",56,20,44,64,1.14,5,5,10,3,1,16
"Calvin de Haan",1991-05-09,"D","Oshawa Generals",68,8,55,63,0.93,3,3,36,1,0,40
"Ryan Spooner",1992-01-30,"C","Peterborough Petes",62,30,28,58,0.94,-23,12,10,5,0,8
"John McFarland",1992-04-02,"C","Sudbury Wolves",58,21,31,52,0.9,-30,7,12,1,0,36
"Jeff Skinner",1992-05-16,"C","Kitchener Rangers",63,27,24,51,0.81,-5,7,9,3,0,34
"Darren Archibald",1990-02-09,"LW","Barrie Colts",68,25,24,49,0.72,13,1,6,1,0,35
"Tyler Toffoli",1992-04-24,"RW","Ottawa 67's",54,17,29,46,0.85,0,5,11,2,0,16
"Michael Sgarbossa",1992-07-25,"C","Barrie Colts",67,10,33,43,0.64,17,2,10,2,1,43
"Marco Insam",1989-06-05,"LW","Niagara IceDogs",59,23,18,41,0.69,5,7,8,4,0,24
"Steven Shipley",1992-04-22,"C","Owen Sound Attack",63,16,23,39,0.62,-22,4,13,1,0,19
"Beau Schmitz",1991-03-26,"D","Plymouth Whalers",66,6,31,37,0.56,3,3,13,1,0,97
"Jeff Brown",1990-06-02,"RW","Oshawa Generals",61,16,20,36,0.59,-18,6,1,0,0,60
"Sergey Korostin",1989-07-05,"RW","Peterborough Petes",49,13,23,36,0.73,-6,5,8,1,0,33
"Garrett Wilson",1991-03-16,"LW","Owen Sound Attack",53,17,18,35,0.66,-7,2,7,2,1,44
"Ryan O'Connor",1992-01-12,"D","Barrie Colts",62,10,25,35,0.56,0,8,20,1,0,28
"Jared Knight",1992-01-16,"C","London Knights",67,15,15,30,0.45,13,4,1,0,0,60
"Austin Watson",1992-01-13,"RW","Windsor Spitfires",63,10,19,29,0.46,15,2,3,2,0,41
"Freddie Hamilton",1992-01-01,"C","Niagara IceDogs",65,10,18,28,0.43,-11,3,4,1,0,8
"Mike Cazzola",1991-03-08,"C","Erie Otters",58,11,16,27,0.47,2,2,2,1,0,27
"Andrew Eastman",1988-12-16,"D","Barrie Colts",67,2,25,27,0.4,5,1,12,0,0,43
"Corey Bureau",1991-04-23,"RW","Mississauga St. Michael's Majors",66,12,14,26,0.39,0,1,4,2,0,45
"Devante Smith-Pelly",1992-06-14,"LW","Mississauga St. Michael's Majors",57,13,12,25,0.44,-4,4,4,0,0,24
