"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","GWG","ENG","PIM"
"Sam Johnston",2007-07-30,"RW","Guelph Storm",23,2,1,3,0.13,-1,0,0,0,0,12
"Ethan Armstrong",2007-01-23,"D","Barrie Colts",14,1,2,3,0.21,-1,0,0,0,0,2
"Jimmy Sutherland",2007-02-14,"LW","Guelph Storm",23,1,2,3,0.13,-9,0,0,0,0,6
"Kieren Dervin",2007-03-31,"C","Kingston Frontenacs",10,1,2,3,0.3,2,0,0,0,0,6
"Andrew MacNiel",2007-07-25,"RD","Kitchener Rangers",33,0,3,3,0.09,6,0,0,0,0,25
"Kaden Sienko",2008-04-19,"D","Saginaw Spirit",18,0,3,3,0.17,4,0,0,0,0,17
"James Paul",2007-10-27,"D","Flint Firebirds",7,1,1,2,0.29,0,0,0,0,0,2
"Rafek Dianov",2007-02-25,"LW","Niagara IceDogs",23,1,1,2,0.09,-2,0,0,0,0,2
"Brady Blaseg",2008-07-21,"D","Oshawa Generals",9,0,2,2,0.22,1,0,0,0,0,2
"Charlie Hotles",2008-07-05,"C","Niagara IceDogs",33,0,2,2,0.06,-6,0,0,0,0,6
"Eric Frossard",2008-01-12,"D","Guelph Storm",30,0,2,2,0.07,-8,0,0,0,0,15
"Haoxi Wang",2007-07-27,"D","Oshawa Generals",32,0,2,2,0.06,3,0,0,0,0,19
"Jaxon Cover",2008-02-13,"LW","London Knights",3,0,2,2,0.67,3,0,0,0,0,2
"Layne Gallacher",2008-02-16,"C","Brantford Bulldogs",9,0,2,2,0.22,3,0,0,0,0,2
"Lucas Teixeira",2007-01-28,"C","Guelph Storm",6,0,2,2,0.33,0,0,0,0,0,0
"Trent Gates",2007-09-17,"LW","Owen Sound Attack",12,0,2,2,0.17,-4,0,0,0,0,0
"Brendan Gerber",2007-02-24,"LW","London Knights",6,1,0,1,0.17,-1,0,0,0,0,0
"Jared Harding",2007-12-05,"D","Brampton Steelheads",14,1,0,1,0.07,-1,0,0,0,0,4
"Kayden Edwards",2008-04-24,"LW","Erie Otters",5,1,0,1,0.2,-1,0,0,0,0,2
"Parker Holmes",2007-03-08,"LW","Brantford Bulldogs",21,1,0,1,0.05,-8,0,0,0,0,14
"Ryan White",2007-06-28,"D","Ottawa 67's",8,1,0,1,0.13,1,0,0,0,0,2
"André Mondoux",2007-03-16,"D","Kingston Frontenacs",8,0,1,1,0.13,0,0,0,0,0,0
"Andrew Willis",2008-09-22,"D","Erie Otters",5,0,1,1,0.2,1,0,0,0,0,0
"Blake Barnes",2008-05-14,"D","Saginaw Spirit",13,0,1,1,0.08,-5,0,0,0,0,8
"Bodhi Ryan",2008-07-08,"C","Sudbury Wolves",3,0,1,1,0.33,0,0,0,0,0,2
"Cole Dubowsky",2007-06-11,"LW","Barrie Colts",22,0,1,1,0.05,-8,0,0,0,0,35
"Darcy Dewachter",2007-03-01,"D","Niagara IceDogs",32,0,1,1,0.03,0,0,0,0,0,10
"Jonah McCormick",2008-10-08,"LW","Barrie Colts",1,0,1,1,1,0,0,0,0,0,0
"Jonathan Kapageridis",2007-05-08,"D","North Bay Battalion",5,0,1,1,0.2,-2,0,0,0,0,2
"Kaden Schneider",2007-06-21,"LD","Kitchener Rangers",14,0,1,1,0.07,-5,0,0,0,0,0
"Kimani Eccleston",2007-08-02,"LW","Sudbury Wolves",2,0,1,1,0.5,1,0,0,0,0,0
"Nick Frasca",2008-05-04,"D","Niagara IceDogs",17,0,1,1,0.06,-3,0,0,0,0,6
"Ryder Simpson",2008-05-08,"LW","Sarnia Sting",6,0,1,1,0.17,-6,0,0,0,0,0
"Ryland Cunningham",2008-06-28,"LW","Flint Firebirds",9,0,1,1,0.11,-2,0,0,0,0,4
"Sam Black",2007-03-08,"LW","Barrie Colts",16,0,1,1,0.06,-3,0,0,0,0,4
"Thanasi Marentette",2007-01-30,"D","Peterborough Petes",28,0,1,1,0.04,-6,0,0,0,0,33
"Adam Smeeton",2007-02-12,"C","North Bay Battalion",1,0,0,0,0,0,0,0,0,0,0
"Andrew Robinson",2008-01-08,"D","Windsor Spitfires",4,0,0,0,0,-2,0,0,0,0,0
"Avry Anstis",2008-03-05,"RW","Kitchener Rangers",1,0,0,0,0,0,0,0,0,0,0
"Camden McCuaig",2008-06-19,"LW","Kingston Frontenacs",4,0,0,0,0,1,0,0,0,0,0
"Chase Gaughan",2008-07-17,"RW","Sarnia Sting",7,0,0,0,0,0,0,0,0,0,0
"Christian Colosimo",2008-12-01,"D","Flint Firebirds",6,0,0,0,0,-2,0,0,0,0,4
"Clarence Allain",2008-06-13,"LW","Ottawa 67's",2,0,0,0,0,0,0,0,0,0,0
"Declan Gallivan",2007-06-03,"D","North Bay Battalion",1,0,0,0,0,-1,0,0,0,0,0
"Finn Kearns",2008-06-08,"D","Sudbury Wolves",5,0,0,0,0,-2,0,0,0,0,2
"Grant Booth",2007-01-03,"LW","Sudbury Wolves",3,0,0,0,0,2,0,0,0,0,0
"Henry Doucet",2008-08-11,"LW","Sudbury Wolves",13,0,0,0,0,-2,0,0,0,0,6
"Hudson Wozney",2008-07-03,"RW","Erie Otters",4,0,0,0,0,-1,0,0,0,0,0
"Jacob Xu",2008-03-13,"LD","Kitchener Rangers",8,0,0,0,0,-2,0,0,0,0,0
"Keagan Knight",2007-01-11,"D","Erie Otters",17,0,0,0,0,-3,0,0,0,0,8
"Liam Campbell",2008-10-22,"LW","Saginaw Spirit",5,0,0,0,0,-1,0,0,0,0,0
"Mason Roy",2008-07-15,"D","Owen Sound Attack",5,0,0,0,0,-4,0,0,0,0,2
"Mason Walker",2008-11-26,"LW","Sudbury Wolves",1,0,0,0,0,0,0,0,0,0,0
"Matthew Andersen",2007-11-27,"D","Sarnia Sting",22,0,0,0,0,-7,0,0,0,0,37
"Michael D'Alessio",2008-12-03,"D","Erie Otters",7,0,0,0,0,-3,0,0,0,0,2
"Nathan McHattie",2007-03-21,"D","Guelph Storm",2,0,0,0,0,-3,0,0,0,0,2
"Noah Barton",2008-10-16,"D","Barrie Colts",2,0,0,0,0,-1,0,0,0,0,0
"Oliver Turner",2007-03-18,"D","Erie Otters",2,0,0,0,0,-1,0,0,0,0,0
"Owen Cartwright",2008-03-28,"D","Brampton Steelheads",20,0,0,0,0,3,0,0,0,0,12
"Patrick Babin",2008-01-30,"D","Brantford Bulldogs",6,0,0,0,0,-1,0,0,0,0,0
"Raiden Doxtator",2008-08-24,"LW","Peterborough Petes",2,0,0,0,0,0,0,0,0,0,0
"Ryan Chamberlain",2008-04-22,"LW","Sarnia Sting",20,0,0,0,0,-6,0,0,0,0,4
"Ryder Cali",2008-09-06,"C","North Bay Battalion",5,0,0,0,0,-3,0,0,0,0,2
"Sam Rivet",2008-02-27,"D","North Bay Battalion",1,0,0,0,0,0,0,0,0,0,0
"Teague Vader",2007-08-23,"D","Barrie Colts",1,0,0,0,0,0,0,0,0,0,0
"Trevor Theuer",2008-02-12,"LW","Saginaw Spirit",6,0,0,0,0,-3,0,0,0,0,0
"Weston Cameron",2008-01-01,"LW","Kitchener Rangers",5,0,0,0,0,-3,0,0,0,0,8
