"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","GWG","ENG","PIM"
"Travis Konecny",1997-03-11,"RW","Ottawa 67's",63,26,44,70,1.11,-15,5,16,1,0,18
"Mitchell Marner",1997-05-05,"RW","London Knights",64,13,46,59,0.92,38,0,9,3,0,24
"Andrew Mangiapane",1996-04-04,"LW","Barrie Colts",68,24,27,51,0.75,19,1,5,2,0,28
"Nick Magyar",1996-05-29,"RW","Kitchener Rangers",66,20,26,46,0.7,-18,3,11,0,0,20
"Blake Speers",1997-01-02,"RW","Sault Ste. Marie Greyhounds",62,19,21,40,0.65,1,3,10,6,0,12
"Dylan Strome",1997-03-07,"C","Erie Otters",60,10,29,39,0.65,17,2,6,4,0,11
"Nikita Korostelev",1997-02-08,"RW","Sarnia Sting",60,17,21,38,0.63,-35,8,3,3,0,23
"Francesco Vilardi",1996-01-09,"C","Plymouth Whalers",68,13,25,38,0.56,-15,3,11,0,0,22
"David Miller",1996-09-25,"C","Sault Ste. Marie Greyhounds",63,18,19,37,0.59,-4,4,3,4,0,27
"Ryan MacInnis",1996-02-14,"C","Kitchener Rangers",66,16,21,37,0.56,-28,6,11,1,0,18
"Anthony Stefano",1996-01-04,"C","Peterborough Petes",65,15,20,35,0.54,3,0,1,3,0,22
"Vince Dunn",1996-10-29,"D","Niagara IceDogs",63,5,28,33,0.52,-8,2,18,0,0,45
"Ryan Foss",1996-01-27,"C","Windsor Spitfires",58,13,19,32,0.55,7,2,3,2,1,10
"Blake Siebenaler",1996-02-27,"D","Niagara IceDogs",68,6,24,30,0.44,-16,3,10,0,0,24
"Cristiano DiGiacinto",1996-01-10,"LW","Windsor Spitfires",50,17,11,28,0.56,8,2,0,1,0,101
"Vladislav Kodola",1996-10-30,"C","Sarnia Sting",67,7,21,28,0.42,-42,1,4,0,0,10
"Stefan LeBlanc",1996-03-16,"D","Mississauga Steelheads",64,5,23,28,0.44,-14,1,11,0,0,26
"Travis  Dermott",1996-12-22,"D","Erie Otters",67,3,25,28,0.42,35,1,9,1,0,45
"Lawson Crouse",1997-06-23,"LW","Kingston Frontenacs",63,15,12,27,0.43,10,3,0,3,0,64
"David Tomasek",1996-02-10,"C","Belleville Bulls",58,13,14,27,0.47,-18,6,2,2,0,8
"Logan Schmidt",1996-05-05,"D","Kitchener Rangers",58,2,23,25,0.43,-17,1,12,0,0,12
"Brett McKenzie",1997-03-12,"C","North Bay Battalion",63,13,10,23,0.37,0,0,1,3,0,25
"Mason Kohn",1997-05-03,"LW","Kitchener Rangers",61,9,13,22,0.36,-15,4,3,1,0,21
"Graham Knott",1997-01-13,"LW","Niagara IceDogs",64,8,14,22,0.34,-18,1,2,0,0,18
"Mitchell Stephens",1997-02-05,"C","Saginaw Spirit",57,9,12,21,0.37,-3,1,1,1,0,8
"Mitchell Vande Sompel",1997-02-11,"D","Oshawa Generals",47,5,15,20,0.43,3,3,7,0,0,18
"Frank Hora",1996-06-01,"D","Kitchener Rangers",65,1,19,20,0.31,-18,1,8,0,0,53
"Jeff King",1996-02-23,"D","Sarnia Sting",61,4,15,19,0.31,-17,1,7,1,0,32
"Matthew Kreis",1997-08-01,"LW","Barrie Colts",57,3,16,19,0.33,2,1,6,0,0,10
"Joe Manchurek",1996-08-10,"RW","Oshawa Generals",64,8,10,18,0.28,4,0,4,2,0,8
"Steven Lorentz",1996-04-13,"C","Peterborough Petes",64,7,11,18,0.28,-4,0,0,2,0,18
"Mathieu Henderson",1996-01-07,"D","Plymouth Whalers",60,6,12,18,0.3,-15,4,8,1,0,31
"Santino Centorame",1996-04-28,"D","Owen Sound Attack",61,3,15,18,0.3,2,1,7,1,0,50
"Thomas Schemitsch",1996-10-26,"D","Owen Sound Attack",63,6,11,17,0.27,-16,3,7,2,0,26
"Jesse Barwell",1997-05-08,"C","Mississauga Steelheads",60,4,13,17,0.28,-20,2,2,0,0,8
"Jacob Busch",1996-07-10,"RW","Oshawa Generals",53,9,7,16,0.3,-3,2,1,1,0,72
"Sean Day",1998-01-09,"D","Mississauga Steelheads",60,6,10,16,0.27,-35,1,5,3,0,34
"Damir Sharipzyanov",1996-02-17,"D","Owen Sound Attack",67,5,11,16,0.24,2,0,0,0,0,65
"Jeffrey Gilligan",1996-04-22,"C","Owen Sound Attack",63,3,12,15,0.24,-8,2,5,0,0,40
"Justin Lemcke",1997-02-13,"D","Belleville Bulls",50,2,13,15,0.3,-7,1,3,0,0,39
"Matt Gillard",1996-08-30,"LW","Niagara IceDogs",45,8,6,14,0.31,-9,0,0,2,0,2
"Aleksandar Mikulovich",1996-07-01,"D","Niagara IceDogs",57,7,7,14,0.25,-14,3,1,2,1,57
"Owen MacDonald",1996-05-24,"RW","London Knights",47,7,7,14,0.3,3,0,0,0,0,31
"Christian  Dvorak",1996-02-02,"LW","London Knights",33,6,8,14,0.42,8,1,0,2,0,0
"Artem Rasulov",1996-06-09,"RW","Mississauga Steelheads",51,2,12,14,0.27,-18,0,2,0,0,15
"Greg DiTomaso",1996-03-12,"D","Mississauga Steelheads",64,2,12,14,0.22,-20,0,9,0,0,35
"Cordell James",1996-06-14,"C","Barrie Colts",66,5,8,13,0.2,10,0,0,0,0,22
"Alexander Protapovich",1996-08-16,"C","Niagara IceDogs",47,4,9,13,0.28,-14,2,2,0,0,16
"Cullen Mercer",1997-05-02,"C","Plymouth Whalers",68,4,9,13,0.19,-9,0,1,0,0,20
"Hayden McCool",1997-04-11,"LW","Niagara IceDogs",57,2,10,12,0.21,-23,1,2,0,0,28
"Kyle Wood",1996-05-04,"D","North Bay Battalion",33,2,10,12,0.36,15,2,2,1,0,21
"Justin Bean",1996-06-25,"D","Belleville Bulls",44,1,10,11,0.25,-10,0,2,0,0,12
"Kyle Capobianco",1997-08-13,"D","Sudbury Wolves",53,0,11,11,0.21,-3,0,4,0,0,18
"Adam Craievich",1997-05-09,"RW","Guelph Storm",41,6,4,10,0.24,-2,0,0,2,0,17
"Ryan Moore",1997-04-09,"C","Windsor Spitfires",65,5,5,10,0.15,-10,1,1,1,0,33
"Everett Clark",1996-01-22,"C","Mississauga Steelheads",48,4,6,10,0.21,0,0,1,0,0,55
"Noah Bushnell",1997-05-30,"RW","Sarnia Sting",62,6,3,9,0.15,-29,0,0,0,0,92
"Austin Gerhart",1997-04-03,"RW","Mississauga Steelheads",59,3,6,9,0.15,-14,1,1,0,0,8
"Dmitrii Sergeev",1996-03-26,"D","Kitchener Rangers",49,2,7,9,0.18,5,1,1,0,0,22
"Josh Wesley",1996-04-09,"D","Plymouth Whalers",68,1,8,9,0.13,-6,0,0,0,0,62
"Mike Davies",1997-02-05,"LW","Kitchener Rangers",60,5,3,8,0.13,-12,0,0,1,0,28
"Andrew Ming",1996-06-13,"LW","Belleville Bulls",54,4,4,8,0.15,-12,0,0,0,0,18
"Stephen Desrocher",1996-01-26,"D","Oshawa Generals",43,4,4,8,0.19,6,3,0,0,0,6
"Cody Caron",1996-05-28,"RW","Niagara IceDogs",57,3,5,8,0.14,-22,1,0,0,0,80
"Troy Henley",1997-01-13,"D","Ottawa 67's",56,2,6,8,0.14,-15,0,0,0,0,26
"Chandler Yakimowicz",1996-01-26,"C","London Knights",33,3,4,7,0.21,11,0,0,0,1,45
"Adam Laishram",1997-04-08,"C","Belleville Bulls",49,2,5,7,0.14,-9,0,0,1,1,8
"Matt Watson",1996-04-25,"D","Kingston Frontenacs",30,2,5,7,0.23,2,0,2,0,0,13
"Johnny Corneil",1997-08-16,"C","Niagara IceDogs",39,4,2,6,0.15,-10,0,0,0,0,12
"Ethan Szypula",1997-01-28,"C","Owen Sound Attack",65,3,3,6,0.09,3,0,1,0,0,14
"Jake Bricknell",1997-07-15,"RW","Belleville Bulls",55,2,4,6,0.11,-16,0,0,0,0,62
"Matteo Ciccarelli",1996-12-04,"LW","Sarnia Sting",48,2,4,6,0.13,-18,0,0,0,0,34
"Charley Graaskamp",1996-01-31,"C","Sault Ste. Marie Greyhounds",11,1,5,6,0.55,8,0,0,1,0,8
"Tyler MacArthur",1997-05-25,"D","Owen Sound Attack",57,1,5,6,0.11,1,0,0,0,0,39
"Zach Wilkie",1997-02-24,"D","Niagara IceDogs",35,1,5,6,0.17,-2,0,0,0,0,35
"Zachary Core",1996-04-24,"D","Sarnia Sting",55,1,5,6,0.11,-33,0,0,0,0,33
"Adrian Sloboda",1996-08-20,"D","Ottawa 67's",45,0,6,6,0.13,-13,0,2,0,0,24
"Nick Pastorious",1996-05-09,"RW","Barrie Colts",36,3,2,5,0.14,1,0,0,0,0,46
"Bryce Yetman",1997-02-21,"RW","Plymouth Whalers",39,2,3,5,0.13,-11,1,0,0,0,12
"Brandon Hughes",1996-01-06,"LW","Sault Ste. Marie Greyhounds",31,1,4,5,0.16,3,0,0,0,0,8
"Aiden Jamieson",1996-03-23,"D","London Knights",24,0,5,5,0.21,3,0,0,0,0,4
"Colton White",1997-05-03,"D","Sault Ste. Marie Greyhounds",57,0,5,5,0.09,10,0,0,0,0,2
"Patrick White",1996-02-13,"C","Sarnia Sting",37,4,0,4,0.11,-12,0,0,0,0,2
"Justin Brack",1996-02-04,"LW","Owen Sound Attack",67,2,2,4,0.06,-12,0,0,0,0,55
"Liam Dunda",1997-09-15,"LW","Plymouth Whalers",50,1,3,4,0.08,-11,0,0,0,0,56
"Owen McDade",1996-02-11,"C","Oshawa Generals",44,1,3,4,0.09,-2,0,0,0,0,22
"Vincent Scognamiglio",1996-09-01,"RW","Plymouth Whalers",41,1,3,4,0.1,-8,1,0,1,0,74
"Riley Bruce",1997-07-16,"D","North Bay Battalion",57,0,4,4,0.07,-18,0,0,0,0,39
"Ryan Orban",1997-07-24,"D","Saginaw Spirit",42,0,4,4,0.1,1,0,0,0,0,21
"Nathan Bastian",1997-12-06,"C","Mississauga Steelheads",21,2,1,3,0.14,-5,0,0,0,0,6
"Quentin Maksimovich",1996-03-30,"C","Erie Otters",33,2,1,3,0.09,-3,0,0,1,0,17
"Connor Schlichting",1997-05-17,"D","Sarnia Sting",51,1,2,3,0.06,-30,0,0,0,0,35
"Doug Blaisdell",1997-02-20,"D","Kitchener Rangers",49,1,2,3,0.06,-20,0,0,0,0,19
"Ryan Heeps",1997-01-30,"C","Owen Sound Attack",50,1,2,3,0.06,-6,1,0,1,0,17
"Josh Carrick",1996-01-24,"D","Barrie Colts",31,0,3,3,0.1,5,0,0,0,0,26
"Keigan Goetz",1996-09-07,"RW","Sault Ste. Marie Greyhounds",26,0,3,3,0.12,0,0,0,0,0,27
"Connor Graham",1996-01-02,"C","Ottawa 67's",48,1,1,2,0.04,-24,0,0,0,0,31
"Zachary Senyshyn",1997-03-30,"RW","Sault Ste. Marie Greyhounds",4,1,1,2,0.5,-1,1,0,0,0,0
"Cameron Lizotte",1997-08-24,"D","Peterborough Petes",33,0,2,2,0.06,6,0,0,0,0,22
"David Eccles",1996-06-04,"D","Sault Ste. Marie Greyhounds",25,0,2,2,0.08,-7,0,0,0,0,7
"James Mense-Dietrich",1996-05-17,"RW","Kitchener Rangers",8,0,2,2,0.25,-1,0,0,0,0,0
"Trevor Dulong",1996-06-09,"C","Ottawa 67's",18,0,2,2,0.11,-6,0,0,0,0,6
"Austin Veleke",1996-04-09,"LW","Sudbury Wolves",7,1,0,1,0.14,-2,0,0,0,0,6
"Chris Cobham",1996-05-12,"LW","Windsor Spitfires",40,1,0,1,0.03,-5,0,0,0,0,23
"Michael Holmes",1997-02-03,"D","Saginaw Spirit",32,1,0,1,0.03,-6,0,0,0,0,10
"Nick Sproviero",1995-02-12,"LW","Sarnia Sting",13,1,0,1,0.08,-5,0,0,0,0,6
"Alex Di Carlo",1997-03-25,"D","Plymouth Whalers",5,0,1,1,0.2,0,0,1,0,0,0
"Andrew Burns",1997-02-02,"D","Windsor Spitfires",7,0,1,1,0.14,-4,0,0,0,0,0
"Austin Clapham",1997-07-09,"D","Sudbury Wolves",12,0,1,1,0.08,5,0,0,0,0,2
"Connor Walters",1997-06-05,"D","Owen Sound Attack",15,0,1,1,0.07,2,0,0,0,0,0
"Daniel Robertson",1997-06-04,"D","Oshawa Generals",5,0,1,1,0.2,1,0,0,0,0,0
"Jacob Cascagnette",1997-03-22,"LW","Kitchener Rangers",13,0,1,1,0.08,-2,0,0,0,0,0
"Maurizio Colella",1997-03-21,"LW","Belleville Bulls",23,0,1,1,0.04,-4,0,0,0,0,4
"Medric Mercier",1996-10-17,"D","Sault Ste. Marie Greyhounds",2,0,1,1,0.5,1,0,0,0,0,2
"Mitchell Webb",1997-01-10,"LW","Peterborough Petes",34,0,1,1,0.03,-10,0,0,0,0,12
"Aaron Luchuk",1997-04-05,"C","Windsor Spitfires",3,0,0,0,0,0,0,0,0,0,0
"Anthony Kotsovos",1996-12-23,"D","Windsor Spitfires",9,0,0,0,0,1,0,0,0,0,6
"Ben Fanjoy",1997-05-10,"C","Ottawa 67's",2,0,0,0,0,-1,0,0,0,0,0
"Cam Garrow",1996-04-24,"D","London Knights",1,0,0,0,0,-2,0,0,0,0,0
"Cameron Hughes",1996-06-20,"LW","Windsor Spitfires",34,0,0,0,0,-4,0,0,0,0,14
"David Zeppieri",1997-02-04,"C","Sudbury Wolves",35,0,0,0,0,-5,0,0,0,0,22
"Dylan McDonald",1997-02-10,"C","Ottawa 67's",4,0,0,0,0,-2,0,0,0,0,0
"Hayden Verbeek",1997-10-17,"C","Sault Ste. Marie Greyhounds",5,0,0,0,0,-4,0,0,0,0,0
"John  Warren",1997-01-10,"LW","London Knights",1,0,0,0,0,0,0,0,0,0,0
