"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Paulo Colaiacovo","6.01",200,"Belleville Bulls",1983-01-27,2,15,19,0.789,51.78,4,10.9,0,0,0,0,0,0,0,0,0
"Paul Drew","5.10",199,"Plymouth Whalers",1983-11-20,1,1,1,1,87.8,0,0,0,0,0,0,0,0,0,0,0
"Mike Smith","6.04",195,"Sudbury Wolves",1982-11-22,12,304,330,0.921,26.94,26,2.12,2,7,4,1,5,0,0,0,2
"Seamus Kotyk","5.11",185,"Ottawa 67's",1980-10-07,20,567,613,0.925,31.77,46,2.38,3,16,4,0,4,0,0,0,8
"Peter Budaj","6.01",190,"Toronto St. Michael's Majors",1982-09-18,11,338,364,0.929,35.15,26,2.51,1,6,4,0,4,0,0,0,0
"Joey MacDonald","6.00",180,"Peterborough Petes",1980-02-07,7,261,279,0.935,39.33,18,2.54,0,3,3,1,4,0,0,0,2
"David Chant","6.00",188,"Barrie Colts",1981-03-26,5,148,160,0.925,35.2,12,2.64,0,1,4,0,4,0,0,0,0
"John Ceci","5.11",165,"Ottawa 67's",1983-08-19,3,24,26,0.923,34.9,2,2.68,0,0,0,0,0,0,0,0,0
"Rob Zepp","6.01",198,"Plymouth Whalers",1981-09-07,19,472,523,0.902,27.54,51,2.69,2,14,5,0,5,0,0,0,4
"Ryan Aschaber","6.03",190,"Windsor Spitfires",1982-01-29,2,9,10,0.9,28.71,1,2.87,0,0,0,0,0,0,0,0,0
"J.F. Perras","6.00",170,"Erie Otters",1981-04-29,9,174,193,0.902,29.69,19,2.92,0,3,4,0,4,0,0,0,0
"Brian Finley","6.03",181,"Brampton Battalion",1981-07-03,9,284,310,0.916,36.92,26,3.1,1,5,4,0,4,0,0,0,0
"Michael Leighton","6.02",175,"Windsor Spitfires",1981-05-19,9,287,314,0.914,36.29,27,3.12,1,4,5,0,5,0,0,0,4
"Adam Munro","6.01",200,"Erie Otters",1982-11-12,10,228,255,0.894,30,27,3.18,1,6,2,0,2,0,0,0,0
"Brad Topping","6.01",198,"Brampton Battalion",1984-06-05,2,5,7,0.714,11.59,2,3.31,0,0,0,0,0,0,0,0,0
"Robert Gherson","6.01",175,"Sarnia Sting",1983-10-08,4,97,106,0.915,40.11,9,3.41,0,0,2,0,2,0,0,0,0
"Jan Chovan","6.00",190,"Belleville Bulls",1983-09-07,10,294,332,0.886,32.21,38,3.69,0,6,3,1,4,0,0,0,0
"Alex Auld","6.04",200,"North Bay Centennials",1981-01-07,4,128,143,0.895,35.75,15,3.75,0,0,4,0,4,0,0,0,0
"Andy Chiodo","6.00",195,"Toronto St. Michael's Majors",1983-04-25,9,269,299,0.9,37.43,30,3.76,0,2,6,0,6,0,0,0,0
"Aaron Molnar","6.00",175,"London Knights",1981-10-08,5,186,205,0.907,43.15,19,4,0,1,4,0,4,0,0,0,0
"Glenn Ridler","5.08",150,"Kingston Frontenacs",1982-10-01,3,85,95,0.895,39.01,10,4.11,0,0,1,1,2,0,0,0,0
"Craig Anderson","6.02",185,"Guelph Storm",1981-05-21,4,130,147,0.884,36.75,17,4.25,0,0,4,0,4,0,0,0,0
"Cory Roberts","6.02",175,"Owen Sound Attack",1982-06-07,5,183,202,0.906,47.82,19,4.5,0,1,3,0,3,0,0,0,6
"Justin Day","6.00",182,"Owen Sound Attack",1983-01-21,2,32,36,0.889,46.39,4,5.15,0,0,1,0,1,0,0,0,0
"Peter Hamerlik","6.02",190,"Kingston Frontenacs",1982-01-02,3,81,94,0.862,42.74,13,5.91,0,0,2,0,2,0,0,0,0
"Mike D'Alessandro","5.10",180,"Barrie Colts",1981-08-14,1,16,19,0.842,41.81,3,6.6,0,0,0,0,0,0,0,0,2
"Cory Campbell","6.00",190,"Sarnia Sting",1981-07-27,2,63,73,0.863,53.78,10,7.37,0,0,2,0,2,0,0,0,0
"Christopher Lawrence","5.11",180,"London Knights",NA,1,7,10,0.7,40.22,3,12.07,0,0,0,0,0,0,0,0,0
