"Name","BD","Pos","Team","GP","SHG","SHA","SHPTS","SHPTS/G","SHPTS%"
"Easton Cowan",2005-05-20,"RW","London Knights",54,7,7,14,0.26,15
"Denver Barkey",2005-04-27,"LW","London Knights",64,7,4,11,0.17,11
"Gavin Bryant",2004-07-24,"C","Niagara IceDogs",62,4,5,9,0.15,17
"Ruslan Gazizov",2004-01-21,"RW","London Knights",63,5,2,7,0.11,9
"Malcolm Spence",2006-09-22,"LW","Erie Otters",66,4,3,7,0.11,11
"Carey Terrance",2005-05-10,"C","Erie Otters",56,5,1,6,0.11,12
"Kevin He",2006-04-30,"LW","Niagara IceDogs",64,3,3,6,0.09,11
"Marco Mignosa",2005-04-13,"RW","Soo Greyhounds",57,2,4,6,0.11,11
"Owen Allard",2004-01-13,"C","Soo Greyhounds",55,2,4,6,0.11,14
"AJ Spellacy",2006-02-24,"C","Windsor Spitfires",67,5,0,5,0.07,13
"Marek Vanacker",2006-04-12,"LW","Brantford Bulldogs",68,5,0,5,0.07,6
"Justin Ertel",2003-05-27,"LW","North Bay Battalion",64,4,1,5,0.08,7
"Oliver Peer",2003-03-09,"C","Flint Firebirds",67,4,1,5,0.07,6
"Ethan Burroughs",2003-06-19,"RW","Owen Sound Attack",68,3,2,5,0.07,7
"Gavin Hayes",2004-05-14,"RW","Soo Greyhounds",55,3,2,5,0.09,7
"Lawson Sherk",2003-05-03,"C","Brantford Bulldogs",65,3,2,5,0.08,18
"Matthew Sop",2003-02-04,"C","Kitchener Rangers",67,3,2,5,0.07,6
"Braeden Kressler",2003-01-05,"C","Ottawa 67's",65,1,4,5,0.08,7
"Oliver Bonk",2005-01-09,"D","London Knights",60,0,5,5,0.08,7
"Alex Kostov",2006-06-03,"RW","Flint Firebirds",66,4,0,4,0.06,15
"Alex Assadourian",2005-07-24,"C","Niagara IceDogs",45,3,1,4,0.09,15
"Beau Jelsma",2004-04-28,"C","Barrie Colts",67,3,1,4,0.06,5
"Ben Bujold",2004-03-03,"C","Brantford Bulldogs",63,3,1,4,0.06,10
"Bruce McDonald",2004-12-18,"C","Erie Otters",65,3,1,4,0.06,11
"Cole Beaudoin",2006-04-24,"C","Barrie Colts",67,3,1,4,0.06,6
"Deni Goure",2003-07-15,"C","Owen Sound Attack",68,3,1,4,0.06,4
"Jacob Julien",2004-09-12,"C","London Knights",67,3,1,4,0.06,5
"Jordan D'Intino",2003-03-01,"LW","Soo Greyhounds",54,3,1,4,0.07,10
"Max McCue",2003-02-10,"RW","London Knights",62,2,2,4,0.06,7
"Michael Podolioukh",2004-11-28,"C","Niagara IceDogs",24,2,2,4,0.17,31
"Nathan Poole",2004-07-28,"C","Kingston Frontenacs",58,2,2,4,0.07,25
"Nick Yearwood",2004-07-15,"LW","Sudbury Wolves",62,2,2,4,0.06,13
"Jacob Maillet",2003-03-13,"C","Ottawa 67's",69,1,3,4,0.06,7
"Kirill Kudryavtsev",2004-02-05,"D","Soo Greyhounds",67,1,3,4,0.06,9
"Linus Hemström",2004-01-16,"RW","Kingston Frontenacs",61,1,3,4,0.07,8
"Isaiah George",2004-02-15,"D","London Knights",68,0,4,4,0.06,13
"Kashawn Aitcheson",2006-09-21,"D","Barrie Colts",64,0,4,4,0.06,10
"Liam Greentree",2006-01-01,"LW","Windsor Spitfires",64,0,4,4,0.06,4
"Colby Barlow",2005-02-14,"LW","Owen Sound Attack",50,3,0,3,0.06,5
"Coulson Pitre",2004-12-13,"RW","Flint Firebirds",55,3,0,3,0.05,5
"Dalibor Dvorský",2005-06-15,"C","Sudbury Wolves",52,3,0,3,0.06,3
"Justin Cloutier",2005-06-20,"RW","Soo Greyhounds",68,3,0,3,0.04,7
"Marko Sikic",2003-03-24,"RW","Sarnia Sting",66,3,0,3,0.05,5
"Nathan Villeneuve",2006-04-13,"C","Sudbury Wolves",56,3,0,3,0.05,6
"Owen Van Steensel",2004-08-04,"LW","North Bay Battalion",65,3,0,3,0.05,3
"Zach Wigle",2004-01-12,"C","Barrie Colts",63,3,0,3,0.05,12
"Zacharie Giroux",2003-04-05,"C","Sudbury Wolves",61,3,0,3,0.05,5
"Braeden Bowman",2003-06-26,"RW","Guelph Storm",68,2,1,3,0.04,4
"Cole Davis",2006-06-22,"LW","Windsor Spitfires",63,2,1,3,0.05,7
"Mathieu Paris",2005-01-01,"RW","Niagara IceDogs",54,2,1,3,0.06,10
"Owen Beck",2004-02-03,"C","Saginaw Spirit",57,2,1,3,0.05,4
"Sam O'Reilly",2006-03-30,"C","London Knights",68,2,1,3,0.04,5
