"Name","Rookie","BD","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","GWG","ENG","PIM"
"Zayne Parekh","NO",2006-02-15,"6.00",185,"D","Saginaw Spirit",66,33,63,96,1.45,39,10,24,34,6,1,64
"Liam Greentree","NO",2006-01-01,"6.03",216,"LW","Windsor Spitfires",64,36,54,90,1.41,-14,11,12,23,1,3,33
"Marek Vanacker","NO",2006-04-12,"6.01",188,"LW","Brantford Bulldogs",68,36,46,82,1.21,7,4,18,22,4,0,55
"Luke Misa","NO",2005-11-25,"5.10",176,"C","Mississauga Steelheads",66,26,55,81,1.23,35,6,15,21,3,3,8
"Jett Luchanko","NO",2006-08-21,"5.11",191,"C","Guelph Storm",68,20,54,74,1.09,-13,3,30,33,3,1,36
"Sam Dickinson","NO",2006-06-07,"6.03",210,"D","London Knights",68,18,52,70,1.03,56,11,17,28,2,0,30
"Beckett Sennecke","NO",2006-01-28,"6.04",195,"RW","Oshawa Generals",63,27,41,68,1.08,33,7,14,21,7,1,67
"Jacob Battaglia","NO",2006-03-17,"6.01",202,"RW","Kingston Frontenacs",67,31,34,65,0.97,-15,12,10,22,1,0,34
"Riley Patterson","YES",2006-03-22,"6.00 ",194,"C","Barrie Colts",68,29,33,62,0.91,7,3,11,14,4,1,10
"Cole Beaudoin","NO",2006-04-24,"6.02",211,"C","Barrie Colts",67,28,34,62,0.93,2,12,6,18,4,1,27
"Henry Mews","NO",2006-03-09,"6.01",183,"D","Ottawa 67's",65,15,46,61,0.94,16,2,19,21,3,0,65
"Christopher Thibodeau","NO",2005-10-13,"5.10",170,"RW","Kingston Frontenacs",68,21,39,60,0.88,2,0,14,14,4,0,14
"Luca Marrelli","NO",2005-10-04,"6.02",185,"D","Oshawa Generals",67,6,51,57,0.85,28,1,18,19,2,0,16
"Sam O'Reilly","YES",2006-03-30,"6.01",190,"C","London Knights",68,20,36,56,0.82,32,4,7,11,2,1,34
"Kevin He","NO",2006-04-30,"6.00",182,"LW","Niagara IceDogs",64,31,22,53,0.83,-13,3,4,7,3,1,66
"Nathan Villeneuve","NO",2006-04-13,"6.00",195,"C","Sudbury Wolves",56,23,27,50,0.89,10,3,4,7,3,0,58
"Kieron Walton","NO",2006-04-22,"6.06",227,"LW","Sudbury Wolves",65,18,25,43,0.66,-5,4,4,8,2,0,18
"Jakub Fibigr","YES",2006-07-22,"6.01",195,"D","Mississauga Steelheads",61,7,36,43,0.7,13,2,11,13,2,0,35
"Cole Davis","YES",2006-06-22,"5.11",188,"LW","Windsor Spitfires",63,20,21,41,0.65,-37,6,5,11,2,1,55
"Braydon McCallum","YES",2006-05-03,"5.10",192,"RW","Peterborough Petes",62,18,23,41,0.66,-9,5,3,8,2,2,128
"AJ Spellacy","NO",2006-02-24,"6.03",204,"C","Windsor Spitfires",67,21,17,38,0.57,-22,3,4,7,3,0,59
"Jacob Therrien","NO",2006-02-08,"5.08",165,"RW","North Bay Battalion",61,20,18,38,0.62,2,1,3,4,0,1,77
"Anthony Cristoforo","NO",2006-02-23,"5.11",195,"D","Windsor Spitfires",67,7,31,38,0.57,-43,4,12,16,1,0,29
"Sam McCue","NO",2005-10-03,"6.02",200,"RW","Owen Sound Attack",68,23,14,37,0.54,-10,5,2,7,0,0,53
"Ethan Procyszyn","NO",2006-07-11,"6.03",192,"C","North Bay Battalion",62,15,21,36,0.58,2,2,3,5,2,0,67
"Mason Zebeski","NO",2005-10-04,"6.02",197,"LW","Mississauga Steelheads",55,24,11,35,0.64,9,7,3,10,7,0,52
"Charlie Paquette","NO",2005-12-06,"6.02",207,"RW","Guelph Storm",68,21,14,35,0.51,-15,3,2,5,7,0,55
"Mike Levin","NO",2005-10-16,"5.08",158,"LW","Niagara IceDogs",60,18,17,35,0.58,-14,2,3,5,2,0,27
"Nathan Aspinall","NO",2006-03-30,"6.07",207,"LW","Flint Firebirds",65,18,16,34,0.52,-8,2,0,2,3,0,23
"Lukas Fischer","NO",2006-09-09,"6.03",184,"D","Sarnia Sting",68,6,28,34,0.5,-27,4,9,13,0,0,79
"Luke Ellinas","YES",2006-03-12,"6.01",186,"LW","Kitchener Rangers",67,16,17,33,0.49,8,2,1,3,2,1,75
"Ben Danford","NO",2006-02-06,"6.02",200,"D","Oshawa Generals",64,1,32,33,0.52,27,0,4,4,0,0,25
"Jack Van Volsen","NO",2006-01-12,"6.02",190,"C","Mississauga Steelheads",63,20,12,32,0.51,-2,5,5,10,2,0,27
"Gabriel Frasca","NO",2006-02-18,"6.01",190,"C","Kingston Frontenacs",44,15,17,32,0.73,-13,5,7,12,4,0,18
"Christopher Brown","NO",2006-01-27,"5.11",183,"C","Soo Greyhounds",66,7,24,31,0.47,13,0,1,1,1,0,8
"Kaden Pitre","NO",2006-02-08,"6.00",185,"C","Flint Firebirds",35,10,20,30,0.86,-9,1,7,8,0,1,29
"Carson Woodall","YES",2006-05-25,"5.11",179,"D","Windsor Spitfires",57,6,23,29,0.51,-24,0,10,10,1,0,22
"Bode Stewart","NO",2006-02-09,"6.01",190,"LW","Barrie Colts",57,13,13,26,0.46,-8,1,0,1,1,0,23
"Alex Kostov","NO",2006-06-03,"6.04",208,"RW","Flint Firebirds",66,12,14,26,0.39,-4,1,0,1,2,1,65
"Luca Testa","NO",2006-04-10,"6.01",190,"C","Brantford Bulldogs",48,14,11,25,0.52,6,5,1,6,1,0,28
"Frankie Marrelli","NO",2006-02-16,"5.11",187,"D","Ottawa 67's",60,9,16,25,0.42,30,2,2,4,1,1,62
"Parker von Richter","NO",2006-05-17,"6.01",195,"D","Mississauga Steelheads",65,3,22,25,0.38,1,1,5,6,1,0,35
"Ben Cormier","NO",2006-07-20,"6.00",180,"C","Owen Sound Attack",65,14,10,24,0.37,-13,1,2,3,2,1,4
"Jack Brauti","YES",2006-05-24,"6.00",165,"D","Barrie Colts",62,9,12,21,0.34,-8,1,2,3,0,0,60
"Leo Serlin","YES",2006-01-20,"6.00",190,"RW","Guelph Storm",64,10,10,20,0.31,-2,0,5,5,2,0,23
"William Nicholl","YES",2006-05-24,"6.00",184,"C","London Knights",65,6,14,20,0.31,-2,0,0,0,0,0,38
"Jakub Chromiak","NO",2005-11-02,"5.11",183,"D","Kingston Frontenacs",55,5,14,19,0.35,-10,0,1,1,1,0,18
"Justin Bottineau","NO",2006-01-11,"6.00",168,"LW","Kitchener Rangers",61,5,14,19,0.31,2,0,2,2,1,0,28
"Owen Protz","YES",2006-02-07,"6.02",207,"D","Brantford Bulldogs",66,3,16,19,0.29,4,0,1,1,1,0,49
"Matthew Jenken","NO",2005-10-12,"6.04",202,"D","Flint Firebirds",68,2,16,18,0.26,-21,1,0,1,0,0,39
"Tyler Graham","NO",2006-08-10,"5.10",192,"LW","Oshawa Generals",61,7,10,17,0.28,-10,1,0,1,1,0,28
"Sean Doherty","YES",2006-03-23,"6.01",185,"RW","Sarnia Sting",61,6,11,17,0.28,-11,0,1,1,0,0,6
"Caden Kelly","NO",2006-01-15,"5.11",198,"RW","Ottawa 67's",55,4,11,15,0.27,-3,0,0,0,0,0,39
"Matthew Virgilio","NO",2006-03-24,"5.11",200,"D","Soo Greyhounds",66,4,11,15,0.23,8,0,0,0,0,1,35
"Conor Walton","YES",2006-04-22,"6.05",207,"D","Windsor Spitfires",64,1,14,15,0.23,-24,0,0,0,1,0,32
"Lincoln Moore","NO",2005-09-21,"6.02",215,"RW","Saginaw Spirit",50,5,8,13,0.26,-9,0,0,0,0,0,9
"Nathan Omeri","YES",2006-06-15,"5.11",175,"D","Sarnia Sting",59,5,8,13,0.22,-13,1,1,2,1,0,14
"Carter Lowe","NO",2006-03-01,"6.03",220,"LW","Barrie Colts",62,4,9,13,0.21,-11,3,0,3,0,0,10
"Evan Van Gorp","YES",2006-05-18,"5.11",180,"LW","London Knights",44,6,6,12,0.27,-7,0,0,0,0,0,14
"Josef Eichler","NO",2005-12-14,"6.00",194,"D","Windsor Spitfires",64,5,7,12,0.19,-31,1,2,3,0,0,128
"William Eggleton","YES",2006-02-19,"5.11",180,"LW","Mississauga Steelheads",64,8,3,11,0.17,0,0,0,0,1,1,41
"Masen Wray","NO",2006-05-15,"6.04",194,"C","Niagara IceDogs",63,5,6,11,0.17,-27,0,0,0,2,0,35
"Callum Cheynowski","NO",2006-08-04,"6.00",195,"D","Niagara IceDogs",52,2,9,11,0.21,-26,1,0,1,0,0,16
"Spencer Evans","YES",2006-05-12,"6.01",198,"D","Soo Greyhounds",41,1,10,11,0.27,10,0,0,0,0,0,40
"Vann Williamson","YES",2006-07-19,"6.02",196,"D","Kingston Frontenacs",38,3,7,10,0.26,5,0,0,0,0,0,17
"Zackary Sandhu","NO",2005-12-20,"6.02",206,"D","Oshawa Generals",59,3,7,10,0.17,6,0,0,0,1,0,62
"Andrew Vermeulen","NO",2006-02-07,"6.02",200,"LW","Niagara IceDogs",47,5,4,9,0.19,-16,0,0,0,0,0,22
"Carson Hall","YES",2006-04-29,"6.02",190,"LW","Sarnia Sting",51,5,4,9,0.18,-21,0,1,1,0,0,31
"Carson Campbell","NO",2006-06-08,"6.01",180,"RD","Kitchener Rangers",58,0,8,8,0.14,-5,0,0,0,0,0,25
"Noah Roberts","NO",2005-12-02,"6.01",199,"D","Brantford Bulldogs",53,0,8,8,0.15,12,0,0,0,0,0,84
"Charlie Hilton","YES",2006-09-15,"6.05",219,"LW","Ottawa 67's",32,4,3,7,0.22,-2,0,0,0,0,0,29
