"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","GWG","ENG","PIM"
"Andrei Svechnikov",2000-03-26,"RW","Barrie Colts",44,40,32,72,1.64,26,9,12,6,3,67
"Cam Hillis",2000-06-24,"C","Guelph Storm",60,20,39,59,0.98,-12,10,10,3,1,48
"Arthur Kaliyev",2001-06-26,"RW","Hamilton Bulldogs",68,31,17,48,0.71,17,6,4,3,1,20
"Rasmus Sandin",2000-03-07,"D","Sault Ste. Marie Greyhounds",51,12,33,45,0.88,35,4,12,1,0,24
"Blake Murray",2001-07-05,"C","Sudbury Wolves",57,21,23,44,0.77,-17,9,5,0,0,8
"Blade Jenkins",2000-08-11,"LW","Saginaw Spirit",68,20,24,44,0.65,-19,3,2,2,1,20
"Ryan Suzuki",2001-05-28,"C","Barrie Colts",64,14,30,44,0.69,15,2,7,1,0,10
"Nick Robertson",2001-09-11,"C","Peterborough Petes",62,15,18,33,0.53,-27,5,6,1,1,14
"Ryan Roth",2000-07-20,"RW","Sault Ste. Marie Greyhounds",68,15,18,33,0.49,28,3,5,1,0,12
"Maxim Golod",2000-08-18,"LW","Erie Otters",61,12,21,33,0.54,-11,3,3,1,0,30
"Mathew MacDougall",2000-01-23,"LW","Windsor Spitfires",66,17,15,32,0.48,-11,1,1,5,2,14
"Mitchell Hoelscher",2000-01-27,"C","Ottawa 67's",67,10,18,28,0.42,1,2,3,0,1,46
"Nick Wong",2001-09-17,"RW","Oshawa Generals",63,17,9,26,0.41,-9,6,2,3,0,12
"Hayden Fowler",2001-09-24,"RW","Erie Otters",61,12,14,26,0.43,-1,4,3,1,0,34
"Billy Moskal",2000-03-22,"C","London Knights",66,7,19,26,0.39,4,1,2,1,0,44
"Graeme Clarke",2001-04-24,"RW","Ottawa 67's",63,14,11,25,0.4,-16,6,5,2,0,26
"Alec Regula",2000-08-06,"D","London Knights",67,7,18,25,0.37,23,0,0,0,1,22
"Philip Tomasino",2001-07-28,"C","Niagara IceDogs",61,5,19,24,0.39,-12,0,1,4,0,18
"Brandon Coe",2001-12-01,"RW","North Bay Battalion",63,10,13,23,0.37,1,0,0,1,0,18
"Merrick Rippon",2000-04-27,"D","Ottawa 67's",68,4,19,23,0.34,4,0,4,0,0,72
"Riley McCourt",2000-06-26,"D","Flint Firebirds",56,5,17,22,0.39,-13,2,6,1,0,28
"Jake Goldowski",2000-05-07,"RW","Saginaw Spirit",40,11,10,21,0.53,-9,3,2,2,0,4
"Cody Morgan",2001-02-01,"C","Windsor Spitfires",63,10,11,21,0.33,-3,1,0,3,0,7
"Sam Bitten",2000-03-21,"C","Ottawa 67's",68,7,14,21,0.31,-8,0,0,1,0,25
"Caleb Everett",2000-01-20,"D","Saginaw Spirit",58,6,14,20,0.34,-11,1,3,0,0,51
"Jamieson Rees",2001-02-26,"C","Sarnia Sting",46,5,15,20,0.43,5,1,3,0,0,14
"Daylon Groulx",2000-06-07,"RW","Owen Sound Attack",56,13,6,19,0.34,6,2,0,0,0,76
"Daniel D'Amico",2001-01-26,"C","Windsor Spitfires",59,12,7,19,0.32,4,1,0,3,1,31
"Ethan Keppen",2001-03-20,"LW","Flint Firebirds",63,10,8,18,0.29,-21,1,2,1,0,47
"Joe Carroll",2001-02-01,"LW","Sault Ste. Marie Greyhounds",53,9,9,18,0.34,-3,1,2,2,0,26
"Cole Schwindt",2001-04-25,"RW","Mississauga Steelheads",66,8,10,18,0.27,-4,2,0,0,0,20
"Jack Wismer",2000-02-24,"RW","Flint Firebirds",67,8,9,17,0.25,-16,1,1,1,0,16
"Nolan Hutcheson",2000-06-26,"LW","Sudbury Wolves",62,8,9,17,0.27,-13,0,1,2,0,40
"Ryan Stepien",2001-09-19,"RW","Saginaw Spirit",50,10,6,16,0.32,-6,0,1,0,0,11
"Chad Yetman",2000-02-18,"RW","Erie Otters",56,9,7,16,0.29,-7,0,0,2,1,4
"Connor McMichael",2001-01-15,"C","London Knights",60,8,8,16,0.27,-7,0,2,4,0,14
"Keean Washkurak",2001-08-16,"C","Mississauga Steelheads",61,6,9,15,0.25,-2,1,1,0,0,32
