"Name","Rookie","BD","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","GWG","ENG","PIM"
"Evan Bouchard","NO",1999-10-20,"6.02",198,"D","London Knights",67,25,62,87,1.3,23,10,23,33,7,1,54
"Akil Thomas","NO",2000-01-02,"6.00",180,"C","Niagara IceDogs",68,22,59,81,1.19,6,6,26,32,3,0,36
"Andrei Svechnikov","YES",2000-03-26,"6.03",184,"RW","Barrie Colts",44,40,32,72,1.64,26,9,12,21,6,3,67
"Ryan McLeod","NO",1999-09-21,"6.03",205,"C","Mississauga Steelheads",68,26,44,70,1.03,-2,6,21,27,2,0,26
"Ryan Merkley","NO",2000-08-14,"5.11",170,"D","Guelph Storm",63,13,54,67,1.06,-29,2,32,34,1,1,63
"Aidan Dudas","NO",2000-06-15,"5.08",168,"C","Owen Sound Attack",68,31,34,65,0.96,1,6,9,15,2,0,12
"Allan McShane","NO",2000-02-14,"6.00",181,"LW","Oshawa Generals",67,20,45,65,0.97,3,7,14,21,0,1,16
"Barrett Hayton","NO",2000-06-09,"6.01",191,"C","Sault Ste. Marie Greyhounds",63,21,39,60,0.95,24,8,13,21,5,1,32
"Ty Dellandrea","NO",2000-07-21,"6.01",190,"C","Flint Firebirds",67,27,32,59,0.88,-30,10,9,19,5,2,48
"Cam Hillis","YES",2000-06-24,"5.11",174,"C","Guelph Storm",60,20,39,59,0.98,-12,10,10,20,3,1,48
"Nathan Dunkley","NO",2000-03-05,"5.11",181,"LW","London Knights",60,21,36,57,0.95,16,7,9,16,2,0,36
"Serron Noel","NO",2000-08-08,"6.06",216,"RW","Oshawa Generals",62,28,25,53,0.85,-8,5,6,11,2,0,61
"Semyon Der-Arguchintsev","NO",2000-09-15,"5.10",163,"C","Peterborough Petes",68,12,39,51,0.75,-19,5,16,21,1,0,18
"Pavel Gogolev","NO",2000-02-19,"6.01",181,"LW","Peterborough Petes",66,30,17,47,0.71,-18,4,4,8,4,0,41
"Curtis Douglas","NO",2000-03-06,"6.09",236,"C","Windsor Spitfires",66,22,24,46,0.7,14,1,7,8,2,0,65
"Matthew Struthers","NO",1999-12-26,"6.02",205,"C","North Bay Battalion",62,23,22,45,0.73,9,0,3,3,3,0,24
"Rasmus Sandin","YES",2000-03-07,"5.11",190,"D","Sault Ste. Marie Greyhounds",51,12,33,45,0.88,35,4,12,16,1,0,24
"Blade Jenkins","YES",2000-08-11,"6.02",210,"LW","Saginaw Spirit",68,20,24,44,0.65,-19,3,2,5,2,1,20
"Damien Giroux","NO",2000-03-03,"5.10",180,"C","Saginaw Spirit",68,19,24,43,0.63,-10,5,5,10,1,1,18
"Brady Hinz","NO",2000-05-03,"5.08.",148,"RW","Peterborough Petes",68,18,24,42,0.62,-11,4,4,8,4,0,16
"Liam Foudy","NO",2000-02-04,"6.01",182,"C","London Knights",65,24,16,40,0.62,-2,1,3,4,4,4,22
"Kody Clark","NO",1999-10-13,"6.02",185,"RW","Ottawa 67's",56,18,21,39,0.7,7,5,3,8,5,1,38
"Riley Damiani","NO",2000-03-20,"5.10",170,"C","Kitchener Rangers",64,19,18,37,0.58,-4,4,4,8,5,1,38
"Connor Roberts","NO",2000-02-22,"6.04",212,"RW","Flint Firebirds",66,18,17,35,0.53,-33,5,4,9,0,1,33
"Kirill Nizhnikov","NO",2000-03-29,"6.02",184,"RW","Sudbury Wolves",63,10,25,35,0.56,-28,3,5,8,1,0,31
"Ryan Roth","YES",2000-07-20,"5.07",166,"RW","Sault Ste. Marie Greyhounds",68,15,18,33,0.49,28,3,5,8,1,0,12
"Maxim Golod","YES",2000-08-18,"5.11",176,"LW","Erie Otters",61,12,21,33,0.54,-11,3,3,6,1,0,30
"Mathew MacDougall","YES",2000-01-23,"5.10",166,"LW","Windsor Spitfires",66,17,15,32,0.48,-11,1,1,2,5,2,14
"Barret Kirwin","NO",2000-02-18,"5.09",207,"C","Guelph Storm",68,13,18,31,0.46,-9,2,1,3,0,0,8
"Adam Liška","NO",1999-10-14,"5.11",184,"C","Kitchener Rangers",62,12,19,31,0.5,10,1,1,2,1,0,6
"Alex Gritz","NO",2000-09-15,"5.11",176,"C","Erie Otters",67,13,17,30,0.45,-10,1,0,1,0,0,2
"David Levin","NO",1999-09-16,"5.10",180,"LW","Sudbury Wolves",46,14,15,29,0.63,-35,4,5,9,1,1,37
"Michael Little","NO",2000-02-21,"6.00",196,"LW","Mississauga Steelheads",65,14,14,28,0.43,1,0,3,3,2,0,36
"Mitchell Hoelscher","YES",2000-01-27,"6.00",172,"C","Ottawa 67's",67,10,18,28,0.42,1,2,3,5,0,1,46
"Adam McMaster","NO",2000-02-24,"5.11",170,"LW","North Bay Battalion",64,9,19,28,0.44,-16,3,3,6,2,1,8
"Max Grondin","NO",2000-07-04,"6.04",205,"C","Saginaw Spirit",66,11,16,27,0.41,-4,0,1,1,1,0,70
"DJ Busdeker","NO",1999-09-25,"5.10",180,"RW","Saginaw Spirit",68,10,17,27,0.4,1,0,0,0,0,0,26
"Billy Moskal","YES",2000-03-22,"6.00",192,"C","London Knights",66,7,19,26,0.39,4,1,2,3,1,0,44
"Giovanni Vallati","NO",2000-02-21,"6.02",188,"D","Kitchener Rangers",65,3,23,26,0.4,3,1,5,6,1,0,29
"Alec Regula","YES",2000-08-06,"6.04",207,"D","London Knights",67,7,18,25,0.37,23,0,0,0,0,1,22
"Peter Stratis","NO",2000-01-18,"6.00",187,"D","Sudbury Wolves",67,6,19,25,0.37,-21,1,10,11,0,0,40
"Sergey Popov","NO",2000-03-27,"5.11",177,"LW","London Knights",63,10,14,24,0.38,0,1,2,3,1,0,23
"Luke Moncada","NO",2000-05-29,"6.01",208,"C","North Bay Battalion",67,9,15,24,0.36,0,0,0,0,0,0,34
"Cade Robinson","NO",1999-10-22,"6.02",200,"RW","Owen Sound Attack",65,8,16,24,0.37,-9,0,0,0,0,0,24
"Connor Corcoran","NO",2000-08-07,"6.03",194,"D","Windsor Spitfires",63,3,21,24,0.38,-11,0,5,5,0,0,40
"Merrick Rippon","YES",2000-04-27,"6.01",192,"D","Ottawa 67's",68,4,19,23,0.34,4,0,4,4,0,0,72
"Tyler Tucker","NO",2000-03-01,"6.02",205,"D","Barrie Colts",59,3,20,23,0.39,27,0,1,1,0,1,87
"Riley McCourt","YES",2000-06-26,"5.11",173,"D","Flint Firebirds",56,5,17,22,0.39,-13,2,6,8,1,0,28
"Owen Lalonde","NO",2000-02-01,"6.01",186,"D","Guelph Storm",67,1,21,22,0.33,-11,0,5,5,0,0,22
"Jake Goldowski","YES",2000-05-07,"6.03",205,"RW","Saginaw Spirit",40,11,10,21,0.53,-9,3,2,5,2,0,4
"Sam Bitten","YES",2000-03-21,"6.02",200,"C","Ottawa 67's",68,7,14,21,0.31,-8,0,0,0,1,0,25
"Hunter Holmes","NO",2000-01-25,"6.01",185,"C","Flint Firebirds",40,11,9,20,0.5,-14,1,2,3,1,1,17
"Caleb Everett","YES",2000-01-20,"6.02",185,"D","Saginaw Spirit",58,6,14,20,0.34,-11,1,3,4,0,0,51
"Declan Chisholm","NO",2000-01-12,"6.01",193,"D","Peterborough Petes",47,3,17,20,0.43,-3,0,9,9,0,0,16
"Daylon Groulx","YES",2000-06-07,"6.00",182,"RW","Owen Sound Attack",56,13,6,19,0.34,6,2,0,2,0,0,76
"William Sirman","NO",1999-11-03,"5.10",175,"C","Windsor Spitfires",66,6,13,19,0.29,9,0,0,0,1,0,20
"Carter Robertson","NO",2000-01-15,"6.03",186,"D","Ottawa 67's",57,5,13,18,0.32,-10,0,4,4,0,0,24
"Kevin Bahl","NO",2000-06-27,"6.07",240,"D","Ottawa 67's",58,1,17,18,0.31,-21,0,3,3,0,0,76
"Bradey Johnson","NO",1999-12-24,"6.00",185,"RW","Niagara IceDogs",55,11,6,17,0.31,-1,0,0,0,3,0,8
"Jack Wismer","YES",2000-02-24,"6.00",190,"RW","Flint Firebirds",67,8,9,17,0.25,-16,1,1,2,1,0,16
"Nolan Hutcheson","YES",2000-06-26,"6.04",184,"LW","Sudbury Wolves",62,8,9,17,0.27,-13,0,1,1,2,0,40
"Aidan Brown","NO",1999-09-23,"6.01",185,"RW","Barrie Colts",57,7,10,17,0.3,6,0,1,1,2,0,33
"Chris Playfair","NO",2000-05-31,"6.01",191,"LW","Windsor Spitfires",66,5,12,17,0.26,-4,0,0,0,2,0,27
"Justin MacPherson","NO",2000-06-23,"6.01",173,"D","Niagara IceDogs",66,0,17,17,0.26,2,0,1,1,0,0,24
"Chad Yetman","YES",2000-02-18,"5.11",178,"RW","Erie Otters",56,9,7,16,0.29,-7,0,0,0,2,1,4
"Oliver True","YES",2000-05-04,"6.03",180,"RW","Ottawa 67's",58,6,9,15,0.26,-4,2,2,4,0,0,21
"Danny Katic","YES",2000-08-04,"6.04",215,"LW","Saginaw Spirit",55,4,11,15,0.27,-5,0,0,0,0,0,22
"Nicholas Canade","YES",2000-03-07,"5.09",160,"LW","Mississauga Steelheads",63,6,8,14,0.22,-3,1,0,1,2,0,49
"Stephane Patry","YES",2000-02-18,"5.10",169,"C","Erie Otters",50,5,9,14,0.28,0,0,2,2,1,1,6
"Nico Gross","YES",2000-01-26,"6.02",181,"D","Oshawa Generals",58,4,10,14,0.24,-9,1,6,7,0,0,46
"Dawson Baker","YES",2000-04-10,"6.00",188,"RW","Sudbury Wolves",61,6,7,13,0.21,-12,0,0,0,0,0,54
"Owen Gilhula","NO",2000-05-11,"5.10",180,"C","Sudbury Wolves",52,6,7,13,0.25,-37,2,2,4,1,0,35
"Richard Whittaker","YES",2000-04-08,"6.00",191,"LW","London Knights",54,5,8,13,0.24,-6,0,0,0,0,1,43
"Quinn Yule","YES",2000-01-06,"6.06",215,"LW","Ottawa 67's",60,6,6,12,0.2,-8,0,0,0,2,0,43
"Zack Malik","YES",2000-08-03,"6.02",170,"D","Sudbury Wolves",32,0,12,12,0.38,-10,0,8,8,0,0,9
"Joseph Mack","YES",2000-01-06,"6.02",200,"C","Erie Otters",51,6,5,11,0.22,-7,0,0,0,0,0,17
"Andrew Bruder","YES",2000-08-16,"6.02",177,"C","Niagara IceDogs",52,4,7,11,0.21,-2,0,0,0,0,0,12
"Ryan Littlejohn","NO",2000-02-11,"6.02",196,"LW","Flint Firebirds",65,3,8,11,0.17,-34,0,0,0,0,0,44
"William Ennis","NO",2000-05-31,"6.03",206,"D","Oshawa Generals",66,1,10,11,0.17,1,0,0,0,0,0,19
"Jackson Doherty","YES",2000-08-22,"5.11",171,"LW","Owen Sound Attack",53,7,3,10,0.19,0,1,0,1,1,0,20
"Eric Guest","NO",2000-04-25,"5.08",166,"C","Kitchener Rangers",43,6,4,10,0.23,-1,0,1,1,0,0,22
"Jack Duff","YES",2000-01-23,"6.02",221,"D","Erie Otters",63,1,9,10,0.16,-11,0,0,0,0,0,44
"Brett Jacklin","YES",2000-02-21,"6.01",185,"RW","Sault Ste. Marie Greyhounds",49,4,5,9,0.18,9,0,0,0,2,0,14
"Emmett Serensits","YES",2000-01-07,"6.01",180,"D","Sudbury Wolves",61,2,7,9,0.15,-15,0,3,3,0,0,43
"Braden Henderson","YES",2000-05-14,"5.10",173,"D","North Bay Battalion",46,0,9,9,0.2,10,0,3,3,0,0,10
"Paul Larabie","YES",2000-01-28,"6.01",194,"C","Kingston Frontenacs",51,0,9,9,0.18,0,0,2,2,0,0,29
"Thomas Stevenson","NO",1999-10-14,"6.03",200,"D","Windsor Spitfires",67,3,5,8,0.12,-12,0,0,0,0,0,22
"Gleb Babintsev","YES",2000-01-08,"6.00",197,"D","Peterborough Petes",64,1,7,8,0.13,-14,0,0,0,0,0,16
"Kurtis Henry","YES",2000-04-14,"6.02",205,"D","Erie Otters",44,1,6,7,0.16,-14,0,0,0,0,0,69
"Rhys Forhan","NO",2000-01-17,"5.10",179,"C","North Bay Battalion",38,1,6,7,0.18,0,0,0,0,0,0,33
"Luke Beamish","YES",2000-06-15,"5.11",181,"D","Erie Otters",39,0,7,7,0.18,-13,0,4,4,0,0,2
"Ben Badalamenti","YES",2000-02-06,"6.00",185,"RW","Saginaw Spirit",34,4,2,6,0.18,-5,0,0,0,0,0,6
"Bryan Laureigh","YES",2000-06-16,"5.11",213,"LW","Kingston Frontenacs",57,3,3,6,0.11,-9,0,0,0,0,0,13
"Adrien Beraldo","YES",2000-01-13,"6.00",183,"D","Peterborough Petes",51,2,4,6,0.12,-9,0,1,1,0,0,23
"Patrick Brown","YES",2000-03-21,"6.02",193,"RW","North Bay Battalion",53,2,4,6,0.11,-13,0,0,0,0,0,8
"Marino Moro","YES",2000-02-03,"5.10",155,"LW","Owen Sound Attack",37,1,5,6,0.16,-2,0,0,0,0,0,10
"Matt McNamara","YES",2000-05-10,"6.00.",190,"D","Peterborough Petes",49,1,5,6,0.12,-16,0,0,0,0,0,23
"John Parker-Jones","YES",2000-04-07,"6.07",230,"RW","Peterborough Petes",41,2,3,5,0.12,-4,0,0,0,0,0,24
"Aidan Timmermans","YES",2000-04-27,"5.07",167,"D","Erie Otters",38,1,4,5,0.13,-10,0,0,0,0,0,12
"Cameron Gaylor","NO",1999-11-19,"5.11",188,"LW","Mississauga Steelheads",42,3,1,4,0.1,-10,0,0,0,0,0,6
"Justin Pringle","NO",2000-03-08,"6.00",202,"LW","Kingston Frontenacs",25,3,1,4,0.16,3,0,0,0,0,0,6
"Holden Wale","YES",2000-07-28,"6.00",182,"D","Sault Ste. Marie Greyhounds",37,1,3,4,0.11,13,0,0,0,0,0,6
"Isaac Walker","YES",2000-03-16,"6.01",200,"D","Mississauga Steelheads",58,0,4,4,0.07,-1,0,0,0,0,0,18
"Sam Rhodes","YES",2000-02-19,"5.07",164,"C","Barrie Colts",45,3,0,3,0.07,-3,0,0,0,0,0,16
"Seva Losev","YES",2000-06-13,"6.00",191,"LW","Ottawa 67's",30,2,1,3,0.1,-5,0,0,0,0,0,12
"Zack Trott","YES",2000-05-10,"5.10",181,"LW","Sault Ste. Marie Greyhounds",38,2,1,3,0.08,-5,0,0,0,0,0,2
"Jake Murray","YES",2000-04-20,"5.10",165,"C","Hamilton Bulldogs",30,1,2,3,0.1,-4,0,0,0,0,0,10
"Blake McConville","YES",2000-04-03,"6.01",196,"RW","Sudbury Wolves",45,1,1,2,0.04,-19,0,0,0,0,0,23
"Chad Denault","YES",2000-04-17,"6.02",183,"RW","Peterborough Petes",55,0,2,2,0.04,-14,0,0,0,0,0,45
"Emmett Gordon","NO",2000-01-31,"5.11",178,"D","Kingston Frontenacs",44,0,2,2,0.05,-5,0,0,0,0,0,8
"Mason Hardy","YES",2000-04-03,"6.03",185,"D","Mississauga Steelheads",32,0,2,2,0.06,3,0,0,0,0,0,28
"Phil Caron","YES",2000-07-23,"5.08",170,"D","Sault Ste. Marie Greyhounds",24,0,2,2,0.08,4,0,0,0,0,0,6
"Mitchell Hewitson","YES",2000-05-11,"6.05",218,"LW","Oshawa Generals",27,1,0,1,0.04,-7,0,0,0,0,0,9
"Joseph Rupoli","YES",2000-05-24,"6.04",215,"D","Oshawa Generals",9,0,1,1,0.11,2,0,0,0,0,0,4
