"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Reg Bourcier","5.10",184,"Kitchener Rangers",1980-03-13,1,62,64,0.969,47.27,2,1.48,0,0,0,1,1,0,0,0,0
"Seamus Kotyk","5.11",185,"Ottawa 67's",1980-10-07,5,135,148,0.912,26.27,13,2.31,0,3,1,1,2,0,0,0,0
"Shawn Degagne","5.11",180,"North Bay Centennials",1978-12-18,2,51,54,0.944,46.41,3,2.58,0,0,1,0,1,0,0,0,0
"J.F. Perras","6.00",170,"Erie Otters",1981-04-29,5,164,175,0.937,42.78,11,2.69,0,1,2,1,3,0,0,0,2
"Levente Szuper","5.11",175,"Ottawa 67's",1980-06-06,4,133,144,0.924,35.8,11,2.73,1,2,1,1,2,0,0,0,0
"Brian Finley","6.03",181,"Barrie Colts",1981-07-03,5,166,181,0.917,33.55,15,2.78,0,4,0,1,1,0,0,0,2
"Greg Hewitt","5.07",155,"Sarnia Sting",1979-10-08,5,231,246,0.939,45.72,15,2.79,0,1,3,1,4,0,0,0,0
"Cory Campbell","6.00",190,"Belleville Bulls",1981-07-27,21,699,764,0.915,35.35,65,3.01,0,16,3,2,5,0,0,0,4
"Ben Vanderklok","5.11",185,"Barrie Colts",1981-11-30,7,193,216,0.894,30.25,23,3.22,0,3,3,1,4,0,0,0,2
"Jason Flick","6.02",200,"Sault Ste. Marie Greyhounds",1979-04-13,4,120,133,0.902,33.25,13,3.25,0,1,3,0,3,0,0,0,0
"Robert Holsinger","5.11",195,"Plymouth Whalers",1979-05-31,10,255,286,0.892,30.24,31,3.28,1,6,2,2,4,0,0,0,4
"Gene Chiarello","5.10",190,"London Knights",1979-04-09,25,941,1029,0.914,39.83,88,3.41,1,15,8,2,10,0,0,0,8
"Chris Madden","6.01",175,"Guelph Storm",1979-03-10,10,321,353,0.909,38.45,32,3.49,1,6,3,0,3,0,0,0,2
"Alex Auld","6.04",200,"North Bay Centennials",1981-01-07,3,105,115,0.913,40.54,10,3.53,0,0,3,0,3,0,0,0,0
"Curtis Sanford","5.10",160,"Owen Sound Platers",1979-10-05,16,619,677,0.914,42.31,58,3.63,0,9,7,0,7,0,0,0,0
"Patrick DesRochers","6.03",202,"Kingston Frontenacs",1979-10-27,5,228,249,0.916,46.16,21,3.89,0,1,4,0,4,0,0,0,4
"Corey Batten","6.01",180,"Erie Otters",1980-09-21,2,34,38,0.895,38.28,4,4.03,0,0,1,0,1,0,0,0,0
"Tyrone Garner","6.01",175,"Oshawa Generals",1978-07-27,17,636,706,0.901,41.45,70,4.11,0,9,8,0,8,0,0,0,2
"Mike Pickard","5.09",165,"Peterborough Petes",1980-01-21,3,101,112,0.902,43.49,11,4.27,0,1,2,0,2,0,0,0,0
"Ron Vogel","5.10",160,"Windsor Spitfires",1979-04-25,4,139,157,0.885,39.17,18,4.49,0,1,3,0,3,0,0,0,2
"Craig Anderson","6.02",185,"Guelph Storm",1981-05-21,3,72,81,0.889,42.6,9,4.73,0,0,2,0,2,0,0,0,2
"Curtis Cruickshank","6.01",212,"Sarnia Sting",1979-03-21,4,30,36,0.833,30.26,6,5.04,0,1,0,0,0,0,0,0,4
"Joey MacDonald","6.00",180,"Peterborough Petes",1980-02-07,3,88,101,0.871,41.66,13,5.36,0,0,2,0,2,0,0,0,0
"Rob Zepp","6.01",198,"Plymouth Whalers",1981-09-07,3,44,54,0.815,32.4,10,6,0,1,0,0,0,0,0,0,0
"Michael Leighton","6.02",175,"Windsor Spitfires",1981-05-19,3,76,86,0.884,63.93,10,7.43,0,0,1,0,1,0,0,0,0
"Mike Gorman","5.10",190,"Sudbury Wolves",1979-12-29,3,136,154,0.883,64.17,18,7.5,0,0,2,0,2,0,0,0,0
"Andrew Raycroft","6.01",170,"Sudbury Wolves",1980-05-04,3,69,82,0.841,51.25,13,8.13,0,0,2,0,2,0,0,0,0
"Jake McCracken","5.11",160,"Sault Ste. Marie Greyhounds",1980-01-15,1,35,42,0.833,55.02,7,9.17,0,0,0,0,0,0,0,0,0
"Chad Mehlenbacher","5.11",170,"Belleville Bulls",1979-03-25,1,3,5,0.6,27.07,2,10.83,0,0,0,0,0,0,0,0,0
"Jeremy Elliott","",NA,"Sault Ste. Marie Greyhounds",NA,1,6,9,0.667,38.03,3,12.68,0,0,1,0,1,0,0,0,0
"Derek Dolson","5.11",181,"Oshawa Generals",1981-05-23,1,3,5,0.6,45.11,2,18.05,0,0,0,0,0,0,0,0,0
