"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","GWG","ENG","PIM"
"Sheldon Keefe",1980-09-17,"RW","Barrie Colts",66,51,65,116,1.76,-9,22,32,4,2,140
"Denis Shvidki",1980-11-21,"RW","Barrie Colts",61,35,59,94,1.54,57,8,18,4,1,8
"Jason Spezza",1983-06-13,"C","Brampton Battalion",67,22,49,71,1.06,-49,5,18,0,0,18
"Raffi Torres",1981-10-08,"LW","Brampton Battalion",62,35,27,62,1,-27,7,8,4,0,32
"Jason Jaspers",1981-04-08,"C","Sudbury Wolves",68,28,33,61,0.9,9,3,5,6,0,81
"Brad Boyes",1982-04-17,"C","Erie Otters",59,24,36,60,1.02,-6,8,15,2,0,30
"Jeff Bateman",1981-08-29,"C","Brampton Battalion",68,23,35,58,0.85,-49,3,12,1,0,27
"Branko Radivojevic",1980-11-24,"RW","Belleville Bulls",68,20,38,58,0.85,25,3,9,5,0,61
"Josef Vasicek",1980-09-12,"C","Sault Ste. Marie Greyhounds",66,21,35,56,0.85,7,8,10,4,0,30
"Lukas Havel",1981-11-10,"RW","Brampton Battalion",64,19,31,50,0.78,-27,2,8,0,0,29
"Darryl Bootland",1981-11-02,"RW","Toronto St. Michael's Majors",66,30,17,47,0.71,-2,5,7,7,0,169
"Andrew Ianiero",1981-01-10,"LW","Kingston Frontenacs",68,21,26,47,0.69,-20,8,6,3,0,81
"Lou Dickenson",1982-08-15,"C","Mississauga IceDogs",62,19,27,46,0.74,-49,7,14,1,0,12
"Lorne Misita",1981-06-01,"C","North Bay Centennials",65,18,24,42,0.65,-3,6,9,1,0,54
"Scott Cameron",1981-04-11,"C","Barrie Colts",66,10,32,42,0.64,23,1,1,1,0,14
"Pavel Shtefan",1980-03-26,"LW","Windsor Spitfires",67,14,27,41,0.61,-17,4,4,1,0,24
"Shawn Cation",1980-02-11,"D","Barrie Colts",63,12,29,41,0.65,-3,9,19,1,0,178
"Patrick Finnegan",1980-08-11,"D","Windsor Spitfires",63,8,33,41,0.65,-29,3,20,1,0,44
"Henric Alfredsson",1979-04-01,"RW","Ottawa 67's",65,22,18,40,0.62,13,5,8,5,0,16
"Jamie Chamberlain",1981-08-02,"RW","Peterborough Petes",68,15,24,39,0.57,-1,6,7,2,0,26
"Vladimir Repnev",1980-03-07,"C","Oshawa Generals",59,14,24,38,0.64,24,0,5,2,0,26
"Kevin Dallman",1981-02-26,"RW","Guelph Storm",68,8,30,38,0.56,15,4,12,2,1,52
"Scott Thompson",1980-02-04,"RW","Brampton Battalion",62,19,18,37,0.6,-27,5,5,0,0,33
"Chad Wiseman",1981-03-25,"RW","Mississauga IceDogs",64,11,25,36,0.56,-59,4,11,0,0,29
"John Kozoriz",1981-03-16,"C","Oshawa Generals",60,22,13,35,0.58,8,4,2,2,1,25
"Nikita Alexeev",1981-12-27,"RW","Erie Otters",61,17,18,35,0.57,0,7,3,2,0,14
"Miguel Delisle",1982-04-06,"C","Ottawa 67's",57,16,17,33,0.58,18,2,3,3,0,34
"George Nistas",1981-03-16,"C","Toronto St. Michael's Majors",57,9,24,33,0.58,-15,3,15,2,2,14
