"Name","Rookie","BD","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","GWG","ENG","PIM"
"David Legwand","NO",1980-08-17,"6.02",175,"C","Plymouth Whalers",15,8,12,20,1.33,3,1,4,5,0,1,24
"Manny Malhotra","NO",1980-05-18,"6.02",205,"C","Guelph Storm",13,8,8,16,1.23,8,1,2,3,2,0,10
"Rico Fata","NO",1980-02-12,"5.11",201,"C","London Knights",16,9,5,14,0.88,-4,1,2,3,2,0,49
"Justin Papineau","NO",1980-01-15,"5.10",166,"C","Belleville Bulls",10,5,9,14,1.4,0,4,5,9,0,0,6
"Sean Avery","NO",1980-04-10,"5.10",188,"C","Owen Sound Platers",11,1,11,12,1.09,0,0,1,1,0,0,23
"Mark Bell","NO",1980-05-08,"6.03",185,"C","Ottawa 67's",14,6,5,11,0.79,0,2,0,2,1,0,14
"Kevin Mitchell","NO",1980-06-05,"5.11",165,"D","Guelph Storm",13,1,9,10,0.77,3,1,5,6,0,0,16
"Joe Talbot","NO",1980-04-23,"5.10",170,"C","Ottawa 67's",14,4,3,7,0.5,3,0,0,0,1,0,4
"Krys Barch","NO",1980-03-26,"6.02",200,"LW","London Knights",16,4,3,7,0.44,-1,0,1,1,1,0,16
"Eric Beaudoin","NO",1980-05-03,"6.03",205,"LW","Guelph Storm",13,4,2,6,0.46,5,1,0,1,1,0,4
"Jonathan Cheechoo","NO",1980-07-15,"6.01",208,"RW","Belleville Bulls",10,4,2,6,0.6,-2,3,1,4,0,0,10
"Jeff Heerema","NO",1980-01-17,"6.01",190,"RW","Sarnia Sting",5,4,1,5,1,0,0,1,1,0,0,10
"Joel Scherban","NO",1980-04-22,"6.02",199,"C","London Knights",16,2,3,5,0.31,1,1,0,1,0,0,4
"Bryan Allen","NO",1980-08-21,"6.04",217,"D","Oshawa Generals",5,0,5,5,1,-6,0,3,3,0,0,18
"John Erskine","NO",1980-06-26,"6.04",211,"D","London Knights",16,0,5,5,0.31,4,0,1,1,0,0,25
"Adam Campbell","NO",1980-01-05,"5.11",185,"D","Owen Sound Platers",11,4,0,4,0.36,1,0,0,0,0,0,32
"Brent Gauvreau","NO",1980-06-29,"6.03",205,"RW","Oshawa Generals",7,3,1,4,0.57,2,0,0,0,0,0,2
