"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Chris Madden","6.01",175,"Guelph Storm",1979-03-10,13,353,376,0.939,30.14,23,1.84,0,12,1,0,1,0,0,0,0
"Steve Valiquette","6.06",220,"Erie Otters",1977-08-20,7,253,268,0.944,34.39,15,1.92,1,3,2,2,4,0,0,0,0
"Seamus Kotyk","5.11",185,"Ottawa 67's",1980-10-07,8,184,199,0.925,30.45,15,2.29,0,3,3,0,3,0,0,0,0
"Craig Hillier","6.01",165,"Ottawa 67's",1978-02-28,9,205,225,0.911,30.15,20,2.68,1,6,2,0,2,0,0,0,0
"Shawn Gallant","6.02",202,"Belleville Bulls",1978-08-28,10,297,326,0.911,32.5,29,2.89,2,6,3,1,4,0,0,0,0
"Brian Finley","6.03",181,"Barrie Colts",1981-07-03,5,146,159,0.918,36.66,13,3,0,1,2,1,3,0,0,0,2
"Robert Esche","6.02",200,"Plymouth Whalers",1978-01-22,15,521,566,0.92,39.05,45,3.1,0,8,7,0,7,0,0,0,0
"Gene Chiarello","5.10",190,"London Knights",1979-04-09,16,605,657,0.921,40.01,52,3.17,1,8,6,1,7,0,0,0,0
"Tyrone Garner","6.01",175,"Oshawa Generals",1978-07-27,7,279,304,0.918,40.5,25,3.33,0,3,2,2,4,0,0,0,0
"Kory Cooper","5.10",170,"Sudbury Wolves",1977-02-11,10,319,350,0.911,41.07,31,3.64,0,4,4,1,5,0,0,0,0
"Robert Holsinger","5.11",195,"Plymouth Whalers",1979-05-31,2,12,14,0.857,25.77,2,3.68,0,0,0,0,0,0,0,0,0
"Curtis Cruickshank","6.01",212,"Kingston Frontenacs",1979-03-21,12,386,431,0.896,36.8,45,3.84,0,5,3,3,6,0,0,0,0
"Mike Gorman","5.10",190,"Kitchener Rangers",1979-12-29,5,156,171,0.912,44.83,15,3.93,0,2,3,0,3,0,0,0,2
"Curtis Sanford","5.10",160,"Owen Sound Platers",1979-10-05,9,286,316,0.905,41.56,30,3.95,1,4,4,0,4,0,0,0,6
"Shawn Degagne","5.11",180,"Kitchener Rangers",1978-12-18,4,89,98,0.908,44.43,9,4.08,0,0,0,1,1,0,0,0,7
"Patrick DesRochers","6.03",202,"Sarnia Sting",1979-10-27,4,95,107,0.888,39.94,12,4.48,0,1,2,0,2,0,0,0,2
"Eoin McInerney","5.10",200,"Owen Sound Platers",1977-05-27,4,124,140,0.886,40.98,16,4.68,0,1,2,0,2,0,0,0,9
"Greg Hewitt","5.07",155,"Sarnia Sting",1979-10-08,3,103,114,0.904,48.94,11,4.72,0,0,1,1,2,0,0,0,0
"John Hultberg","6.00",183,"Barrie Colts",1977-04-25,2,56,64,0.875,37.97,8,4.75,0,1,1,0,1,0,0,0,0
"Nick Foley","5.10",156,"Kingston Frontenacs",1979-03-22,1,29,34,0.853,35.9,5,5.28,0,0,1,0,1,0,0,0,0
"Andrew Raycroft","6.01",170,"Sudbury Wolves",1980-05-04,2,47,55,0.855,36.67,8,5.33,0,0,1,0,1,0,0,0,0
"Chad Lynch","6.01",170,"Peterborough Petes",1980-09-09,2,87,99,0.879,53.5,12,6.48,0,0,1,0,1,0,0,0,0
"Mark Cairns","5.07",175,"Peterborough Petes",1979-02-07,3,92,106,0.868,52.77,14,6.97,0,0,2,0,2,0,0,0,0
"Elliott Faust","5.11",175,"London Knights",1978-06-10,1,17,21,0.81,40,4,7.62,0,0,1,0,1,0,0,0,0
"Chris Thompson","5.07",165,"Guelph Storm",1978-10-25,1,21,25,0.84,47.8,4,7.65,0,0,0,0,0,0,0,0,0
"Josh Evans","6.00",180,"Peterborough Petes",1979-04-09,1,6,9,0.667,63.91,3,21.3,0,0,1,0,1,0,0,0,0
