"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","SHG","SHA","SHPTS","GWG","ENG","PIM","Active"
"Connor McDavid","NO",97,1997-01-13,1997,"6.01",187,"C","Erie Otters",20,21,28,49,2.45,12,4,14,18,3,1,4,5,3,12,1
"Cole Cassels","NO",19,1995-05-04,1995,"6.00",180,"C","Oshawa Generals",21,10,21,31,1.48,5,6,11,17,0,1,1,2,0,14,1
"Michael Dal Colle","NO",71,1996-06-20,1996,"6.02",198,"LW","Oshawa Generals",21,8,23,31,1.48,1,2,10,12,0,0,0,1,1,2,1
"Nick Ritchie","NO",20,1995-12-05,1995,"6.03",229,"LW","Sault Ste. Marie Greyhounds",14,13,13,26,1.86,7,3,7,10,0,0,0,3,1,28,1
"Remi Elie","NO",81,1995-04-16,1995,"6.01",202,"LW","Erie Otters",20,4,20,24,1.2,14,1,2,3,0,2,2,1,0,20,1
"Nicholas Baptiste","NO",14,1995-08-04,1995,"6.01",190,"RW","Erie Otters",20,12,11,23,1.15,-2,6,7,13,1,0,1,1,2,10,1
"Dylan Strome","NO",19,1997-03-07,1997,"6.03",198,"C","Erie Otters",20,10,12,22,1.1,1,6,5,11,0,0,0,2,0,12,1
"Tobias Lindberg","NO",23,1995-07-22,1995,"6.03",215,"LW","Oshawa Generals",21,7,12,19,0.9,-1,3,5,8,0,0,0,1,0,8,1
"Hunter Smith","NO",34,1995-09-11,1995,"6.06",210,"RW","Oshawa Generals",21,9,9,18,0.86,7,3,1,4,0,0,0,0,0,38,1
"Travis  Dermott","NO",44,1996-12-22,1996,"5.11",207,"D","Erie Otters",20,5,12,17,0.85,5,1,6,7,0,0,0,0,1,22,1
"Matt Mistele","NO",20,1995-10-17,1995,"6.02",190,"LW","Oshawa Generals",21,13,3,16,0.76,5,6,2,8,0,0,0,2,0,18,1
"Mitchell Marner","NO",93,1997-05-05,1997,"5.11",164,"RW","London Knights",7,9,7,16,2.29,6,3,3,6,2,0,2,1,0,8,1
"Alex DeBrincat","YES",12,1997-12-18,1997,"5.07",170,"RW","Erie Otters",20,9,7,16,0.8,1,2,1,3,1,0,1,0,1,26,1
"Jared McCann","NO",19,1996-05-31,1996,"6.00",185,"C","Sault Ste. Marie Greyhounds",14,6,10,16,1.14,2,2,3,5,1,0,1,0,0,12,1
"Josh Ho-Sang","NO",26,1996-01-22,1996,"6.00",170,"RW","Niagara IceDogs",11,1,15,16,1.45,-1,0,7,7,0,0,0,0,0,18,1
"Anthony DeAngelo","NO",7,1995-10-24,1995,"5.11",177,"D","Sault Ste. Marie Greyhounds",13,0,16,16,1.23,12,0,11,11,0,0,0,0,0,18,1
"Nick Paul","NO",21,1995-03-20,1995,"6.03",221,"LW","North Bay Battalion",15,7,8,15,1,1,3,5,8,2,0,2,1,0,6,1
"Mike Amadio","NO",18,1996-05-13,1996,"6.01",196,"C","North Bay Battalion",15,6,9,15,1,0,3,5,8,0,0,0,2,0,4,1
"Dakota Mermis","NO",44,1994-01-05,1994,"6.00",190,"D","Oshawa Generals",21,1,14,15,0.71,12,0,5,5,0,0,0,1,0,14,1
"Michael Bunting","NO",27,1995-09-17,1995,"6.00",192,"LW","Sault Ste. Marie Greyhounds",14,9,5,14,1,4,3,2,5,0,0,0,3,0,10,1
"Jake Marchment","NO",27,1995-05-20,1995,"6.04",220,"C","Erie Otters",19,8,6,14,0.74,3,0,0,0,1,2,3,1,0,4,1
"Justin Bailey","NO",95,1995-07-01,1995,"6.03",202,"RW","Sault Ste. Marie Greyhounds",14,7,7,14,1,-1,4,4,8,0,0,0,0,0,6,1
"Joseph Blandisi","NO",10,1994-07-18,1994,"6.00",192,"C","Barrie Colts",9,6,8,14,1.56,3,1,4,5,0,0,0,2,1,22,1
"Carter Verhaeghe","NO",21,1995-08-14,1995,"6.02",185,"C","Niagara IceDogs",11,6,8,14,1.27,1,2,2,4,0,1,1,0,0,4,1
"Mitchell Vande Sompel","NO",58,1997-02-11,1997,"5.10",190,"D","Oshawa Generals",21,5,9,14,0.67,-9,4,8,12,0,0,0,1,0,4,1
"Sergey Tolchinsky","NO",28,1995-02-03,1995,"5.08",169,"RW","Sault Ste. Marie Greyhounds",14,4,10,14,1,2,1,5,6,0,0,0,0,0,2,1
"Bryan Moore","NO",14,1994-05-25,1994,"5.11",200,"LW","Sault Ste. Marie Greyhounds",14,7,6,13,0.93,11,2,1,3,0,1,1,1,0,21,1
"Nick Moutrey","NO",23,1995-06-24,1995,"6.03",220,"RW","North Bay Battalion",15,7,6,13,0.87,1,4,2,6,0,1,1,1,0,12,1
"Christian  Dvorak","NO",10,1996-02-02,1996,"6.01",196,"C","London Knights",10,5,8,13,1.3,-2,1,2,3,0,0,0,0,0,0,1
"Brendan  Perlini","NO",11,1996-04-27,1996,"6.03",205,"LW","Niagara IceDogs",11,7,5,12,1.09,1,4,1,5,1,0,1,2,0,7,1
"Brenden Miller","NO",22,1994-03-29,1994,"6.01",190,"D","North Bay Battalion",15,4,8,12,0.8,16,0,4,4,0,0,0,1,0,23,1
