"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Joseph Raaymakers","6.01",186,"Sault Ste. Marie Greyhounds",1998-03-17,2,16,16,1,24,0,0,0,0,0,0,0,0,0,0,0
"Daniel Dekoning","6.03",184,"Erie Otters",1996-08-08,2,29,30,0.967,19.41,1,0.65,0,1,0,0,0,0,0,0,0
"Dawson Carty","6.04",182,"Kitchener Rangers",1996-02-02,1,18,19,0.947,34.03,1,1.79,0,0,0,0,0,0,0,0,0
"Jake Smith","5.11",187,"North Bay Battalion",1995-05-01,15,396,427,0.927,27.53,31,2,1,10,4,1,5,0,0,0,2
"Ken Appleby","6.04",205,"Oshawa Generals",1995-04-10,21,556,603,0.922,28.74,47,2.24,2,16,4,1,5,0,0,0,0
"Jack Flinn","6.08",233,"Owen Sound Attack",1995-12-20,5,140,153,0.915,30.11,13,2.56,0,1,2,2,4,0,0,0,0
"Mackenzie Blackwood","6.04",224,"Barrie Colts",1996-12-09,9,320,347,0.922,37.02,27,2.88,0,5,3,1,4,0,0,0,0
"Brandon Halverson","6.04",203,"Sault Ste. Marie Greyhounds",1996-03-29,14,327,366,0.893,27.6,39,2.94,1,10,4,0,4,0,0,0,2
"Tyler Parsons","6.01",193,"London Knights",1997-09-18,8,264,288,0.917,39.56,24,3.3,1,4,3,0,3,0,0,0,0
"Devin Williams","6.00",174,"Erie Otters",1995-10-30,20,495,557,0.889,29.76,62,3.31,1,12,6,1,7,0,0,0,0
"Matthew Mancina","6.02",191,"Peterborough Petes",1996-04-29,5,218,235,0.928,47,17,3.4,0,1,4,0,4,0,0,0,0
"Jeremy Brodeur","6.01",186,"Oshawa Generals",1996-10-29,2,1,2,0.5,6.88,1,3.44,0,0,0,0,0,0,0,0,0
"Justin Nichols","5.09",163,"Guelph Storm",1995-06-25,8,214,239,0.895,37.5,25,3.92,0,4,3,0,3,0,0,0,0
"Lucas Peressini","6.3",195,"Kingston Frontenacs",1995-03-09,4,107,121,0.884,34.25,14,3.96,0,0,4,0,4,0,0,0,0
"Charlie Graham","6.00",179,"Belleville Bulls",1995-06-30,4,118,134,0.881,33.58,16,4.01,0,0,3,1,4,0,0,0,0
"Michael Giugovaz","6.00",166,"London Knights",1995-05-08,3,100,111,0.901,43.01,11,4.26,0,0,3,0,3,0,0,0,0
"Taylor Dupuis","6.02",188,"Sarnia Sting",1994-07-20,5,172,194,0.887,37.87,22,4.29,0,1,3,1,4,0,0,0,0
"Brandon Hope","6.01",196,"Niagara IceDogs",1994-03-18,11,290,335,0.866,32.15,45,4.32,0,5,5,0,5,0,0,0,2
"Liam Herbst","6.04",193,"Ottawa 67's",1996-09-14,6,142,165,0.861,31.39,23,4.37,0,2,3,1,4,0,0,0,2
"Bradley Van Schubert","6.03",211,"Guelph Storm",1997-03-22,4,87,100,0.87,36.64,13,4.76,0,0,2,0,2,0,0,0,4
"Leo Lazarev","5.10",161,"Ottawa 67's",1997-07-27,2,25,29,0.862,35.88,4,4.95,0,0,0,0,0,0,0,0,0
"Jeremy Helvig","6.04",210,"Kingston Frontenacs",1997-05-25,1,9,11,0.818,28.35,2,5.15,0,0,0,0,0,0,0,0,0
"Jake Paterson","6.01",183,"Kitchener Rangers",1994-05-03,6,164,192,0.854,35.5,28,5.18,0,2,4,0,4,0,0,0,0
"Evan Cormier","6.03",200,"Saginaw Spirit",1997-11-06,4,147,168,0.875,42.38,21,5.3,0,0,4,0,4,0,0,0,0
"Brent Moran","6.04",195,"Niagara IceDogs",1996-07-05,2,12,17,0.706,25.2,5,7.41,0,0,1,0,1,0,0,0,0
