"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","SHG","SHA","SHPTS","GWG","ENG","PIM","Active"
"Michael Sgarbossa","NO",92,1992-07-25,1992,"5.11",175,"C","Sudbury Wolves",66,47,55,102,1.55,21,18,27,45,4,1,5,5,1,68,1
"Tyler Toffoli","NO",16,1992-04-24,1992,"6.00",186,"RW","Ottawa 67's",65,52,48,100,1.54,31,8,18,26,7,1,8,4,1,22,1
"Tanner Pearson","NO",14,1992-08-10,1992,"6.00",192,"LW","Barrie Colts",60,37,54,91,1.52,21,10,25,35,2,1,3,6,1,37,1
"Shane Prince","NO",18,1992-11-16,1992,"5.11",190,"LW","Ottawa 67's",57,43,47,90,1.58,34,8,13,21,0,0,0,8,0,12,1
"Andrew Agozzino","NO",9,1991-01-03,1991,"5.10",187,"LW","Niagara IceDogs",67,40,48,88,1.31,32,13,18,31,7,3,10,5,1,67,1
"Nick Cousins","NO",27,1993-07-20,1993,"5.11",177,"C","Sault Ste. Marie Greyhounds",65,35,53,88,1.35,1,10,24,34,1,0,1,5,0,88,1
"Charles Sarault","NO",12,1992-02-20,1992,"5.11",184,"C","Sarnia Sting",68,20,67,87,1.28,6,7,29,36,2,0,2,2,0,32,1
"Freddie Hamilton","NO",13,1992-01-01,1992,"6.01",190,"RW","Niagara IceDogs",61,35,51,86,1.41,29,12,21,33,3,2,5,6,0,31,1
"Seth Griffith","NO",17,1993-01-04,1993,"5.11",185,"RW","London Knights",68,45,40,85,1.25,24,15,21,36,7,0,7,8,2,49,1
"Tobias Rieder","NO",9,1993-01-10,1993,"5.11",179,"RW","Kitchener Rangers",60,42,43,85,1.42,22,9,22,31,7,2,9,8,2,25,1
"Mike Halmo","NO",28,1991-05-15,1991,"5.11",192,"LW","Owen Sound Attack",66,40,45,85,1.29,24,14,15,29,0,5,5,5,2,162,1
"Vincent Trocheck","NO",89,1993-07-11,1993,"6.00",190,"C","Saginaw Spirit",65,29,56,85,1.31,15,9,21,30,4,2,6,3,0,65,1
"Stefan Noesen","NO",11,1993-02-12,1993,"6.02",205,"LW","Plymouth Whalers",63,38,44,82,1.3,18,14,17,31,2,0,2,4,1,74,1
"Riley Brace","NO",25,1992-03-07,1992,"5.11",182,"LW","Mississauga St. Michael's Majors",65,33,49,82,1.26,15,8,19,27,5,2,7,7,2,83,1
"Andrew Yogan","NO",6,1991-12-04,1991,"6.03",200,"C","Peterborough Petes",66,41,37,78,1.18,8,9,7,16,0,0,0,2,3,96,1
"Sean Monahan","NO",20,1994-10-12,1994,"6.02",193,"C","Ottawa 67's",62,33,45,78,1.26,25,10,13,23,1,4,5,4,1,38,1
"Josh Shalla","NO",25,1991-09-25,1991,"6.02",196,"LW","Saginaw Spirit",53,40,36,76,1.43,17,8,12,20,1,1,2,5,2,27,1
"Brandon Saad","NO",22,1992-10-27,1992,"6.03",206,"LW","Saginaw Spirit",44,34,42,76,1.73,35,9,14,23,6,0,6,2,2,38,1
"Zack Mitchell","NO",23,1993-01-07,1993,"6.00",184,"RW","Guelph Storm",67,37,38,75,1.12,6,6,14,20,2,1,3,6,2,32,1
"Greg McKegg","NO",92,1992-06-17,1992,"6.00",200,"C","London Knights",65,31,44,75,1.15,-34,15,20,35,0,1,1,2,1,54,1
"Kerby Rychel","NO",16,1994-10-07,1994,"6.01",202,"LW","Windsor Spitfires",68,41,33,74,1.09,3,13,17,30,1,0,1,7,1,54,1
"Colin Behenna","NO",24,1991-06-06,1991,"5.08",170,"C","Barrie Colts",61,26,48,74,1.21,2,11,21,32,2,1,3,2,1,32,1
"Joshua Leivo","NO",27,1993-05-26,1993,"6.01",191,"LW","Sudbury Wolves",66,32,41,73,1.11,2,8,16,24,1,1,2,5,5,61,1
"Daniel Catenacci","NO",7,1993-03-09,1993,"5.10",191,"C","Owen Sound Attack",67,33,39,72,1.07,11,10,16,26,1,0,1,2,1,114,1
"Dougie Hamilton","NO",27,1993-06-17,1993,"6.05",205,"D","Niagara IceDogs",50,17,55,72,1.44,37,9,30,39,0,1,1,5,0,47,1
"Alex Friesen","NO",8,1991-01-30,1991,"5.10",186,"C","Niagara IceDogs",62,26,45,71,1.15,39,9,20,29,3,3,6,4,1,106,1
"Vladislav Namestnikov","NO",18,1992-11-22,1992,"6.00",175,"C","London Knights",63,22,49,71,1.13,15,4,23,27,0,2,2,4,3,50,1
"Brett Thompson","NO",93,1991-01-31,1991,"5.09",165,"C","Sarnia Sting",61,32,38,70,1.15,-11,11,9,20,1,2,3,4,1,61,1
"Alan Quine","NO",26,1993-02-25,1993,"5.11",195,"C","Peterborough Petes",65,30,40,70,1.08,-19,6,17,23,1,0,1,6,0,21,1
"Nail Yakupov","NO",10,1993-10-06,1993,"5.11",190,"RW","Sarnia Sting",42,31,38,69,1.64,15,12,16,28,1,0,1,5,0,30,1
"Michael Catenacci","NO",10,1991-02-12,1991,"5.07",176,"C","Kitchener Rangers",52,25,44,69,1.33,20,8,16,24,3,4,7,3,1,32,1
"Alexander Khokhlachev","NO",89,1993-09-09,1993,"5.10",172,"C","Windsor Spitfires",56,25,44,69,1.23,-19,12,19,31,0,0,0,3,0,32,1
"Ryan Strome","NO",18,1993-07-11,1993,"6.01",192,"C","Niagara IceDogs",46,30,38,68,1.48,37,9,15,24,1,0,1,4,0,47,1
"Brendan Gaunce","NO",16,1994-03-25,1994,"6.02",215,"C","Belleville Bulls",68,28,40,68,1,4,5,13,18,4,0,4,4,2,68,1
"Austin Watson","NO",51,1992-01-13,1992,"6.03",187,"C","London Knights",61,25,43,68,1.11,2,12,21,33,3,1,4,3,1,47,1
"Sam Carrick","NO",16,1992-02-04,1992,"6.00",207,"C","Brampton Battalion",68,37,30,67,0.99,9,11,7,18,1,3,4,5,1,104,1
"Christian Thomas","NO",27,1992-05-26,1992,"5.09",170,"RW","Oshawa Generals",55,34,33,67,1.22,0,11,16,27,1,0,1,4,0,17,1
"Michael Fine","NO",72,1991-05-10,1991,"6.00",189,"RW","Saginaw Spirit",68,22,45,67,0.99,-3,8,9,17,0,1,1,3,0,33,1
"Ryan Spooner","NO",51,1992-01-30,1992,"5.10",175,"C","Sarnia Sting",57,29,37,66,1.16,-4,9,16,25,7,1,8,1,0,16,1
"Radek Faksa","YES",94,1994-01-09,1994,"6.03",213,"C","Kitchener Rangers",62,29,37,66,1.06,19,8,14,22,3,1,4,6,0,47,1
"Alex Aleardi","NO",40,1992-07-30,1992,"5.09",167,"RW","Plymouth Whalers",68,36,29,65,0.96,28,1,5,6,2,0,2,5,2,79,1
"Andrey Kuchin","NO",21,1991-02-11,1991,"5.10",201,"LW","Sudbury Wolves",56,25,40,65,1.16,10,2,16,18,0,1,1,4,0,27,1
"Ivan Telegin","NO",16,1992-02-28,1992,"6.04",185,"C","Barrie Colts",46,35,29,64,1.39,19,12,6,18,4,2,6,6,1,26,1
"David Pacan","NO",22,1991-03-31,1991,"6.03",205,"RW","Niagara IceDogs",68,29,35,64,0.94,25,10,8,18,3,1,4,1,2,48,1
"Mark Scheifele","NO",19,1993-03-15,1993,"6.03",187,"C","Barrie Colts",47,23,40,63,1.34,21,5,13,18,3,1,4,3,1,36,1
"Andy Bathgate","NO",9,1991-02-26,1991,"6.01",175,"C","Plymouth Whalers",68,19,44,63,0.93,15,6,15,21,0,0,0,2,0,12,1
"Lucas Lessio","NO",38,1993-01-23,1993,"6.01",202,"LW","Oshawa Generals",66,34,28,62,0.94,-6,9,11,20,1,0,1,2,2,71,1
"Rickard Rakell","NO",24,1993-05-05,1993,"6.01",195,"C","Plymouth Whalers",60,28,34,62,1.03,9,8,14,22,0,1,1,4,1,12,1
"J.T. Miller","NO",12,1993-03-14,1993,"6.02",210,"LW","Plymouth Whalers",61,25,37,62,1.02,8,6,15,21,0,1,1,6,1,61,1
"Francis Menard","NO",10,1992-03-02,1992,"6.00",192,"C","Guelph Storm",68,24,36,60,0.88,-8,10,15,25,3,0,3,5,1,50,1
"Gemel Smith","NO",9,1994-04-16,1994,"5.11",192,"C","Owen Sound Attack",68,21,39,60,0.88,9,7,11,18,2,0,2,2,0,51,1
"Cody Ceci","NO",83,1993-12-21,1993,"6.03",215,"D","Ottawa 67's",64,17,43,60,0.94,21,8,14,22,2,0,2,5,0,14,1
"Scott Kosmachuk","NO",24,1994-01-24,1994,"6.00",189,"RW","Guelph Storm",67,30,29,59,0.88,-10,11,13,24,0,1,1,4,1,110,1
"Zach Hall","NO",28,1993-04-29,1993,"5.11",185,"C","Barrie Colts",58,19,40,59,1.02,10,6,18,24,0,0,0,2,0,43,1
