"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","SHG","SHA","SHPTS","GWG","ENG","PIM","Active"
"Patrick Kane","YES",88,1988-11-19,1988,"5.10",170,"RW","London Knights",58,62,83,145,2.5,42,22,53,75,4,1,5,9,2,52,1
"John Tavares","NO",91,1990-09-20,1990,"6.00",198,"C","Oshawa Generals",67,72,62,134,2,25,34,33,67,6,3,9,4,2,60,1
"Sergei Kostitsyn","NO",24,1987-03-20,1987,"6.00",190,"RW","London Knights",59,40,91,131,2.22,38,16,49,65,3,2,5,9,2,76,1
"Tyler Donati","NO",10,1986-10-17,1986,"5.10",190,"RW","Belleville Bulls",66,54,75,129,1.95,6,26,44,70,0,0,0,7,0,52,1
"Sam Gagner","YES",89,1989-08-10,1989,"5.11",190,"C","London Knights",53,35,83,118,2.23,32,20,50,70,1,0,1,6,1,36,1
"Bryan Little","NO",18,1987-11-12,1987,"5.10",195,"C","Barrie Colts",57,41,66,107,1.88,31,13,41,54,6,0,6,10,1,77,1
"Evan Brophey","NO",11,1986-12-03,1986,"6.01",202,"C","Plymouth Whalers",68,36,71,107,1.57,39,7,42,49,1,2,3,8,0,91,1
"Bobby Ryan","NO",9,1987-03-17,1987,"6.02",211,"RW","Owen Sound Attack",63,43,59,102,1.62,-9,24,33,57,1,0,1,2,1,63,1
"Brett MacLean","NO",19,1988-12-24,1988,"6.02",197,"LW","Oshawa Generals",68,47,53,100,1.47,9,19,33,52,3,1,4,9,1,43,1
"Bobby Hughes","NO",19,1987-11-11,1987,"5.11",180,"C","Kingston Frontenacs",59,40,56,96,1.63,-2,14,30,44,5,3,8,5,0,76,1
"Michael Swift","NO",14,1987-03-26,1987,"5.09",165,"C","Mississauga IceDogs",67,34,59,93,1.39,37,12,20,32,0,1,1,4,0,76,1
"Steven Stamkos","YES",91,1990-02-07,1990,"6.01",180,"C","Sarnia Sting",63,42,50,92,1.46,13,22,23,45,0,0,0,4,0,56,1
"Daniel Ryder","NO",27,1987-01-12,1987,"5.11",180,"C","Plymouth Whalers",57,40,52,92,1.61,33,14,21,35,4,2,6,5,1,25,1
"Steve Downie","NO",7,1987-04-03,1987,"5.10",191,"C","Kitchener Rangers",45,35,57,92,2.04,23,15,24,39,4,1,5,6,2,124,1
"Dustin Jeffrey","NO",15,1988-02-27,1988,"6.03",199,"C","Sault Ste. Marie Greyhounds",68,34,58,92,1.35,7,16,37,53,3,3,6,4,0,40,1
"Justin Donati","NO",81,1986-10-17,1986,"5.10",174,"C","Sudbury Wolves",63,47,44,91,1.44,3,21,17,38,4,0,4,5,1,30,1
