"Name","BD","Pos","Team","GP","SHG","SHA","SHPTS","SHPTS/G","SHPTS%"
"Stefan Legein",1988-11-24,"RW","Mississauga IceDogs",64,9,4,13,0.2,17
"Jordan Owens",1986-05-01,"LW","Mississauga IceDogs",60,8,4,12,0.2,16
"John Tavares",1990-09-20,"C","Oshawa Generals",67,6,3,9,0.13,7
"Tom Pyatt",1987-02-14,"C","Saginaw Spirit",58,6,3,9,0.16,11
"Mickey Renaud",1988-10-05,"C","Windsor Spitfires",68,6,2,8,0.12,15
"Bobby Hughes",1987-11-11,"C","Kingston Frontenacs",59,5,3,8,0.14,8
"Cal Clutterbuck",1987-11-18,"RW","Oshawa Generals",65,6,1,7,0.11,8
"Jamie McGinn",1988-08-05,"LW","Ottawa 67's",68,3,4,7,0.1,8
"Bryan Little",1987-11-12,"C","Barrie Colts",57,6,0,6,0.11,6
"Daniel Ryder",1987-01-12,"C","Plymouth Whalers",57,4,2,6,0.11,7
"Joshua Bailey",1989-10-02,"C","Windsor Spitfires",69,4,2,6,0.09,10
"Chris Stewart",1987-10-30,"RW","Kingston Frontenacs",61,3,3,6,0.1,7
"Dustin Jeffrey",1988-02-27,"C","Sault Ste. Marie Greyhounds",68,3,3,6,0.09,7
"Jan Mursak",1988-01-20,"RW","Saginaw Spirit",62,3,3,6,0.1,8
"Logan Couture",1989-03-28,"C","Ottawa 67's",54,3,3,6,0.11,8
"Mike McLean",1986-01-06,"LW","Guelph Storm",67,3,3,6,0.09,10
"Nick Foligno",1987-10-31,"C","Sudbury Wolves",66,3,3,6,0.09,7
"Luca Caputi",1988-10-01,"LW","Mississauga IceDogs",68,1,5,6,0.09,9
"Justin Hodgman",1988-06-27,"C","Erie Otters",67,5,0,5,0.07,10
"Matt Halischuk",1988-06-01,"RW","Kitchener Rangers",67,4,1,5,0.07,8
"Patrick Kane",1988-11-19,"RW","London Knights",58,4,1,5,0.09,3
"Steve Downie",1987-04-03,"C","Kitchener Rangers",45,4,1,5,0.11,5
"Cory Emmerton",1988-06-01,"LW","Kingston Frontenacs",40,3,2,5,0.12,8
"Josh Vatri",1987-08-13,"RW","Erie Otters",63,3,2,5,0.08,22
"Matt Caria",1988-08-16,"C","Toronto St. Michael's Majors",59,3,2,5,0.08,7
"Matt Kang",1988-11-09,"LW","Kingston Frontenacs",65,3,2,5,0.08,9
"Scott Tregunna",1987-06-12,"RW","Owen Sound Attack",68,3,2,5,0.07,6
"Sergei Kostitsyn",1987-03-20,"RW","London Knights",59,3,2,5,0.08,4
"Zack Torquato",1989-06-08,"C","Erie Otters",65,3,2,5,0.08,7
"Rafael Rotter",1987-06-14,"C","Guelph Storm",61,2,3,5,0.08,8
"Hunter Tremblay",1986-01-15,"LW","Barrie Colts",64,1,4,5,0.08,6
"Justin Donati",1986-10-17,"C","Sudbury Wolves",63,4,0,4,0.06,4
"Kevin Baker",1987-03-27,"C","Sudbury Wolves",64,4,0,4,0.06,7
"Tom Sestito",1987-09-28,"LW","Plymouth Whalers",60,4,0,4,0.07,6
"Tyler Doig",1986-02-15,"C","Belleville Bulls",61,4,0,4,0.07,5
"Adam Henrique",1990-02-06,"C","Windsor Spitfires",62,3,1,4,0.06,9
"Andrew Desjardins",1986-07-27,"C","Sault Ste. Marie Greyhounds",65,3,1,4,0.06,10
"Brett MacLean",1988-12-24,"LW","Oshawa Generals",68,3,1,4,0.06,4
"Matt Dias",1988-04-29,"RW","Sudbury Wolves",67,3,1,4,0.06,11
"Joe McCann",1987-03-02,"RW","Plymouth Whalers",64,2,2,4,0.06,18
"Theo Peckham",1987-11-10,"D","Owen Sound Attack",53,2,2,4,0.08,11
"Thomas Stajan",1989-01-07,"C","Brampton Battalion",67,2,2,4,0.06,29
"Drew Doughty",1989-12-08,"D","Guelph Storm",67,1,3,4,0.06,5
"Jordan Foreman",1987-01-06,"C","London Knights",42,1,3,4,0.1,19
"Matthew Bragg",1987-06-12,"C","Barrie Colts",64,1,3,4,0.06,11
"Travis Fuller",1986-01-25,"LW","Mississauga IceDogs",43,0,4,4,0.09,9
"Arron Alphonso",1988-11-14,"RW","Ottawa 67's",54,3,0,3,0.06,8
"Branislav Rehus",1988-12-24,"RW","Peterborough Petes",67,3,0,3,0.04,8
"Brett Parnham",1989-01-30,"C","Oshawa Generals",65,3,0,3,0.05,6
"Dan Collins",1987-02-26,"RW","Plymouth Whalers",66,3,0,3,0.05,4
"David Kuchejda",1987-06-12,"RW","Sault Ste. Marie Greyhounds",59,3,0,3,0.05,6
"Matthieu Methot",1987-10-08,"LW","Ottawa 67's",60,3,0,3,0.05,9
"Michael Lombardi",1987-08-06,"LW","Barrie Colts",52,3,0,3,0.06,15
"Patrick Asselin",1987-07-02,"LW","Saginaw Spirit",68,3,0,3,0.04,6
"Wayne Simmonds",1988-08-26,"RW","Owen Sound Attack",66,3,0,3,0.05,6
"Brandon MacLean",1987-09-04,"LW","Sault Ste. Marie Greyhounds",65,2,1,3,0.05,8
