"Name","BD","Pos","Team","GP","SHG","SHA","SHPTS","SHPTS/G","SHPTS%"
"Josef Vasicek",1980-09-12,"C","Sault Ste. Marie Greyhounds",17,1,2,3,0.18,15
"Chad Spurr",1979-05-13,"C","Sault Ste. Marie Greyhounds",17,2,0,2,0.12,11
"Justin Williams",1981-10-04,"RW","Plymouth Whalers",23,2,0,2,0.09,7
"Ryan Jardine",1980-03-15,"LW","Sault Ste. Marie Greyhounds",17,2,0,2,0.12,11
"Justin Papineau",1980-01-15,"C","Belleville Bulls",16,1,1,2,0.12,12
"Randy Rowe",1980-06-10,"LW","Belleville Bulls",16,1,1,2,0.12,10
"Brad Boyes",1982-04-17,"C","Erie Otters",13,1,0,1,0.08,7
"Brandon Merli",1979-03-16,"LW","Kitchener Rangers",5,1,0,1,0.2,14
"Derek MacKenzie",1981-06-11,"C","Sudbury Wolves",12,1,0,1,0.08,7
"Ed Hill",1980-10-24,"D","Barrie Colts",25,1,0,1,0.04,25
"Jason Jaspers",1981-04-08,"C","Sudbury Wolves",12,1,0,1,0.08,10
"Kristopher Vernarsky",1982-04-05,"LW","Plymouth Whalers",19,1,0,1,0.05,11
"Kurtis Foster",1981-11-24,"D","Peterborough Petes",5,1,0,1,0.2,33
"Lance Galbraith",1980-02-21,"LW","Ottawa 67's",11,1,0,1,0.09,11
"Maxim Rybin",1981-06-15,"C","Sarnia Sting",7,1,0,1,0.14,20
"Mike Henderson",1980-11-22,"RW","Barrie Colts",25,1,0,1,0.04,8
"Randy Davidson",1980-01-14,"LW","Ottawa 67's",11,1,0,1,0.09,25
"Ryan Barnes",1980-01-30,"LW","Barrie Colts",25,1,0,1,0.04,7
"Stephen Weiss",1983-04-03,"C","Plymouth Whalers",23,1,0,1,0.04,4
"Erik Reitz",1982-07-29,"D","Barrie Colts",25,0,1,1,0.04,20
"Ian Jacobs",1980-05-16,"RW","Ottawa 67's",11,0,1,1,0.09,25
"Jared Newman",1982-03-07,"D","Plymouth Whalers",23,0,1,1,0.04,20
"Joe Talbot",1980-04-23,"C","Ottawa 67's",11,0,1,1,0.09,8
"John Osborne",1981-03-11,"LW","Sault Ste. Marie Greyhounds",17,0,1,1,0.06,11
"Libor Ustrnul",1982-02-20,"D","Plymouth Whalers",23,0,1,1,0.04,33
"Mike Jefferson",1980-10-21,"RW","Barrie Colts",25,0,1,1,0.04,4
"Preston Mizzi",1980-12-22,"C","Peterborough Petes",5,0,1,1,0.2,50
"Randy Fitzgerald",1979-09-05,"LW","Plymouth Whalers",23,0,1,1,0.04,4
"Robb Palahnuk",1980-06-19,"LW","Sarnia Sting",7,0,1,1,0.14,33
"Sergei Kuznetzov",1980-01-29,"C","Peterborough Petes",5,0,1,1,0.2,25
"Shaun Fisher",1979-06-02,"D","Plymouth Whalers",23,0,1,1,0.04,4
"Tom Kotsopoulos",1981-01-01,"LW","Sudbury Wolves",12,0,1,1,0.08,20
"Tomas Kurka",1981-12-14,"LW","Plymouth Whalers",17,0,1,1,0.06,8
"Warren Hefford",1980-10-26,"RW","Sudbury Wolves",12,0,1,1,0.08,50
"Aaron Power",1982-02-04,"D","Barrie Colts",25,0,0,0,0,0
"Aaron Van Leusen",1981-10-28,"RW","Brampton Battalion",6,0,0,0,0,0
"Abe Herbst",1980-02-21,"D","Sudbury Wolves",12,0,0,0,0,0
"Adam Chapman",1982-03-27,"C","Ottawa 67's",11,0,0,0,0,0
"Adam Dewan",1979-10-18,"LW","Peterborough Petes",4,0,0,0,0,0
"Adam Paiement",1982-03-31,"RW","Belleville Bulls",16,0,0,0,0,0
"Alain Chevrier",1981-08-09,"D","Oshawa Generals",5,0,0,0,0,NA
"Alexander Buturlin",1981-09-03,"RW","Sarnia Sting",7,0,0,0,0,0
"Alexei Semenov",1981-04-10,"D","Sudbury Wolves",12,0,0,0,0,0
"Allan Rourke",1980-03-06,"D","Kitchener Rangers",5,0,0,0,0,0
"Andre Robichaud",1981-04-16,"D","Plymouth Whalers",17,0,0,0,0,0
"Andrew Archer",1983-05-15,"D","Oshawa Generals",3,0,0,0,0,0
"Andrew Brown",1983-07-05,"RW","Guelph Storm",6,0,0,0,0,NA
"Andrew Ianiero",1981-01-10,"LW","Kingston Frontenacs",5,0,0,0,0,0
"Andrew Peters",1980-05-05,"LW","Kitchener Rangers",4,0,0,0,0,0
"Andy Burnham",1980-07-02,"RW","Sarnia Sting",7,0,0,0,0,0
"Arvid Rekis",1979-01-01,"D","Erie Otters",13,0,0,0,0,0
"Bill Browne",1980-10-23,"","Sault Ste. Marie Greyhounds",5,0,0,0,0,NA
"Blaine Down",1982-07-16,"LW","Barrie Colts",22,0,0,0,0,0
"Blair Stayzer",1980-10-04,"LW","Windsor Spitfires",11,0,0,0,0,0
"Bob Crummer",1979-03-18,"RW","Peterborough Petes",5,0,0,0,0,0
"Bob McBride",1982-07-30,"C","Plymouth Whalers",23,0,0,0,0,0
"Bobby Naylor",1982-08-09,"C","Kitchener Rangers",3,0,0,0,0,0
"Bohuslav Subr",1980-05-25,"C","Guelph Storm",6,0,0,0,0,0
"Brad Horan",1983-05-15,"RW","Kingston Frontenacs",5,0,0,0,0,NA
"Brad Morgan",1979-04-22,"D","Sudbury Wolves",12,0,0,0,0,0
"Brad Pierce",1981-02-08,"D","North Bay Centennials",6,0,0,0,0,NA
"Brad Ralph",1980-10-17,"C","Oshawa Generals",5,0,0,0,0,0
"Brad Self",1981-02-27,"C","Peterborough Petes",5,0,0,0,0,0
"Brad Walford",1982-03-10,"C","North Bay Centennials",3,0,0,0,0,NA
"Brad Woods",1981-03-04,"D","Brampton Battalion",6,0,0,0,0,NA
"Brad Yeo",1981-03-18,"RW","Erie Otters",13,0,0,0,0,0
"Brandon Cullen",1981-03-05,"RW","Oshawa Generals",5,0,0,0,0,0
"Brandon Verner",1981-01-13,"D","Peterborough Petes",5,0,0,0,0,0
"Branislav Mezei",1980-08-10,"D","Belleville Bulls",6,0,0,0,0,0
"Branko Radivojevic",1980-11-24,"RW","Belleville Bulls",16,0,0,0,0,0
"Brendan Bell",1983-03-31,"D","Ottawa 67's",5,0,0,0,0,0
"Brent Gauvreau",1980-06-29,"RW","Oshawa Generals",5,0,0,0,0,0
"Brent Kelly",1981-12-01,"C","Guelph Storm",6,0,0,0,0,0
"Brent Labre",1982-06-30,"D","Kitchener Rangers",1,0,0,0,0,NA
"Brent Theobald",1980-01-19,"LW","Sault Ste. Marie Greyhounds",13,0,0,0,0,0
"Brett Clouthier",1981-06-09,"LW","Kingston Frontenacs",5,0,0,0,0,0
"Brian Passmore",1980-04-27,"C","Oshawa Generals",5,0,0,0,0,0
"Bryan Allen",1980-08-21,"D","Oshawa Generals",3,0,0,0,0,NA
"Carlo Colaiacovo",1983-01-27,"D","Erie Otters",13,0,0,0,0,0
"Charlie Stephens",1981-04-05,"C","Guelph Storm",6,0,0,0,0,0
"Chris Berti",1981-10-06,"C","Sarnia Sting",7,0,0,0,0,0
"Chris Brannen",1980-03-12,"D","Kitchener Rangers",5,0,0,0,0,0
"Chris Cava",1980-10-14,"D","Plymouth Whalers",23,0,0,0,0,0
"Chris Cook",1982-02-21,"LW","Kingston Frontenacs",5,0,0,0,0,NA
"Chris Eade",1982-04-20,"D","North Bay Centennials",3,0,0,0,0,NA
"Chris Rowan",1982-07-12,"LW","Brampton Battalion",6,0,0,0,0,0
"Chris Stanley",1979-06-18,"C","Belleville Bulls",16,0,0,0,0,0
"Chris Thorburn",1983-06-02,"C","North Bay Centennials",6,0,0,0,0,0
"Cleon Smith",1980-05-27,"C","Sault Ste. Marie Greyhounds",15,0,0,0,0,0
"Cody Glasper",1981-10-30,"D","Ottawa 67's",7,0,0,0,0,NA
"Cody McCormick",1983-04-18,"RW","Belleville Bulls",9,0,0,0,0,0
"Cole Jarrett",1983-01-04,"D","Plymouth Whalers",23,0,0,0,0,0
"Colt King",1983-03-04,"LW","Guelph Storm",6,0,0,0,0,NA
"Corey Brekelmans",1981-07-11,"D","Sarnia Sting",5,0,0,0,0,NA
"Corey Sabourin",1981-04-09,"D","Ottawa 67's",9,0,0,0,0,NA
"Cory Pecker",1981-03-20,"RW","Sault Ste. Marie Greyhounds",12,0,0,0,0,0
"Cory Stillman",1983-03-02,"C","Kingston Frontenacs",5,0,0,0,0,NA
"Craig Kennedy",1983-04-24,"RW","Windsor Spitfires",12,0,0,0,0,0
"Craig Mahon",1981-01-29,"D","Windsor Spitfires",11,0,0,0,0,0
"Curtis Watson",1980-03-12,"RW","Windsor Spitfires",11,0,0,0,0,0
"Damian Surma",1981-01-22,"LW","Plymouth Whalers",20,0,0,0,0,0
"Dan Growden",1982-02-09,"D","Windsor Spitfires",10,0,0,0,0,0
"Dan Tessier",1979-01-03,"C","Ottawa 67's",6,0,0,0,0,0
"Dan Watson",1979-10-05,"D","Sarnia Sting",7,0,0,0,0,NA
"Daniel Passero",1979-06-04,"D","Sault Ste. Marie Greyhounds",17,0,0,0,0,0
"Darren McMillan",1980-04-23,"D","Erie Otters",13,0,0,0,0,0
"Darren Strilchuk",1981-07-29,"D","Sault Ste. Marie Greyhounds",6,0,0,0,0,0
"Darryl Knight",1979-04-14,"C","Kingston Frontenacs",5,0,0,0,0,0
"Darryl Thomson",1982-01-16,"LW","Kingston Frontenacs",1,0,0,0,0,NA
"David Cornacchia",1980-11-13,"D","Belleville Bulls",16,0,0,0,0,0
"David Culham",NA,"C","North Bay Centennials",1,0,0,0,0,NA
"Denis Shvidki",1980-11-21,"RW","Barrie Colts",9,0,0,0,0,0
"Dennis Wideman",1983-03-20,"D","Sudbury Wolves",12,0,0,0,0,0
"Derek Fox",1981-02-17,"D","Sault Ste. Marie Greyhounds",16,0,0,0,0,0
"Derek Hennessey",1982-07-08,"D","Guelph Storm",6,0,0,0,0,NA
"Derek Roy",1983-05-04,"C","Kitchener Rangers",5,0,0,0,0,0
"Derrell Upton",1979-07-07,"RW","North Bay Centennials",1,0,0,0,0,NA
"Doug MacIver",1981-02-12,"D","Kingston Frontenacs",5,0,0,0,0,NA
"Drew Kivell",1983-02-04,"D","Sudbury Wolves",9,0,0,0,0,NA
"Dustin Wood",1981-05-21,"D","Peterborough Petes",5,0,0,0,0,0
"Dusty Jamieson",1981-05-26,"LW","Sarnia Sting",7,0,0,0,0,0
"Eric Beaudoin",1980-05-03,"LW","Guelph Storm",6,0,0,0,0,0
"Eric Braff",1980-11-12,"D","Kingston Frontenacs",5,0,0,0,0,NA
"Eric Gooldy",1979-02-10,"LW","Plymouth Whalers",23,0,0,0,0,0
"Eric Himelfarb",1983-01-01,"C","Sarnia Sting",7,0,0,0,0,0
"Fedor Fedorov",1981-06-11,"LW","Windsor Spitfires",12,0,0,0,0,0
"Frank Sinacori",1982-07-01,"LW","Windsor Spitfires",5,0,0,0,0,NA
"George Halkidis",1982-06-18,"D","North Bay Centennials",6,0,0,0,0,NA
"George Nistas",1981-03-16,"C","Plymouth Whalers",21,0,0,0,0,0
"Greg Willers",1979-08-08,"D","Oshawa Generals",5,0,0,0,0,0
"Ian Forbes",1980-08-02,"D","Guelph Storm",6,0,0,0,0,NA
"Ilya Demidov",1979-04-14,"D","Oshawa Generals",5,0,0,0,0,0
"Jake Gibson",1980-07-25,"D","Sault Ste. Marie Greyhounds",14,0,0,0,0,0
"James Ramsay",1981-02-24,"LW","Plymouth Whalers",12,0,0,0,0,0
"Jamie Chamberlain",1981-08-02,"RW","Peterborough Petes",5,0,0,0,0,0
"Jamie Johnson",1982-01-23,"C","Sarnia Sting",7,0,0,0,0,0
"Jamie Lalonde",1980-02-07,"LW","Plymouth Whalers",17,0,0,0,0,0
"Jamie Lovell",1982-12-27,"D","Belleville Bulls",10,0,0,0,0,NA
"Jarrett Richburg",1982-06-20,"LW","Erie Otters",3,0,0,0,0,NA
"Jason Baird",1980-09-16,"LW","Erie Otters",13,0,0,0,0,0
"Jason Maleyko",1980-05-24,"D","Brampton Battalion",6,0,0,0,0,0
"Jason Penner",1983-04-01,"C","Sarnia Sting",3,0,0,0,0,0
"Jason Polera",1979-03-21,"RW","Kingston Frontenacs",5,0,0,0,0,0
"Jason Williams",1980-08-11,"C","Peterborough Petes",5,0,0,0,0,0
"Jay Harrison",1982-11-03,"D","Brampton Battalion",6,0,0,0,0,0
"Jay McClement",1983-03-02,"C","Brampton Battalion",6,0,0,0,0,0
"Jean-Francois Seguin",1982-04-25,"D","Kingston Frontenacs",5,0,0,0,0,NA
"Jeff Bateman",1981-08-29,"C","Brampton Battalion",6,0,0,0,0,0
