"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Paul Schonfelder","5.10",155,"Ottawa 67's",1981-04-24,1,8,8,1,42.04,0,0,0,0,0,0,0,0,0,0,0
"Andrew Sim","5.10",175,"Sarnia Sting",1981-11-12,1,8,8,1,24,0,0,0,0,0,0,0,0,0,0,0
"Mike D'Alessandro","5.10",180,"Barrie Colts",1981-08-14,4,72,75,0.96,27.1,3,1.08,0,2,1,0,1,0,0,0,2
"Alex Auld","6.04",200,"North Bay Centennials",1981-01-07,6,242,254,0.953,40.68,12,1.92,0,2,1,3,4,0,0,0,0
"Derek Dolson","5.11",181,"Oshawa Generals",1981-05-23,4,119,128,0.93,29.92,9,2.1,0,0,1,2,3,0,0,0,0
"Ray Emery","6.02",200,"Sault Ste. Marie Greyhounds",1982-09-28,15,445,478,0.931,32.46,33,2.24,3,8,4,3,7,0,0,0,2
"Rob Zepp","6.01",198,"Plymouth Whalers",1981-09-07,23,640,692,0.925,30.21,52,2.27,2,15,8,0,8,0,0,0,2
"Mike Gorman","5.10",190,"Sudbury Wolves",1979-12-29,12,385,414,0.93,34.5,29,2.42,1,7,5,0,5,0,0,0,2
"Brian Finley","6.03",181,"Barrie Colts",1981-07-03,23,697,755,0.923,33.47,58,2.57,1,14,6,2,8,0,0,0,2
"J.F. Perras","6.00",170,"Erie Otters",1981-04-29,13,414,450,0.92,33.7,36,2.7,1,7,6,0,6,0,0,0,2
"Craig Anderson","6.02",185,"Guelph Storm",1981-05-21,3,50,55,0.909,29.8,5,2.71,0,0,1,0,1,0,0,0,0
"David Chant","6.00",188,"Brampton Battalion",1981-03-26,5,161,175,0.92,35,14,2.8,1,2,3,0,3,0,0,0,0
"Greg Hewitt","5.07",155,"Sarnia Sting",1979-10-08,7,199,219,0.909,31.28,20,2.86,0,3,2,2,4,0,0,0,2
"Scott Dickie","5.10",185,"Kitchener Rangers",1982-12-16,1,30,32,0.938,48,2,3,0,0,1,0,1,0,0,0,0
"Bill Ruggiero","6.02",198,"Plymouth Whalers",1981-02-25,1,9,10,0.9,30,1,3,0,0,0,0,0,0,0,0,0
"Levente Szuper","5.11",175,"Ottawa 67's",1980-06-06,11,398,433,0.919,38.17,35,3.09,1,6,5,0,5,0,0,0,0
"Michael Leighton","6.02",175,"Windsor Spitfires",1981-05-19,12,377,409,0.922,39.79,32,3.11,0,5,6,0,6,0,0,0,2
"Cory Campbell","6.00",190,"Belleville Bulls",1981-07-27,13,320,356,0.899,31.15,36,3.15,0,7,5,0,5,0,0,0,4
"Joey MacDonald","6.00",180,"Peterborough Petes",1980-02-07,5,136,152,0.895,32.57,16,3.43,1,1,4,0,4,0,0,0,0
"Corey Batten","6.01",180,"Belleville Bulls",1980-09-21,7,131,149,0.879,32.16,18,3.88,0,2,2,0,2,0,0,0,2
"Jason Flick","6.02",200,"Sault Ste. Marie Greyhounds",1979-04-13,4,77,88,0.875,31.87,11,3.98,0,1,1,0,1,0,0,0,0
"Scott Della Vedova","6.02",185,"Brampton Battalion",1981-08-25,1,34,38,0.895,38,4,4,0,0,1,0,1,0,0,0,0
"Andrew Raycroft","6.01",170,"Kingston Frontenacs",1980-05-04,5,203,224,0.906,44.8,21,4.2,0,1,4,0,4,0,0,0,0
"Chris Madden","6.01",175,"Guelph Storm",1979-03-10,6,153,171,0.895,41.16,18,4.33,0,2,3,0,3,0,0,0,4
"Reg Bourcier","5.10",184,"Kitchener Rangers",1980-03-13,5,183,203,0.901,44.26,20,4.36,0,1,2,1,3,0,0,0,4
"Ryan Aschaber","6.03",190,"Windsor Spitfires",1982-01-29,3,54,63,0.857,30.64,9,4.38,0,0,1,0,1,0,0,0,2
"T.J. Aceti","6.00",198,"Oshawa Generals",1982-06-13,2,39,47,0.83,37.42,8,6.37,0,1,1,0,1,0,0,0,2
"Jeremy Day","6.00",210,"Sault Ste. Marie Greyhounds",1982-08-24,1,23,27,0.852,61.71,4,9.14,0,0,0,0,0,0,0,0,0
"Adam Munro","6.01",200,"Erie Otters",1982-11-12,1,6,7,0.857,73.04,1,10.43,0,0,0,0,0,0,0,0,0
"Mike Pickard","5.09",165,"Peterborough Petes",1980-01-21,1,13,17,0.765,51,4,12,0,0,0,0,0,0,0,0,0
