"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Cody Spicer","6.03",170,"Peterborough Petes",1982-04-20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thomas Lee","6.02",195,"Erie Otters",1984-09-01,2,6,6,1,78.26,0,0,0,0,0,0,0,0,0,0,0
"Dwight LaBrosse","6.01",170,"Guelph Storm",1983-10-06,2,17,18,0.944,33.15,1,1.84,0,0,0,0,0,0,0,0,0
"David Chant","6.00",188,"Barrie Colts",1981-03-26,18,615,654,0.94,35.21,39,2.1,1,12,5,1,6,0,0,0,6
"Michael Mole","6.00",196,"Belleville Bulls",1982-10-12,11,359,384,0.935,33.6,25,2.19,1,6,2,3,5,0,0,0,4
"Ryan Aschaber","6.03",190,"Windsor Spitfires",1982-01-29,2,27,29,0.931,34.73,2,2.4,0,0,0,0,0,0,0,0,0
"Paulo Colaiacovo","6.01",200,"Barrie Colts",1983-01-27,2,56,61,0.918,29.82,5,2.44,0,1,0,1,1,0,0,0,0
"Jason Bacashihua","6.00",168,"Plymouth Whalers",1982-09-20,6,152,167,0.91,27.83,15,2.5,0,2,4,0,4,0,0,0,0
"T.J. Aceti","6.00",198,"Erie Otters",1982-06-13,16,449,489,0.918,30.77,40,2.52,0,12,2,1,3,0,0,0,9
"Adam Munro","6.01",200,"Erie Otters",1982-11-12,6,208,225,0.924,37.38,17,2.82,0,4,1,1,2,0,0,0,0
"Mike Smith","6.04",195,"Sudbury Wolves",1982-11-22,5,182,197,0.924,39.04,15,2.97,0,1,4,0,4,0,0,0,6
"David Currie","5.10",175,"Peterborough Petes",1982-03-24,6,189,207,0.913,34.27,18,2.98,0,2,3,1,4,0,0,0,0
"Cory Campbell","6.00",190,"Windsor Spitfires",1981-07-27,16,561,609,0.921,38.33,48,3.02,1,9,5,2,7,0,0,0,4
"Chris Beckford-Tseu","6.03",195,"Oshawa Generals",1984-06-22,5,163,179,0.911,34.57,16,3.09,0,1,3,1,4,0,0,0,0
"Chris Houle","6.03",197,"London Knights",1982-09-09,12,422,459,0.919,39.01,37,3.14,0,6,5,1,6,0,0,0,4
"Ray Emery","6.02",200,"Sault Ste. Marie Greyhounds",1982-09-28,6,255,274,0.931,45.67,19,3.17,1,2,4,0,4,0,0,0,0
"Andrew Penner","6.03",205,"Guelph Storm",1982-12-21,9,286,315,0.908,34.59,29,3.18,0,5,3,1,4,0,0,0,0
"Peter Budaj","6.01",190,"Toronto St. Michael's Majors",1982-09-18,12,334,368,0.908,35.58,34,3.29,0,5,5,1,6,0,0,0,6
"J.F. Perras","6.00",170,"Ottawa 67's",1981-04-29,13,434,476,0.912,38.28,42,3.38,0,7,6,0,6,0,0,0,2
"Andy Chiodo","6.00",195,"Toronto St. Michael's Majors",1983-04-25,7,152,169,0.899,35.2,17,3.54,0,3,1,0,1,0,0,0,0
"Robert Gherson","6.01",175,"Sarnia Sting",1983-10-08,5,188,205,0.917,45.49,17,3.77,0,1,3,0,3,0,0,0,0
"Scott Dickie","5.10",185,"Kitchener Rangers",1982-12-16,4,101,114,0.886,33.66,13,3.84,0,0,3,0,3,0,0,0,0
"Tyson Kellerman","6.02",185,"North Bay Centennials",1984-01-18,4,135,152,0.888,37.47,17,4.19,0,1,2,1,3,0,0,0,0
"John Ceci","5.11",165,"Ottawa 67's",1983-08-19,2,20,23,0.87,35.72,3,4.66,0,0,0,0,0,0,0,0,2
"Jeremy Day","6.00",210,"North Bay Centennials",1982-08-24,1,30,35,0.857,35,5,5,0,0,1,0,1,0,0,0,2
"Jan Chovan","6.00",190,"London Knights",1983-09-07,2,23,26,0.885,46.59,3,5.38,0,0,0,0,0,0,0,0,9
"Peter Hamerlik","6.02",190,"Kingston Frontenacs",1982-01-02,1,35,41,0.854,41,6,6,0,0,1,0,1,0,0,0,0
"Matt Harpwood","6.00",175,"Kitchener Rangers",1983-07-21,2,24,28,0.857,45.67,4,6.52,0,0,1,0,1,0,0,0,0
"John Barrow","6.00",185,"Sarnia Sting",1984-05-10,2,29,35,0.829,41.35,6,7.09,0,0,1,0,1,0,0,0,0
