"Name","BD","Pos","Team","GP","SHG","SHA","SHPTS","SHPTS/G","SHPTS%"
"Andy Hyvarinen",1987-12-29,"LW","Guelph Storm",14,0,0,0,0,0
"Anton Hedman",1986-05-15,"RW","Sudbury Wolves",8,0,0,0,0,0
"Arron Alphonso",1988-11-14,"RW","Ottawa 67's",4,0,0,0,0,0
"Blake Parlett",1989-05-13,"D","Barrie Colts",14,0,0,0,0,0
"Blake Pronk",1986-07-18,"LW","Kingston Frontenacs",6,0,0,0,0,0
"Bobby Bolt",1987-04-29,"LW","Kingston Frontenacs",6,0,0,0,0,NA
"Bobby Davey",1987-04-20,"D","Belleville Bulls",6,0,0,0,0,NA
"Bobby Hughes",1987-11-11,"C","Kingston Frontenacs",6,0,0,0,0,0
"Bobby Ryan",1987-03-17,"RW","Owen Sound Attack",11,0,0,0,0,0
"Boris Valabik",1986-02-14,"D","Kitchener Rangers",5,0,0,0,0,0
"Brad Good",1986-03-10,"D","Sault Ste. Marie Greyhounds",4,0,0,0,0,NA
"Bradley Snetsinger",1987-04-08,"LW","Windsor Spitfires",7,0,0,0,0,0
"Brandon Biggers",1988-08-21,"LW","Guelph Storm",13,0,0,0,0,0
"Brandon MacLean",1987-09-04,"LW","Sault Ste. Marie Greyhounds",4,0,0,0,0,0
"Brent Mackie",1987-04-19,"D","Ottawa 67's",2,0,0,0,0,NA
"Brett Bellemore",1988-06-25,"D","Plymouth Whalers",10,0,0,0,0,NA
"Brett Halstead",1988-03-27,"D","Sault Ste. Marie Greyhounds",4,0,0,0,0,0
"Brett Liscomb",1986-01-28,"LW","Ottawa 67's",5,0,0,0,0,0
"Brian Soso",1987-04-27,"RW","Windsor Spitfires",7,0,0,0,0,0
"Brock McPherson",1985-07-24,"LW","Belleville Bulls",6,0,0,0,0,0
"Brodie Beard",1986-06-12,"D","Ottawa 67's",6,0,0,0,0,NA
"Bryan Bickell",1986-03-09,"LW","Windsor Spitfires",7,0,0,0,0,0
"Bryan Cameron",1989-02-25,"C","Belleville Bulls",6,0,0,0,0,0
"Bryan Young",1986-08-06,"D","Peterborough Petes",19,0,0,0,0,NA
"Cal O'Reilly",1986-09-30,"C","Windsor Spitfires",7,0,0,0,0,0
"Chris Chappell",1988-03-21,"LW","Saginaw Spirit",4,0,0,0,0,NA
"Chris Ferguson",1988-02-09,"LW","London Knights",1,0,0,0,0,NA
"Chris Hulit",1985-01-15,"RW","Ottawa 67's",6,0,0,0,0,0
"Chris Morrison",1986-04-16,"RD","Barrie Colts",14,0,0,0,0,0
"Chris Purves",1987-10-21,"D","Windsor Spitfires",7,0,0,0,0,0
"Chris Terry",1989-04-07,"C","Plymouth Whalers",11,0,0,0,0,0
"Cody Smith",1988-11-03,"LW","Brampton Battalion",1,0,0,0,0,NA
"Cody Thornton",1986-07-16,"RW","Sault Ste. Marie Greyhounds",4,0,0,0,0,0
"Colin Hanley",1987-06-10,"RW","Owen Sound Attack",11,0,0,0,0,NA
"Connor Cameron",1985-05-11,"C","Kingston Frontenacs",6,0,0,0,0,NA
"Corey Syvret",1989-02-19,"D","London Knights",11,0,0,0,0,0
"Cory Emmerton",1988-06-01,"LW","Kingston Frontenacs",6,0,0,0,0,0
"Cory Konecny",1985-10-22,"RW","Kitchener Rangers",5,0,0,0,0,0
"Cory McGillis",1988-07-09,"LW","Windsor Spitfires",6,0,0,0,0,0
"Cory Vitarelli",1985-06-30,"LW","Toronto St. Michael's Majors",4,0,0,0,0,0
"Craig Cescon",1986-08-18,"D","Peterborough Petes",19,0,0,0,0,0
"Craig Voakes",1986-01-02,"C","Kitchener Rangers",5,0,0,0,0,0
"Dan Collins",1987-02-26,"RW","Plymouth Whalers",4,0,0,0,0,0
"Dan Gyenes",1987-05-20,"D","Kitchener Rangers",3,0,0,0,0,NA
"David Halasz",1986-09-08,"D","London Knights",19,0,0,0,0,0
"David Jarram",1987-10-23,"RW","London Knights",12,0,0,0,0,NA
"David Kuchejda",1987-06-12,"RW","Sault Ste. Marie Greyhounds",4,0,0,0,0,0
"David Lomas",1985-03-21,"RW","Kitchener Rangers",2,0,0,0,0,0
"Derek Joslin",1987-03-17,"D","Ottawa 67's",6,0,0,0,0,0
"Derek Lewis",1986-01-09,"D","Toronto St. Michael's Majors",4,0,0,0,0,NA
"Derek Merlini",1985-07-06,"D","Plymouth Whalers",13,0,0,0,0,0
"Devin DiDiomete",1988-05-09,"LW","Sudbury Wolves",10,0,0,0,0,0
"Drew Doughty",1989-12-08,"D","Guelph Storm",14,0,0,0,0,0
"Dustin Jeffrey",1988-02-27,"C","Sault Ste. Marie Greyhounds",4,0,0,0,0,0
"Dylan Hunter",1985-05-21,"LW","London Knights",19,0,0,0,0,0
"Elgin Reid",1987-02-23,"D","Ottawa 67's",4,0,0,0,0,0
"Evan Brophey",1986-12-03,"C","Plymouth Whalers",13,0,0,0,0,0
"Evan McGrath",1986-01-14,"C","Kitchener Rangers",5,0,0,0,0,0
"Frank Rediker",1985-03-15,"D","London Knights",6,0,0,0,0,NA
"Fredrik Naslund",1986-09-15,"RW","Peterborough Petes",19,0,0,0,0,0
"Garrett Sinfield",1987-03-26,"D","Saginaw Spirit",4,0,0,0,0,NA
"Geoff Killing",1987-08-22,"D","Belleville Bulls",6,0,0,0,0,0
"Gerome Giudice",1989-03-11,"LW","Sudbury Wolves",10,0,0,0,0,0
"Gino Pisellini",1986-08-05,"RW","Plymouth Whalers",13,0,0,0,0,0
"Graham McNabb",1987-02-23,"C","Brampton Battalion",11,0,0,0,0,NA
"Greg Stewart",1986-05-21,"LW","Peterborough Petes",19,0,0,0,0,0
"Howie Martin",1986-11-18,"C","Brampton Battalion",11,0,0,0,0,0
"Iain McPhee",1985-10-01,"D","Windsor Spitfires",7,0,0,0,0,NA
"Igor Gongalsky",1986-11-05,"LW","Owen Sound Attack",11,0,0,0,0,0
"Jack Combs",1988-01-26,"RW","Saginaw Spirit",3,0,0,0,0,0
"Jacob King",1986-01-04,"RW","Sault Ste. Marie Greyhounds",4,0,0,0,0,NA
"Jacob Lalonde",1988-01-08,"LW","Sault Ste. Marie Greyhounds",4,0,0,0,0,NA
"Jakub Kindl",1987-02-10,"D","Kitchener Rangers",5,0,0,0,0,0
"Jakub Petruzalek",1985-04-24,"C","Barrie Colts",14,0,0,0,0,0
"Jakub Vojta",1987-02-08,"D","Ottawa 67's",6,0,0,0,0,0
"Jamie Arniel",1989-11-16,"C","Guelph Storm",15,0,0,0,0,0
"Jamie Klie",1987-03-25,"D","Saginaw Spirit",4,0,0,0,0,NA
"Jamie McGinn",1988-08-05,"LW","Ottawa 67's",6,0,0,0,0,0
"Jamie VanderVeeken",1986-01-20,"LW","London Knights",19,0,0,0,0,0
"Jared Boll",1986-05-13,"RW","Plymouth Whalers",13,0,0,0,0,0
"Jared Cipparone",1986-02-14,"LW","Windsor Spitfires",7,0,0,0,0,NA
"Jaroslav Mrazek",1986-01-14,"D","Toronto St. Michael's Majors",4,0,0,0,0,0
"Jason Cassidy",1987-06-18,"RW","Brampton Battalion",10,0,0,0,0,0
"Jason Pitton",1986-05-23,"LW","Guelph Storm",15,0,0,0,0,0
"Jean-Michel Rizk",1986-03-24,"RW","Kitchener Rangers",5,0,0,0,0,NA
"Jeff Barletta",1988-07-22,"D","Toronto St. Michael's Majors",4,0,0,0,0,NA
"Jeff Leavitt",1986-04-16,"LW","Belleville Bulls",6,0,0,0,0,0
"Jeff Moor",1986-06-13,"D","Owen Sound Attack",8,0,0,0,0,0
"Jesse Gimblett",1985-01-04,"LW","Saginaw Spirit",4,0,0,0,0,0
"Jesse Messier",1988-03-05,"RW","Sudbury Wolves",8,0,0,0,0,NA
"Joe Gaynor",1989-01-05,"LW","Plymouth Whalers",13,0,0,0,0,NA
"Joe Grimaldi",1986-08-23,"D","Ottawa 67's",6,0,0,0,0,0
"Joe McCann",1987-03-02,"RW","Plymouth Whalers",13,0,0,0,0,0
"Joe Pleckaitis",1989-06-13,"LW","Ottawa 67's",2,0,0,0,0,NA
"John Armstrong",1988-02-26,"C","Plymouth Whalers",13,0,0,0,0,0
"John de Gray",1988-03-14,"D","Brampton Battalion",11,0,0,0,0,NA
"John Hughes",1988-01-06,"C","Belleville Bulls",6,0,0,0,0,0
"John Seymour",1987-06-16,"LW","Brampton Battalion",11,0,0,0,0,NA
"Jonathan D'Aversa",1986-03-02,"D","Sudbury Wolves",10,0,0,0,0,0
"Jonathan Sciacca",1988-04-16,"D","Windsor Spitfires",7,0,0,0,0,0
"Jordan Grant",1986-12-16,"LW","Barrie Colts",14,0,0,0,0,0
"Jordan Morrison",1986-06-06,"C","Peterborough Petes",19,0,0,0,0,0
"Jordan Shine",1988-12-14,"LW","Belleville Bulls",6,0,0,0,0,NA
"Josh Beaulieu",1987-01-10,"LW","London Knights",18,0,0,0,0,0
"Josh Catto",1988-04-19,"RW","Owen Sound Attack",9,0,0,0,0,NA
"Josh Godfrey",1988-01-15,"D","Sault Ste. Marie Greyhounds",1,0,0,0,0,0
"Joshua Bailey",1989-10-02,"C","Owen Sound Attack",11,0,0,0,0,NA
"Julian Talbot",1985-03-24,"C","Ottawa 67's",3,0,0,0,0,0
"Julien Machabee",1988-02-29,"D","Kitchener Rangers",1,0,0,0,0,NA
"Justin Azevedo",1988-04-01,"C","Kitchener Rangers",5,0,0,0,0,0
"Justin Caruana",1987-07-17,"LW","Peterborough Petes",19,0,0,0,0,0
"Justin DiBenedetto",1988-08-25,"C","Toronto St. Michael's Majors",4,0,0,0,0,0
"Justin Donati",1986-10-17,"C","Toronto St. Michael's Majors",4,0,0,0,0,0
"Justin Levac",1989-04-25,"LW","Brampton Battalion",4,0,0,0,0,NA
"Justin Soryal",1987-06-29,"LW","Peterborough Petes",17,0,0,0,0,0
"Keaton Turkiewicz",1988-03-02,"RW","Windsor Spitfires",7,0,0,0,0,0
"Kelsey Wilson",1986-01-22,"LW","Guelph Storm",15,0,0,0,0,0
"Kevin Henderson",1986-12-03,"LW","Kitchener Rangers",2,0,0,0,0,0
"Kris Belan",1986-12-19,"LW","London Knights",14,0,0,0,0,0
"Kyle Hope",1987-07-26,"D","Sudbury Wolves",2,0,0,0,0,0
"Kyle Jukosky",1988-10-03,"C","Belleville Bulls",2,0,0,0,0,NA
"Kyle Raftis",1986-05-28,"D","Peterborough Petes",10,0,0,0,0,0
"Kyle Sonnenburg",1986-05-07,"D","Brampton Battalion",11,0,0,0,0,0
"Kyle Wharton",1986-03-03,"D","Guelph Storm",15,0,0,0,0,0
"Leigh Salters",1989-03-27,"LW","Guelph Storm",13,0,0,0,0,NA
"Leo Jenner",1989-06-27,"D","Plymouth Whalers",2,0,0,0,0,NA
"Liam Reddox",1986-01-27,"LW","Peterborough Petes",19,0,0,0,0,0
"Logan Couture",1989-03-28,"C","Ottawa 67's",6,0,0,0,0,0
"Lubomir Stach",1986-05-28,"D","Peterborough Petes",19,0,0,0,0,0
"Luch Aquino",1985-01-26,"RW","Brampton Battalion",11,0,0,0,0,0
"Luke Lynes",1987-11-28,"LW","Brampton Battalion",11,0,0,0,0,0
"Luke Pither",1989-04-26,"C","Kingston Frontenacs",6,0,0,0,0,0
"Marek Bartanus",1987-02-13,"LW","Owen Sound Attack",10,0,0,0,0,0
"Marek Horsky",1986-12-30,"C","Toronto St. Michael's Majors",4,0,0,0,0,NA
"Mark Fraser",1986-09-26,"D","Kitchener Rangers",5,0,0,0,0,0
"Mark Pawlowski",1988-03-25,"D","Peterborough Petes",9,0,0,0,0,NA
"Matt Auffrey",1986-01-03,"RW","Kitchener Rangers",5,0,0,0,0,0
"Matt Beleskey",1988-06-07,"LW","Belleville Bulls",6,0,0,0,0,0
"Matt Clarke",1988-04-08,"C","London Knights",19,0,0,0,0,0
"Matt Corrente",1988-03-17,"D","Saginaw Spirit",4,0,0,0,0,0
"Matt Dias",1988-04-29,"RW","Sudbury Wolves",10,0,0,0,0,0
"Matt Halischuk",1988-06-01,"RW","Toronto St. Michael's Majors",4,0,0,0,0,0
"Matt Kang",1988-11-09,"LW","Owen Sound Attack",5,0,0,0,0,NA
"Matt Kelly",1985-03-23,"D","Belleville Bulls",6,0,0,0,0,0
"Matt Kennedy",1989-03-04,"RW","Guelph Storm",13,0,0,0,0,0
"Matt Lahey",1988-12-28,"RW","Ottawa 67's",6,0,0,0,0,0
"Matt Lashoff",1986-09-29,"D","Kitchener Rangers",5,0,0,0,0,0
"Matt Pelech",1987-09-04,"D","London Knights",19,0,0,0,0,NA
"Matt Pepe",1987-02-22,"D","Kitchener Rangers",5,0,0,0,0,0
"Matt Smyth",1985-07-03,"D","Belleville Bulls",6,0,0,0,0,0
"Matt Smyth",1989-06-12,"RW","Brampton Battalion",10,0,0,0,0,NA
"Matthew Lyall",1988-02-08,"C","Sault Ste. Marie Greyhounds",4,0,0,0,0,0
"Matthieu Methot",1987-10-08,"LW","Barrie Colts",14,0,0,0,0,0
"Michael Kolarz",1987-01-12,"D","Kingston Frontenacs",6,0,0,0,0,NA
"Michael Lombardi",1987-08-06,"LW","Barrie Colts",14,0,0,0,0,0
"Michael Pelech",1989-10-06,"C","Kitchener Rangers",2,0,0,0,0,NA
"Michael Quesnele",1989-01-18,"D","Sault Ste. Marie Greyhounds",4,0,0,0,0,0
"Michael Root",1985-04-13,"D","Windsor Spitfires",2,0,0,0,0,NA
"Michael Vernace",1986-05-26,"D","Brampton Battalion",11,0,0,0,0,0
"Michal Klejna",1987-10-08,"C","Brampton Battalion",8,0,0,0,0,0
"Micheal Haley",1986-03-30,"C","Toronto St. Michael's Majors",4,0,0,0,0,0
"Mickey Renaud",1988-10-05,"C","Windsor Spitfires",7,0,0,0,0,0
"Mike Bushby",1987-05-22,"D","Windsor Spitfires",6,0,0,0,0,0
"Mike Duco",1987-07-08,"LW","Kitchener Rangers",5,0,0,0,0,0
"Mike Letizia",1985-02-15,"D","Plymouth Whalers",9,0,0,0,0,NA
"Mike Looby",1985-01-28,"D","Kingston Frontenacs",6,0,0,0,0,NA
"Mike Noyes",1988-05-21,"D","London Knights",5,0,0,0,0,NA
"Mike Weber",1987-12-16,"D","Windsor Spitfires",7,0,0,0,0,NA
"Mitch Maunu",1986-07-30,"D","Windsor Spitfires",7,0,0,0,0,0
"Myles Applebaum",1988-03-16,"C","Kitchener Rangers",5,0,0,0,0,NA
"Nick Duff",1985-12-12,"D","Brampton Battalion",11,0,0,0,0,NA
"Nick Pageau",1988-01-08,"D","Belleville Bulls",6,0,0,0,0,NA
"Nick Plastino",1986-02-20,"D","Barrie Colts",14,0,0,0,0,0
"Nick Spaling",1988-09-19,"LW","Kitchener Rangers",5,0,0,0,0,0
"Nolan Waker",1985-10-06,"RW","Brampton Battalion",11,0,0,0,0,NA
"Ondrej Otcenas",1987-03-06,"C","Plymouth Whalers",1,0,0,0,0,NA
"P.K. Subban",1989-05-13,"D","Belleville Bulls",3,0,0,0,0,NA
"Pat Daley",1989-04-08,"RW","Ottawa 67's",5,0,0,0,0,0
"Pat Ouellette",1987-04-21,"C","Ottawa 67's",6,0,0,0,0,0
"Patrick Asselin",1987-07-02,"LW","Saginaw Spirit",4,0,0,0,0,NA
"Patrick Davis",1986-12-28,"LW","Windsor Spitfires",7,0,0,0,0,0
"Patrick Kaleta",1986-06-08,"RW","Peterborough Petes",19,0,0,0,0,0
"Patrick McNeill",1987-03-17,"D","Saginaw Spirit",4,0,0,0,0,0
"Paul McFarland",1985-12-06,"LW","Windsor Spitfires",7,0,0,0,0,0
"Payton Liske",1988-11-28,"LW","Owen Sound Attack",1,0,0,0,0,NA
"Peter Aston",1986-02-24,"D","Windsor Spitfires",7,0,0,0,0,0
"Phil Oreskovic",1987-01-26,"D","Brampton Battalion",11,0,0,0,0,NA
"Radek Smolenak",1986-12-03,"RW","Kingston Frontenacs",6,0,0,0,0,0
