"Name","Rookie","BD","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","GWG","ENG","PIM"
"Bryan Little","NO",1987-11-12,"5.10",195,"C","Barrie Colts",14,8,15,23,1.64,7,2,13,15,0,0,19
"Vladimir Nikiforov","YES",1987-10-07,"5.07",170,"RW","Barrie Colts",14,3,14,17,1.21,3,3,6,9,1,0,6
"Jordan Staal","NO",1988-09-10,"6.03",200,"C","Peterborough Petes",19,10,6,16,0.84,7,4,5,9,1,0,16
"Bobby Sanguinetti","NO",1988-02-29,"6.02",183,"D","Owen Sound Attack",11,5,10,15,1.36,2,4,7,11,0,0,4
"Andrew Fournier","NO",1987-11-05,"5.11",192,"C","Plymouth Whalers",13,5,6,11,0.85,-3,4,2,6,1,0,8
"John Armstrong","NO",1988-02-26,"6.02",205,"C","Plymouth Whalers",13,4,7,11,0.85,4,1,3,4,0,0,18
"Aaron Snow","NO",1988-05-20,"6.01",204,"LW","Brampton Battalion",11,4,4,8,0.73,-5,4,0,4,0,0,22
"Luke Lynes","NO",1987-11-28,"6.01",189,"LW","Brampton Battalion",11,2,6,8,0.73,-6,2,5,7,1,0,10
"Tom Sestito","NO",1987-09-28,"6.05",212,"LW","Plymouth Whalers",13,5,2,7,0.54,-2,1,0,1,1,0,29
"Theo Peckham","NO",1987-11-10,"6.02",223,"D","Owen Sound Attack",11,1,6,7,0.64,-3,0,4,4,0,0,32
"Matthieu Methot","YES",1987-10-08,"6.03",212,"LW","Barrie Colts",14,3,2,5,0.36,3,0,0,0,0,1,14
"John Hughes","NO",1988-01-06,"5.10",177,"C","Belleville Bulls",6,1,4,5,0.83,4,0,1,1,1,0,10
"Matt Dias","YES",1988-04-29,"5.11",200,"RW","Sudbury Wolves",10,3,1,4,0.4,1,2,1,3,0,0,8
"Jamie McGinn","NO",1988-08-05,"6.00",200,"LW","Ottawa 67's",6,2,2,4,0.67,-3,2,2,4,0,0,4
"Cory Tanaka","NO",1988-05-17,"5.10",188,"C","Belleville Bulls",6,1,3,4,0.67,0,0,0,0,0,0,2
"Nick Foligno","NO",1987-10-31,"6.00",195,"C","Sudbury Wolves",10,1,3,4,0.4,0,1,1,2,0,0,28
"Devin DiDiomete","NO",1988-05-09,"6.01",190,"LW","Sudbury Wolves",10,0,4,4,0.4,-1,0,2,2,0,0,26
"Scott Cowie","NO",1988-05-05,"6.00",190,"C","Peterborough Petes",19,0,4,4,0.21,-1,0,1,1,0,0,2
"Shawn Matthias","NO",1988-02-19,"6.04",213,"C","Belleville Bulls",6,3,0,3,0.5,-1,2,0,2,0,0,2
"Matt Caria","YES",1988-08-16,"6.00",201,"C","Toronto St. Michael's Majors",4,2,1,3,0.75,-1,0,0,0,0,0,6
"Thomas Kiriakou","YES",1988-01-24,"5.11",201,"C","Ottawa 67's",6,2,1,3,0.5,-2,2,0,2,0,0,2
"Dustin Jeffrey","NO",1988-02-27,"6.03",199,"C","Sault Ste. Marie Greyhounds",4,1,2,3,0.75,-2,1,0,1,0,0,2
"Keaton Turkiewicz","NO",1988-03-02,"5.11",180,"RW","Windsor Spitfires",7,1,2,3,0.43,-4,1,1,2,0,0,4
"Matt Beleskey","NO",1988-06-07,"6.00",207,"LW","Belleville Bulls",6,1,2,3,0.5,3,0,0,0,0,0,10
"Michael Caruso","NO",1988-07-05,"6.03",195,"D","Guelph Storm",15,1,2,3,0.2,10,0,0,0,0,0,24
"Trevor Solomon","NO",1987-11-04,"6.01",197,"D","Sault Ste. Marie Greyhounds",4,1,2,3,0.75,1,1,1,2,0,0,4
"Justin Azevedo","NO",1988-04-01,"5.08",180,"C","Kitchener Rangers",5,0,3,3,0.6,-4,0,2,2,0,0,12
"Matt Clarke","YES",1988-04-08,"5.11",188,"C","London Knights",19,0,3,3,0.16,2,0,0,0,0,0,8
"Chris Stewart","NO",1987-10-30,"6.02",226,"RW","Kingston Frontenacs",6,2,0,2,0.33,-5,0,0,0,1,0,13
"Cory Emmerton","NO",1988-06-01,"6.00",190,"LW","Kingston Frontenacs",6,2,0,2,0.33,-4,1,0,1,1,0,6
"Bobby Hughes","NO",1987-11-11,"5.11",180,"C","Kingston Frontenacs",6,1,1,2,0.33,-4,0,1,1,0,0,4
"Matt Corrente","NO",1988-03-17,"6.00",200,"D","Saginaw Spirit",4,1,1,2,0.5,-4,1,1,2,0,0,8
"Matt Halischuk","NO",1988-06-01,"5.11",177,"RW","Toronto St. Michael's Majors",4,1,1,2,0.5,-1,0,0,0,0,0,0
"Matthew Lyall","YES",1988-02-08,"5.11",167,"C","Sault Ste. Marie Greyhounds",4,1,1,2,0.5,-1,0,0,0,0,0,0
"Scott Aarssen","YES",1988-05-10,"5.11",190,"D","London Knights",19,1,1,2,0.11,6,0,0,0,0,0,6
"Ben Shutron","NO",1988-06-14,"6.00",195,"D","Kingston Frontenacs",6,0,2,2,0.33,-4,0,0,0,0,0,14
"Andrew Wilkins","YES",1988-07-25,"5.10",162,"D","London Knights",14,1,0,1,0.07,-1,0,0,0,0,0,0
"Andy Hyvarinen","NO",1987-12-29,"5.09",187,"LW","Guelph Storm",14,1,0,1,0.07,-2,0,0,0,0,0,4
"Cory McGillis","NO",1988-07-09,"6.02",215,"LW","Windsor Spitfires",6,1,0,1,0.17,-2,0,0,0,0,0,8
"Justin DiBenedetto","NO",1988-08-25,"6.00",195,"C","Toronto St. Michael's Majors",4,1,0,1,0.25,-2,0,0,0,0,0,11
"Michal Klejna","YES",1987-10-08,"6.00",185,"C","Brampton Battalion",8,1,0,1,0.13,2,0,0,0,0,0,4
"Shea Kewin","YES",1988-02-25,"6.00",188,"RW","Ottawa 67's",6,1,0,1,0.17,0,0,0,0,0,0,2
"Brandon Biggers","YES",1988-08-21,"6.02",191,"LW","Guelph Storm",13,0,1,1,0.08,-1,0,0,0,0,0,4
"Brett Halstead","YES",1988-03-27,"6.03",202,"D","Sault Ste. Marie Greyhounds",4,0,1,1,0.25,-2,0,1,1,0,0,4
"Chris Purves","YES",1987-10-21,"6.03",186,"D","Windsor Spitfires",7,0,1,1,0.14,2,0,0,0,0,0,0
"Jack Combs","NO",1988-01-26,"6.00",201,"RW","Saginaw Spirit",3,0,1,1,0.33,-2,0,1,1,0,0,0
"Jonathan Sciacca","NO",1988-04-16,"5.11",197,"D","Windsor Spitfires",7,0,1,1,0.14,0,0,1,1,0,0,8
"Josh Godfrey","NO",1988-01-15,"6.02",200,"D","Sault Ste. Marie Greyhounds",1,0,1,1,1,1,0,0,0,0,0,0
"Ryan McDonough","NO",1988-01-02,"5.09",177,"C","Saginaw Spirit",4,0,1,1,0.25,-1,0,0,0,0,0,8
"Andrew Campbell","YES",1988-02-04,"6.05",201,"D","Sault Ste. Marie Greyhounds",3,0,0,0,0,-2,0,0,0,0,0,4
"Brett Bellemore","YES",1988-06-25,"6.04",186,"D","Plymouth Whalers",10,0,0,0,0,-1,0,0,0,0,0,0
"Chris Chappell","YES",1988-03-21,"6.04",212,"LW","Saginaw Spirit",4,0,0,0,0,0,0,0,0,0,0,2
"Chris Ferguson","NO",1988-02-09,"6.00",174,"LW","London Knights",1,0,0,0,0,0,0,0,0,0,0,0
"David Jarram","NO",1987-10-23,"6.03",216,"RW","London Knights",12,0,0,0,0,0,0,0,0,0,0,12
