"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Jason Guy","6.00",173,"Guelph Storm",1988-07-19,1,9,9,1,27,0,0,0,0,0,0,0,0,0,0,0
"Brady Morrison","6.00",175,"Ottawa 67's",1987-04-15,1,31,32,0.969,36.42,1,1.14,0,1,0,0,0,0,0,0,0
"Neil Conway","6.01",183,"Owen Sound Attack",1988-01-17,1,35,37,0.946,37,2,2,0,1,0,0,0,0,0,0,0
"Ryan MacDonald","5.09",183,"Guelph Storm",1985-04-29,15,450,487,0.924,31.62,37,2.4,1,9,3,3,6,0,0,0,2
"David Shantz","6.01",190,"Peterborough Petes",1986-05-05,19,662,716,0.925,34.66,54,2.61,1,16,3,0,3,0,0,0,4
"Kevin Beech","6.04",177,"Sudbury Wolves",1986-09-23,10,293,321,0.913,31.49,28,2.75,2,4,5,1,6,0,0,0,0
"Danny Taylor","6.01",185,"Kingston Frontenacs",1986-04-28,5,156,170,0.918,34,14,2.8,1,2,3,0,3,0,0,0,0
"Steve Mason","6.03",190,"London Knights",1988-05-29,4,72,79,0.911,31.66,7,2.81,0,0,0,1,1,0,0,0,0
"Sebastian Dahm","5.10",180,"Belleville Bulls",1987-02-28,6,187,206,0.908,32.85,19,3.03,0,2,2,2,4,0,0,0,0
"Daren Machesney","6.00",177,"Brampton Battalion",1986-12-13,11,272,304,0.895,28.83,32,3.03,0,5,5,1,6,0,0,0,2
"Francois Thuot","6.00",160,"Saginaw Spirit",1985-05-02,3,89,98,0.908,33.57,9,3.08,0,0,3,0,3,0,0,0,0
"Dan LaCosta","6.03",195,"Barrie Colts",1986-03-28,11,294,328,0.896,30.08,34,3.12,0,5,2,3,5,0,0,0,0
"Justin Peters","6.02",210,"Plymouth Whalers",1986-08-30,13,383,425,0.901,32.34,42,3.2,0,6,6,1,7,0,0,0,0
"Adam Dennis","6.00",175,"London Knights",1985-02-08,18,681,740,0.92,40.75,59,3.25,0,12,5,1,6,0,0,0,12
"Danny Battochio","5.10",175,"Ottawa 67's",1985-12-21,6,177,196,0.903,34.4,19,3.33,0,1,2,2,4,0,0,0,2
"Andrew Perugini","6.00",180,"Barrie Colts",1988-07-12,5,110,125,0.88,29.41,15,3.53,0,4,0,0,0,0,0,0,0
"Michael Ouzas","5.10",189,"Owen Sound Attack",1985-08-30,10,351,390,0.9,36.32,39,3.63,0,5,3,2,5,0,0,0,0
"Dan Turple","6.05",230,"Kitchener Rangers",1985-01-01,5,172,192,0.896,35.34,20,3.68,0,1,3,1,4,0,0,0,0
"Daryl Borden","6.03",200,"Kingston Frontenacs",1989-05-19,1,45,49,0.918,49,4,4,0,0,1,0,1,0,0,0,0
"Anthony Guadagnolo","5.11",185,"Windsor Spitfires",1986-01-27,7,190,218,0.872,31.24,28,4.01,0,3,4,0,4,0,0,0,2
"Ryan Daniels","6.02",200,"Saginaw Spirit",1988-06-22,1,29,33,0.879,33.82,4,4.1,0,0,1,0,1,0,0,0,0
"Wayne Savage","6.00",196,"Toronto St. Michael's Majors",1987-02-05,4,161,182,0.885,42.27,21,4.88,0,0,3,1,4,0,0,0,0
"Kyle Gajewski","5.11",162,"Sault Ste. Marie Greyhounds",1987-03-29,4,119,141,0.844,32.22,22,5.03,0,0,2,2,4,0,0,0,0
"Trevor Cann","5.11",190,"Peterborough Petes",1989-03-30,1,19,22,0.864,37.41,3,5.1,0,0,0,0,0,0,0,0,0
"Bryan Pitton","6.02",176,"Brampton Battalion",1988-01-26,2,19,24,0.792,32.12,5,6.69,0,0,0,0,0,0,0,0,0
"Justin Garay","5.09",192,"Plymouth Whalers",1987-02-16,1,6,9,0.667,51.51,3,17.17,0,0,0,0,0,0,0,0,2
