"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","GWG","ENG","PIM"
"Sergei Kostitsyn",1987-03-20,"RW","London Knights",19,13,24,37,1.95,2,6,13,5,0,44
"Vladimir Nikiforov",1987-10-07,"RW","Barrie Colts",14,3,14,17,1.21,3,3,6,1,0,6
"Drew Doughty",1989-12-08,"D","Guelph Storm",14,0,13,13,0.93,2,0,12,0,0,18
"Fredrik Naslund",1986-09-15,"RW","Peterborough Petes",19,6,5,11,0.58,8,0,0,1,0,6
"Rafael Rotter",1987-06-14,"C","Guelph Storm",15,5,6,11,0.73,1,2,2,1,0,18
"Logan Couture",1989-03-28,"C","Ottawa 67's",6,3,4,7,1.17,0,2,4,0,0,0
"Jared Boll",1986-05-13,"RW","Plymouth Whalers",13,2,4,6,0.46,-1,0,0,0,0,21
"Marek Bartanus",1987-02-13,"LW","Owen Sound Attack",10,2,4,6,0.6,2,0,1,0,0,8
"Chris Terry",1989-04-07,"C","Plymouth Whalers",11,3,2,5,0.45,0,0,1,1,0,4
"Matthieu Methot",1987-10-08,"LW","Barrie Colts",14,3,2,5,0.36,3,0,0,0,1,14
"Scott Tregunna",1987-06-12,"RW","Owen Sound Attack",11,3,2,5,0.45,1,1,1,0,0,8
"Matt Dias",1988-04-29,"RW","Sudbury Wolves",10,3,1,4,0.4,1,2,1,0,0,8
"Anton Hedman",1986-05-15,"RW","Sudbury Wolves",8,1,3,4,0.5,-2,1,1,1,0,19
"Gerome Giudice",1989-03-11,"LW","Sudbury Wolves",10,2,1,3,0.3,2,0,0,0,0,28
"Matt Caria",1988-08-16,"C","Toronto St. Michael's Majors",4,2,1,3,0.75,-1,0,0,0,0,6
"Thomas Kiriakou",1988-01-24,"C","Ottawa 67's",6,2,1,3,0.5,-2,2,0,0,0,2
"Bryan Cameron",1989-02-25,"C","Belleville Bulls",6,1,2,3,0.5,-1,0,2,0,0,6
"Jeff Moor",1986-06-13,"D","Owen Sound Attack",8,0,3,3,0.38,-2,0,3,0,0,24
"Matt Clarke",1988-04-08,"C","London Knights",19,0,3,3,0.16,2,0,0,0,0,8
"Mickey Renaud",1988-10-05,"C","Windsor Spitfires",7,0,3,3,0.43,2,0,0,0,0,12
"Nick Spaling",1988-09-19,"LW","Kitchener Rangers",5,0,3,3,0.6,0,0,1,0,0,0
"Jamie Arniel",1989-11-16,"C","Guelph Storm",15,2,0,2,0.13,2,1,0,0,0,4
"Matthew Lyall",1988-02-08,"C","Sault Ste. Marie Greyhounds",4,1,1,2,0.5,-1,0,0,0,0,0
"Scott Aarssen",1988-05-10,"D","London Knights",19,1,1,2,0.11,6,0,0,0,0,6
"Yves Bastien",1989-08-02,"LW","Kitchener Rangers",5,1,1,2,0.4,1,0,0,0,0,0
"Andrew Kizito",1987-02-24,"D","Kingston Frontenacs",6,0,2,2,0.33,1,0,1,0,0,2
"Blake Parlett",1989-05-13,"D","Barrie Colts",14,0,2,2,0.14,2,0,1,0,0,6
"Matt Kennedy",1989-03-04,"RW","Guelph Storm",13,0,2,2,0.15,1,0,0,0,0,8
"Andrew Wilkins",1988-07-25,"D","London Knights",14,1,0,1,0.07,-1,0,0,0,0,0
"Kyle Hope",1987-07-26,"D","Sudbury Wolves",2,1,0,1,0.5,1,0,0,0,0,2
"Marcus Carroll",1989-01-15,"C","Owen Sound Attack",11,1,0,1,0.09,1,0,0,0,0,10
"Michal Klejna",1987-10-08,"C","Brampton Battalion",8,1,0,1,0.13,2,0,0,0,0,4
"Shea Kewin",1988-02-25,"RW","Ottawa 67's",6,1,0,1,0.17,0,0,0,0,0,2
"Zack Torquato",1989-06-08,"C","Saginaw Spirit",4,1,0,1,0.25,-3,1,0,0,0,6
"Akim Aliu",1989-04-24,"RW","Sudbury Wolves",6,0,1,1,0.17,-2,0,0,0,0,7
"Brandon Biggers",1988-08-21,"LW","Guelph Storm",13,0,1,1,0.08,-1,0,0,0,0,4
"Brett Halstead",1988-03-27,"D","Sault Ste. Marie Greyhounds",4,0,1,1,0.25,-2,0,1,0,0,4
"Chris Purves",1987-10-21,"D","Windsor Spitfires",7,0,1,1,0.14,2,0,0,0,0,0
"Corey Syvret",1989-02-19,"D","London Knights",11,0,1,1,0.09,0,0,0,0,0,6
"David Kuchejda",1987-06-12,"RW","Sault Ste. Marie Greyhounds",4,0,1,1,0.25,-3,0,1,0,0,8
"Jakub Vojta",1987-02-08,"D","Ottawa 67's",6,0,1,1,0.17,-3,0,0,0,0,6
"Luke Pither",1989-04-26,"C","Kingston Frontenacs",6,0,1,1,0.17,-3,0,1,0,0,2
"Michael Quesnele",1989-01-18,"D","Sault Ste. Marie Greyhounds",4,0,1,1,0.25,0,0,1,0,0,0
"Pat Daley",1989-04-08,"RW","Ottawa 67's",5,0,1,1,0.2,-1,0,0,0,0,0
"Troy Murray",1987-04-22,"D","Sudbury Wolves",9,0,1,1,0.11,0,0,0,0,0,0
"Zach Harnden",1989-09-23,"RW","Peterborough Petes",2,0,1,1,0.5,2,0,0,0,0,0
"Zach McCullough",1987-08-15,"D","Owen Sound Attack",11,0,1,1,0.09,-4,0,0,0,0,8
"Adam Zamec",1989-09-22,"LW","Toronto St. Michael's Majors",4,0,0,0,0,0,0,0,0,0,2
"Alex Penner",1986-08-22,"LW","Sault Ste. Marie Greyhounds",4,0,0,0,0,0,0,0,0,0,4
"Andrew Campbell",1988-02-04,"D","Sault Ste. Marie Greyhounds",3,0,0,0,0,-2,0,0,0,0,4
"Brett Bellemore",1988-06-25,"D","Plymouth Whalers",10,0,0,0,0,-1,0,0,0,0,0
"Chris Chappell",1988-03-21,"LW","Saginaw Spirit",4,0,0,0,0,0,0,0,0,0,2
"Cody Smith",1988-11-03,"LW","Brampton Battalion",1,0,0,0,0,-1,0,0,0,0,0
"Garrett Sinfield",1987-03-26,"D","Saginaw Spirit",4,0,0,0,0,-1,0,0,0,0,2
"Jeff Barletta",1988-07-22,"D","Toronto St. Michael's Majors",4,0,0,0,0,0,0,0,0,0,0
"Jesse Messier",1988-03-05,"RW","Sudbury Wolves",8,0,0,0,0,0,0,0,0,0,2
"Joe Gaynor",1989-01-05,"LW","Plymouth Whalers",13,0,0,0,0,0,0,0,0,0,10
"Joe Pleckaitis",1989-06-13,"LW","Ottawa 67's",2,0,0,0,0,0,0,0,0,0,0
"Josh Catto",1988-04-19,"RW","Owen Sound Attack",9,0,0,0,0,-1,0,0,0,0,0
"Joshua Bailey",1989-10-02,"C","Owen Sound Attack",11,0,0,0,0,-1,0,0,0,0,0
"Julien Machabee",1988-02-29,"D","Kitchener Rangers",1,0,0,0,0,0,0,0,0,0,0
"Justin Levac",1989-04-25,"LW","Brampton Battalion",4,0,0,0,0,1,0,0,0,0,0
"Kyle Jukosky",1988-10-03,"C","Belleville Bulls",2,0,0,0,0,0,0,0,0,0,0
"Leigh Salters",1989-03-27,"LW","Guelph Storm",13,0,0,0,0,-2,0,0,0,0,10
