"Name","BD","Pos","Team","GP","SHG","SHA","SHPTS","SHPTS/G","SHPTS%"
"Francesco Pinelli",2003-04-11,"C","Kitchener Rangers",60,5,3,8,0.13,9
"Sean McGurn",2002-07-30,"C","London Knights",67,4,4,8,0.12,10
"Cameron Tolnai",2002-02-14,"C","Ottawa 67's",67,5,2,7,0.1,10
"Matthew Sop",2003-02-04,"LW","Kitchener Rangers",67,3,4,7,0.1,12
"Nikita Tarasevich",2003-02-09,"RW","North Bay Battalion",65,5,1,6,0.09,13
"Max McCue",2003-02-10,"LW","London Knights",58,4,2,6,0.1,15
"Easton Cowan",2005-05-20,"LW","London Knights",68,3,3,6,0.09,11
"Dmitry Kuzmin",2003-04-23,"D","Flint Firebirds",65,2,4,6,0.09,10
"Roman Schmidt",2003-02-27,"D","Kitchener Rangers",64,0,6,6,0.09,21
"J.R. Avon",2003-07-04,"LW","Peterborough Petes",59,4,1,5,0.08,8
"Josh Bloom",2003-06-08,"LW","North Bay Battalion",68,4,1,5,0.07,7
"Ryan Gagnier",2002-07-16,"C","Oshawa Generals",66,4,1,5,0.08,7
"Avery Hayes",2002-10-10,"RW","Peterborough Petes",65,3,2,5,0.08,6
"Brady Stonehouse",2004-08-06,"RW","Ottawa 67's",68,3,2,5,0.07,9
"Reid Valade",2002-03-14,"LW","Kitchener Rangers",63,3,2,5,0.08,10
"Tucker Robertson",2003-06-22,"C","Peterborough Petes",68,3,2,5,0.07,6
"Zacharie Giroux",2003-04-05,"C","Flint Firebirds",67,3,2,5,0.07,9
"Jack Matier",2003-04-08,"D","Ottawa 67's",58,1,4,5,0.09,10
"Braeden Kressler",2003-01-05,"C","Flint Firebirds",47,3,1,4,0.09,8
"Cooper Walker",2002-07-11,"C","Guelph Storm",66,3,1,4,0.06,8
"Jacob Maillet",2003-03-13,"C","Windsor Spitfires",67,3,1,4,0.06,5
"Justin Ertel",2003-05-27,"LW","North Bay Battalion",46,3,1,4,0.09,11
"Oliver Peer",2003-03-09,"RW","Windsor Spitfires",63,2,2,4,0.06,6
"Pano Fimis",2004-06-17,"C","Erie Otters",55,2,2,4,0.07,9
"Servac Petrovsky",2004-08-10,"C","Owen Sound Attack",62,2,2,4,0.06,7
"Simon Slavicek",2004-02-02,"C","Flint Firebirds",68,2,2,4,0.06,12
"David Goyette",2004-03-27,"C","Sudbury Wolves",63,1,3,4,0.06,4
"James Hardie",2002-01-18,"LW","Mississauga Steelheads",66,1,3,4,0.06,5
"Logan Mailloux",2003-04-15,"D","London Knights",59,1,3,4,0.07,8
"Oliver Bonk",2005-01-09,"D","London Knights",67,1,3,4,0.06,10
"Brad Gardiner",2005-03-06,"C","Ottawa 67's",68,3,0,3,0.04,8
"Cedrick Guindon",2004-04-21,"C","Owen Sound Attack",68,3,0,3,0.04,4
"Daniel Michaud",2003-02-14,"C","Niagara IceDogs",64,3,0,3,0.05,6
"Ethan Larmand",2003-11-12,"C","Sudbury Wolves",50,3,0,3,0.06,10
"Matthew Maggio",2002-11-25,"RW","Windsor Spitfires",66,3,0,3,0.05,3
"Noah Sedore",2002-02-24,"LW","Erie Otters",66,3,0,3,0.05,9
"Andre Anania",2003-03-02,"D","Sudbury Wolves",63,2,1,3,0.05,9
"Beau Jelsma",2004-04-28,"C","Barrie Colts",67,2,1,3,0.04,5
"Carey Terrance",2005-05-10,"C","Erie Otters",67,2,1,3,0.04,6
"Cooper Way",2003-06-11,"C","Sarnia Sting",67,2,1,3,0.04,10
"Denver Barkey",2005-04-27,"RW","London Knights",61,2,1,3,0.05,5
"Ethan Burroughs",2003-06-19,"RW","Owen Sound Attack",67,2,1,3,0.04,6
"Evan Vierling",2002-06-20,"C","Barrie Colts",60,2,1,3,0.05,3
"Jake Karabela",2004-03-07,"LW","Guelph Storm",68,2,1,3,0.04,8
"Jordan D'Intino",2003-03-01,"LW","Soo Greyhounds",68,2,1,3,0.04,7
"Luca Del Bel Belluz",2003-11-10,"C","Sarnia Sting",66,2,1,3,0.05,3
"Matyas Sapovaliv",2004-02-12,"C","Saginaw Spirit",61,2,1,3,0.05,5
"Nick DeGrazia",2002-12-03,"LW","Sudbury Wolves",53,2,1,3,0.06,6
"Colby Barlow",2005-02-14,"LW","Owen Sound Attack",59,1,2,3,0.05,4
"Kirill Kudryavtsev",2004-02-05,"D","Soo Greyhounds",67,1,2,3,0.04,6
"Kocha Delic",2004-03-11,"C","Sudbury Wolves",46,1,2,3,0.07,6
"Luke Torrance",2004-03-30,"LW","Oshawa Generals",46,1,2,3,0.07,12
"Nick DeAngelis",2004-05-22,"D","Windsor Spitfires",67,1,2,3,0.04,12
"Nolan Burke",2002-12-09,"C","Sarnia Sting",56,1,2,3,0.05,4
"Pavel Mintyukov",2003-11-25,"D","Ottawa 67's",69,1,2,3,0.04,3
"Ryan Winterton",2003-09-04,"C","London Knights",34,1,2,3,0.09,8
"Sahil Panwar",2002-01-26,"C","Hamilton Bulldogs",68,1,2,3,0.04,4
"Will Gerrior",2004-03-02,"LW","Ottawa 67's",68,1,2,3,0.04,9
"Declan McDonnell",2002-02-25,"RW","Barrie Colts",63,0,3,3,0.05,7
"Ethan Hay",2005-01-15,"C","Flint Firebirds",64,0,3,3,0.05,11
"Gavin Hayes",2004-05-14,"RW","Flint Firebirds",66,0,3,3,0.05,4
"Isaiah George",2004-02-15,"D","London Knights",54,0,3,3,0.06,14
"Nolan Collins",2004-04-28,"D","Sudbury Wolves",63,0,3,3,0.05,10
"Payton Robinson",2003-04-30,"D","Guelph Storm",66,0,3,3,0.05,21
"Tyler Deline",2002-09-07,"D","Flint Firebirds",58,0,3,3,0.05,8
"Alec Belanger",2002-05-29,"LW","Kingston Frontenacs",39,2,0,2,0.05,12
"Amadeus Lombardi",2003-06-05,"C","Flint Firebirds",67,2,0,2,0.03,2
"Angus MacDonell",2005-05-11,"C","Mississauga Steelheads",64,2,0,2,0.03,5
"Jonathan Melee",2004-01-15,"LW","Peterborough Petes",58,2,0,2,0.03,7
"Justin DeZoete",2004-01-02,"LW","Mississauga Steelheads",68,2,0,2,0.03,9
"Liam Arnsby",2003-11-20,"C","North Bay Battalion",54,2,0,2,0.04,7
"Luke Misa",2005-11-25,"C","Mississauga Steelheads",64,2,0,2,0.03,5
"Matthew Buckley",2005-03-21,"RW","Oshawa Generals",48,2,0,2,0.04,15
"Nolan Dillingham",2002-06-22,"D","Sarnia Sting",45,2,0,2,0.04,14
"Theo Hill",2002-04-04,"LW","Saginaw Spirit",66,2,0,2,0.03,7
"Adam Zidlicky",2005-01-28,"LW","Mississauga Steelheads",62,1,1,2,0.03,8
"Alex Kostov",2006-06-03,"RW","Soo Greyhounds",52,1,1,2,0.04,15
"Alex Pharand",2005-01-05,"RW","Sudbury Wolves",67,1,1,2,0.03,5
"Ben McFarlane",2002-08-09,"RW","Guelph Storm",68,1,1,2,0.03,8
"Braeden Bowman",2003-06-26,"RW","Guelph Storm",54,1,1,2,0.04,3
"Bryce McConnell-Barker",2004-06-04,"C","Soo Greyhounds",68,1,1,2,0.03,3
"Cam Allen",2005-01-07,"D","Guelph Storm",62,1,1,2,0.03,8
"Danny Zhilkin",2003-12-19,"C","Kitchener Rangers",60,1,1,2,0.03,4
"Dean Loukus",2003-02-12,"RW","Saginaw Spirit",65,1,1,2,0.03,4
"Deni Goure",2003-07-15,"C","Owen Sound Attack",61,1,1,2,0.03,3
"Ethan Cardwell",2002-08-30,"C","Barrie Colts",62,1,1,2,0.03,2
"Kyle McDonald",2002-02-05,"RW","North Bay Battalion",43,1,1,2,0.05,4
"Landon McCallum",2003-09-05,"RW","Sudbury Wolves",68,1,1,2,0.03,3
"Marc Boudreau",2003-04-29,"LW","Sudbury Wolves",67,1,1,2,0.03,7
"Matthew Mayich",2004-12-21,"D","Ottawa 67's",64,1,1,2,0.03,9
"Nathan Villeneuve",2006-04-13,"C","Sudbury Wolves",55,1,1,2,0.04,9
"Noah Nelson",2005-03-28,"C","Hamilton Bulldogs",56,1,1,2,0.04,15
"Zakary Lavoie",2004-03-13,"RW","Niagara IceDogs",69,1,1,2,0.03,4
"Chas Sharpe",2003-11-28,"D","Mississauga Steelheads",64,0,2,2,0.03,6
"Connor Lockhart",2003-01-21,"RW","Peterborough Petes",66,0,2,2,0.03,3
"Connor Punnett",2003-06-16,"D","Barrie Colts",66,0,2,2,0.03,4
