"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","GWG","ENG","PIM"
"Michael Misa",2007-02-16,"LW","Saginaw Spirit",45,22,34,56,1.24,7,6,10,3,0,10
"Beckett Sennecke",2006-01-28,"RW","Oshawa Generals",61,20,35,55,0.9,-7,4,12,2,0,44
"Easton Cowan",2005-05-20,"LW","London Knights",68,20,33,53,0.78,9,3,4,1,3,47
"Liam Greentree",2006-01-01,"RW","Windsor Spitfires",61,25,20,45,0.74,1,6,4,4,0,26
"Joey Willis",2005-03-14,"C","Saginaw Spirit",68,15,29,44,0.65,-4,3,7,1,2,22
"Malcolm Spence",2006-09-22,"LW","Erie Otters",64,16,26,42,0.66,-28,2,11,4,1,14
"Anthony Cristoforo",2006-02-23,"D","Windsor Spitfires",63,6,35,41,0.65,10,0,9,1,0,12
"Oliver Bonk",2005-01-09,"D","London Knights",67,10,30,40,0.6,16,2,15,1,0,38
"Zayne Parekh",2006-02-15,"D","Saginaw Spirit",50,21,16,37,0.74,3,5,7,2,1,32
"Cooper Foster",2005-06-04,"LW","Ottawa 67's",63,19,17,36,0.57,26,3,2,4,0,38
"Porter Martone",2006-10-26,"RW","Mississauga Steelheads",61,19,16,35,0.57,-10,2,4,1,1,57
"Kevin He",2006-04-30,"LW","Niagara IceDogs",66,21,13,34,0.52,-27,0,3,1,1,31
"Gabriel Frasca",2006-02-18,"C","Kingston Frontenacs",58,15,19,34,0.59,-13,2,5,1,1,32
"Henry Mews",2006-03-09,"D","Ottawa 67's",55,12,19,31,0.56,16,6,8,3,0,35
"Jacob Battaglia",2006-03-17,"RW","Kingston Frontenacs",66,7,20,27,0.41,-13,3,5,1,0,16
"Jack Van Volsen",2006-01-12,"C","Mississauga Steelheads",61,11,14,25,0.41,-6,5,4,0,0,12
"Sam Dickinson",2006-06-07,"D","London Knights",62,9,14,23,0.37,6,3,4,0,0,12
"Nathan Villeneuve",2006-04-13,"C","Sudbury Wolves",55,12,10,22,0.4,-4,4,1,3,0,57
"Andrew Gibson",2005-02-13,"D","Soo Greyhounds",45,7,14,21,0.47,-4,1,3,1,0,30
"Ben Danford",2006-02-06,"D","Oshawa Generals",63,4,17,21,0.33,-4,0,0,0,1,42
"Cole Beaudoin",2006-04-24,"C","Barrie Colts",63,8,12,20,0.32,4,1,1,0,0,20
"Jakub Chromiak",2005-11-02,"D","Sudbury Wolves",61,4,15,19,0.31,1,0,0,0,0,10
"Ondrej Molnar",2005-02-08,"LW","Erie Otters",34,4,15,19,0.56,-27,0,6,1,0,14
"Lucas Karmiris",2006-09-27,"C","Mississauga Steelheads",63,6,12,18,0.29,-8,0,2,0,0,27
"Ethan Procyszyn",2006-07-11,"RW","North Bay Battalion",62,5,13,18,0.29,9,0,0,0,0,26
"AJ Spellacy",2006-02-24,"C","Windsor Spitfires",47,7,10,17,0.36,-1,0,1,1,0,44
"Frankie Marrelli",2006-02-16,"D","Ottawa 67's",50,4,12,16,0.32,28,0,0,1,1,65
"Marek Vanacker",2006-04-12,"LW","Hamilton Bulldogs",55,4,12,16,0.29,-19,0,1,0,0,20
"Matthew Virgilio",2006-03-24,"D","Soo Greyhounds",62,4,11,15,0.24,-30,1,0,0,0,27
"Parker von Richter",2006-05-17,"D","Mississauga Steelheads",66,2,13,15,0.23,-14,0,1,1,0,26
"Christopher Brown",2006-01-27,"C","Soo Greyhounds",58,5,9,14,0.24,-12,1,1,0,0,0
"Jett Luchanko",2006-08-21,"RW","Guelph Storm",46,5,9,14,0.3,-5,1,3,2,0,10
"Kieron Walton",2006-04-22,"LW","Sudbury Wolves",46,8,5,13,0.28,-3,1,0,1,0,0
"Jacob Therrien",2006-02-08,"LW","North Bay Battalion",54,7,6,13,0.24,1,0,0,1,0,37
"Noah Nelson",2005-03-28,"C","Hamilton Bulldogs",56,5,8,13,0.23,-9,0,0,1,1,11
"Alex Kostov",2006-06-03,"RW","Soo Greyhounds",52,4,9,13,0.25,1,0,0,0,1,21
"Jack Dever",2005-09-05,"RW","Ottawa 67's",44,2,11,13,0.3,14,1,0,0,0,0
"Kaden Pitre",2006-02-08,"C","Flint Firebirds",63,7,4,11,0.17,-8,0,1,0,0,19
"Lincoln Moore",2005-09-21,"RW","Saginaw Spirit",43,7,4,11,0.26,-6,0,0,1,0,7
"Mason Zebeski",2005-10-04,"LW","Mississauga Steelheads",66,5,6,11,0.17,-12,0,0,0,1,44
"Tomislav Brennan",2005-03-15,"C","Owen Sound Attack",31,5,5,10,0.32,-2,0,0,0,0,2
"Lukas Fischer",2006-09-09,"D","Sarnia Sting",47,3,7,10,0.21,17,0,0,0,0,16
"Connor Clattenburg",2005-05-02,"LW","Soo Greyhounds",56,2,8,10,0.18,-10,0,0,0,0,115
"Finn Harding",2005-03-02,"D","Mississauga Steelheads",63,2,8,10,0.16,8,0,0,0,0,41
"Caden Kelly",2006-01-15,"RW","Ottawa 67's",49,5,4,9,0.18,-3,0,0,0,0,27
"Antonio Tersigni",2006-05-03,"C","Owen Sound Attack",50,2,7,9,0.18,-4,0,0,1,0,8
"Wyatt Kennedy",2005-05-27,"D","North Bay Battalion",63,2,7,9,0.14,21,0,0,1,0,30
"Hunter McKenzie",2006-12-07,"C","Guelph Storm",45,4,4,8,0.18,-11,0,2,2,1,6
"Mathieu Paris",2005-01-01,"C","London Knights",45,2,6,8,0.18,-4,0,0,0,0,6
"Carter Lowe",2006-03-01,"LW","Barrie Colts",32,3,4,7,0.22,0,0,1,0,0,6
"Ethan Quick",2005-01-27,"RW","Barrie Colts",34,3,4,7,0.21,-3,0,0,0,0,8
"Dylan Edwards",2005-07-20,"C","Erie Otters",44,2,5,7,0.16,-11,0,0,0,0,10
"Masen Wray",2006-05-15,"C","Hamilton Bulldogs",54,2,5,7,0.13,-8,0,0,0,0,20
"Callum Cheynowski",2006-08-04,"D","Hamilton Bulldogs",18,1,6,7,0.39,-2,0,0,0,0,10
"Gavin Ewles",2005-03-01,"D","Ottawa 67's",47,5,1,6,0.13,16,0,0,1,0,35
"Adam Cavallin",2005-03-04,"C","Kingston Frontenacs",47,4,2,6,0.13,-10,0,0,1,0,17
"Ben Cormier",2006-07-20,"C","Owen Sound Attack",50,3,3,6,0.12,-10,0,0,0,0,23
"Valdemar William Hull",2005-01-02,"LW","Niagara IceDogs",60,2,4,6,0.1,-22,0,1,0,0,8
"Zackary Sandhu",2005-12-20,"D","Guelph Storm",45,2,4,6,0.13,-5,0,0,0,0,14
"Alex Messier",2005-03-23,"LW","Erie Otters",43,3,2,5,0.12,-8,0,0,1,0,20
"David Bedkowski",2006-12-07,"D","Oshawa Generals",55,2,3,5,0.09,-39,0,1,0,0,14
"Luca Testa",2006-04-10,"C","Hamilton Bulldogs",39,2,3,5,0.13,-6,1,0,0,0,10
"Tyler Graham",2006-08-10,"LW","Oshawa Generals",44,2,3,5,0.11,-17,0,0,0,0,13
"Matthew Jenken",2005-10-12,"D","Flint Firebirds",40,1,4,5,0.13,1,0,0,0,0,0
