"Name","Rookie","BD","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","GWG","ENG","PIM"
"Trevor Kell","YES",1986-06-23,"6.00",185,"RW","London Knights",15,7,8,15,1,15,1,0,1,1,1,14
"Rob Schremp","NO",1986-07-01,"6.00",185,"C","London Knights",15,7,6,13,0.87,-2,4,5,9,2,0,2
"David Bolland","NO",1986-06-05,"6.00",185,"RW","London Knights",15,3,10,13,0.87,3,2,2,4,0,0,18
"Chad Painchaud","YES",1986-05-27,"6.01",186,"RW","Mississauga IceDogs",24,4,6,10,0.42,5,0,0,0,0,0,23
"Tyler Haskins","NO",1986-05-26,"6.01",187,"C","Toronto St. Michael's Majors",18,5,4,9,0.5,-1,2,3,5,1,0,10
"Peter Tsimikalis","NO",1986-01-10,"6.00",200,"C","Ottawa 67's",7,1,8,9,1.29,0,0,4,4,0,0,4
"Wojtek Wolski","NO",1986-02-24,"6.03",202,"LW","Brampton Battalion",12,5,3,8,0.67,-4,2,1,3,2,0,8
"Kyle Wharton","NO",1986-03-03,"6.02",189,"D","Ottawa 67's",7,2,3,5,0.71,-1,1,2,3,0,0,4
"Michael Vernace","YES",1986-05-26,"6.00",208,"D","Brampton Battalion",11,2,3,5,0.45,-4,1,1,2,0,0,8
"Jamie Fraser","NO",1985-11-17,"6.01",199,"C","Brampton Battalion",12,3,1,4,0.33,4,0,0,0,0,0,6
"Peter Franchin","YES",1986-05-09,"6.04",215,"C","Kitchener Rangers",5,3,1,4,0.8,0,0,1,1,0,0,4
"Scott Lehman","NO",1986-01-05,"6.01",200,"D","Toronto St. Michael's Majors",18,2,2,4,0.22,0,1,0,1,0,0,38
"Hunter Tremblay","NO",1986-01-15,"5.11",185,"LW","Barrie Colts",11,1,3,4,0.36,1,0,0,0,1,0,2
"Travis Fuller","YES",1986-01-25,"6.01",200,"LW","Barrie Colts",11,1,3,4,0.36,3,0,0,0,0,0,9
"Bryan Bickell","NO",1986-03-09,"6.04",215,"LW","Ottawa 67's",7,3,0,3,0.43,-1,0,0,0,0,0,11
"Patrick Sweeney","YES",1986-05-04,"5.10",195,"RW","Brampton Battalion",12,3,0,3,0.25,0,0,0,0,0,0,4
"Evan McGrath","NO",1986-01-14,"6.00",192,"C","Kitchener Rangers",5,2,1,3,0.6,-4,2,0,2,0,0,2
"Jamie VanderVeeken","YES",1986-01-20,"6.03",223,"LW","Toronto St. Michael's Majors",18,2,1,3,0.17,0,0,0,0,1,0,4
"Bret Nasby","YES",1986-03-22,"6.03",191,"D","Oshawa Generals",7,0,3,3,0.43,-1,0,1,1,0,0,6
"Gino Pisellini","YES",1986-08-05,"6.01",210,"RW","Plymouth Whalers",9,0,3,3,0.33,-1,0,3,3,0,0,23
"Vaclav Meidl","YES",1986-05-27,"6.05",215,"LW","Plymouth Whalers",9,0,3,3,0.33,-2,0,3,3,0,0,4
"Nick Duff","NO",1985-12-12,"6.00",194,"D","Brampton Battalion",12,1,1,2,0.17,1,0,0,0,0,0,23
"Adam Berti","NO",1986-07-01,"6.03",192,"LW","Oshawa Generals",7,0,2,2,0.29,-5,0,0,0,0,0,4
"Georgy Ryazantsev","YES",1986-02-18,"6.00",190,"RW","Barrie Colts",7,0,2,2,0.29,-1,0,0,0,0,0,0
"Brett Liscomb","YES",1986-01-28,"5.09",186,"LW","Windsor Spitfires",4,1,0,1,0.25,-6,0,0,0,0,0,0
"Brodie Beard","YES",1986-06-12,"6.00",214,"D","Ottawa 67's",5,1,0,1,0.2,1,0,0,0,0,0,4
"Eliott McCormick","YES",1986-03-17,"6.02",185,"RW","Brampton Battalion",8,1,0,1,0.13,1,0,0,0,0,0,0
"Mitch Maunu","NO",1986-07-30,"6.02",210,"D","Windsor Spitfires",4,1,0,1,0.25,-8,1,0,1,0,0,0
"Rick Caughell","NO",1986-03-27,"6.03",203,"D","Mississauga IceDogs",24,1,0,1,0.04,5,0,0,0,0,0,10
"Ryan Garlock","NO",1986-04-24,"6.01",202,"C","Windsor Spitfires",4,1,0,1,0.25,-4,0,0,0,0,0,6
"Steve Ward","NO",1986-02-13,"6.00",197,"D","Sarnia Sting",5,1,0,1,0.2,-1,1,0,1,0,0,6
"Adam Nemeth","NO",1986-02-22,"6.00",190,"D","London Knights",15,0,1,1,0.07,3,0,0,0,0,0,5
"Andrew Maksym","NO",1986-02-16,"5.11",200,"RW","Owen Sound Attack",7,0,1,1,0.14,2,0,0,0,0,0,0
"Blake Pronk","YES",1986-07-18,"6.00",187,"C","Kingston Frontenacs",5,0,1,1,0.2,1,0,0,0,0,0,12
"Chris Chimienti","YES",1986-06-03,"6.00",205,"D","Mississauga IceDogs",13,0,1,1,0.08,-3,0,0,0,0,0,4
"Chris Morrison","YES",1986-04-16,"6.00",198,"RW","Barrie Colts",12,0,1,1,0.08,2,0,0,0,0,0,6
"Craig Voakes","NO",1986-01-02,"5.11",185,"C","Kitchener Rangers",5,0,1,1,0.2,-1,0,1,1,0,0,0
"Derrick Bagshaw","YES",1986-05-05,"6.02",192,"LW","Erie Otters",6,0,1,1,0.17,1,0,0,0,0,0,2
"Iain McPhee","NO",1985-10-01,"6.03",205,"D","Windsor Spitfires",4,0,1,1,0.25,-8,0,1,1,0,0,11
"Jason Speight","YES",1986-07-07,"5.11",190,"RW","Erie Otters",9,0,1,1,0.11,-1,0,0,0,0,0,5
"Jonathan D'Aversa","YES",1986-03-02,"6.02",200,"D","Sudbury Wolves",7,0,1,1,0.14,-2,0,1,1,0,0,2
"Nick Van Herpt","NO",1985-10-29,"6.00",185,"D","Mississauga IceDogs",9,0,1,1,0.11,3,0,0,0,0,0,6
"Robbie Drummond","NO",1986-02-19,"5.11",175,"C","London Knights",15,0,1,1,0.07,1,0,0,0,0,0,8
"Robbie Lawrance","YES",1986-05-04,"6.01",187,"D","Ottawa 67's",7,0,1,1,0.14,-2,0,0,0,0,0,0
"Ryan Stephenson","NO",1986-04-09,"6.04",215,"LW","Kingston Frontenacs",5,0,1,1,0.2,1,0,0,0,0,0,0
"Trevor Waddell","YES",1986-01-29,"5.11",197,"D","Kingston Frontenacs",2,0,1,1,0.5,0,0,1,1,0,0,0
"Vince Scott","YES",1986-05-21,"6.00",185,"LW","Erie Otters",8,0,1,1,0.13,1,0,0,0,0,0,2
"Andrew Gibbons","YES",1986-08-12,"6.02",200,"RW","Oshawa Generals",1,0,0,0,0,1,0,0,0,0,0,2
"Andy Reiss","YES",1986-05-17,"6.00",185,"LW","Oshawa Generals",3,0,0,0,0,-2,0,0,0,0,0,0
"Boris Valabik","YES",1986-02-14,"6.06",229,"D","Kitchener Rangers",5,0,0,0,0,0,0,0,0,0,0,8
"Brad Hartley","YES",1986-04-29,"6.01",200,"RW","Ottawa 67's",1,0,0,0,0,0,0,0,0,0,0,0
"Clay McFadden","NO",1986-02-15,"6.03",161,"C","Oshawa Generals",2,0,0,0,0,-1,0,0,0,0,0,0
"Craig Cescon","YES",1986-08-18,"6.02",195,"D","Plymouth Whalers",8,0,0,0,0,1,0,0,0,0,0,7
"Geordie Michie","YES",1986-03-13,"6.00",190,"C","Brampton Battalion",2,0,0,0,0,0,0,0,0,0,0,0
"Jamie Heywood","YES",1986-07-05,"6.00",185,"D","Sarnia Sting",3,0,0,0,0,-2,0,0,0,0,0,0
"Jared Cipparone","YES",1986-02-14,"5.11",206,"LW","Windsor Spitfires",2,0,0,0,0,-1,0,0,0,0,0,2
"Jeff Leavitt","NO",1986-04-16,"6.01",195,"LW","Windsor Spitfires",4,0,0,0,0,-2,0,0,0,0,0,6
"Joe Rand","YES",1986-04-28,"6.02",190,"LW","Toronto St. Michael's Majors",10,0,0,0,0,-2,0,0,0,0,0,0
"Kelsey Wilson","YES",1986-01-22,"6.01",216,"LW","Sarnia Sting",5,0,0,0,0,-1,0,0,0,0,0,4
"Kyle Raftis","NO",1986-05-28,"6.03",201,"D","Kingston Frontenacs",5,0,0,0,0,-3,0,0,0,0,0,4
"Mike Chmielewski","YES",1986-02-25,"6.02",225,"RW","Kitchener Rangers",5,0,0,0,0,0,0,0,0,0,0,0
"Mike McLean","YES",1986-01-06,"6.01",189,"LW","Guelph Storm",2,0,0,0,0,0,0,0,0,0,0,0
"Mike Mills","YES",1986-05-27,"6.01",180,"RW","Sudbury Wolves",2,0,0,0,0,1,0,0,0,0,0,2
"Nick Plastino","YES",1986-02-20,"6.00",198,"D","Barrie Colts",1,0,0,0,0,0,0,0,0,0,0,0
"Paul McFarland","NO",1985-12-06,"6.02",201,"LW","Kitchener Rangers",1,0,0,0,0,-2,0,0,0,0,0,0
"Robert Heickert","NO",1986-07-19,"5.10",230,"LW","Brampton Battalion",3,0,0,0,0,0,0,0,0,0,0,0
"Ryan Pottruff","YES",1986-07-11,"6.03",227,"D","London Knights",15,0,0,0,0,0,0,0,0,0,0,6
"Scott Campbell","YES",1986-06-17,"6.01",185,"D","Windsor Spitfires",2,0,0,0,0,-2,0,0,0,0,0,0
"Todd Cooper","YES",1986-08-12,"6.03",210,"RW","Guelph Storm",6,0,0,0,0,0,0,0,0,0,0,2
"Vojtech Kloz","YES",1986-01-23,"6.04",233,"D","Kingston Frontenacs",5,0,0,0,0,-1,0,0,0,0,0,2
