"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Kevin Beech","6.04",177,"Sudbury Wolves",1986-09-23,1,32,32,1,34.47,0,0,0,1,0,0,0,0,0,0,0
"Adam Dennis","6.00",175,"Guelph Storm",1985-02-08,20,451,491,0.919,24.47,40,1.99,1,15,3,2,5,0,0,0,2
"Justin Peters","6.02",210,"Toronto St. Michael's Majors",1986-08-30,18,435,472,0.922,25.54,37,2,4,10,6,2,8,0,0,0,6
"David Shantz","6.01",190,"Mississauga IceDogs",1986-05-05,24,687,736,0.933,30.5,49,2.03,5,12,10,2,12,0,0,0,2
"Patrick Ehelechner","6.02",184,"Sudbury Wolves",1984-09-23,7,139,153,0.908,23.59,14,2.16,2,2,4,0,4,0,0,0,0
"Ryan MacDonald","5.09",183,"London Knights",1985-04-29,9,240,258,0.93,32.58,18,2.27,0,6,2,0,2,0,0,0,0
"Jhase Sniderman","6.00",189,"Erie Otters",1987-04-03,1,23,25,0.92,29.37,2,2.35,0,0,0,0,0,0,0,0,0
"Ryan Nie","6.00",165,"Plymouth Whalers",1985-04-15,7,197,214,0.921,30.57,17,2.43,2,4,3,0,3,0,0,0,2
"Dan Turple","6.05",230,"Oshawa Generals",1985-01-01,7,224,243,0.922,32.96,19,2.58,1,3,4,0,4,0,0,0,0
"Gerald Coleman","6.04",190,"London Knights",1985-04-03,8,197,216,0.912,29.34,19,2.58,1,5,2,0,2,0,0,0,0
"Paulo Colaiacovo","6.01",200,"Barrie Colts",1983-01-27,12,320,350,0.914,30.27,30,2.59,2,7,3,1,4,0,0,0,0
"Kevin Couture","5.10",182,"Brampton Battalion",1985-03-17,11,358,391,0.916,34.19,33,2.89,0,5,5,1,6,0,0,0,0
"Doug Groenestege","6.02",200,"Mississauga IceDogs",1984-01-11,2,18,20,0.9,29.9,2,2.99,0,0,0,0,0,0,0,0,0
"Lukas Mensator","5.10",180,"Ottawa 67's",1984-08-18,7,249,272,0.915,36.58,23,3.09,0,3,3,1,4,0,0,0,2
"Robert Gherson","6.01",175,"Owen Sound Attack",1983-10-08,7,252,274,0.92,39.18,22,3.15,1,3,4,0,4,0,0,0,0
"Paul Drew","5.10",199,"Plymouth Whalers",1983-11-20,2,69,77,0.896,31.88,8,3.31,0,0,1,1,2,0,0,0,0
"Danny Taylor","6.01",185,"Guelph Storm",1986-04-28,3,54,63,0.857,23.79,9,3.4,0,1,1,0,1,0,0,0,0
"Ryan Munce","6.02",177,"Sarnia Sting",1985-04-16,5,143,160,0.894,32.25,17,3.43,0,1,3,1,4,0,0,0,0
"Josh Disher","6.01",171,"Erie Otters",1985-06-24,9,248,277,0.895,32.86,29,3.44,0,4,5,0,5,0,0,0,0
"Chris Beckford-Tseu","6.03",195,"Kingston Frontenacs",1984-06-22,5,202,220,0.918,43.57,18,3.56,0,1,3,1,4,0,0,0,0
"Jeff Weber","6.02",185,"Barrie Colts",1984-09-24,2,19,22,0.864,27.32,3,3.73,0,0,0,1,1,0,0,0,0
"Brad Topping","6.01",198,"Kitchener Rangers",1984-06-05,4,111,125,0.888,33.51,14,3.75,0,1,3,0,3,0,0,0,0
"Tyson Kellerman","6.02",185,"Brampton Battalion",1984-01-18,1,33,37,0.892,37,4,4,0,0,1,0,1,0,0,0,0
"Carlo DiRienzo","6.00",188,"Kitchener Rangers",1986-02-10,2,23,28,0.821,22.52,5,4.02,0,0,1,0,1,0,0,0,0
"John Barrow","6.00",185,"Sarnia Sting",1984-05-10,1,3,5,0.6,14.52,2,5.81,0,0,0,0,0,0,0,0,0
"Matt Anthony","5.09",175,"Windsor Spitfires",1984-03-18,4,111,134,0.828,38.73,23,6.65,0,0,2,1,3,0,0,0,0
"Kyle Knechtel","5.11",192,"Windsor Spitfires",1986-12-23,1,19,24,0.792,44.4,5,9.25,0,0,1,0,1,0,0,0,0
