"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","GWG","ENG","PIM"
"Joe Salandra",2008-02-15,"RW","Barrie Colts",5,4,2,6,1.2,4,0,1,0,0,0
"Noah Laus",2009-02-10,"C","Soo Greyhounds",4,4,1,5,1.25,3,0,0,0,1,2
"Jaakko Wycisk",2009-03-16,"C","Guelph Storm",5,3,2,5,1,-3,2,2,0,0,2
"Evan Nicholson",2009-04-01,"LW","Kitchener Rangers",5,2,3,5,1,2,0,0,0,0,2
"Matej Stankoven",2008-02-28,"C","Brampton Steelheads",4,2,3,5,1.25,5,1,0,0,0,0
"Cam Warren",2009-05-07,"C","North Bay Battalion",6,1,4,5,0.83,-2,0,4,0,0,0
"Cole Emerton",2008-03-04,"D","Barrie Colts",6,1,4,5,0.83,2,0,0,0,0,0
"Layne Gallacher",2008-02-16,"C","Brantford Bulldogs",6,0,5,5,0.83,5,0,0,0,0,0
"Kaden Aucoin",2009-08-14,"D","Sarnia Sting",5,3,1,4,0.8,-2,0,0,0,0,8
"Callum Croskery",2008-01-29,"D","Soo Greyhounds",3,2,2,4,1.33,4,1,1,0,0,4
"David Buchman",2009-07-01,"D","Brantford Bulldogs",4,2,2,4,1,4,0,1,1,0,2
"Jalen Lobo",2008-02-09,"LW","Oshawa Generals",5,2,2,4,0.8,0,1,1,0,0,0
"Sam Roberts",2009-05-21,"RW","Oshawa Generals",5,2,2,4,0.8,-4,1,2,0,0,8
"Patrick Babin",2008-01-30,"D","Brantford Bulldogs",4,1,3,4,1,3,0,2,0,0,2
"Simon Belohorsky",2008-10-18,"LW","Guelph Storm",3,1,3,4,1.33,2,0,0,0,0,0
"Jacob Xu",2008-03-13,"LD","Kitchener Rangers",5,0,4,4,0.8,-2,0,1,0,0,0
"Ryerson Edgar",2009-07-30,"C","Niagara IceDogs",4,0,4,4,1,0,0,1,0,0,2
"Brock Chitaroni",2009-01-27,"C","Ottawa 67's",4,2,1,3,0.75,4,0,0,0,0,2
"Max Brocklehurst",2008-12-30,"RW","Windsor Spitfires",4,2,1,3,0.75,-2,0,0,0,0,2
"Aleksandr Sementsov",2009-08-25,"LW","Barrie Colts",5,1,2,3,0.6,-4,0,2,0,0,2
"Brady Blaseg",2008-07-21,"D","Oshawa Generals",6,1,2,3,0.5,-8,0,2,0,0,4
"Easton Walos",2008-12-28,"C","Sarnia Sting",5,1,2,3,0.6,-3,0,0,0,0,13
"Manuel Amado",2008-02-04,"C","Brampton Steelheads",6,1,2,3,0.5,0,0,0,0,0,0
"Charlie Murata",2009-02-15,"RW","Flint Firebirds",4,0,3,3,0.75,1,0,0,0,0,0
"Michael D'Alessio",2008-12-03,"D","Erie Otters",5,0,3,3,0.6,0,0,1,0,0,6
"Ryan Kaczynski",2009-07-08,"LW","Soo Greyhounds",4,0,3,3,0.75,-2,0,1,0,0,0
"Colin Feeley",2008-03-07,"D","Oshawa Generals",6,1,1,2,0.33,-2,0,0,0,0,4
"Grady Spicer",2008-07-17,"D","Windsor Spitfires",4,1,1,2,0.5,2,0,0,0,0,12
"Jonah McCormick",2008-10-08,"LW","Barrie Colts",5,1,1,2,0.4,-2,0,0,0,0,10
"Tyler Cooper",2009-12-06,"C","Erie Otters",5,1,1,2,0.4,-4,0,1,0,0,0
"Anthony Timmerman",2009-10-13,"D","Oshawa Generals",4,0,2,2,0.5,-2,0,1,0,0,0
"Keaton Ardagh",2009-07-08,"RW","Brampton Steelheads",5,0,2,2,0.4,-1,0,0,0,0,2
"Noah Barton",2008-10-16,"D","Barrie Colts",5,0,2,2,0.4,4,0,0,0,0,5
"Sean Matthew Goyette",2008-05-15,"D","Brampton Steelheads",6,0,2,2,0.33,0,0,1,0,0,2
"Alexander Hage",2008-02-05,"RW","Niagara IceDogs",3,1,0,1,0.33,0,1,0,0,0,2
"Eamon Edgar",2009-11-05,"C","Barrie Colts",5,1,0,1,0.2,-5,0,0,0,0,0
"Eloan Le Gallic",2009-02-06,"C","London Knights",1,1,0,1,1,1,0,0,0,0,0
"Eron Mitchell",2006-08-31,"LW","Barrie Colts",3,1,0,1,0.33,0,0,0,0,0,6
"Henry Doucet",2008-08-11,"LW","Sudbury Wolves",4,1,0,1,0.25,0,0,0,0,0,6
"Jacob Monks",2008-05-19,"C","Niagara IceDogs",4,1,0,1,0.25,0,0,0,1,0,0
"Jax Pereira",2009-05-06,"C","North Bay Battalion",6,1,0,1,0.17,-1,0,0,0,0,6
"Kimani Eccleston",2007-08-02,"LW","Sudbury Wolves",4,1,0,1,0.25,-1,0,0,0,0,4
"Lachlan Larmand",2009-03-25,"RW","Brampton Steelheads",5,1,0,1,0.2,0,0,0,0,0,2
"Lucas DeMiglio",2008-10-26,"LW","Brampton Steelheads",3,1,0,1,0.33,-1,0,0,0,0,4
"Nicholas Desiderio",2008-06-16,"LW","Barrie Colts",5,1,0,1,0.2,-3,1,0,0,0,4
"Robert Matson",2009-03-10,"C","Guelph Storm",3,1,0,1,0.33,-1,1,0,0,0,0
"Alex Forrest",2009-06-11,"D","Kitchener Rangers",5,0,1,1,0.2,4,0,0,0,0,4
"Brennan Huyck",2008-04-30,"RW","Oshawa Generals",4,0,1,1,0.25,-1,0,0,0,0,0
"Bryson Morgan",2008-03-20,"C","Flint Firebirds",3,0,1,1,0.33,2,0,0,0,0,2
"Callan Newton",2008-01-02,"LW","Guelph Storm",1,0,1,1,1,1,0,0,0,0,0
"Camden McCuaig",2008-06-19,"LW","Kingston Frontenacs",3,0,1,1,0.33,-1,0,0,0,0,2
"Carter Kunopaski",2009-02-14,"D","North Bay Battalion",6,0,1,1,0.17,-2,0,0,0,0,11
