"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","SHG","SHA","SHPTS","GWG","ENG","PIM","Active"
"Hudson Chitaroni","NO",91,2007-08-22,2007,"5.10",191,"LW","Sudbury Wolves",4,1,4,5,1.25,-1,0,1,1,0,0,0,0,0,0,1
"Cole Zurawski","NO",17,2008-02-06,2008,"6.01",190,"RW","Owen Sound Attack",4,1,4,5,1.25,1,1,1,2,0,0,0,0,0,4,1
"Avry Anstis","NO",9,2008-03-05,2008,"6.00",165,"RW","Kitchener Rangers",5,1,4,5,1,2,0,0,0,0,0,0,0,0,9,1
"Ethan Toms","NO",61,2006-01-19,2006,"5.11",186,"C","Oshawa Generals",5,1,4,5,1,-5,1,1,2,0,0,0,0,0,4,1
"Cole Emerton","YES",41,2008-03-04,2008,"5.11",185,"D","Barrie Colts",6,1,4,5,0.83,2,0,0,0,1,0,1,0,0,0,1
"Cam Warren","YES",14,2009-05-07,2009,"5.10",168,"C","North Bay Battalion",6,1,4,5,0.83,-2,0,4,4,0,0,0,0,0,0,1
"Layne Gallacher","YES",10,2008-02-16,2008,"6.01",180,"C","Brantford Bulldogs",6,0,5,5,0.83,5,0,0,0,0,0,0,0,0,0,1
"Christopher Soares","NO",28,2006-03-23,2006,"5.10",175,"LW","Guelph Storm",5,4,0,4,0.8,0,0,0,0,2,0,2,1,0,4,1
"Jake O'Brien","NO",14,2007-06-16,2007,"6.02",177,"C","Brantford Bulldogs",2,3,1,4,2,3,1,0,1,0,0,0,0,0,0,1
"Tristan Delisle","NO",40,2007-05-15,2007,"5.11",184,"C","Owen Sound Attack",3,3,1,4,1.33,1,0,1,1,0,0,0,0,0,6,1
"Spencer Bowes","NO",12,2007-09-19,2007,"6.00",177,"LW","Ottawa 67's",4,3,1,4,1,2,0,0,0,0,0,0,1,0,2,1
"Ethan Kindree","NO",9,2008-06-02,2008,"5.10",177,"RW","Owen Sound Attack",4,3,1,4,1,5,0,0,0,0,0,0,1,0,11,1
"Leon Kolarik","NO",12,2007-09-23,2007,"5.11",175,"LW","Peterborough Petes",4,3,1,4,1,3,2,0,2,0,0,0,1,0,0,1
"Kaden Aucoin","YES",33,2009-08-14,2009,"6.02",185,"D","Sarnia Sting",5,3,1,4,0.8,-2,0,0,0,0,0,0,0,0,8,1
"Alexander Bilecki","NO",89,2008-05-09,2008,"6.02",180,"LD","Kitchener Rangers",5,3,1,4,0.8,2,1,1,2,1,0,1,1,0,0,1
"Tanner Lam","NO",37,2007-07-14,2007,"5.10",160,"RW","Kitchener Rangers",5,3,1,4,0.8,-1,0,1,1,0,0,0,0,1,0,1
"Liam Beamish","NO",40,2007-01-04,2007,"6.00",190,"C","Sarnia Sting",2,2,2,4,2,-2,2,2,4,0,0,0,0,0,2,1
"Alex Kostov","NO",47,2006-06-03,2006,"6.04",208,"RW","Flint Firebirds",2,2,2,4,2,4,0,0,0,0,0,0,0,0,6,1
