"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","GWG","ENG","PIM"
"Lukas Kaspar",1985-09-23,"LW","Ottawa 67's",21,6,14,20,0.95,-2,0,9,2,0,8
"Jakub Petruzalek",1985-04-24,"LW","Ottawa 67's",21,8,10,18,0.86,-2,2,3,1,0,30
"Jamie McGinn",1988-08-05,"LW","Ottawa 67's",18,4,7,11,0.61,3,2,0,1,0,0
"Jordan Staal",1988-09-10,"C","Peterborough Petes",14,5,5,10,0.71,7,1,0,1,0,16
"Nick Foligno",1987-10-31,"C","Sudbury Wolves",12,5,5,10,0.83,4,1,2,0,0,16
"Jordan Foreman",1987-01-06,"C","London Knights",18,3,3,6,0.33,8,1,0,0,0,49
"Alexei Ivanov",1985-01-05,"C","Toronto St. Michael's Majors",10,3,2,5,0.5,1,2,0,0,0,4
"Chris Greene",1985-09-24,"RW","Erie Otters",6,2,3,5,0.83,1,0,1,0,0,23
"Scott Giles",1987-01-19,"C","Owen Sound Attack",8,1,4,5,0.63,1,0,1,0,0,4
"Justin Azevedo",1988-04-01,"C","Kitchener Rangers",15,3,1,4,0.27,-3,1,1,0,0,14
"Michael Vernace",1986-05-26,"D","Brampton Battalion",6,2,2,4,0.67,0,1,1,0,0,0
"Ryan McDonough",1988-01-02,"C","Sudbury Wolves",12,2,2,4,0.33,0,0,1,0,0,12
"Andrej Sekera",1986-06-08,"D","Owen Sound Attack",6,0,4,4,0.67,3,0,2,0,0,4
"Igor Gongalsky",1986-11-05,"LW","Owen Sound Attack",7,2,1,3,0.43,-1,2,0,0,0,4
"Kelly Thomson",1985-04-14,"LW","London Knights",18,2,1,3,0.17,5,1,0,1,0,50
"Ryan McInerney",1988-05-31,"C","Sault Ste. Marie Greyhounds",7,1,2,3,0.43,2,0,0,1,0,0
"Derek Joslin",1987-03-17,"D","Ottawa 67's",21,0,3,3,0.14,-3,0,2,0,0,24
"Jaroslav Mrazek",1986-01-14,"D","Toronto St. Michael's Majors",10,0,3,3,0.3,3,0,0,0,0,8
"Kevin Henderson",1986-12-03,"LW","Kitchener Rangers",15,0,3,3,0.2,-5,0,0,0,0,8
"Mark Fraser",1986-09-26,"D","Kitchener Rangers",15,0,3,3,0.2,-3,0,0,0,0,26
"Tomas Sample",1987-01-06,"D","Sudbury Wolves",10,0,3,3,0.3,-1,0,2,0,0,10
"Adam Perry",1987-01-12,"LW","London Knights",8,1,1,2,0.25,3,0,0,0,0,0
"Arron Alphonso",1988-11-14,"RW","Ottawa 67's",20,1,1,2,0.1,1,0,0,0,0,20
"Brett MacLean",1988-12-24,"RW","Erie Otters",6,1,1,2,0.33,1,0,1,0,0,6
"James Neal",1987-09-03,"LW","Plymouth Whalers",4,1,1,2,0.5,0,1,0,0,0,6
"Ryan Crouch",1988-01-11,"D","Sudbury Wolves",3,1,1,2,0.67,-1,1,0,0,0,2
"Bobby Sanguinetti",1988-02-29,"D","Owen Sound Attack",5,0,2,2,0.4,2,0,2,0,0,0
"Justin Caruana",1987-07-17,"LW","Peterborough Petes",14,0,2,2,0.14,1,0,0,0,0,17
"Lubomir Stach",1986-05-28,"D","Guelph Storm",4,0,2,2,0.5,2,0,2,0,0,2
"Matt D'Agostini",1986-10-23,"RW","Guelph Storm",4,0,2,2,0.5,-2,0,2,0,0,8
"Trevor Koverko",1987-03-22,"D","Owen Sound Attack",8,0,2,2,0.25,1,0,0,0,0,2
"Aaron Snow",1988-05-20,"LW","Brampton Battalion",6,1,0,1,0.17,0,0,0,0,0,2
"Kole Bryce",1985-06-27,"RW","London Knights",2,1,0,1,0.5,1,0,0,0,0,0
"Mark Johnson",1985-09-26,"RW","Belleville Bulls",5,1,0,1,0.2,-1,0,0,0,0,4
"Mike Montgomery",1987-07-22,"C","Peterborough Petes",3,1,0,1,0.33,1,0,0,0,0,2
"Vladimir Svacina",1987-04-28,"RW","Mississauga IceDogs",5,1,0,1,0.2,-1,0,0,0,0,4
"Andrew Hotham",1986-08-29,"D","Erie Otters",6,0,1,1,0.17,-1,0,0,0,0,10
"Andrew Marshall",1986-08-07,"D","Barrie Colts",6,0,1,1,0.17,-3,0,0,0,0,4
"Andy Hyvarinen",1987-12-29,"LW","Guelph Storm",4,0,1,1,0.25,-1,0,0,0,0,2
"Bobby Davey",1987-04-20,"D","Belleville Bulls",5,0,1,1,0.2,-2,0,0,0,0,12
"Brandon MacLean",1987-09-04,"C","Sault Ste. Marie Greyhounds",7,0,1,1,0.14,0,0,0,0,0,0
"Devin DiDiomete",1988-05-09,"LW","Sudbury Wolves",11,0,1,1,0.09,1,0,0,0,0,11
"Harrison Reed",1988-01-18,"RW","London Knights",4,0,1,1,0.25,1,0,0,0,0,0
"John Hughes",1988-01-06,"C","Belleville Bulls",4,0,1,1,0.25,-3,0,0,0,0,4
"Jordan Shine",1988-12-14,"LW","Barrie Colts",5,0,1,1,0.2,-1,0,1,0,0,10
"Justin Soryal",1987-06-29,"LW","Peterborough Petes",14,0,1,1,0.07,1,0,0,0,0,21
"Matthew Bragg",1987-06-12,"C","Barrie Colts",5,0,1,1,0.2,1,0,0,0,0,4
"Nathan Martine",1988-05-24,"D","Barrie Colts",4,0,1,1,0.25,-1,0,1,0,0,2
"Pat Ouellette",1987-04-21,"LW","Ottawa 67's",21,0,1,1,0.05,0,0,0,0,0,8
