"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Neil Conway","6.01",183,"Owen Sound Attack",1988-01-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthony Guadagnolo","5.11",185,"Ottawa 67's",1986-01-27,1,6,6,1,18,0,0,0,0,0,0,0,0,0,0,0
"Mark Packwood","5.10",188,"Kitchener Rangers",1988-08-10,1,10,10,1,30,0,0,0,0,0,0,0,0,0,0,0
"Jhase Sniderman","6.00",189,"Erie Otters",1987-04-03,1,2,2,1,15.13,0,0,0,0,0,0,0,0,0,0,0
"David Shantz","6.01",190,"Mississauga IceDogs",1986-05-05,2,42,44,0.955,33.12,2,1.51,0,0,1,0,1,0,0,0,0
"Gerald Coleman","6.04",190,"London Knights",1985-04-03,8,187,200,0.935,26.4,13,1.72,0,7,1,0,1,0,0,0,2
"Adam Dennis","6.00",175,"London Knights",1985-02-08,11,310,332,0.934,31.71,22,2.1,2,9,1,0,1,0,0,0,6
"Kyle Gajewski","5.11",162,"Sault Ste. Marie Greyhounds",1987-03-29,6,188,201,0.935,34.01,13,2.2,1,3,0,2,2,0,0,0,0
"Mike Brown","6.00",207,"Owen Sound Attack",1985-03-04,8,186,205,0.907,25.41,19,2.36,2,4,2,2,4,0,0,0,0
"Jeff MacDougald","6.01",190,"Peterborough Petes",1985-01-24,13,379,413,0.918,30.18,34,2.48,1,8,3,2,5,0,0,0,2
"Kevin Beech","6.04",177,"Sudbury Wolves",1986-09-23,6,141,153,0.922,33.26,12,2.61,0,2,1,0,1,0,0,0,0
"Daren Machesney","6.00",177,"Brampton Battalion",1986-12-13,5,177,192,0.922,34.89,15,2.73,0,2,1,2,3,0,0,0,0
"Josh Disher","6.01",171,"Erie Otters",1985-06-24,6,224,242,0.926,36.81,18,2.74,0,2,2,2,4,0,0,0,0
"Michael Ouzas","5.10",189,"Mississauga IceDogs",1985-08-30,4,114,124,0.919,34.25,10,2.76,0,1,3,0,3,0,0,0,0
"Eric Pfligler","5.07",185,"Kitchener Rangers",1985-05-22,14,421,457,0.921,35.88,36,2.83,1,9,3,1,4,0,0,0,0
"Justin Peters","6.02",210,"Toronto St. Michael's Majors",1986-08-30,10,356,381,0.934,43.63,25,2.86,0,4,1,3,4,0,0,0,2
"Justin Garay","5.09",192,"Plymouth Whalers",1987-02-16,1,4,5,0.8,15,1,3,0,0,0,0,0,0,0,0,0
"Dan LaCosta","6.03",195,"Barrie Colts",1986-03-28,5,108,119,0.908,33.34,11,3.08,0,1,2,0,2,0,0,0,2
"Eero Kilpelainen","6.01",165,"Peterborough Petes",1985-05-07,1,42,46,0.913,35.66,4,3.1,0,0,0,1,1,0,0,0,0
"Danny Battochio","5.10",175,"Ottawa 67's",1985-12-21,21,770,836,0.921,39.31,66,3.1,1,13,7,1,8,0,0,0,0
"Dan Turple","6.05",230,"Kitchener Rangers",1985-01-01,3,85,94,0.904,34.94,9,3.35,0,0,1,1,2,0,0,0,0
"Ryan MacDonald","5.09",183,"Guelph Storm",1985-04-29,3,127,137,0.927,46.05,10,3.36,0,0,3,0,3,0,0,0,0
"Patrick Ehelechner","6.02",184,"Sudbury Wolves",1984-09-23,10,229,258,0.888,31.15,29,3.5,0,4,5,0,5,0,0,0,2
"Kyle Knechtel","5.11",192,"Windsor Spitfires",1986-12-23,10,311,344,0.904,37.87,33,3.63,0,4,6,0,6,0,0,0,2
"Eric Tobia","6.00",180,"Belleville Bulls",1984-06-21,3,109,121,0.901,36.78,12,3.65,0,1,2,0,2,0,0,0,0
"Jakub Cech","6.01",175,"Sault Ste. Marie Greyhounds",1985-09-13,2,37,43,0.86,27.59,6,3.85,0,0,1,1,2,0,0,0,0
"Kevin Couture","5.10",182,"Brampton Battalion",1985-03-17,1,33,37,0.892,37,4,4,0,0,1,0,1,0,0,0,2
"Kevin Lalande","6.00",185,"Belleville Bulls",1987-02-19,2,69,77,0.896,38.5,8,4,0,0,2,0,2,0,0,0,0
"Wayne Savage","6.00",196,"Toronto St. Michael's Majors",1987-02-05,2,57,64,0.891,37.02,7,4.05,0,1,1,0,1,0,0,0,0
"Danny Taylor","6.01",185,"Guelph Storm",1986-04-28,1,36,40,0.9,40.91,4,4.09,0,0,1,0,1,0,0,0,0
"Ryan Nie","6.00",165,"Plymouth Whalers",1985-04-15,4,122,140,0.871,38.44,18,4.94,0,0,4,0,4,0,0,0,0
"Francois Thuot","6.00",160,"Barrie Colts",1985-05-02,3,78,91,0.857,37.44,13,5.35,0,1,2,0,2,0,0,0,0
"Brad Topping","6.01",198,"Windsor Spitfires",1984-06-05,4,76,90,0.844,37.73,14,5.87,0,0,1,0,1,0,0,0,0
