"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","SHG","SHA","SHPTS","GWG","ENG","PIM","Active"
"Dylan Strome","NO",19,1997-03-07,1997,"6.03",198,"C","Erie Otters",68,45,84,129,1.9,47,14,36,50,0,0,0,8,0,32,1
"Mitchell Marner","NO",93,1997-05-05,1997,"5.11",164,"RW","London Knights",63,44,82,126,2,36,15,40,55,2,2,4,6,2,53,1
"Connor McDavid","NO",97,1997-01-13,1997,"6.01",187,"C","Erie Otters",47,44,76,120,2.55,60,9,32,41,2,2,4,8,2,48,1
"Christian  Dvorak","NO",10,1996-02-02,1996,"6.01",196,"C","London Knights",66,41,68,109,1.65,33,14,27,41,2,3,5,5,0,24,1
"Alex DeBrincat","YES",12,1997-12-18,1997,"5.07",170,"RW","Erie Otters",68,51,53,104,1.53,59,21,14,35,0,0,0,4,1,73,1
"Andrew Mangiapane","NO",26,1996-04-04,1996,"5.10",182,"C","Barrie Colts",68,43,61,104,1.53,24,16,30,46,2,5,7,2,2,54,1
"Max Domi","NO",16,1995-03-02,1995,"5.10",194,"LW","London Knights",57,32,70,102,1.79,24,12,33,45,2,1,3,6,2,66,1
"Matt Rupert","NO",46,1994-06-02,1994,"5.09",188,"LW","London Knights",61,30,45,75,1.23,19,12,24,36,0,0,0,3,1,74,1
"Michael McCarron","NO",55,1995-03-07,1995,"6.06",225,"RW","Oshawa Generals",56,28,40,68,1.21,25,14,11,25,1,3,4,3,2,128,1
"Sonny Milano","NO",82,1996-05-12,1996,"6.00",190,"LW","Plymouth Whalers",50,22,46,68,1.36,-17,7,22,29,0,0,0,1,0,24,1
"Jimmy Lodge","NO",16,1995-03-05,1995,"6.01",172,"RW","Mississauga Steelheads",58,28,35,63,1.09,1,5,11,16,0,0,0,2,0,53,1
"Trevor Murphy","NO",8,1995-07-17,1995,"5.10",180,"D","Windsor Spitfires",59,24,39,63,1.07,-15,11,15,26,0,1,1,2,1,104,1
"Brendan Lemieux","NO",21,1996-03-15,1996,"6.01",210,"LW","Barrie Colts",57,41,19,60,1.05,-9,25,3,28,2,1,3,8,1,145,1
"Justin Scott","NO",17,1995-08-13,1995,"6.01",195,"LW","Barrie Colts",68,30,23,53,0.78,26,2,4,6,2,0,2,5,0,39,1
"Bryson Cianfrone","NO",19,1995-02-14,1995,"5.08",188,"C","Mississauga Steelheads",63,13,39,52,0.83,-4,2,15,17,1,3,4,2,0,22,1
"Mathew Campagna","NO",90,1994-03-09,1994,"5.11",185,"C","Plymouth Whalers",64,26,25,51,0.8,-8,12,12,24,1,0,1,3,0,41,1
"Slater Doggett","NO",28,1994-07-03,1994,"6.00",190,"C","Windsor Spitfires",57,25,26,51,0.89,-12,6,7,13,2,1,3,2,1,52,1
"Lucas Venuto","NO",11,1994-04-11,1994,"5.11",185,"RW","Windsor Spitfires",68,23,25,48,0.71,-19,4,7,11,0,0,0,3,0,16,1
"Darren Raddysh","NO",24,1996-02-28,1996,"6.01",200,"D","Erie Otters",60,14,34,48,0.8,32,6,14,20,1,1,2,2,2,38,1
"Josh Sterk","NO",20,1995-01-17,1995,"5.11",183,"C","London Knights",60,20,27,47,0.78,20,5,5,10,0,0,0,4,0,45,1
"Sam Babintsev","NO",18,1994-10-08,1994,"6.00",174,"RW","Mississauga Steelheads",54,18,28,46,0.85,9,3,9,12,3,0,3,1,0,20,1
"Cristiano DiGiacinto","NO",96,1996-01-10,1996,"5.11",186,"LW","Windsor Spitfires",63,21,24,45,0.71,-16,6,9,15,0,0,0,2,0,100,1
"Pavel Jenys","NO",21,1996-04-02,1996,"6.03",203,"RW","Sudbury Wolves",63,15,30,45,0.71,-36,5,11,16,0,0,0,1,2,45,1
"Logan Brown","YES",21,1998-03-05,1998,"6.06",214,"C","Windsor Spitfires",56,17,26,43,0.77,-8,4,12,16,0,0,0,1,1,20,1
"Julius Bergman","NO",33,1995-11-02,1995,"6.02",193,"D","London Knights",60,13,29,42,0.7,-3,6,19,25,1,0,1,2,1,78,1
"Jamie Lewis","NO",12,1994-08-22,1994,"5.10",204,"C","Windsor Spitfires",57,19,22,41,0.72,-34,8,5,13,2,0,2,3,1,16,1
"Josh Burnside","NO",15,1995-02-11,1995,"5.11",190,"LW","Mississauga Steelheads",66,16,25,41,0.62,-5,5,7,12,1,0,1,2,1,41,1
"Michael Cramarossa","NO",11,1996-05-24,1996,"6.00",190,"LW","Belleville Bulls",65,13,28,41,0.63,11,2,2,4,1,1,2,4,0,20,1
"Matt Schmalz","NO",27,1996-03-21,1996,"6.06",217,"RW","Sudbury Wolves",66,24,16,40,0.61,-57,8,4,12,0,0,0,1,0,68,1
"Kyle Capobianco","NO",23,1997-08-13,1997,"6.02",188,"D","Sudbury Wolves",68,10,30,40,0.59,-49,4,18,22,0,1,1,1,0,54,1
"Brandon Devlin","NO",22,1994-04-27,1994,"6.02",204,"D","Mississauga Steelheads",66,20,19,39,0.59,-12,12,6,18,0,0,0,4,0,100,1
"Niki Petti","NO",23,1996-08-13,1996,"6.00",204,"C","Belleville Bulls",66,18,21,39,0.59,-11,2,9,11,0,0,0,1,0,10,1
"Sam Povorozniouk","NO",26,1995-02-11,1995,"5.10",193,"RW","Windsor Spitfires",68,15,24,39,0.57,-30,8,11,19,0,0,0,2,0,34,1
"Connor Chatham","NO",11,1995-10-30,1995,"6.02",225,"RW","Plymouth Whalers",48,17,20,37,0.77,1,5,5,10,0,0,0,4,0,47,1
"Sean Day","NO",4,1998-01-09,1998,"6.03",218,"D","Mississauga Steelheads",61,10,26,36,0.59,-27,4,14,18,0,0,0,0,0,62,1
"Hayden McCool","NO",27,1997-04-11,1997,"6.03",215,"LW","Windsor Spitfires",64,15,19,34,0.53,-32,6,9,15,0,0,0,0,1,64,1
"Mathieu Henderson","NO",24,1996-01-07,1996,"6.00",174,"D","Plymouth Whalers",68,5,29,34,0.5,-15,0,15,15,0,0,0,0,0,30,1
"Jakob Chychrun","YES",5,1998-03-31,1998,"6.02",202,"D","Sarnia Sting",42,16,17,33,0.79,-11,8,7,15,1,0,1,2,0,37,1
"Chandler Yakimowicz","NO",21,1996-01-26,1996,"6.02",211,"RW","London Knights",63,13,20,33,0.52,3,1,1,2,1,0,1,1,0,95,1
"Trent Fox","YES",16,1997-07-16,1997,"6.03",189,"C","Belleville Bulls",64,13,20,33,0.52,6,2,2,4,0,0,0,2,0,27,1
"Will Bitten","YES",41,1998-07-10,1998,"5.11",180,"C","Plymouth Whalers",63,15,16,31,0.49,-11,4,8,12,0,0,0,2,0,16,1
"Matt Luff","YES",25,1997-05-05,1997,"6.03",196,"RW","Belleville Bulls",64,9,22,31,0.48,-6,3,5,8,0,0,0,0,0,20,1
"Markus Soberg","NO",10,1995-04-22,1995,"6.00",179,"RW","Windsor Spitfires",61,13,17,30,0.49,-16,2,4,6,1,0,1,0,2,26,1
"Anthony Stefano","NO",97,1996-01-04,1996,"5.10",180,"C","Windsor Spitfires",62,11,19,30,0.48,-19,2,6,8,0,0,0,2,1,23,1
"Aiden Jamieson","NO",74,1996-03-23,1996,"6.02",200,"D","London Knights",68,0,30,30,0.44,23,0,2,2,0,1,1,0,0,21,1
"Nathan Bastian","NO",14,1997-12-06,1997,"6.04",219,"C","Mississauga Steelheads",68,17,12,29,0.43,-29,2,1,3,1,0,1,2,2,22,1
"Michael McLeod","YES",9,1998-02-03,1998,"6.02",195,"C","Mississauga Steelheads",63,12,17,29,0.46,-23,3,2,5,0,0,0,1,0,33,1
"Ryan Moore","NO",21,1997-04-09,1997,"5.08",168,"C","Plymouth Whalers",57,7,22,29,0.51,-9,1,7,8,0,0,0,0,0,66,1
"Taylor Raddysh","YES",17,1998-02-18,1998,"6.02",208,"RW","Erie Otters",58,21,6,27,0.47,-8,1,0,1,0,0,0,5,1,13,1
"Kyle Pettit","NO",15,1996-01-19,1996,"6.04",200,"C","Erie Otters",60,16,11,27,0.45,-4,4,2,6,0,0,0,2,0,10,1
"Everett Clark","NO",17,1996-01-22,1996,"5.09",178,"C","Mississauga Steelheads",64,11,16,27,0.42,-14,4,3,7,0,0,0,3,0,64,1
"Owen MacDonald","NO",11,1996-05-24,1996,"5.09",182,"C","London Knights",60,10,17,27,0.45,-9,1,0,1,1,0,1,1,0,65,1
"Jeff Corbett","NO",5,1994-09-20,1994,"6.02",183,"D","Sudbury Wolves",65,8,19,27,0.42,-59,4,6,10,1,0,1,1,0,20,1
"Jacob Harris","NO",16,1995-02-02,1995,"6.00",198,"C","Sudbury Wolves",53,12,14,26,0.49,-39,6,6,12,0,1,1,1,0,13,1
"Stefan LeBlanc","NO",23,1996-03-16,1996,"6.00",199,"D","Mississauga Steelheads",64,8,17,25,0.39,-18,3,7,10,0,2,2,0,0,69,1
"Kyle Maksimovich","YES",9,1998-03-10,1998,"5.09",188,"LW","Erie Otters",56,6,18,24,0.43,5,1,2,3,0,0,0,1,1,14,1
"Bobby MacIntyre","NO",13,1996-09-08,1996,"5.09",191,"LW","Mississauga Steelheads",59,5,19,24,0.41,-15,2,3,5,0,0,0,0,0,43,1
"Aaron Luchuk","YES",91,1997-04-05,1997,"5.10",184,"C","Windsor Spitfires",67,10,13,23,0.34,-20,1,2,3,1,2,3,1,0,10,1
"Victor Mete","YES",98,1998-06-07,1998,"5.10",189,"D","London Knights",58,7,16,23,0.4,19,1,2,3,0,0,0,1,0,14,1
"Danny Desrochers","NO",9,1995-08-22,1995,"6.00",195,"LW","Sudbury Wolves",66,13,9,22,0.33,-55,1,0,1,1,0,1,0,1,92,1
"Chad Heffernan","NO",25,1996-03-22,1996,"6.02",200,"LW","Sudbury Wolves",56,11,11,22,0.39,-21,2,2,4,1,0,1,3,0,122,1
"Charley Graaskamp","NO",8,1996-01-31,1996,"6.01",182,"C","Sudbury Wolves",60,6,15,21,0.35,-13,2,7,9,0,0,0,0,0,38,1
"Gianluca Curcuruto","NO",32,1994-02-25,1994,"6.01",200,"D","Plymouth Whalers",40,4,17,21,0.53,-14,4,7,11,0,0,0,1,0,22,1
"Jalen Chatfield","NO",51,1996-05-16,1996,"6.00",188,"D","Windsor Spitfires",60,1,20,21,0.35,-19,1,4,5,0,0,0,0,0,35,1
"Brody Silk","NO",94,1994-11-30,1994,"6.00",185,"LW","Sudbury Wolves",57,9,11,20,0.35,-57,1,6,7,0,0,0,1,0,74,1
"Luke Kirwan","YES",44,1997-09-23,1997,"6.03",220,"LW","Windsor Spitfires",59,7,12,19,0.32,-19,0,3,3,0,0,0,3,0,27,1
"Mitch Jones","NO",6,1995-02-08,1995,"5.11",190,"D","Plymouth Whalers",58,9,9,18,0.31,-14,1,4,5,0,0,0,1,0,157,1
"Ivan Kashtanov","YES",18,1997-02-24,1997,"5.10",205,"LW","Sudbury Wolves",67,6,11,17,0.25,-23,0,1,1,0,0,0,0,0,20,1
"Chris Martenet","NO",86,1996-09-25,1996,"6.07",212,"D","London Knights",64,7,9,16,0.25,4,0,0,0,0,0,0,2,1,49,1
"Yannick Rathgeb","NO",27,1995-10-24,1995,"6.00",185,"D","Plymouth Whalers",34,5,11,16,0.47,-2,3,3,6,0,0,0,0,0,54,1
"Francesco Vilardi","NO",7,1996-01-09,1996,"5.11",200,"C","Plymouth Whalers",68,5,11,16,0.24,-29,1,5,6,1,0,1,1,1,22,1
"Brandon Crawley","YES",14,1997-02-02,1997,"6.01",205,"D","London Knights",64,3,13,16,0.25,6,0,0,0,0,0,0,0,0,86,1
"Cullen Mercer","NO",19,1997-05-02,1997,"6.00",192,"C","Plymouth Whalers",68,7,8,15,0.22,-25,5,2,7,0,1,1,0,1,25,1
"Sean Callaghan","NO",4,1994-02-08,1994,"6.04",220,"D","Plymouth Whalers",58,5,9,14,0.24,-17,4,2,6,0,0,0,1,0,142,1
