"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","GWG","ENG","PIM"
"Alex DeBrincat",1997-12-18,"RW","Erie Otters",68,51,53,104,1.53,59,21,14,4,1,73
"Logan Brown",1998-03-05,"C","Windsor Spitfires",56,17,26,43,0.77,-8,4,12,1,1,20
"Jakob Chychrun",1998-03-31,"D","Sarnia Sting",42,16,17,33,0.79,-11,8,7,2,0,37
"Trent Fox",1997-07-16,"C","Belleville Bulls",64,13,20,33,0.52,6,2,2,2,0,27
"Will Bitten",1998-07-10,"C","Plymouth Whalers",63,15,16,31,0.49,-11,4,8,2,0,16
"Matt Luff",1997-05-05,"RW","Belleville Bulls",64,9,22,31,0.48,-6,3,5,0,0,20
"Michael McLeod",1998-02-03,"C","Mississauga Steelheads",63,12,17,29,0.46,-23,3,2,1,0,33
"Taylor Raddysh",1998-02-18,"RW","Erie Otters",58,21,6,27,0.47,-8,1,0,5,1,13
"Kyle Maksimovich",1998-03-10,"LW","Erie Otters",56,6,18,24,0.43,5,1,2,1,1,14
"Aaron Luchuk",1997-04-05,"C","Windsor Spitfires",67,10,13,23,0.34,-20,1,2,1,0,10
"Victor Mete",1998-06-07,"D","London Knights",58,7,16,23,0.4,19,1,2,1,0,14
"Luke Kirwan",1997-09-23,"LW","Windsor Spitfires",59,7,12,19,0.32,-19,0,3,3,0,27
"Ivan Kashtanov",1997-02-24,"LW","Sudbury Wolves",67,6,11,17,0.25,-23,0,1,0,0,20
"Brandon Crawley",1997-02-02,"D","London Knights",64,3,13,16,0.25,6,0,0,0,0,86
"Andrew Burns",1997-02-02,"D","Windsor Spitfires",65,0,14,14,0.22,-25,0,9,0,0,37
"Drake Rymsha",1998-08-06,"C","London Knights",62,5,7,12,0.19,-5,0,0,2,0,51
"Michael Pezzetta",1998-03-13,"C","Sudbury Wolves",61,5,7,12,0.2,-28,0,1,0,0,56
"Patrick Fellows",1997-06-17,"LW","Erie Otters",60,4,8,12,0.2,9,0,0,0,0,10
"Brady Pataki",1998-10-03,"RW","Sudbury Wolves",58,6,4,10,0.17,-14,0,0,0,0,23
"Cliff Pu",1998-06-03,"RW","London Knights",41,4,5,9,0.22,-3,0,0,0,0,4
"Daniil Vertiy",1998-11-12,"LW","Windsor Spitfires",49,3,6,9,0.18,-8,0,0,0,0,22
"Nicholas Caamano",1998-09-07,"LW","Plymouth Whalers",64,3,6,9,0.14,-16,0,0,0,0,29
"TJ Fergus",1997-03-25,"D","Erie Otters",45,2,6,8,0.18,13,0,3,0,0,18
