"Name","Rookie","BD","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","GWG","ENG","PIM"
"Dylan Strome","NO",1997-03-07,"6.03",198,"C","Erie Otters",68,45,84,129,1.9,47,14,36,50,8,0,32
"Mitchell Marner","NO",1997-05-05,"5.11",164,"RW","London Knights",63,44,82,126,2,36,15,40,55,6,2,53
"Connor McDavid","NO",1997-01-13,"6.01",187,"C","Erie Otters",47,44,76,120,2.55,60,9,32,41,8,2,48
"Kyle Capobianco","NO",1997-08-13,"6.02",188,"D","Sudbury Wolves",68,10,30,40,0.59,-49,4,18,22,1,0,54
"Hayden McCool","NO",1997-04-11,"6.03",215,"LW","Windsor Spitfires",64,15,19,34,0.53,-32,6,9,15,0,1,64
"Trent Fox","YES",1997-07-16,"6.03",189,"C","Belleville Bulls",64,13,20,33,0.52,6,2,2,4,2,0,27
"Matt Luff","YES",1997-05-05,"6.03",196,"RW","Belleville Bulls",64,9,22,31,0.48,-6,3,5,8,0,0,20
"Ryan Moore","NO",1997-04-09,"5.08",168,"C","Plymouth Whalers",57,7,22,29,0.51,-9,1,7,8,0,0,66
"Aaron Luchuk","YES",1997-04-05,"5.10",184,"C","Windsor Spitfires",67,10,13,23,0.34,-20,1,2,3,1,0,10
"Ivan Kashtanov","YES",1997-02-24,"5.10",205,"LW","Sudbury Wolves",67,6,11,17,0.25,-23,0,1,1,0,0,20
"Chris Martenet","NO",1996-09-25,"6.07",212,"D","London Knights",64,7,9,16,0.25,4,0,0,0,2,1,49
"Brandon Crawley","YES",1997-02-02,"6.01",205,"D","London Knights",64,3,13,16,0.25,6,0,0,0,0,0,86
"Cullen Mercer","NO",1997-05-02,"6.00",192,"C","Plymouth Whalers",68,7,8,15,0.22,-25,5,2,7,0,1,25
"Andrew Burns","YES",1997-02-02,"6.00",181,"D","Windsor Spitfires",65,0,14,14,0.22,-25,0,9,9,0,0,37
"Matthew Kreis","NO",1997-08-01,"5.11",170,"LW","Barrie Colts",56,3,10,13,0.23,-3,0,2,2,0,0,2
"Patrick Fellows","YES",1997-06-17,"6.03",200,"LW","Erie Otters",60,4,8,12,0.2,9,0,0,0,0,0,10
"David Zeppieri","NO",1997-02-04,"6.02",201,"C","Sudbury Wolves",61,1,11,12,0.2,-33,0,0,0,0,0,35
"Bryce Yetman","NO",1997-02-21,"6.00",166,"RW","Plymouth Whalers",29,6,5,11,0.38,-11,2,2,4,0,0,6
"Liam Murray","NO",1997-06-28,"6.00",206,"D","Windsor Spitfires",63,3,6,9,0.14,-8,0,0,0,1,0,99
"TJ Fergus","YES",1997-03-25,"5.11",186,"D","Erie Otters",45,2,6,8,0.18,13,0,3,3,0,0,18
"Cole Mayo","YES",1997-01-18,"6.00",193,"D","Sudbury Wolves",56,1,7,8,0.14,-11,1,0,1,0,0,27
"Austin Clapham","YES",1997-07-09,"6.01",195,"D","Sudbury Wolves",56,2,5,7,0.13,-17,0,0,0,0,0,33
"Alex Di Carlo","YES",1997-03-25,"6.04",221,"D","Plymouth Whalers",41,0,6,6,0.15,-2,0,0,0,0,0,12
"Tyler  Sensky","YES",1997-02-27,"6.00",185,"D","Plymouth Whalers",54,0,6,6,0.11,0,0,0,0,0,0,19
"Jason Smith","YES",1997-04-27,"5.08",169,"C","Mississauga Steelheads",46,1,3,4,0.09,-11,0,1,1,0,0,12
"Austin Gerhart","NO",1997-04-03,"6.01",200,"RW","Mississauga Steelheads",47,2,1,3,0.06,-16,0,0,0,0,0,6
"Stephen Gibson","YES",1997-03-03,"6.03",202,"D","Mississauga Steelheads",56,2,0,2,0.04,-27,0,0,0,0,0,44
"Kevin Klima","YES",1997-06-05,"5.09",171,"LW","London Knights",16,1,0,1,0.06,-2,0,0,0,0,0,8
"Aleks Rapp","YES",1997-03-13,"6.04",243,"RW","Guelph Storm",35,0,0,0,0,-7,0,0,0,0,0,16
"Brett Primeau","YES",1997-04-14,"5.11",180,"RW","Kingston Frontenacs",3,0,0,0,0,0,0,0,0,0,0,2
"Chase Hawley","YES",1997-02-01,"6.01",181,"D","Sudbury Wolves",1,0,0,0,0,0,0,0,0,0,0,5
"Justen Long","YES",1997-07-01,"6.02",185,"D","Guelph Storm",3,0,0,0,0,0,0,0,0,0,0,0
"Kelly Klima","YES",1997-06-05,"5.09",171,"C","London Knights",15,0,0,0,0,-2,0,0,0,0,0,17
"Michael Silveri","NO",1997-03-06,"6.04",208,"C","Sudbury Wolves",8,0,0,0,0,0,0,0,0,0,0,0
"Noah Robinson","YES",1997-05-22,"5.11",186,"RW","Mississauga Steelheads",11,0,0,0,0,-2,0,0,0,0,0,2
"Ryan Valentini","NO",1997-07-13,"6.00",176,"C","London Knights",15,0,0,0,0,1,0,0,0,0,0,10
