"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","GWG","ENG","PIM"
"Stefan Ruzicka",1985-02-17,"RW","Owen Sound Attack",62,34,38,72,1.16,2,5,16,7,0,63
"Liam Reddox",1986-01-27,"LW","Peterborough Petes",68,31,33,64,0.94,-7,10,15,3,0,24
"Bryan Little",1987-11-12,"C","Barrie Colts",64,34,24,58,0.91,22,8,7,3,0,18
"Tyler Donati",1986-10-17,"RW","Oshawa Generals",65,20,36,56,0.86,10,3,15,2,0,25
"Daniel Ryder",1987-01-12,"C","Peterborough Petes",63,20,32,52,0.83,-8,9,14,1,0,16
"Chad Painchaud",1986-05-27,"RW","Mississauga IceDogs",68,17,25,42,0.62,23,1,4,2,0,25
"Vaclav Meidl",1986-05-27,"LW","Plymouth Whalers",67,14,28,42,0.63,1,8,11,3,1,108
"Mike Roelofsen",1987-03-19,"C","Belleville Bulls",67,16,24,40,0.6,-16,2,7,3,0,73
"Bobby Ryan",1987-03-17,"RW","Owen Sound Attack",65,22,17,39,0.6,-18,8,12,2,1,52
"Jakub Koreis",1984-06-26,"C","Guelph Storm",48,11,28,39,0.81,10,4,8,2,1,85
"Jonathan Lehun",1984-02-22,"C","Owen Sound Attack",58,13,24,37,0.64,5,3,7,2,0,14
"Danny Richmond",1984-08-01,"D","London Knights",59,13,22,35,0.59,12,7,14,5,0,92
"John Adams",1986-07-03,"C","Belleville Bulls",65,17,17,34,0.52,-14,5,4,1,0,28
"Sean O'Connor",1987-01-31,"RW","Erie Otters",68,13,21,34,0.5,-6,2,10,0,0,8
"Ryan O'Marra",1987-06-09,"C","Erie Otters",63,16,16,32,0.51,-2,7,5,3,0,33
"Gino Pisellini",1986-08-05,"RW","Plymouth Whalers",68,15,15,30,0.44,4,11,8,1,0,214
"Justin Donati",1986-10-17,"C","Oshawa Generals",45,15,15,30,0.67,3,7,7,2,0,16
"Lukas Grauwiler",1984-04-13,"C","Mississauga IceDogs",57,12,16,28,0.49,6,2,4,1,1,30
"Bobby Hughes",1987-11-11,"C","Kingston Frontenacs",62,11,16,27,0.44,0,1,3,2,1,12
"Luke Dubbin",1985-01-29,"C","Sudbury Wolves",45,8,19,27,0.6,6,1,2,1,0,18
"Georgi Misharin",1985-05-11,"D","Saginaw Spirit",65,5,22,27,0.42,-3,1,6,0,0,42
"Brock McPherson",1985-07-24,"RW","Brampton Battalion",64,9,16,25,0.39,-10,2,6,1,0,66
"Ryan Wilson",1987-02-03,"D","Toronto St. Michael's Majors",58,3,22,25,0.43,0,1,12,0,0,88
"Adam Abraham",1987-03-27,"D","Mississauga IceDogs",64,5,19,24,0.38,9,0,7,2,0,4
"Matt Lashoff",1986-09-29,"D","Kitchener Rangers",62,5,19,24,0.39,2,3,12,0,0,94
"Trevor Kell",1986-06-23,"RW","London Knights",62,9,14,23,0.37,15,0,1,0,0,48
"Mike Suggs",1985-07-20,"LW","Saginaw Spirit",67,10,12,22,0.33,-22,5,5,1,0,37
"Dan Collins",1987-02-26,"RW","Plymouth Whalers",59,9,13,22,0.37,2,0,2,1,0,30
"Brett Liscomb",1986-01-28,"LW","Windsor Spitfires",63,11,10,21,0.33,9,2,2,3,0,35
"Ivan Khomutov",1985-03-11,"C","London Knights",40,9,12,21,0.53,12,0,3,2,0,25
"Cal O'Reilly",1986-09-30,"C","Windsor Spitfires",61,3,18,21,0.34,-1,0,5,0,0,2
"Shane Hart",1984-06-05,"RW","Guelph Storm",68,7,13,20,0.29,8,0,0,1,0,55
"Kyle Lamb",1987-04-13,"D","Sudbury Wolves",58,6,14,20,0.34,-7,2,7,1,0,37
"Lukas Bolf",1985-02-20,"D","Barrie Colts",56,2,18,20,0.36,18,0,5,1,0,42
"Mark Versteeg-Lytwyn",1986-11-27,"LW","Guelph Storm",68,11,8,19,0.28,6,0,2,1,0,70
"Derek Merlini",1985-07-06,"D","Erie Otters",64,5,14,19,0.3,11,1,5,1,0,58
"Tom Pyatt",1987-02-14,"C","Saginaw Spirit",67,9,9,18,0.27,-24,3,1,0,0,21
"Patrick Davis",1986-12-28,"LW","Kitchener Rangers",27,8,10,18,0.67,-4,3,4,2,0,21
"Dale Good",1984-01-13,"D","Toronto St. Michael's Majors",42,7,10,17,0.4,2,2,2,0,1,88
"Vadim Karaga",1985-01-03,"LW","Windsor Spitfires",30,5,12,17,0.57,1,0,5,0,0,16
"Georgy Ryazantsev",1986-02-18,"RW","Barrie Colts",38,4,13,17,0.45,6,1,2,1,0,4
"Kevin Harvey",1984-09-14,"LW","Owen Sound Attack",59,8,8,16,0.27,5,1,0,0,0,159
