"Name","BD","Pos","Team","GP","SHG","SHA","SHPTS","SHPTS/G","SHPTS%"
"Bo Horvat",1995-04-05,"LW","London Knights",21,3,0,3,0.14,13
"Andreas Athanasiou",1994-08-06,"LW","Barrie Colts",22,2,1,3,0.14,12
"Erik Bradford",1994-10-19,"C","Barrie Colts",22,0,2,2,0.09,20
"Bradley  Latour",1995-09-13,"RW","Oshawa Generals",9,1,0,1,0.11,20
"Brandon Alderson",1992-01-22,"RW","Sault Ste. Marie Greyhounds",6,1,0,1,0.17,25
"Josh MacDonald",1994-03-26,"LW","Barrie Colts",22,1,0,1,0.05,25
"Kurtis Gabriel",1993-04-20,"RW","Owen Sound Attack",12,1,0,1,0.08,20
"Mark Scheifele",1993-03-15,"C","Barrie Colts",21,1,0,1,0.05,2
"Mitchell Theoret",1993-06-08,"C","Barrie Colts",20,1,0,1,0.05,5
"Rickard Rakell",1993-05-05,"C","Plymouth Whalers",15,1,0,1,0.07,7
"Scott Laughton",1994-05-30,"C","Oshawa Generals",7,1,0,1,0.14,8
"Tobias Rieder",1993-01-10,"RW","Kitchener Rangers",9,1,0,1,0.11,8
"Vincent Trocheck",1993-07-11,"C","Plymouth Whalers",15,1,0,1,0.07,4
"Zach Nastasiuk",1995-03-30,"RW","Owen Sound Attack",12,1,0,1,0.08,9
"Alex Lepkowski",1993-04-08,"D","Barrie Colts",22,0,1,1,0.05,25
"Boone Jenner",1993-06-15,"C","Oshawa Generals",9,0,1,1,0.11,12
"Brian Hughes",1993-02-25,"C","Oshawa Generals",9,0,1,1,0.11,100
"Cody Brown",1993-06-20,"RW","Barrie Colts",19,0,1,1,0.05,33
"David Broll",1993-01-04,"LW","Sault Ste. Marie Greyhounds",6,0,1,1,0.17,50
"Michael Webster",1995-05-24,"D","Barrie Colts",20,0,1,1,0.05,25
"Nick Malysa",1993-04-11,"D","Plymouth Whalers",15,0,1,1,0.07,20
"Ryan Murphy",1993-03-31,"D","Kitchener Rangers",10,0,1,1,0.1,14
"Ryan O'Connor",1992-01-12,"D","Barrie Colts",12,0,1,1,0.08,12
"Steven Beyers",1992-06-12,"RW","Barrie Colts",22,0,1,1,0.05,5
"Tom Wilson",1994-03-29,"RW","Plymouth Whalers",12,0,1,1,0.08,6
"Tyler Biggs",1993-04-30,"RW","Oshawa Generals",9,0,1,1,0.11,100
"Aaron Berisha",1995-03-05,"RW","Belleville Bulls",17,0,0,0,0,0
"Aaron Ekblad",1996-02-07,"D","Barrie Colts",22,0,0,0,0,0
"Aaron Haydon",1996-01-06,"D","Niagara IceDogs",3,0,0,0,0,0
"Adam Bignell",1994-03-24,"D","Belleville Bulls",17,0,0,0,0,0
"Adam Lloyd",1994-02-13,"LW","Oshawa Generals",2,0,0,0,0,NA
"Aidan Wallace",1995-04-17,"LW","Oshawa Generals",4,0,0,0,0,NA
"Alan Quine",1993-02-25,"C","Belleville Bulls",17,0,0,0,0,0
"Alex Basso",1993-06-15,"D","Sarnia Sting",3,0,0,0,0,0
"Alex Broadhurst",1993-03-07,"C","London Knights",21,0,0,0,0,0
"Alex Carnevale",1995-01-14,"LW","Sarnia Sting",1,0,0,0,0,NA
"Alex Cord",1992-04-17,"D","Mississauga Steelheads",6,0,0,0,0,NA
"Alex Gudbranson",1994-09-03,"D","Sault Ste. Marie Greyhounds",6,0,0,0,0,NA
"Alex Peters",1996-07-02,"D","Plymouth Whalers",13,0,0,0,0,0
"Alex Yuill",1995-05-27,"D","Barrie Colts",18,0,0,0,0,0
"Alexandre Renaud",1996-02-26,"LW","Sarnia Sting",4,0,0,0,0,NA
"Andres Kopstals",1994-02-14,"C","Mississauga Steelheads",6,0,0,0,0,0
