"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Joey Costanzo","6.01",184,"Windsor Spitfires",2005-07-26,12,288,316,0.911,25.8,28,2.29,0,7,3,2,5,0,0,0,0
"Austin Elliott","6.01",180,"London Knights",2004-05-14,17,403,445,0.906,26.06,42,2.46,1,16,1,0,1,0,0,0,0
"Ryerson Leenders","6.01",182,"Brantford Bulldogs",2006-06-01,8,204,224,0.911,30.39,20,2.71,1,4,3,0,3,0,0,0,2
"Jackson Parsons","6.02",202,"Kitchener Rangers",2004-11-23,16,432,476,0.908,29.47,44,2.72,2,8,8,0,8,0,0,0,0
"Brayden Gillespie","5.11",172,"Brampton Steelheads",2005-07-23,3,78,85,0.918,35.2,7,2.9,0,1,1,0,1,0,0,0,0
"Isaac Gravelle","6.00",186,"Oshawa Generals",2007-01-18,2,9,10,0.9,29.46,1,2.95,0,0,0,0,0,0,0,0,0
"Charlie Schenkel","6.05.",203,"Kingston Frontenacs",2004-08-16,11,296,330,0.897,30.11,34,3.1,0,7,2,1,3,0,0,0,0
"Jacob Oster","6.03",190,"Oshawa Generals",2004-03-26,21,515,582,0.885,27.84,67,3.2,0,13,8,0,8,0,0,0,8
"Nate Krawchuk","6.02",180,"Sudbury Wolves",2005-07-04,4,139,153,0.908,35.51,14,3.25,0,0,3,1,4,0,0,0,0
"Nathan Day","6.04",205,"Flint Firebirds",2005-02-04,5,156,173,0.902,34.31,17,3.37,1,1,3,1,4,0,0,0,0
"Mason Vaccari","5.11",184,"Kingston Frontenacs",2005-04-29,1,14,16,0.875,27.88,2,3.48,0,0,1,0,1,0,0,0,0
"Sam Hillebrandt","6.01",170,"Barrie Colts",2005-02-21,12,331,371,0.892,33.67,40,3.63,0,7,2,1,3,0,0,0,2
"Mike McIvor","6.01",182,"North Bay Battalion",2006-03-22,5,161,180,0.894,35.51,19,3.75,0,1,3,1,4,0,0,0,0
"Noah Erliden","5.11",183,"Erie Otters",2005-09-09,7,201,229,0.878,33.68,28,4.12,0,4,2,1,3,0,0,0,0
"David Egorov","6.02",195,"Brantford Bulldogs",2006-05-18,4,111,126,0.881,35.31,15,4.2,0,2,2,0,2,0,0,0,0
"Charlie Burns","6.01",177,"Erie Otters",2006-01-29,3,94,105,0.895,41.85,11,4.38,0,0,1,1,2,0,0,0,0
"Owen Flores","6.02",195,"Niagara IceDogs",2004-05-09,5,187,208,0.899,45.11,21,4.55,0,1,4,0,4,0,0,0,4
"Nolan Lalonde","6.02",197,"Soo Greyhounds",2004-02-14,4,92,107,0.86,33.16,15,4.65,0,1,2,0,2,0,0,0,0
"Jack Ivankovic","5.11",178,"Brampton Steelheads",2007-05-22,5,121,138,0.877,39.5,17,4.87,0,1,3,0,3,0,0,0,0
"Ben Hrebik","6.03",210,"Barrie Colts",2006-04-04,7,176,203,0.867,36.64,27,4.87,0,1,4,1,5,0,0,0,0
"Landon Miller","6.05",202,"Soo Greyhounds",2006-01-03,3,39,49,0.796,27.5,10,5.61,0,0,2,0,2,0,0,0,0
"Kaleb Papineau","6.02",185,"Saginaw Spirit",2006-01-25,5,147,177,0.831,34.08,30,5.78,0,1,4,0,4,0,0,0,0
"Carter George","6.02",195,"Owen Sound Attack",2006-05-20,4,148,173,0.855,43.48,25,6.28,0,0,4,0,4,0,0,0,0
"Finn Moffett","6.03",170,"Niagara IceDogs",2007-02-06,1,13,16,0.813,48,3,9,0,0,0,0,0,0,0,0,0
