"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","SHG","SHA","SHPTS","GWG","ENG","PIM","Active"
"Easton Cowan","NO",7,2005-05-20,2005,"6.00",185,"RW","London Knights",17,13,26,39,2.29,25,0,8,8,1,0,1,2,4,16,1
"Luca Marrelli","NO",19,2005-10-04,2005,"6.02",185,"D","Oshawa Generals",21,6,30,36,1.71,-3,3,15,18,0,0,0,0,0,11,1
"Colby Barlow","NO",39,2005-02-14,2005,"6.01",190,"LW","Oshawa Generals",21,14,19,33,1.57,2,7,10,17,0,0,0,3,0,6,1
"Beckett Sennecke","NO",45,2006-01-28,2006,"6.04",195,"RW","Oshawa Generals",18,14,18,32,1.78,6,5,8,13,0,0,0,1,1,32,1
"Sam Dickinson","NO",3,2006-06-07,2006,"6.03",210,"D","London Knights",17,9,22,31,1.82,22,3,7,10,0,2,2,2,0,2,1
"Owen Griffin","NO",96,2007-04-08,2007,"5.10",175,"C","Oshawa Generals",21,16,13,29,1.38,7,4,5,9,0,0,0,1,3,9,1
"Calum Ritchie","NO",21,2005-01-21,2005,"6.03",190,"C","Oshawa Generals",21,9,16,25,1.19,-2,5,8,13,1,0,1,1,1,22,1
"Ilya Protas","NO",37,2006-07-18,2006,"6.05",200,"C","Windsor Spitfires",12,5,20,25,2.08,8,1,10,11,0,0,0,2,1,6,1
"Liam Greentree","NO",66,2006-01-01,2006,"6.03",216,"LW","Windsor Spitfires",11,14,10,24,2.18,8,6,4,10,0,0,0,1,3,6,1
"Anthony Romani","NO",15,2005-07-12,2005,"6.01",190,"RW","Barrie Colts",16,12,12,24,1.5,11,1,3,4,0,0,0,3,1,2,1
"Dalyn Wakely","NO",81,2004-03-05,2004,"6.01",198,"C","Barrie Colts",16,7,17,24,1.5,9,1,7,8,0,0,0,0,1,20,1
"Sam O'Reilly","NO",23,2006-03-30,2006,"6.01",190,"C","London Knights",17,7,15,22,1.29,24,2,1,3,1,0,1,2,0,7,1
"Kasper Halttunen","NO",12,2005-06-07,2005,"6.03",207,"RW","London Knights",17,15,6,21,1.24,10,7,4,11,0,0,0,3,0,18,1
"Owen Van Steensel","NO",19,2004-08-04,2004,"5.10",185,"LW","Barrie Colts",16,8,13,21,1.31,18,4,1,5,0,0,0,0,0,10,1
"Denver Barkey","NO",86,2005-04-27,2005,"5.10",171,"LW","London Knights",10,9,11,20,2,18,1,4,5,0,0,0,0,2,10,1
"Jacob Julien","NO",13,2004-09-12,2004,"6.04",190,"C","London Knights",17,6,13,19,1.12,12,2,4,6,1,0,1,0,0,22,1
"Tristan Bertucci","NO",12,2005-07-12,2005,"6.02",187,"D","Barrie Colts",16,4,14,18,1.13,-4,3,6,9,0,0,0,0,0,20,1
"Noah Morneau","NO",11,2004-05-07,2004,"6.00",182,"C","Windsor Spitfires",12,11,6,17,1.42,8,7,2,9,0,0,0,1,0,4,1
"Cedrick Guindon","NO",93,2004-04-21,2004,"5.10",182,"C","Kingston Frontenacs",11,10,7,17,1.55,7,3,1,4,0,0,0,0,1,2,1
"Pano Fimis","NO",98,2004-06-17,2004,"5.11",183,"C","Erie Otters",9,9,8,17,1.89,4,1,4,5,1,1,2,1,1,6,1
"Luke Ellinas","NO",19,2006-03-12,2006,"6.01",186,"C","Kitchener Rangers",14,8,8,16,1.14,6,1,1,2,0,0,0,2,1,25,1
"Beau Jelsma","NO",53,2004-04-28,2004,"5.10",180,"C","Barrie Colts",16,7,9,16,1,-2,2,4,6,0,0,0,0,2,8,1
"Jacob Battaglia","NO",88,2006-03-17,2006,"6.01",202,"LW","Kingston Frontenacs",11,3,13,16,1.45,5,2,1,3,0,0,0,1,0,8,1
"Landon Sim","NO",90,2004-07-17,2004,"5.11",185,"LW","London Knights",17,12,3,15,0.88,13,2,0,2,0,0,0,3,0,33,1
"Nick Lardis","NO",16,2005-07-08,2005,"5.11",185,"RW","Brantford Bulldogs",7,11,4,15,2.14,6,2,0,2,0,0,0,1,3,0,1
"Emil Hemming","NO",28,2006-06-27,2006,"6.01",205,"RW","Barrie Colts",16,8,7,15,0.94,-9,3,2,5,0,0,0,0,1,4,1
"Sam Alfano","NO",33,2004-01-18,2004,"6.04",204,"RW","Erie Otters",9,6,9,15,1.67,4,2,4,6,2,0,2,0,1,17,1
"Dylan Edwards","NO",11,2005-07-20,2005,"5.08",171,"RW","Erie Otters",9,6,9,15,1.67,4,2,7,9,0,0,0,0,0,16,1
"Trent Swick","NO",57,2004-04-25,2004,"6.06",208,"LW","Kitchener Rangers",16,7,7,14,0.88,-2,2,2,4,0,0,0,0,1,28,1
"Noah Powell","NO",15,2005-02-02,2005,"6.02",205,"RW","Oshawa Generals",21,4,10,14,0.67,0,0,3,3,0,0,0,0,0,15,1
"Oliver Bonk","NO",59,2005-01-09,2005,"6.02",210,"D","London Knights",17,2,12,14,0.82,28,0,4,4,0,0,0,1,0,14,1
"Martin Misiak","NO",90,2004-09-30,2004,"6.02",200,"C","Erie Otters",8,7,6,13,1.63,1,4,3,7,0,0,0,2,0,4,1
"Jack Pridham","NO",24,2005-10-08,2005,"6.02",185,"RW","Kitchener Rangers",16,7,6,13,0.81,0,1,2,3,0,0,0,1,0,20,1
"Tuomas Uronen","NO",8,2005-03-19,2005,"6.00",194,"RW","Kingston Frontenacs",11,5,8,13,1.18,6,0,2,2,0,0,0,1,0,0,1
"Gage Heyes","NO",9,2004-04-21,2004,"6.00",172,"RW","Kingston Frontenacs",11,4,9,13,1.18,1,0,5,5,0,0,0,3,1,31,1
"Cole Beaudoin","NO",29,2006-04-24,2006,"6.02",211,"C","Barrie Colts",16,4,9,13,0.81,-11,0,1,1,0,0,0,1,0,8,1
"Patrick Thomas","NO",93,2004-08-21,2004,"6.00",178,"C","Brantford Bulldogs",11,3,10,13,1.18,4,0,2,2,0,0,0,1,1,2,1
"Kashawn Aitcheson","NO",77,2006-09-21,2006,"6.02",203,"D","Barrie Colts",16,6,6,12,0.75,2,2,2,4,0,0,0,2,0,28,1
"Riley Patterson","NO",21,2006-03-22,2006,"6.00 ",194,"C","Barrie Colts",16,6,6,12,0.75,-2,1,3,4,0,0,0,0,0,8,1
"Luca D'Amato","NO",4,2004-08-18,2004,"5.09",160,"D","Oshawa Generals",21,3,9,12,0.57,3,0,3,3,0,0,0,0,0,24,1
"Luke Misa","NO",33,2005-11-25,2005,"5.10",176,"C","Brampton Steelheads",6,2,10,12,2,4,0,5,5,0,0,0,0,0,2,1
"Marek Vanacker","NO",78,2006-04-12,2006,"6.01",188,"LW","Brantford Bulldogs",11,6,5,11,1,-1,2,2,4,0,0,0,1,0,8,1
"Jake O'Brien","NO",44,2007-06-16,2007,"6.02",177,"C","Brantford Bulldogs",11,3,8,11,1,1,2,2,4,0,0,0,1,0,6,1
"Andrew Gibson","NO",92,2005-02-13,2005,"6.04",210,"D","Oshawa Generals",19,8,2,10,0.53,-4,4,1,5,0,0,0,2,0,28,1
"Emil Pieniniemi","NO",7,2005-03-02,2005,"6.03",177,"D","Kingston Frontenacs",11,4,6,10,0.91,5,1,3,4,0,0,0,0,0,2,1
"Ryan Abraham","NO",12,2004-04-05,2004,"5.08",168,"C","Windsor Spitfires",12,4,6,10,0.83,-3,2,3,5,0,0,0,0,0,8,1
"Christian Humphreys","NO",48,2006-02-04,2006,"5.11",170,"C","Kitchener Rangers",13,3,7,10,0.77,1,1,3,4,0,0,0,2,0,6,1
"Blake Montgomery","NO",47,2005-05-04,2005,"6.04",195,"LW","London Knights",17,3,7,10,0.59,6,0,1,1,0,0,0,1,0,20,1
"Grayson Tiller","NO",8,2005-02-20,2005,"5.10",190,"D","Barrie Colts",16,2,8,10,0.63,6,0,0,0,0,0,0,1,0,12,1
"Jack Nesbitt","NO",71,2007-01-12,2007,"6.04",189,"C","Windsor Spitfires",12,1,9,10,0.83,-5,0,6,6,0,0,0,0,0,30,1
"Porter Martone","NO",94,2006-10-26,2006,"6.03",208,"RW","Brampton Steelheads",6,4,5,9,1.5,3,3,3,6,0,0,0,0,1,10,1
"Malcolm Spence","NO",17,2006-09-22,2006,"6.02",201,"LW","Erie Otters",9,4,5,9,1,-6,1,2,3,0,0,0,1,0,6,1
"Zayne Parekh","NO",19,2006-02-15,2006,"6.00",185,"D","Saginaw Spirit",5,2,7,9,1.8,-5,0,4,4,0,0,0,1,0,14,1
"Cole Brown","NO",92,2005-04-27,2005,"6.03",189,"RW","Brantford Bulldogs",11,2,7,9,0.82,0,1,1,2,0,0,0,0,0,15,1
