"Name","BD","Pos","Team","GP","EVG","EVA","EVPTS","EVPTS/G","EVPTS%"
"Tom Kuhnhackl",1992-01-21,"LW","Windsor Spitfires",18,7,9,16,0.89,70
"Devante Smith-Pelly",1992-06-14,"LW","Mississauga St. Michaels Majors",20,9,6,15,0.75,71
"Alexander Khokhlachev",1993-09-09,"C","Windsor Spitfires",18,7,7,14,0.78,70
"Casey Cizikas",1991-02-27,"C","Mississauga St. Michaels Majors",16,4,10,14,0.88,74
"Justin Shugg",1991-12-24,"RW","Mississauga St. Michaels Majors",20,8,6,14,0.7,74
"Ryan Ellis",1991-01-03,"D","Windsor Spitfires",18,4,10,14,0.78,74
"Garrett Wilson",1991-03-16,"LW","Owen Sound Attack",22,6,7,13,0.59,62
"Andrew Shaw",1991-07-20,"C","Owen Sound Attack",20,8,4,12,0.6,71
"Christian Thomas",1992-05-26,"RW","Oshawa Generals",10,5,7,12,1.2,63
"Joey Hishon",1991-10-20,"C","Owen Sound Attack",22,2,10,12,0.55,50
"Liam Heelis",1990-09-28,"RW","Owen Sound Attack",22,4,8,12,0.55,92
"Taylor Carnevale",1991-03-15,"C","Windsor Spitfires",18,5,7,12,0.67,67
"Chris DeSousa",1990-10-19,"LW","Mississauga St. Michaels Majors",20,4,7,11,0.55,100
"Jake Carrick",1990-09-11,"RW","Windsor Spitfires",18,7,4,11,0.61,69
"Jordan Mayer",1991-08-24,"C","Mississauga St. Michaels Majors",20,6,5,11,0.55,61
"Joshua Leivo",1993-05-26,"LW","Sudbury Wolves",8,4,7,11,1.38,85
"Kenny Ryan",1991-07-10,"RW","Windsor Spitfires",18,4,7,11,0.61,92
"Michael Sgarbossa",1992-07-25,"C","Sudbury Wolves",8,4,7,11,1.38,79
"Robby Mignardi",1990-06-28,"RW","Owen Sound Attack",22,6,5,11,0.5,46
"Zack Kassian",1991-01-24,"RW","Windsor Spitfires",16,5,6,11,0.69,69
"Darren Archibald",1990-02-09,"LW","Niagara IceDogs",14,8,2,10,0.71,71
"Dougie Hamilton",1993-06-17,"D","Niagara IceDogs",14,1,9,10,0.71,62
"Riley Brace",1992-03-07,"LW","Mississauga St. Michaels Majors",20,3,7,10,0.5,83
"Rob Flick",1991-03-28,"C","Mississauga St. Michaels Majors",20,6,4,10,0.5,62
"Stephen Johnston",1990-02-24,"C","Windsor Spitfires",18,3,7,10,0.56,62
"Anthony Luciani",1990-05-13,"RW","Erie Otters",7,6,3,9,1.29,90
"Brandon Saad",1992-10-27,"LW","Saginaw Spirit",12,3,6,9,0.75,75
"Cameron Brace",1993-04-08,"RW","Owen Sound Attack",19,2,7,9,0.47,100
"Jarrod Maidens",1994-03-04,"C","Owen Sound Attack",22,5,4,9,0.41,90
"Jason Wilson",1990-04-15,"LW","Niagara IceDogs",14,3,6,9,0.64,75
"Jeff Brown",1990-06-02,"RW","Windsor Spitfires",18,5,4,9,0.5,100
"Maxim Kitsyn",1991-12-24,"LW","Mississauga St. Michaels Majors",20,3,6,9,0.45,47
"Mike Halmo",1991-05-15,"LW","Owen Sound Attack",22,3,6,9,0.41,60
"Adrian Robertson",1991-05-31,"D","Windsor Spitfires",18,2,6,8,0.44,53
"Andrew Agozzino",1991-01-03,"C","Niagara IceDogs",14,2,6,8,0.57,62
"Andy Andreoff",1991-05-17,"LW","Oshawa Generals",10,3,5,8,0.8,73
"Jerry D'Amigo",1991-02-19,"LW","Kitchener Rangers",7,5,3,8,1.14,89
"Josh Shalla",1991-09-25,"LW","Saginaw Spirit",12,3,5,8,0.67,53
"Matt Petgrave",1992-01-29,"D","Owen Sound Attack",22,3,5,8,0.36,67
"Nicklas Jensen",1993-03-06,"RW","Oshawa Generals",10,5,3,8,0.8,73
"Stefan Noesen",1993-02-12,"RW","Plymouth Whalers",11,3,5,8,0.73,73
"Vincent Trocheck",1993-07-11,"C","Saginaw Spirit",12,5,3,8,0.67,73
"Andrey Kuchin",1991-02-11,"C","Sudbury Wolves",8,4,3,7,0.88,70
"Boone Jenner",1993-06-15,"C","Oshawa Generals",10,4,3,7,0.7,58
"Eric O'Dell",1990-06-21,"C","Sudbury Wolves",8,5,2,7,0.88,58
"Freddie Hamilton",1992-01-01,"LW","Niagara IceDogs",14,2,5,7,0.5,50
"Gabriel Landeskog",1992-11-23,"RW","Kitchener Rangers",7,3,4,7,1,70
"Geoffrey Schemitsch",1992-04-01,"D","Owen Sound Attack",20,0,7,7,0.35,64
"Ivan Telegin",1992-02-28,"C","Saginaw Spirit",12,1,6,7,0.58,70
"Jesse Blacker",1991-04-19,"D","Owen Sound Attack",22,2,5,7,0.32,44
"Jesse Graham",1994-05-13,"D","Niagara IceDogs",14,1,6,7,0.5,78
"Jordan Szwarz",1991-05-14,"RW","Saginaw Spirit",12,2,5,7,0.58,54
"Michael Catenacci",1991-02-12,"C","Kitchener Rangers",7,4,3,7,1,100
"Robbie Czarnik",1990-01-25,"C","Plymouth Whalers",11,4,3,7,0.64,78
"Roman Berdnikov",1992-07-18,"RW","Owen Sound Attack",22,5,2,7,0.32,78
"Tony DeHart",1990-03-20,"D","Oshawa Generals",10,1,6,7,0.7,58
"Tyler G. Brown",1990-02-07,"LW","Plymouth Whalers",11,1,6,7,0.64,50
"Alex Friesen",1991-01-30,"C","Niagara IceDogs",14,2,4,6,0.43,55
"Brendan Childerley",1992-06-22,"RW","Owen Sound Attack",22,4,2,6,0.27,100
"David Pacan",1991-03-31,"RW","Niagara IceDogs",14,4,2,6,0.43,67
"Kerby Rychel",1994-10-07,"LW","Windsor Spitfires",18,2,4,6,0.33,100
"Mathew Sisca",1990-10-30,"C","Saginaw Spirit",12,0,6,6,0.5,86
"Mika Partanen",1992-10-18,"LW","Mississauga St. Michaels Majors",15,2,4,6,0.4,100
"Mike Cazzola",1991-03-08,"C","Erie Otters",7,1,5,6,0.86,75
"Mike Lomas",1990-08-16,"LW","Sudbury Wolves",8,3,3,6,0.75,67
"Phil Varone",1990-12-04,"C","Erie Otters",7,0,6,6,0.86,46
"Ryan Strome",1993-07-11,"C","Niagara IceDogs",14,5,1,6,0.43,50
"Saverio Posa",1992-01-05,"D","Windsor Spitfires",18,0,6,6,0.33,86
"Alain Berger",1990-12-27,"LW","Oshawa Generals",10,4,1,5,0.5,62
"Andrey Pedan",1993-07-03,"D","Guelph Storm",6,0,5,5,0.83,62
"Austin Levi",1992-02-16,"D","Plymouth Whalers",11,1,4,5,0.45,100
"Brett Flemming",1991-02-26,"D","Mississauga St. Michaels Majors",20,1,4,5,0.25,38
"Calvin de Haan",1991-05-09,"D","Oshawa Generals",10,0,5,5,0.5,42
"Greg McKegg",1992-06-17,"C","Erie Otters",7,4,1,5,0.71,100
"Jason Akeson",1990-06-03,"RW","Kitchener Rangers",7,3,2,5,0.71,56
"Jay Gilbert",1991-08-15,"D","Owen Sound Attack",22,0,5,5,0.23,83
"John McFarland",1992-04-02,"C","Saginaw Spirit",12,3,2,5,0.42,56
"Lucas Lessio",1993-01-23,"LW","Oshawa Generals",10,2,3,5,0.5,56
"Ryan Murphy",1993-03-31,"D","Kitchener Rangers",7,0,5,5,0.71,45
"Sam Lofquist",1990-03-10,"D","Guelph Storm",6,3,2,5,0.83,62
"Taylor Beck",1991-05-13,"RW","Guelph Storm",6,2,3,5,0.83,62
"Zack Mitchell",1993-01-07,"RW","Guelph Storm",6,0,5,5,0.83,71
"Alex Aleardi",1992-07-30,"C","Plymouth Whalers",11,2,2,4,0.36,100
"Beau Schmitz",1991-03-26,"D","Plymouth Whalers",11,1,3,4,0.36,57
"David Shields",1991-01-27,"D","Erie Otters",7,1,3,4,0.57,80
"Derek Holden",1991-01-21,"D","Erie Otters",7,2,2,4,0.57,50
"Derek Schoenmakers",1992-04-17,"RW","Mississauga St. Michaels Majors",15,1,3,4,0.27,80
"Dylan DeMelo",1993-05-01,"D","Mississauga St. Michaels Majors",20,1,3,4,0.2,80
"Garret Ross",1992-05-26,"LW","Saginaw Spirit",12,3,1,4,0.33,100
"James Livingston",1990-03-08,"RW","Plymouth Whalers",11,3,1,4,0.36,80
"Jamie Devane",1991-02-20,"LW","Plymouth Whalers",10,2,2,4,0.4,80
"Josh Graves",1992-09-26,"LW","Oshawa Generals",9,1,3,4,0.44,80
"Mathew Campagna",1994-03-09,"C","Sudbury Wolves",8,0,4,4,0.5,80
"Myles Doan",1992-05-18,"LW","Niagara IceDogs",14,1,3,4,0.29,100
"Peter Holland",1991-01-14,"C","Guelph Storm",6,1,3,4,0.67,44
"Shawn Szydlowski",1990-08-05,"RW","Erie Otters",7,1,3,4,0.57,57
"Steven Shipley",1992-04-22,"C","Niagara IceDogs",14,1,3,4,0.29,57
"Thomas Nesbitt",1990-06-20,"RW","Ottawa 67's",4,2,2,4,1,80
"Brady Vail",1994-03-11,"LW","Windsor Spitfires",16,3,0,3,0.19,75
"Brett Thompson",1991-01-31,"C","Erie Otters",7,1,2,3,0.43,60
"Colin MacDonald",1992-04-16,"D","Plymouth Whalers",11,1,2,3,0.27,100
"Corey Bureau",1991-04-23,"RW","Mississauga St. Michaels Majors",12,1,2,3,0.25,75
"Daniel Erlich",1991-03-13,"LW","Guelph Storm",6,2,1,3,0.5,50
"Daniel Maggio",1991-03-04,"D","Oshawa Generals",10,1,2,3,0.3,100
"Dario Trutmann",1992-09-17,"D","Plymouth Whalers",11,1,2,3,0.27,100
"Derek Froats",1992-05-21,"LW","Kingston Frontenacs",5,0,3,3,0.6,100
"Ethan Werek",1991-06-07,"C","Kingston Frontenacs",3,0,3,3,1,100
"Francis Menard",1992-03-02,"C","Guelph Storm",6,3,0,3,0.5,75
"Frank Corrado",1993-03-26,"D","Sudbury Wolves",8,1,2,3,0.38,60
"Garrett Meurs",1993-01-12,"RW","Plymouth Whalers",11,1,2,3,0.27,100
"Gemel Smith",1994-04-16,"C","Owen Sound Attack",21,1,2,3,0.14,100
"Jared Knight",1992-01-16,"RW","London Knights",6,3,0,3,0.5,50
"Jonathan Jasper",1991-10-07,"D","Kitchener Rangers",7,0,3,3,0.43,100
"Joseph Cramarossa",1992-10-26,"C","Mississauga St. Michaels Majors",14,1,2,3,0.21,75
"Matt Finn",1994-02-24,"D","Guelph Storm",5,0,3,3,0.6,100
"Matt Stanisz",1990-05-19,"D","Owen Sound Attack",22,0,3,3,0.14,20
"Matthew Tipoff",1990-10-04,"LW","Kitchener Rangers",7,1,2,3,0.43,60
"Michael D'Orazio",1990-08-16,"D","Mississauga St. Michaels Majors",20,0,3,3,0.15,38
"Michael Latta",1991-05-25,"C","Guelph Storm",6,1,2,3,0.5,30
"Mitch Lebar",1991-01-29,"RW","Kingston Frontenacs",5,2,1,3,0.6,75
"Mitchell Heard",1992-03-12,"C","Plymouth Whalers",11,1,2,3,0.27,100
"Ryan O'Connor",1992-01-12,"D","Saginaw Spirit",12,1,2,3,0.25,38
"Scott Sabourin",1992-07-30,"LW","Oshawa Generals",10,1,2,3,0.3,100
"Sean Jones",1990-05-17,"LW","Kingston Frontenacs",5,3,0,3,0.6,100
"Sean Monahan",1994-10-12,"C","Ottawa 67's",4,2,1,3,0.75,75
"Simon Gronvaldt",1991-01-30,"D","Niagara IceDogs",14,1,2,3,0.21,75
"Stuart Percy",1993-05-18,"D","Mississauga St. Michaels Majors",20,1,2,3,0.15,25
"Tyler Hostetter",1991-01-30,"D","Erie Otters",7,2,1,3,0.43,75
"Victor Terreri",1991-10-08,"C","Niagara IceDogs",10,0,3,3,0.3,100
"Adam Pelech",1994-08-16,"D","Erie Otters",7,0,2,2,0.29,100
"Andrew Fritsch",1993-03-24,"LW","Owen Sound Attack",7,0,2,2,0.29,100
"Andrew Yogan",1991-12-04,"C","Erie Otters",3,0,2,2,0.67,100
"Ben Chiarot",1991-05-09,"D","Saginaw Spirit",12,0,2,2,0.17,40
