"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Shayne Campbell","6.02",190,"Ottawa 67's",1992-11-16,1,10,11,0.909,18.03,1,1.64,0,0,0,1,1,0,0,0,0
"Malcolm Subban","6.02",201,"Belleville Bulls",1993-12-21,3,84,90,0.933,30.3,6,2.02,0,0,3,0,3,0,0,0,0
"JP Anderson","6.00",195,"Mississauga St. Michaels Majors",1992-04-27,20,492,535,0.92,26.25,43,2.11,4,15,2,3,5,0,0,0,2
"Michael Zador","6.02",173,"Owen Sound Attack",1991-05-08,7,140,151,0.927,29.29,11,2.13,1,4,0,0,0,0,0,0,0
"Mike Morrison","6.00",180,"Kitchener Rangers",1992-11-07,3,108,115,0.939,38.33,7,2.33,1,2,1,0,1,0,0,0,0
"Mark Visentin","6.02",201,"Niagara IceDogs",1992-08-07,14,458,493,0.929,35.93,35,2.55,1,9,4,1,5,0,0,0,0
"Michael Houser","6.02",192,"London Knights",1992-09-13,6,235,250,0.94,45.22,15,2.71,0,2,3,1,4,0,0,0,0
"Scott Stajcer","6.03",196,"Owen Sound Attack",1991-06-14,13,321,353,0.909,30.77,32,2.79,0,8,4,0,4,0,0,0,0
"Matej Machovsky","6.02",186,"Brampton Battalion",1993-07-25,2,22,25,0.88,23.32,3,2.8,0,0,0,0,0,0,0,0,0
"Dalton McGrath","6.01",185,"Niagara IceDogs",1991-11-04,1,5,6,0.833,18,1,3,0,0,0,0,0,0,0,0,0
"Matt Mahalak","6.02",186,"Plymouth Whalers",1993-01-22,2,42,46,0.913,34.5,4,3,0,0,1,0,1,0,0,0,0
"Jordan Binnington","6.02",169,"Owen Sound Attack",1993-07-11,7,166,185,0.897,31.24,19,3.21,0,4,2,0,2,0,0,0,2
"Scott Wedgewood","6.01",187,"Plymouth Whalers",1992-08-14,10,397,430,0.923,42.55,33,3.27,0,4,5,1,6,0,0,0,0
"Jack Campbell","6.02",199,"Windsor Spitfires",1992-01-09,18,551,621,0.887,33.15,70,3.74,2,9,6,3,9,0,0,0,2
"Brandon Maxwell","6.01",199,"Kitchener Rangers",1991-03-22,4,131,147,0.891,34.48,16,3.75,0,1,1,2,3,0,0,0,0
"Kevin Bailie","6.03",195,"Oshawa Generals",1992-01-03,1,14,16,0.875,30.69,2,3.84,0,0,0,0,0,0,0,0,0
"Brandon Foote","6.00",183,"Guelph Storm",1991-04-26,6,177,200,0.885,33.8,23,3.89,0,2,4,0,4,0,0,0,0
"Tyson Teichmann","6.00",146,"Belleville Bulls",1993-05-19,1,23,27,0.852,27,4,4,0,0,1,0,1,0,0,0,0
"Peter Di Salvo","6.00",196,"Oshawa Generals",1990-11-14,10,302,340,0.888,36.04,38,4.03,0,5,5,0,5,0,0,0,0
"Alain Valiquette","6.03",186,"Sudbury Wolves",1990-12-21,8,294,328,0.896,40,34,4.15,0,4,2,1,3,0,0,0,0
"Igor Bobkov","6.06",210,"London Knights",1991-01-02,3,15,17,0.882,35.36,2,4.16,0,0,0,0,0,0,0,0,2
"Ramis Sadikov","6.04",225,"Erie Otters",1991-02-26,7,285,315,0.905,44.13,30,4.2,0,3,3,1,4,0,0,0,2
"Mavric Parks","6.00",191,"Saginaw Spirit",1990-05-07,12,356,405,0.879,34.89,49,4.22,0,6,6,0,6,0,0,0,2
"Tadeas Galansky","6.04",212,"Saginaw Spirit",1992-12-29,1,14,16,0.875,39.53,2,4.94,0,0,0,0,0,0,0,0,0
"Christopher Festarini","6.02",191,"Erie Otters",1993-06-03,2,15,18,0.833,30.73,3,5.12,0,0,0,0,0,0,0,0,0
"Cody St. Jacques","5.11",180,"Brampton Battalion",1990-05-14,4,69,84,0.821,28.95,15,5.17,0,0,4,0,4,0,0,0,0
"Petr Mrazek","6.01",184,"Ottawa 67's",1992-02-14,4,138,159,0.868,42.6,21,5.63,0,0,2,1,3,0,0,0,0
"Nathan Perry","6.00",165,"Kingston Frontenacs",1993-04-19,5,115,136,0.846,37.09,21,5.73,0,1,2,0,2,0,0,0,0
"Franky Palazzese","6.01",160,"Kingston Frontenacs",1993-05-28,2,38,49,0.776,36.75,11,8.25,0,0,2,0,2,0,0,0,0
"Jacob Riley","6.01",170,"Sudbury Wolves",1993-03-18,1,4,7,0.571,45.24,3,19.39,0,0,1,0,1,0,0,0,0
