"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Bradley Van Schubert","6.03",211,"Owen Sound Attack",1997-03-22,2,27,27,1,25.59,0,0,0,1,0,0,0,0,0,0,0
"Chris McGonigle","6.02",214,"Kitchener Rangers",1998-09-19,1,31,32,0.969,32,1,1,0,1,0,0,0,0,0,0,0
"Tyler Parsons","6.01",193,"London Knights",1997-09-18,1,26,27,0.963,27,1,1,0,1,0,0,0,0,0,0,0
"MacKenzie Savard","5.08",168,"Sudbury Wolves",1997-06-10,1,14,15,0.933,15,1,1,0,0,0,0,0,1,0,1,0
"Mario Culina","6.02",184,"Windsor Spitfires",1997-06-12,2,29,30,0.967,30.19,1,1.01,0,1,0,0,0,0,0,0,0
"Michael McNiven","6.01",212,"Owen Sound Attack",1997-07-09,3,43,45,0.956,22.86,2,1.02,0,1,0,0,0,0,0,0,0
"Scott Smith","6.05",196,"Peterborough Petes",1997-02-17,2,52,54,0.963,35.49,2,1.31,1,1,0,0,0,0,0,0,0
"Brent Moran","6.04",195,"North Bay Battalion",1996-07-05,2,71,74,0.959,37,3,1.5,0,2,0,0,0,1,1,0,0
"Christian Propp","6.02",192,"Barrie Colts",1999-03-27,3,61,65,0.938,31.38,4,1.93,1,1,0,0,0,0,0,0,0
"Troy Timpano","6.00",202,"Erie Otters",1997-11-13,1,14,15,0.933,29.92,1,1.99,0,0,0,0,0,0,0,0,0
"Dawson Carty","6.04",182,"Kitchener Rangers",1996-02-02,2,55,59,0.932,29.5,4,2,0,2,0,0,0,0,0,0,0
"Matthew Mancina","6.02",191,"Mississauga Steelheads",1996-04-29,1,38,40,0.95,40.28,2,2.01,0,0,1,0,1,0,0,0,0
"Tyler Johnson","6.04",183,"London Knights",1998-02-07,3,32,35,0.914,23.72,3,2.03,0,0,1,0,1,0,0,0,0
"Liam Herbst","6.04",193,"Guelph Storm",1996-09-14,3,106,113,0.938,37.9,7,2.35,0,2,1,0,1,0,0,0,2
"Jeremy Brodeur","6.01",186,"Oshawa Generals",1996-10-29,3,65,71,0.915,28.16,6,2.38,0,1,1,0,1,0,0,0,0
"Matthew Menna","6.01",170,"Flint Firebirds",1998-09-07,4,112,122,0.918,30.5,10,2.5,0,3,1,0,1,1,1,0,2
"Jeremy Helvig","6.04",210,"Kingston Frontenacs",1997-05-25,2,48,52,0.923,34.07,4,2.62,0,1,0,0,0,0,0,0,0
"Lucas Patton","6.01",183,"Windsor Spitfires",1999-07-18,3,39,43,0.907,28.73,4,2.67,0,1,1,0,1,0,0,0,0
"Dougie Newhouse","6.01",181,"Sault Ste. Marie Greyhounds",1999-04-24,2,40,44,0.909,29.69,4,2.7,0,2,0,0,0,0,0,0,0
"Joseph Raaymakers","6.01",186,"Sault Ste. Marie Greyhounds",1998-03-17,2,35,38,0.921,36.04,3,2.85,0,1,0,0,0,0,0,0,0
"David Ovsjannikov","6.06",229,"Barrie Colts",1997-02-16,3,55,62,0.887,25.57,7,2.89,1,2,1,0,1,0,0,0,2
"Jake Lawr","6.02",176,"Erie Otters",1998-05-19,4,54,63,0.857,21.07,9,3.01,0,1,1,0,1,1,0,1,0
"Mat Woroniuk","6.02",195,"North Bay Battalion",1999-03-25,2,65,71,0.915,35.69,6,3.02,0,0,2,0,2,0,0,0,0
"Anthony Popovich","6.02",197,"Guelph Storm",1999-08-01,2,28,34,0.824,17.16,6,3.03,1,1,1,0,1,0,0,0,0
"Jake McGrath","6.02",168,"Sudbury Wolves",1999-01-07,2,53,59,0.898,29.78,6,3.03,0,1,1,0,1,0,0,0,0
"Kaden Fulcher","6.03",182,"Hamilton Bulldogs",1998-09-23,2,37,42,0.881,27.79,5,3.31,0,0,1,0,1,0,0,0,0
"Michael DiPietro","6.00",205,"Windsor Spitfires",1999-06-09,2,36,41,0.878,27.31,5,3.33,0,0,0,0,0,1,0,1,0
"Connor Hicks","6.04",193,"Hamilton Bulldogs",1997-02-20,2,0,5,0,3.36,5,3.36,0,2,0,0,0,1,1,0,0
"Hunter Jones","6.04.",198,"Peterborough Petes",2000-09-21,2,54,59,0.915,39.91,5,3.38,0,1,1,0,1,0,0,0,0
"Mario Peccia","6.02",205,"Kingston Frontenacs",1999-09-21,2,33,38,0.868,25.78,5,3.39,0,2,0,0,0,0,0,0,2
"Mark Grametbauer","6'01",178,"Gatineau",1998-08-10,1,19,21,0.905,36.24,2,3.45,0,0,1,0,1,0,0,0,0
"Zack Bowman","6.02",179,"Sudbury Wolves",1997-07-31,2,53,60,0.883,30,7,3.5,0,0,2,0,2,0,0,0,0
"Cameron Lamour","6.02",153,"Saginaw Spirit",2000-07-01,2,29,33,0.879,32.77,4,3.97,0,0,0,0,0,0,0,0,0
"Emanuel Vella","6.04",195,"London Knights",1998-08-08,3,49,55,0.891,36.54,6,3.99,0,1,1,0,1,0,0,0,0
"Ruan Badenhorst","5.10",169,"Barrie Colts",1998-10-03,2,50,56,0.893,37.24,6,3.99,0,0,1,0,1,1,0,1,0
"Luke Richardson","6.03.",174,"Kitchener Rangers",1999-05-28,1,21,25,0.84,25,4,4,0,0,0,0,0,1,0,1,0
"Dylan Wells","6.02",190,"Peterborough Petes",1998-01-03,1,33,37,0.892,37,4,4,0,0,1,0,1,0,0,0,0
"Aidan Hughes","6.04",224,"Sarnia Sting",1999-04-10,2,37,43,0.86,28.78,6,4.02,0,1,1,0,1,1,1,0,0
"Brendan Bonello","6.01",206,"Saginaw Spirit",1999-04-01,2,43,49,0.878,32.94,6,4.03,0,0,1,0,1,1,0,1,0
"Jacob Ingham","6.04.",198,"Mississauga Steelheads",2000-06-10,3,76,88,0.864,29.58,12,4.03,0,1,2,0,2,0,0,0,0
