"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","SHG","SHA","SHPTS","GWG","ENG","PIM","Active"
"Giordano Finoro","YES",11,1998-05-17,1998,"6.00",205,"C","Barrie Colts",52,3,5,8,0.15,-2,0,0,0,0,0,0,1,0,12,1
"Liam Murray","NO",5,1997-06-28,1997,"6.00",206,"D","Kingston Frontenacs",62,3,5,8,0.13,-6,0,0,0,0,0,0,0,1,92,1
"Mitchell Byrne","YES",2,1998-03-04,1998,"6.00",182,"D","Erie Otters",55,2,6,8,0.15,17,0,1,1,1,0,1,0,1,20,1
"Matyas Kantner","YES",18,1998-06-20,1998,"6.03",175,"LW","Flint Firebirds",59,2,6,8,0.14,-8,0,0,0,0,0,0,0,0,14,1
"Samuel Duchesne","YES",6,1999-05-29,1999,"6.02",177,"D","Flint Firebirds",53,1,7,8,0.15,-16,0,0,0,0,0,0,0,0,57,1
"Tyler Nother","NO",28,1998-02-07,1998,"6.04",199,"D","Windsor Spitfires",51,0,8,8,0.16,12,0,0,0,0,0,0,0,0,35,1
"Trenton Bourque","NO",17,1998-06-11,1998,"6.02",203,"D","Owen Sound Attack",52,0,8,8,0.15,-6,0,0,0,0,0,0,0,0,32,1
"Stephan Seeger","NO",17,1996-02-16,1996,"6.00",187,"LW","Flint Firebirds",46,5,2,7,0.15,-8,1,0,1,0,0,0,0,0,18,1
"Conor Cummins","NO",36,1996-02-06,1996,"6.03",205,"D","Sudbury Wolves",67,4,3,7,0.1,-51,2,1,3,0,0,0,0,0,37,1
"David Sherman","NO",15,1998-05-17,1998,"6.04",190,"LW","North Bay Battalion",33,3,4,7,0.21,-6,0,0,0,0,0,0,1,0,16,1
"Bryce Yetman","NO",20,1997-02-21,1997,"6.00",166,"RW","Sault Ste. Marie Greyhounds",45,3,4,7,0.16,-15,1,0,1,0,0,0,0,0,14,1
"Stephen Templeton","NO",24,1997-01-26,1997,"6.02",190,"D","Oshawa Generals",55,2,5,7,0.13,-13,0,1,1,0,1,1,1,0,50,1
"Jakob Mayenschein","NO",8,1997-04-01,1997,"5.11",175,"C","Erie Otters",56,2,5,7,0.13,7,0,0,0,0,0,0,0,0,8,1
"Ben Garagan","YES",22,1999-01-06,1999,"5.11",180,"C","Sudbury Wolves",60,2,5,7,0.12,-12,0,0,0,0,0,0,0,0,38,1
"Cole Mayo","NO",24,1997-01-18,1997,"6.00",193,"D","Sudbury Wolves",68,2,5,7,0.1,-61,0,0,0,0,1,1,0,0,36,1
"Connor Schlichting","NO",20,1997-05-17,1997,"6.03",204,"D","Sarnia Sting",44,1,6,7,0.16,13,1,0,1,0,0,0,0,0,28,1
"Nathan Billitier","NO",7,1996-05-20,1996,"5.11",185,"D","Kingston Frontenacs",53,1,6,7,0.13,1,1,0,1,0,1,1,0,0,17,1
"Doug Blaisdell","NO",18,1997-02-20,1997,"6.02",206,"D","Kitchener Rangers",61,1,6,7,0.11,17,0,0,0,0,0,0,1,0,46,1
"Aleksandar Mikulovich","NO",29,1996-07-01,1996,"6.03",200,"D","Niagara IceDogs",55,0,7,7,0.13,-3,0,0,0,0,0,0,0,0,35,1
"Cameron Lizotte","NO",3,1997-08-24,1997,"6.02",195,"D","Barrie Colts",60,0,7,7,0.12,-7,0,0,0,0,2,2,0,0,102,1
"Matt Gillard","NO",15,1996-08-30,1996,"5.10",181,"LW","Niagara IceDogs",8,3,3,6,0.75,4,0,0,0,0,0,0,1,0,12,1
"Thomas Lattavo","NO",27,1996-04-05,1996,"6.02",200,"RW","Mississauga Steelheads",19,3,3,6,0.32,5,0,0,0,0,0,0,1,0,6,1
"Mads Eller","NO",24,1995-06-25,1995,"6.01",204,"LW","Windsor Spitfires",22,2,4,6,0.27,3,0,0,0,0,0,0,1,0,26,1
"Matt Latin","NO",10,1997-03-18,1997,"5.11",189,"LW","Oshawa Generals",51,2,4,6,0.12,-2,0,0,0,0,0,0,0,0,12,1
"Jack Hanley","NO",22,1998-04-20,1998,"5.11",190,"D","Hamilton Bulldogs",58,0,6,6,0.1,-15,0,0,0,0,0,0,0,0,12,1
"Nick Deakin-Poot","YES",26,1999-01-28,1999,"6.04",217,"C","Guelph Storm",58,3,2,5,0.09,-28,0,0,0,0,0,0,0,0,39,1
"Daniel De Sousa","NO",8,1996-03-14,1996,"5.11",175,"D","Mississauga Steelheads",33,2,3,5,0.15,6,0,0,0,0,0,0,0,0,42,1
"Michael Holmes","NO",12,1997-02-03,1997,"6.03",185,"D","Saginaw Spirit",50,2,3,5,0.1,-10,0,0,0,0,0,0,0,0,14,1
"Konstantin Chernyuk","YES",13,1998-02-13,1998,"6.5",181,"D","Kingston Frontenacs",37,1,4,5,0.14,12,1,0,1,0,0,0,1,0,38,1
"Kyle Rhodes","NO",3,1997-12-25,1997,"6.03",206,"D","Guelph Storm",39,1,4,5,0.13,-23,0,1,1,0,0,0,1,0,47,1
"Jacob Ball","YES",20,1999-01-16,1999,"6.03",200,"LW","North Bay Battalion",49,1,4,5,0.1,-1,0,0,0,0,0,0,0,0,6,1
"Graeme Brown","NO",24,1996-05-16,1996,"6.00",198,"D","Kingston Frontenacs",53,1,4,5,0.09,-2,0,2,2,0,0,0,0,0,80,1
"Brock Philips","YES",7,1998-03-10,1998,"6.05",205,"RW","Guelph Storm",49,4,0,4,0.08,-19,1,0,1,0,0,0,0,0,92,1
"Austin Grzenia","YES",55,1998-05-21,1998,"6.00",182,"RW","Kingston Frontenacs",26,3,1,4,0.15,-2,0,0,0,0,0,0,0,0,4,1
