"Name","BD","Pos","Team","GP","SHG","SHA","SHPTS","SHPTS/G","SHPTS%"
"Mike Amadio",1996-05-13,"C","North Bay Battalion",68,8,7,15,0.22,15
"Andrew Mangiapane",1996-04-04,"LW","Barrie Colts",59,8,6,14,0.24,13
"Kevin  Labanc",1995-12-12,"RW","Barrie Colts",65,8,5,13,0.2,10
"Mathew Santos",1995-03-16,"RW","North Bay Battalion",64,7,5,12,0.19,17
"Christian  Dvorak",1996-02-02,"C","London Knights",59,3,4,7,0.12,6
"Brett McKenzie",1997-03-12,"C","North Bay Battalion",66,5,1,6,0.09,11
"Mitchell Marner",1997-05-05,"RW","London Knights",57,5,1,6,0.11,5
"James McEwan",1997-03-15,"C","Guelph Storm",68,4,2,6,0.09,12
"Justin Scott",1995-08-13,"C","Barrie Colts",67,4,1,5,0.07,8
"Dylan Sadowy",1996-04-02,"LW","Barrie Colts",64,3,2,5,0.08,7
"Cordell James",1996-06-14,"C","Barrie Colts",66,2,3,5,0.08,11
"Michael McLeod",1998-02-03,"C","Mississauga Steelheads",57,4,0,4,0.07,7
"Max Jones",1998-02-17,"LW","London Knights",63,3,1,4,0.06,8
"Cam Dineen",1998-06-19,"D","North Bay Battalion",68,0,4,4,0.06,7
"Darby Llewellyn",1996-07-19,"LW","Kitchener Rangers",68,3,0,3,0.04,8
"Juho Lammikko",1996-01-29,"C","Kingston Frontenacs",59,3,0,3,0.05,5
"Mikkel Aagaard",1995-10-18,"C","Sudbury Wolves",64,3,0,3,0.05,6
"Nic Sicoly",1998-01-05,"LW","Guelph Storm",64,3,0,3,0.05,23
"Alex DeBrincat",1997-12-18,"RW","Erie Otters",60,2,1,3,0.05,3
"Brandon Lindberg",1996-09-24,"C","Sarnia Sting",63,2,1,3,0.05,13
"Daniel Nikandrov",1995-02-03,"C","Peterborough Petes",67,2,1,3,0.04,10
"Lawson Crouse",1997-06-23,"LW","Kingston Frontenacs",49,2,1,3,0.06,5
"Niki Petti",1996-08-13,"C","Hamilton Bulldogs",60,2,1,3,0.05,6
"Petrus Palmu",1997-07-16,"RW","Owen Sound Attack",52,2,1,3,0.06,6
"Anthony Stefano",1996-01-04,"LW","Barrie Colts",60,1,2,3,0.05,7
"Dylan Strome",1997-03-07,"C","Erie Otters",56,1,2,3,0.05,3
"Luke Burghardt",1998-05-12,"C","Guelph Storm",62,1,2,3,0.05,9
"Greg DiTomaso",1996-03-12,"D","Barrie Colts",58,0,3,3,0.05,17
"Michael Webster",1995-05-24,"D","Barrie Colts",64,0,3,3,0.05,7
