"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","GWG","ENG","PIM"
"Brent Burns",1985-07-03,"RW","Brampton Battalion",11,5,6,11,1,0,2,0,1,0,0
"Peter Tsimikalis",1986-01-10,"C","Ottawa 67's",23,1,9,10,0.43,-1,0,4,0,0,14
"John Vigilante",1985-05-24,"LW","Plymouth Whalers",18,6,3,9,0.5,3,3,0,1,0,0
"Matt Ryan",1983-11-12,"C","Guelph Storm",11,2,7,9,0.82,1,0,1,0,0,0
"Evan McGrath",1986-01-14,"C","Kitchener Rangers",21,6,2,8,0.38,2,2,0,0,0,6
"Bryan Bickell",1986-03-09,"LW","Ottawa 67's",20,5,3,8,0.4,8,1,0,0,0,12
"Julian Talbot",1985-03-24,"C","Ottawa 67's",23,1,7,8,0.35,4,0,1,0,0,0
"Kyle Quincey",1985-08-12,"D","London Knights",14,3,4,7,0.5,0,3,2,1,0,0
"Danny Syvret",1985-06-13,"D","London Knights",14,1,6,7,0.5,-3,1,3,1,0,11
"Marc Methot",1985-06-21,"D","London Knights",14,2,4,6,0.43,0,0,0,0,0,6
"Stuart Simmons",1984-09-26,"D","Brampton Battalion",11,1,5,6,0.55,-1,1,3,0,0,16
"Will Colbert",1985-02-06,"D","Ottawa 67's",23,1,5,6,0.26,5,0,1,0,0,0
"Wojtek Wolski",1986-02-24,"LW","Brampton Battalion",11,5,0,5,0.45,-2,1,0,1,0,6
"Tyler Haskins",1986-05-26,"C","Guelph Storm",11,3,2,5,0.45,1,0,0,1,0,10
"Jordan Morrison",1986-06-06,"C","Peterborough Petes",7,3,1,4,0.57,3,0,1,1,0,0
"Chris Hulit",1985-01-15,"RW","Oshawa Generals",13,2,2,4,0.31,4,0,0,0,0,0
"Ivan Svarny",1984-10-31,"D","Belleville Bulls",7,1,3,4,0.57,6,0,2,1,0,0
"Mark Giordano",1983-03-10,"D","Owen Sound Attack",4,1,3,4,1,-4,0,2,0,0,0
"Scott Lehman",1986-01-05,"D","Toronto St. Michael's Majors",19,1,3,4,0.21,0,0,0,0,0,34
"Cody Thornton",1986-07-16,"RW","Belleville Bulls",7,0,4,4,0.57,1,0,0,0,0,0
"Daniel Carcillo",1985-01-28,"LW","Sarnia Sting",6,0,4,4,0.67,-5,0,2,0,0,0
"Nathan McIver",1985-01-06,"D","Toronto St. Michael's Majors",19,0,4,4,0.21,-2,0,0,0,0,41
"Brandon Prust",1984-03-16,"LW","London Knights",14,2,1,3,0.21,0,0,0,0,0,0
"David Bolland",1986-06-05,"RW","London Knights",14,2,1,3,0.21,0,1,1,0,0,0
"Ryan Oulahen",1985-03-26,"C","Brampton Battalion",11,2,1,3,0.27,-2,0,0,0,0,2
"Cory Vitarelli",1985-06-30,"LW","Toronto St. Michael's Majors",14,1,2,3,0.21,-1,0,1,1,0,0
"Ryan Callahan",1985-03-21,"RW","Guelph Storm",11,0,3,3,0.27,2,0,1,0,0,2
