"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Jeff Weber","6.02",185,"Plymouth Whalers",1984-09-24,3,19,21,0.905,18.11,2,1.72,0,0,1,0,1,0,0,0,0
"Justin Peters","6.02",210,"Toronto St. Michael's Majors",1986-08-30,7,75,79,0.949,37.71,4,1.91,0,1,0,0,0,0,0,0,0
"Scott Dickie","5.10",185,"Kitchener Rangers",1982-12-16,21,731,775,0.943,35.36,44,2.01,2,16,3,2,5,0,0,0,2
"Paulo Colaiacovo","6.01",200,"Barrie Colts",1983-01-27,6,173,187,0.925,31.14,14,2.33,0,2,3,1,4,0,0,0,0
"Brad Topping","6.01",198,"Brampton Battalion",1984-06-05,11,296,320,0.925,33.81,24,2.54,2,5,4,1,5,0,0,0,0
"Dan LaCosta","6.03",195,"Owen Sound Attack",1986-03-28,1,8,9,0.889,23.68,1,2.63,0,0,0,0,0,0,0,0,0
"Chris Hardill","6.04",196,"Ottawa 67's",1983-09-04,2,17,19,0.895,25.96,2,2.73,0,0,1,0,1,0,0,0,0
"Lukas Mensator","5.10",180,"Ottawa 67's",1984-08-18,23,656,720,0.911,31.3,64,2.78,2,13,6,3,9,0,0,0,0
"David Currie","5.10",175,"Peterborough Petes",1982-03-24,7,202,224,0.902,30.51,22,3,0,3,2,2,4,0,0,0,0
"Adam Munro","6.01",200,"Sault Ste. Marie Greyhounds",1982-11-12,4,156,168,0.929,42,12,3,0,0,4,0,4,0,0,0,0
"Paul Drew","5.10",199,"Plymouth Whalers",1983-11-20,18,433,485,0.893,28.35,52,3.04,0,11,6,0,6,0,0,0,0
"Chris Houle","6.03",197,"London Knights",1982-09-09,14,438,482,0.909,33.77,44,3.08,0,7,5,2,7,0,0,0,0
"Michael Mole","6.00",196,"Belleville Bulls",1982-10-12,7,164,185,0.886,27.75,21,3.15,0,3,4,0,4,0,0,0,0
"Andrew Penner","6.03",205,"Guelph Storm",1982-12-21,11,305,340,0.897,30.72,35,3.16,0,5,5,1,6,0,0,0,0
"Andy Chiodo","6.00",195,"Toronto St. Michael's Majors",1983-04-25,18,585,641,0.913,37.7,56,3.29,1,10,7,1,8,0,0,0,2
"Robert Gherson","6.01",175,"Sarnia Sting",1983-10-08,5,146,160,0.913,38.36,14,3.36,1,1,3,0,3,0,0,0,0
"Ryan Aschaber","6.03",190,"Windsor Spitfires",1982-01-29,7,193,218,0.885,29.98,25,3.44,0,3,4,0,4,0,0,0,2
"Chris Beckford-Tseu","6.03",195,"Oshawa Generals",1984-06-22,13,345,393,0.878,32.48,48,3.97,1,6,5,2,7,0,0,0,0
"Kevin Druce","5.11",190,"Oshawa Generals",1984-02-10,3,34,39,0.872,31.5,5,4.04,0,0,0,0,0,0,0,0,0
"Ryan Munce","6.02",177,"Sarnia Sting",1985-04-16,4,91,102,0.892,41.11,11,4.43,1,1,1,0,1,0,0,0,0
"Kevin Couture","5.10",182,"Brampton Battalion",1985-03-17,2,33,40,0.825,25.74,7,4.5,0,0,1,0,1,0,0,0,0
"John Ceci","5.11",165,"Owen Sound Attack",1983-08-19,4,91,108,0.843,30.06,17,4.73,0,0,4,0,4,0,0,0,0
"Miguel Beaudry","5.11",180,"Mississauga IceDogs",1982-05-29,5,213,241,0.884,46.91,28,5.45,0,1,3,1,4,0,0,0,0
"Eric Tobia","6.00",180,"Belleville Bulls",1984-06-21,1,11,13,0.846,39,2,6,0,0,0,0,0,0,0,0,0
