"Name","Rookie","BD","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","GWG","ENG","PIM"
"Steven Stamkos","NO",1990-02-07,"6.01",180,"C","Sarnia Sting",61,58,47,105,1.72,18,23,23,46,9,2,88
"Joshua Bailey","NO",1989-10-02,"6.01",195,"C","Windsor Spitfires",67,29,67,96,1.43,30,9,34,43,3,1,32
"Cody Hodgson","NO",1990-02-18,"6.00",188,"C","Brampton Battalion",68,40,45,85,1.25,15,16,27,43,8,1,36
"Nathan Moon","NO",1990-01-04,"5.11",185,"C","Kingston Frontenacs",68,35,42,77,1.13,-25,12,18,30,4,3,79
"Mikkel Boedker","YES",1989-12-16,"5.11",201,"RW","Kitchener Rangers",62,29,44,73,1.18,6,13,33,46,9,0,14
"Greg Nemisz","NO",1990-06-05,"6.04",200,"RW","Windsor Spitfires",68,34,33,67,0.99,28,15,13,28,4,0,52
"Michael Del Zotto","NO",1990-06-24,"6.00",188,"D","Oshawa Generals",64,16,47,63,0.98,7,8,28,36,0,1,82
"Zach Bogosian","NO",1990-07-15,"6.02",200,"D","Peterborough Petes",60,11,50,61,1.02,8,6,31,37,0,0,72
"Robby Mignardi","NO",1990-06-28,"6.00",186,"RW","Kingston Frontenacs",66,19,37,56,0.85,-14,6,10,16,3,0,58
"AJ Jenks","NO",1990-06-27,"6.02",200,"LW","Plymouth Whalers",68,26,29,55,0.81,-13,15,11,26,4,0,94
"Alex Pietrangelo","NO",1990-01-18,"6.04",210,"D","Niagara IceDogs",60,13,40,53,0.88,29,6,17,23,2,1,94
"Josh Brittain","NO",1990-01-03,"6.05",225,"LW","Kingston Frontenacs",68,28,23,51,0.75,-14,10,6,16,1,2,106
"Drew Doughty","NO",1989-12-08,"6.00",213,"D","Guelph Storm",58,13,37,50,0.86,-1,9,28,37,4,0,68
"Jared Staal","NO",1990-08-21,"6.04",198,"RW","Sudbury Wolves",60,21,28,49,0.82,-11,9,12,21,0,0,44
"Michael Pelech","NO",1989-10-06,"6.02",212,"C","Mississauga St. Michael's Majors",68,17,32,49,0.72,-10,7,15,22,4,1,72
"Anthony Nigro","NO",1990-01-11,"6.00",189,"C","Guelph Storm",67,24,24,48,0.72,1,12,9,21,6,1,65
"Jamie Arniel","NO",1989-11-16,"6.00",190,"C","Sarnia Sting",60,27,20,47,0.78,-12,7,13,20,4,1,38
"Phil McRae","NO",1990-03-15,"6.03",195,"C","London Knights",66,18,28,46,0.7,-5,7,15,22,3,0,61
"James Livingston","NO",1990-03-08,"6.01",210,"RW","Sault Ste. Marie Greyhounds",68,21,23,44,0.65,10,4,10,14,1,1,135
"Adam Henrique","NO",1990-02-06,"6.00",196,"C","Windsor Spitfires",66,20,24,44,0.67,17,8,5,13,1,1,28
"Zach Harnden","NO",1989-09-23,"6.02",208,"RW","Peterborough Petes",65,23,17,40,0.62,-10,8,4,12,2,2,51
"Cameron Gaunce","YES",1990-03-19,"6.01",203,"D","Mississauga St. Michael's Majors",63,10,30,40,0.63,-1,8,11,19,1,0,99
"Brett Theberge","NO",1989-11-03,"6.00",200,"C","Peterborough Petes",55,13,26,39,0.71,7,2,11,13,3,0,45
"Kelly Geoffrey","NO",1990-01-25,"5.10",177,"LW","Erie Otters",67,13,26,39,0.58,-21,3,7,10,3,0,49
"Tyler Murovich","YES",1989-12-04,"5.08",178,"C","Saginaw Spirit",68,19,19,38,0.56,11,5,3,8,2,0,65
"Steven Tarasuk","NO",1989-11-01,"5.10",175,"D","London Knights",67,6,31,37,0.55,29,3,14,17,3,0,48
"Sean Jones","NO",1990-05-17,"5.10",172,"LW","Erie Otters",67,14,22,36,0.54,-7,0,6,6,1,0,37
"Marc Franchini","YES",1990-02-19,"5.08",169,"C","Owen Sound Attack",67,15,19,34,0.51,-19,5,8,13,0,0,39
"Mike Lomas","NO",1990-08-16,"5.11",212,"LW","Brampton Battalion",62,13,20,33,0.53,-1,7,11,18,3,0,50
